##NAMES=Fersmanite
##RRUFFID=R070290
##IDEAL CHEMISTRY=Ca_4_(Na,Ca)_4_(Ti,Nb)_4_(Si_2_O_7_)_2_O_8_F_3_
##LOCALITY=Vein No. 1 of Labuntsov, 3rd left tributary of Vuonnemijok river, Eveslogchorr Mt, Khibiny Massif, Kola peninsula, Murmanskaja oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown crystals frozen in orthoclase, associated with red eudialyte and black arfvedsonite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070290
654.9203, 143.2578
655.4025, 195.7070
655.8846, 232.8691
656.3667, 243.1855
656.8488, 207.8281
657.3309, 205.8301
657.8130, 249.6582
658.2952, 309.4062
658.7773, 341.2246
659.2594, 347.7715
659.7415, 357.1016
660.2236, 372.5742
660.7057, 400.9414
661.1879, 469.4297
661.6700, 560.5957
662.1521, 625.0098
662.6342, 606.5098
663.1163, 581.3984
663.5984, 595.5742
664.0806, 647.0059
664.5627, 708.5020
665.0448, 807.0742
665.5269, 882.0625
666.0090, 899.5801
666.4911, 848.1367
666.9733, 824.9844
667.4554, 835.3750
667.9375, 863.6895
668.4196, 901.2852
668.9017, 947.8926
669.3839, 994.9336
669.8660, 1044.273
670.3481, 1081.266
670.8302, 1067.545
671.3123, 1030.197
671.7944, 1032.096
672.2766, 1122.027
672.7587, 1208.545
673.2408, 1217.758
673.7229, 1184.043
674.2050, 1170.924
674.6871, 1217.873
675.1693, 1262.168
675.6514, 1288.619
676.1335, 1298.725
676.6156, 1298.619
677.0977, 1285.490
677.5798, 1270.033
678.0620, 1253.521
678.5441, 1237.154
679.0262, 1237.951
679.5083, 1257.504
679.9904, 1280.643
680.4725, 1287.762
680.9547, 1289.816
681.4368, 1309.502
681.9189, 1351.418
682.4010, 1391.668
682.8831, 1409.893
683.3652, 1422.734
683.8474, 1446.533
684.3295, 1491.387
684.8116, 1538.166
685.2937, 1583.736
685.7758, 1630.465
686.2579, 1682.295
