##NAMES=Stottite
##RRUFFID=R120089
##IDEAL CHEMISTRY=Fe^2+^Ge^4+^(OH)_6_
##LOCALITY=Tsumeb, Namibia
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Yellow to red gemmy crystals and fragments associated with chalcocite R120090, siderite and tennantite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120089
520.6874, 0.5638280
521.1695, 0.3372650
521.6516, 9.9460997E-02
522.1337, 1.2779000E-02
522.6158, 0.1792490
523.0980, 0.5638960
523.5801, 0.8247450
524.0622, 0.8878210
524.5443, 0.7417300
525.0264, 0.1628490
525.5085, 0.7303620
525.9907, 1.166832
526.4728, 0.7910350
526.9549, 3.7707999E-02
527.4370, 0.5252000
527.9191, 0.9323920
528.4012, 0.9862590
528.8834, 0.2769170
529.3655, 0.4625820
529.8476, 0.6599690
530.3297, 0.4346500
530.8118, 0.2392120
531.2939, 0.3277130
531.7761, 0.5825810
532.2582, 0.6980440
532.7403, 0.6457560
533.2224, 0.4878620
533.7045, 0.1074330
534.1866, 0.5112950
534.6688, 0.1745910
535.1509, 0.7148670
535.6330, 1.536518
536.1151, 1.906952
536.5972, 1.902214
537.0793, 1.652813
537.5615, 1.060455
538.0436, 0.7134480
538.5257, 1.018494
539.0078, 1.456905
539.4899, 1.595535
539.9720, 1.424152
540.4542, 1.125473
540.9363, 0.5150910
541.4184, 3.5397001E-02
541.9005, 0.2284160
542.3826, 1.272045
542.8647, 1.994503
543.3469, 1.733822
543.8290, 0.8709870
544.3111, 0.4020460
544.7932, 0.5251920
545.2753, 0.5313300
545.7574, 0.2315480
546.2396, 0.1575930
546.7217, 0.4633560
547.2038, 0.6766780
547.6859, 0.8780170
548.1680, 1.122856
548.6501, 1.352337
549.1323, 1.280109
549.6144, 0.4327700
550.0965, 0.1246380
550.5786, 0.8122750
551.0607, 1.749500
551.5428, 2.416210
552.0250, 2.766930
552.5071, 3.043449
552.9892, 3.453259
553.4713, 3.937893
553.9534, 4.305679
554.4355, 4.522484
554.9177, 4.775394
555.3998, 5.242794
555.8819, 5.681725
556.3640, 5.659615
556.8461, 5.049953
557.3282, 4.747410
557.8104, 5.635006
558.2925, 6.764240
558.7746, 6.804783
559.2567, 5.814388
559.7388, 4.921864
560.2209, 4.828846
560.7031, 5.304337
561.1852, 5.606483
561.6673, 5.727497
562.1494, 5.626869
562.6315, 5.065643
563.1136, 4.442924
563.5958, 4.118431
564.0779, 4.051296
564.5600, 3.934750
565.0421, 3.532738
