##NAMES=Cryolite
##RRUFFID=R120026
##IDEAL CHEMISTRY=Na_3_AlF_6_
##LOCALITY=Francon quarry, Montréal, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Colorless, pseudo-octahedral crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120026
646.3727, 3.528397
646.8548, 4.224045
647.3369, 5.574112
647.8190, 5.932053
648.3011, 4.809021
648.7833, 3.423752
649.2654, 2.690628
649.7475, 2.650909
650.2296, 2.681030
650.7117, 2.764526
651.1938, 2.839111
651.6760, 2.802155
652.1581, 2.689301
652.6402, 2.597061
653.1223, 2.502213
653.6044, 2.533936
654.0865, 3.047363
654.5687, 3.740829
655.0508, 4.039658
655.5329, 2.891785
656.0150, 2.240158
656.4971, 3.013046
656.9792, 4.900589
657.4614, 6.471695
657.9435, 8.183258
658.4256, 8.903641
658.9077, 7.842224
659.3898, 5.112320
659.8719, 3.808731
660.3541, 4.162735
660.8362, 4.823685
661.3183, 4.722824
661.8004, 4.081863
662.2825, 3.963394
662.7646, 4.496979
663.2468, 5.131104
663.7289, 5.680817
664.2110, 5.938141
664.6931, 5.455658
665.1752, 3.715775
665.6573, 2.455734
666.1395, 2.797638
666.6216, 3.895966
667.1037, 4.709686
667.5858, 4.800003
668.0679, 4.981857
668.5500, 5.433823
669.0322, 5.958420
669.5143, 6.077164
669.9964, 5.709106
670.4785, 5.302917
670.9606, 4.878708
671.4427, 4.587311
671.9249, 5.226349
672.4070, 6.620132
672.8891, 7.326584
673.3712, 5.618576
673.8533, 3.213104
674.3354, 2.117233
674.8176, 2.375916
675.2997, 3.101730
675.7818, 4.512787
676.2639, 5.778580
676.7460, 6.309998
677.2281, 5.727585
677.7103, 5.180206
678.1924, 4.878128
678.6745, 4.708588
679.1566, 4.532349
679.6387, 4.270172
680.1208, 4.012329
680.6030, 3.646881
681.0851, 3.382126
681.5672, 3.717194
682.0493, 4.622833
