##NAMES=Berthierine
##RRUFFID=R110177
##IDEAL CHEMISTRY=(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_
##LOCALITY=DeMix quarry, Mont St-Hilaire, Quebec
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Hexagonal prisms, with gray transparent terminations. We sample the terminations.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110177
521.1695, 16.81750
521.6516, 20.72198
522.1337, 23.51141
522.6158, 22.85260
523.0980, 19.60602
523.5801, 16.47833
524.0622, 14.36713
524.5443, 13.07788
525.0264, 12.53168
525.5085, 12.66449
525.9907, 13.20483
526.4728, 14.13440
526.9549, 15.26385
527.4370, 16.54089
527.9191, 18.20343
528.4012, 18.60358
528.8834, 16.06543
529.3655, 13.52301
529.8476, 13.52319
530.3297, 15.29388
530.8118, 16.28131
531.2939, 15.07324
531.7761, 12.51581
532.2582, 10.73499
532.7403, 10.00580
533.2224, 9.594177
533.7045, 9.423523
534.1866, 9.564758
534.6688, 10.45642
535.1509, 11.70319
535.6330, 12.23340
536.1151, 11.22290
536.5972, 9.308899
537.0793, 8.107605
537.5615, 7.745483
538.0436, 6.808838
538.5257, 3.396057
539.0078, 0.4815060
539.4899, 1.416382
539.9720, 6.040771
540.4542, 9.790039
540.9363, 9.767456
541.4184, 7.900208
541.9005, 6.763306
542.3826, 6.434692
542.8647, 6.440369
543.3469, 6.802490
543.8290, 7.269226
544.3111, 6.887756
544.7932, 4.905762
545.2753, 3.473938
545.7574, 3.048706
546.2396, 2.999207
546.7217, 3.138428
547.2038, 3.230103
547.6859, 2.753174
548.1680, 1.205383
548.6501, 1.040161
549.1323, 2.261963
549.6144, 1.808594
550.0965, 1.181824
550.5786, 0.8690800
551.0607, 0.4345090
551.5428, 0.8800660
552.0250, 2.816895
552.5071, 3.933167
552.9892, 2.553955
553.4713, 0.1883540
553.9534, 0.9945680
554.4355, 0.3201900
554.9177, 1.503540
555.3998, 1.528809
555.8819, 1.059845
556.3640, 1.155609
556.8461, 1.910370
557.3282, 2.021423
557.8104, 0.3978880
558.2925, 1.536469
558.7746, 1.558441
559.2567, 0.1193540
559.7388, 1.199097
560.2209, 0.1484380
560.7031, 2.204895
561.1852, 3.097595
561.6673, 1.103485
562.1494, 0.3646550
562.6315, 0.8843690
563.1136, 1.164642
563.5958, 1.978973
564.0779, 3.097839
564.5600, 3.489105
565.0421, 2.291260
565.5242, 6.9458000E-02
566.0063, 1.246613
566.4885, 1.374481
566.9706, 1.406067
567.4527, 1.870850
567.9348, 2.093384
568.4169, 1.240784
568.8990, 0.4997560
569.3812, 1.699677
569.8633, 0.9172060
570.3454, 0.4782410
570.8275, 9.9395998E-02
571.3096, 1.899536
571.7917, 2.881836
572.2739, 1.283051
572.7560, 1.175049
573.2381, 1.120178
573.7202, 2.378326
574.2023, 4.553864
574.6844, 4.645508
575.1666, 3.569153
575.6487, 0.8515630
576.1308, 2.495758
576.6129, 4.021942
577.0950, 2.387909
577.5771, 0.9774170
578.0593, 3.030334
578.5414, 3.683197
579.0235, 3.246246
579.5056, 0.1114200
579.9877, 2.847626
580.4698, 2.922119
580.9520, 1.133759
581.4341, 0.5303040
581.9162, 1.195862
582.3983, 1.321930
582.8804, 1.300537
583.3625, 1.188232
583.8447, 1.700226
584.3268, 3.264313
584.8089, 4.906555
585.2910, 5.701660
585.7731, 5.680145
586.2552, 5.087891
586.7374, 2.949127
587.2195, 1.284241
587.7016, 1.477142
588.1837, 2.793854
588.6658, 3.934021
589.1479, 4.506622
589.6301, 4.977539
590.1122, 6.062042
590.5943, 7.943542
591.0764, 8.681854
591.5585, 7.378174
592.0406, 5.924622
592.5228, 4.096985
593.0049, 2.677521
593.4870, 2.920959
593.9691, 5.080688
594.4512, 7.281830
594.9333, 7.496185
595.4155, 6.211212
595.8976, 5.531982
596.3797, 5.565796
596.8618, 5.883789
597.3439, 6.887543
597.8260, 8.126038
598.3082, 8.124176
598.7903, 6.145111
599.2724, 4.692780
599.7545, 4.988892
600.2366, 5.961212
600.7188, 6.439545
601.2009, 6.394501
601.6830, 6.464691
602.1651, 7.075928
602.6472, 8.101990
603.1293, 9.162567
603.6115, 10.44446
604.0936, 11.46841
604.5757, 12.88159
605.0578, 13.47229
605.5399, 11.76352
606.0220, 8.440918
606.5042, 5.691162
606.9863, 4.895966
607.4684, 5.409058
607.9505, 6.166199
608.4326, 7.147980
608.9147, 8.473083
609.3969, 10.68073
609.8790, 12.41321
610.3611, 11.58795
610.8432, 8.442444
611.3253, 6.282593
611.8074, 5.605164
612.2896, 6.084076
612.7717, 8.048218
613.2538, 10.75278
613.7359, 13.30045
614.2180, 15.37552
614.7001, 16.50839
615.1823, 15.78860
615.6644, 12.97534
616.1465, 12.09479
616.6286, 15.09448
617.1107, 17.77643
617.5928, 18.75156
618.0750, 18.87772
618.5571, 19.03726
619.0392, 19.50323
619.5213, 19.96576
620.0034, 19.59808
620.4855, 18.96008
620.9677, 19.52405
621.4498, 21.37897
621.9319, 23.82458
622.4140, 26.86179
622.8961, 29.89328
623.3782, 31.48819
623.8604, 31.18262
624.3425, 31.05026
624.8246, 31.42169
625.3067, 31.92062
625.7888, 32.19226
626.2709, 32.48575
626.7531, 33.29019
627.2352, 34.72964
627.7173, 36.69711
628.1994, 39.23624
628.6815, 42.74301
629.1636, 45.13553
629.6458, 45.94815
630.1279, 45.93958
630.6100, 44.73566
631.0921, 43.24203
631.5742, 42.98627
632.0563, 44.33105
632.5385, 46.63635
633.0206, 49.90448
633.5027, 53.67883
633.9848, 57.27707
634.4669, 60.62997
634.9490, 62.75189
635.4312, 62.37393
635.9133, 60.25571
636.3954, 60.61020
636.8775, 65.38910
637.3596, 70.11258
637.8417, 75.44965
638.3239, 79.93689
638.8060, 81.97821
639.2881, 82.10260
639.7702, 82.22311
640.2523, 83.31677
640.7344, 85.52945
641.2166, 89.89679
641.6987, 96.61734
642.1808, 101.0236
642.6629, 101.1138
643.1450, 100.4696
643.6271, 102.3834
644.1093, 106.2583
644.5914, 110.0686
645.0735, 113.9031
645.5556, 117.2011
646.0377, 119.3954
646.5198, 121.0235
647.0020, 122.5715
647.4841, 124.2583
647.9662, 126.7213
648.4483, 130.7345
648.9304, 135.9173
649.4125, 139.6583
649.8947, 141.3081
650.3768, 142.6592
650.8589, 143.6419
651.3410, 144.7415
651.8231, 146.4078
652.3052, 148.5464
652.7874, 150.5981
653.2695, 152.0157
653.7516, 153.4613
654.2337, 156.3898
654.7158, 160.2429
655.1979, 162.1300
655.6801, 160.9996
656.1622, 159.0320
656.6443, 158.5381
657.1264, 159.5858
657.6085, 160.9191
658.0906, 163.7208
658.5728, 165.3032
659.0549, 164.2603
659.5370, 162.1623
660.0191, 160.7383
660.5012, 160.1536
660.9833, 159.2153
661.4655, 156.5712
661.9476, 153.0357
662.4297, 151.5986
662.9118, 152.6296
663.3939, 152.8515
663.8760, 151.1281
664.3582, 148.3419
664.8403, 144.9593
665.3224, 141.0752
665.8045, 138.6805
666.2866, 139.4113
666.7687, 140.3245
667.2509, 140.0225
667.7330, 138.7336
668.2151, 136.6656
668.6972, 133.9783
669.1793, 131.3297
669.6614, 129.4042
670.1436, 128.1489
670.6257, 126.9590
671.1078, 126.5703
671.5899, 124.7134
672.0720, 118.3824
672.5541, 111.9762
673.0363, 109.1235
673.5184, 109.8126
674.0005, 111.3450
674.4826, 114.1602
674.9647, 116.0013
675.4468, 113.7517
675.9290, 108.6371
676.4111, 104.3799
676.8932, 102.1493
677.3753, 100.6977
677.8574, 98.56332
678.3395, 95.69635
678.8217, 93.46609
679.3038, 92.46692
679.7859, 91.36902
680.2680, 90.25525
680.7501, 88.76611
681.2322, 86.50793
681.7144, 83.51505
682.1965, 80.16891
682.6786, 76.47452
683.1607, 72.78629
683.6428, 69.95038
684.1249, 67.81409
684.6071, 64.94498
685.0892, 60.56915
685.5713, 56.56366
686.0534, 55.24261
686.5355, 56.77380
687.0176, 57.67944
687.4998, 59.03214
687.9819, 58.58701
688.4640, 53.78943
688.9461, 48.18033
689.4282, 45.74411
689.9103, 46.58569
690.3925, 47.48428
690.8746, 45.87701
691.3567, 42.71136
691.8388, 40.44037
692.3209, 39.13916
692.8030, 37.49683
693.2852, 34.72656
693.7673, 32.37613
694.2494, 32.82590
694.7315, 35.74927
695.2136, 36.06903
695.6957, 30.72919
696.1779, 26.21710
696.6600, 25.20453
697.1421, 25.87265
697.6242, 26.51596
698.1063, 26.71094
698.5884, 26.15656
699.0706, 24.70004
699.5527, 22.68777
700.0348, 20.60141
700.5169, 18.26984
700.9990, 17.76575
701.4811, 20.90485
701.9633, 23.77008
702.4454, 22.27505
702.9275, 17.69897
703.4096, 14.13898
703.8917, 12.11554
704.3738, 11.13660
704.8560, 12.16580
705.3381, 13.51737
705.8202, 12.66144
706.3023, 9.961945
706.7844, 7.843292
707.2665, 8.262634
707.7487, 10.33841
708.2308, 11.51575
708.7129, 11.63095
709.1950, 10.91577
709.6771, 8.229218
710.1592, 6.168793
710.6414, 7.235748
711.1235, 10.02637
711.6056, 11.47104
712.0877, 10.56805
712.5698, 9.579987
713.0519, 10.18799
713.5341, 10.87955
714.0162, 9.272980
714.4983, 6.084564
714.9804, 3.869934
715.4625, 4.123627
715.9446, 5.752014
716.4268, 6.245392
716.9089, 5.021057
717.3910, 5.534882
717.8731, 10.39154
718.3552, 13.49179
718.8373, 10.23828
719.3195, 4.296417
719.8016, 0.9685360
720.2837, 1.293488
720.7658, 2.453064
721.2479, 3.762299
721.7300, 4.730682
722.2122, 4.478546
722.6943, 3.381805
723.1764, 2.873932
723.6585, 3.586487
724.1406, 4.698792
724.6227, 4.920563
725.1049, 4.132233
725.5870, 3.679688
726.0691, 3.869568
726.5512, 3.916260
727.0333, 3.251801
727.5154, 2.510284
727.9976, 2.482666
728.4797, 3.201233
728.9618, 3.606232
729.4439, 3.136200
729.9260, 2.282684
730.4081, 1.225922
730.8903, 0.1760860
731.3724, 0.5087280
731.8545, 0.7441100
732.3366, 0.2657780
732.8187, 1.501953
733.3008, 4.324585
733.7830, 5.025604
734.2651, 2.314972
734.7472, 0.3569640
735.2293, 0.2808230
735.7114, 0.9477840
736.1935, 2.114288
736.6757, 3.561829
737.1578, 4.426453
737.6399, 4.031616
738.1220, 3.418793
738.6041, 3.501434
739.0862, 3.747253
739.5684, 3.055878
740.0505, 1.440277
740.5326, 0.1510010
741.0147, 5.7280999E-02
741.4968, 0.6873780
741.9789, 0.7860110
742.4611, 0.1824340
742.9432, 0.3063660
743.4253, 1.112274
743.9074, 1.150360
744.3895, 1.255249
744.8716, 4.563080
745.3538, 5.688019
745.8359, 3.510559
746.3180, 1.252899
746.8001, 0.3636470
747.2822, 0.1177370
747.7643, 0.4947810
748.2465, 1.172058
748.7286, 0.5282290
749.2107, 2.078888
749.6928, 5.178833
750.1749, 6.606781
750.6570, 6.310822
751.1392, 5.329102
751.6213, 3.373657
752.1034, 1.358124
752.5855, 0.9852290
753.0676, 2.793396
753.5497, 2.522217
754.0319, 6.6223003E-02
754.5140, 1.264343
754.9961, 0.8490600
755.4782, 2.750000
