##NAMES=Pyrophanite
##RRUFFID=R070211
##IDEAL CHEMISTRY=Mn^2+^TiO_3_
##LOCALITY=Harstigen Mine, Pajsberg, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Red-brown platy crystals with deep red internal hints, associated with barite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070211
373.1664, 328.2615
373.6485, 293.4075
374.1306, 261.7598
374.6128, 233.7671
375.0949, 206.4517
375.5770, 178.3604
376.0591, 150.0649
376.5412, 120.3237
377.0233, 87.78027
377.5055, 62.90161
377.9876, 60.56104
378.4697, 83.91724
378.9518, 91.37793
379.4339, 71.78979
379.9160, 45.77881
380.3982, 21.35693
380.8803, 0.3913570
381.3624, 13.38477
381.8445, 17.38721
382.3266, 14.93018
382.8087, 16.16333
383.2909, 24.73462
383.7730, 32.42554
384.2551, 36.78857
384.7372, 41.66553
385.2193, 54.18896
385.7014, 73.11743
386.1836, 86.24390
386.6657, 77.74463
387.1478, 45.87183
387.6299, 26.67798
388.1120, 30.01489
388.5941, 35.29248
389.0763, 38.26245
389.5584, 38.12793
390.0405, 33.48608
390.5226, 22.88159
391.0047, 10.00366
391.4868, 0.7746580
391.9690, 4.388672
392.4511, 9.378662
392.9332, 12.79785
393.4153, 18.80786
393.8974, 33.48804
394.3795, 56.71533
394.8617, 75.61084
395.3438, 80.42188
395.8259, 78.07275
396.3080, 81.30078
396.7901, 91.60327
397.2722, 99.21143
397.7544, 94.29102
398.2365, 80.92163
398.7186, 80.10352
399.2007, 105.2886
399.6828, 127.6741
400.1649, 134.9248
400.6471, 132.3210
401.1292, 127.4932
401.6113, 122.8962
402.0934, 119.6848
402.5755, 119.4980
403.0576, 122.6936
403.5398, 128.2705
404.0219, 137.1584
404.5040, 147.2480
404.9861, 162.4346
405.4682, 178.0503
405.9503, 182.3601
406.4325, 166.3762
406.9146, 137.2476
407.3967, 120.7844
407.8788, 121.8967
408.3609, 126.0312
408.8430, 132.8252
409.3252, 139.6572
409.8073, 143.3682
410.2894, 143.8301
410.7715, 145.7664
411.2536, 155.8254
411.7357, 171.6582
412.2179, 180.8328
412.7000, 181.8308
413.1821, 177.8157
413.6642, 165.9419
414.1463, 150.8789
414.6284, 142.9324
415.1106, 148.7891
415.5927, 156.3381
416.0748, 154.6130
416.5569, 147.0801
417.0390, 145.2729
417.5211, 153.8633
418.0033, 166.8032
418.4854, 174.9915
418.9675, 176.3755
419.4496, 179.8140
419.9317, 188.1392
420.4138, 196.4822
420.8960, 201.5779
421.3781, 203.7312
421.8602, 204.9014
422.3423, 206.3640
422.8244, 207.8074
423.3065, 207.5964
423.7887, 201.7290
424.2708, 200.6958
424.7529, 208.0762
425.2350, 218.5479
425.7171, 228.2717
426.1992, 236.4875
426.6814, 244.0334
427.1635, 252.9670
427.6456, 262.8137
428.1277, 265.1870
428.6098, 252.4209
429.0919, 247.0801
429.5741, 269.8843
430.0562, 304.9092
430.5383, 327.6133
431.0204, 327.9946
431.5025, 324.1860
431.9846, 332.1548
432.4668, 348.5769
432.9489, 360.1313
433.4310, 361.7048
433.9131, 363.5198
434.3952, 379.3958
434.8773, 411.1416
435.3595, 437.1956
435.8416, 454.6875
436.3237, 467.6667
436.8058, 471.4575
437.2879, 472.7192
437.7701, 489.0405
438.2522, 530.0671
438.7343, 584.7532
439.2164, 625.6575
439.6985, 645.0312
440.1806, 665.7451
440.6628, 681.7188
441.1449, 703.7017
441.6270, 743.5820
442.1091, 797.7104
442.5912, 850.5771
443.0733, 889.8203
443.5555, 917.6853
444.0376, 943.1311
444.5197, 964.6301
445.0018, 994.6936
445.4839, 1038.920
445.9660, 1091.148
446.4482, 1148.417
446.9303, 1210.822
447.4124, 1274.430
447.8945, 1333.847
448.3766, 1394.024
448.8587, 1464.856
449.3409, 1548.100
449.8230, 1637.230
450.3051, 1730.375
450.7872, 1826.213
451.2693, 1912.537
451.7514, 1971.541
452.2336, 2042.670
452.7157, 2147.420
453.1978, 2268.507
453.6799, 2378.065
454.1620, 2469.247
454.6441, 2561.468
455.1263, 2682.943
455.6084, 2842.100
456.0905, 2982.194
456.5726, 3081.858
457.0547, 3181.781
457.5368, 3286.964
458.0190, 3402.569
458.5011, 3538.340
458.9832, 3701.330
459.4653, 3872.170
459.9474, 4027.807
460.4295, 4167.497
460.9117, 4289.154
461.3938, 4385.771
461.8759, 4472.746
462.3580, 4569.956
462.8401, 4673.105
463.3222, 4757.277
463.8044, 4817.791
464.2865, 4854.403
464.7686, 4864.047
465.2507, 4849.509
465.7328, 4822.935
466.2149, 4791.894
466.6971, 4743.188
467.1792, 4650.925
467.6613, 4493.344
468.1434, 4333.153
468.6255, 4175.002
469.1076, 4009.883
469.5898, 3834.920
470.0719, 3649.101
470.5540, 3451.875
471.0361, 3240.048
471.5182, 3021.120
472.0003, 2809.985
472.4825, 2604.722
472.9646, 2417.020
473.4467, 2250.366
473.9288, 2103.559
474.4109, 1983.798
474.8930, 1887.985
475.3752, 1792.601
475.8573, 1678.116
476.3394, 1557.248
476.8215, 1450.414
477.3036, 1358.691
477.7857, 1287.441
478.2679, 1248.384
478.7500, 1224.306
479.2321, 1168.778
479.7142, 1063.626
480.1963, 978.9558
480.6784, 943.4248
481.1606, 923.1182
481.6427, 887.5081
482.1248, 836.1487
482.6069, 784.8638
483.0890, 742.9038
483.5711, 709.1401
484.0533, 689.0820
484.5354, 702.6113
485.0175, 699.4021
485.4996, 657.4404
485.9817, 607.4729
486.4638, 573.9705
486.9460, 558.9946
487.4281, 549.7019
487.9102, 535.8381
488.3923, 520.5554
488.8744, 515.2327
489.3565, 523.1328
489.8387, 526.3257
490.3208, 511.0779
490.8029, 485.8965
491.2850, 471.5886
491.7671, 474.2263
492.2492, 470.8279
492.7314, 449.7244
493.2135, 420.8611
493.6956, 392.3105
494.1777, 367.5540
494.6598, 353.2600
495.1419, 353.7480
495.6241, 364.9146
496.1062, 370.2917
496.5883, 364.2637
497.0704, 360.2744
497.5525, 367.2515
498.0346, 372.5667
498.5168, 362.7937
498.9989, 338.0491
499.4810, 311.9255
499.9631, 297.2529
500.4452, 290.0684
500.9273, 272.5625
501.4095, 240.0090
501.8916, 218.6233
502.3737, 228.0378
502.8558, 250.5806
503.3379, 257.4951
503.8200, 244.8340
504.3022, 231.0671
504.7843, 224.9116
505.2664, 220.3694
505.7485, 208.1243
506.2306, 189.0415
506.7127, 173.2676
507.1949, 167.8420
507.6770, 170.6108
508.1591, 172.5217
508.6412, 180.2871
509.1233, 176.6372
509.6054, 144.9272
510.0876, 114.1326
510.5697, 110.7644
511.0518, 131.2622
511.5339, 149.0854
512.0161, 144.3916
512.4982, 123.8755
512.9803, 101.7014
513.4624, 75.35596
513.9445, 65.14526
514.4266, 91.43018
514.9088, 125.9341
515.3909, 130.2417
515.8730, 102.2195
516.3551, 74.07495
516.8372, 50.63306
517.3193, 34.87671
517.8015, 32.36108
518.2836, 40.67163
518.7657, 51.31860
519.2478, 60.38623
519.7299, 66.30151
520.2120, 64.07983
520.6942, 41.43042
521.1763, 34.56909
521.6584, 63.26196
522.1405, 87.41602
522.6226, 81.04932
523.1047, 52.23193
523.5869, 24.37231
524.0690, 8.791992
524.5511, 2.193115
525.0332, 0.3271480
525.5153, 3.177979
525.9974, 9.029541
526.4796, 19.94263
526.9617, 29.74902
527.4438, 30.99072
527.9259, 24.63330
528.4080, 17.04517
528.8901, 7.844971
529.3723, 1.132324
529.8544, 8.594727
530.3365, 15.11035
530.8186, 22.74536
531.3007, 32.08643
531.7828, 39.54077
532.2650, 40.23169
532.7471, 33.72754
533.2292, 22.87207
533.7113, 0.5285640
534.1934, 18.03979
534.6755, 27.57178
535.1577, 30.89160
535.6398, 32.16602
536.1219, 32.68750
536.6040, 30.39258
537.0861, 20.40039
537.5682, 5.938965
538.0504, 1.043945
538.5325, 1.867188
539.0146, 3.875244
539.4967, 5.190430
539.9788, 21.27173
540.4609, 24.20532
540.9431, 1.193359
541.4252, 17.47217
541.9073, 9.455566
542.3894, 6.095947
542.8715, 14.66724
543.3536, 14.12524
543.8358, 7.857910
544.3179, 2.908203
544.8000, 15.79028
545.2821, 19.84692
545.7642, 12.81396
546.2463, 3.028564
546.7285, 14.02686
547.2106, 28.01196
547.6927, 29.33325
548.1748, 18.63306
548.6569, 6.710205
549.1390, 2.493896
549.6211, 9.985596
550.1032, 20.20605
550.5853, 30.56714
551.0674, 26.97388
551.5496, 1.823975
552.0317, 29.50146
552.5138, 41.79932
552.9959, 28.93286
553.4780, 17.36768
553.9601, 4.566162
554.4423, 4.542480
554.9244, 5.402588
555.4065, 2.077637
555.8886, 0.1643070
556.3707, 1.676270
556.8528, 6.805176
557.3350, 17.92407
557.8171, 33.92847
558.2992, 45.51440
558.7813, 51.20117
559.2634, 54.51831
559.7455, 58.00903
560.2277, 60.73267
560.7098, 60.00293
561.1919, 54.08447
561.6740, 47.76147
562.1561, 35.99097
562.6382, 28.52466
563.1204, 39.71094
563.6025, 67.71509
564.0846, 96.40674
564.5667, 114.4709
565.0488, 123.8555
565.5309, 134.0356
566.0131, 148.6453
566.4952, 156.4915
566.9773, 139.8953
567.4594, 126.0740
567.9415, 139.3083
568.4236, 174.6775
568.9058, 201.8938
569.3879, 193.6780
569.8700, 183.3508
570.3521, 209.3718
570.8342, 261.4678
571.3163, 308.3062
571.7985, 340.9844
572.2806, 365.9219
572.7627, 390.2427
573.2448, 414.9868
573.7269, 431.1577
574.2090, 421.8831
574.6912, 423.0342
575.1733, 448.9514
575.6554, 486.6377
576.1375, 522.7417
576.6196, 554.3560
577.1017, 585.3477
577.5839, 620.6165
578.0660, 657.3518
578.5481, 686.1152
579.0302, 705.7397
579.5123, 730.6836
579.9944, 766.2334
580.4766, 809.8359
580.9587, 860.5991
581.4408, 922.0752
581.9229, 975.3027
582.4050, 1005.492
582.8871, 1037.508
583.3693, 1090.865
583.8514, 1158.757
584.3335, 1227.007
584.8156, 1288.644
585.2977, 1342.762
585.7798, 1386.653
586.2620, 1419.181
586.7441, 1452.624
587.2262, 1487.818
587.7083, 1523.908
588.1904, 1555.538
588.6725, 1589.170
589.1547, 1637.211
589.6368, 1705.925
590.1189, 1778.390
590.6010, 1860.898
591.0831, 1935.707
591.5652, 1971.121
592.0474, 1970.597
592.5295, 1973.138
593.0116, 2005.666
593.4937, 2056.225
593.9758, 2087.951
594.4579, 2092.805
594.9401, 2097.126
595.4222, 2098.521
595.9043, 2103.610
596.3864, 2120.769
596.8685, 2144.623
597.3506, 2162.684
597.8328, 2174.777
598.3149, 2170.729
598.7970, 2133.294
599.2791, 2073.500
599.7612, 2021.501
600.2433, 1982.519
600.7255, 1946.120
601.2076, 1902.688
601.6897, 1854.663
602.1718, 1819.584
602.6539, 1822.515
603.1360, 1802.809
603.6182, 1742.252
604.1003, 1667.916
604.5824, 1595.448
605.0645, 1527.545
605.5466, 1464.325
606.0287, 1407.853
606.5109, 1353.875
606.9930, 1293.656
607.4751, 1228.159
607.9572, 1167.897
608.4393, 1115.692
608.9214, 1066.675
609.4036, 1014.947
609.8857, 959.4717
610.3678, 909.1245
610.8499, 873.2988
611.3320, 833.8228
611.8141, 783.5117
612.2963, 729.2505
612.7784, 678.6455
613.2605, 631.7983
613.7426, 582.6162
614.2247, 522.5469
614.7068, 460.6270
615.1890, 422.3032
615.6711, 408.6724
616.1532, 393.2676
616.6353, 369.4185
617.1174, 339.3096
617.5995, 303.8145
618.0817, 262.7256
618.5638, 223.4814
619.0459, 187.3442
619.5280, 152.0244
620.0101, 113.6255
620.4922, 76.92480
620.9744, 46.99512
621.4565, 25.20117
621.9386, 12.95898
622.4207, -24.81095
622.9028, 26.71679
623.3849, 55.81629
623.8671, 63.69278
624.3492, -13.21941
624.8313, 19.35528
625.3134, 8.052611
625.7955, -5.049298
626.2776, 42.93519
626.7598, -21.64457
627.2419, 25.37115
627.7240, 27.83998
628.2061, 50.69683
628.6882, 29.40530
629.1703, 21.74983
629.6525, 58.25693
630.1346, 70.31078
630.6167, 43.93711
631.0988, 68.08995
631.5809, 1.967876
632.0630, 15.06330
632.5452, 62.33755
633.0273, 38.18362
633.5094, 63.14364
633.9915, 69.39835
634.4736, -9.354662
634.9557, 59.72929
635.4379, 64.87868
635.9200, 4.381052
636.4021, 68.39948
636.8842, 16.95206
637.3663, 6.718828
637.8484, 27.50204
638.3306, 15.95184
638.8127, 41.97314
639.2948, 52.83984
639.7769, 82.01318
640.2590, 138.7852
640.7411, 179.9956
641.2233, 178.8809
641.7054, 170.8647
642.1875, 197.8770
642.6696, 256.4556
643.1517, 302.5322
643.6339, 312.1445
644.1160, 322.9663
644.5981, 354.9604
645.0802, 401.8647
645.5623, 456.4771
646.0444, 515.5649
646.5266, 573.5410
647.0087, 624.7720
647.4908, 670.3618
647.9729, 713.1768
648.4550, 748.9048
648.9371, 799.2090
649.4193, 880.4209
649.9014, 966.2559
650.3835, 1025.406
650.8656, 1063.290
651.3477, 1121.584
651.8298, 1227.114
652.3120, 1332.203
652.7941, 1401.667
653.2762, 1464.178
653.7583, 1561.046
654.2404, 1695.991
654.7225, 1840.788
655.2047, 1972.379
655.6868, 2096.723
656.1689, 2233.578
656.6510, 2385.922
657.1331, 2530.234
657.6152, 2648.300
658.0974, 2774.963
658.5795, 2952.931
659.0616, 3169.424
659.5437, 3364.394
660.0258, 3492.862
660.5079, 3649.151
660.9901, 3880.179
661.4722, 4145.197
661.9543, 4410.545
662.4364, 4667.693
662.9185, 4915.116
663.4006, 5148.604
663.8828, 5381.250
664.3649, 5637.224
664.8470, 5916.154
665.3291, 6235.104
665.8112, 6609.133
666.2933, 6997.461
666.7755, 7366.200
667.2576, 7724.173
667.7397, 8112.701
668.2218, 8527.873
668.7039, 8976.846
669.1860, 9492.642
669.6682, 10015.82
670.1503, 10488.34
670.6324, 10931.49
671.1145, 11410.54
671.5966, 11961.38
672.0787, 12554.53
672.5609, 13160.95
673.0430, 13779.83
673.5251, 14392.19
674.0072, 14995.94
674.4893, 15610.12
674.9714, 16244.13
675.4536, 16899.06
675.9357, 17572.83
676.4178, 18294.94
676.8999, 18978.37
677.3820, 19599.08
677.8641, 20204.06
678.3463, 20822.08
678.8284, 21434.78
679.3105, 22010.26
679.7926, 22537.26
680.2747, 23026.29
680.7568, 23485.43
681.2390, 23908.96
681.7211, 24289.59
682.2032, 24623.92
682.6853, 24878.93
683.1674, 25037.80
683.6495, 25116.82
684.1317, 25146.09
684.6138, 25135.37
685.0959, 25023.05
685.5780, 24765.16
686.0601, 24456.15
686.5422, 24117.66
687.0244, 23738.79
687.5065, 23302.31
687.9886, 22806.88
688.4707, 22281.00
688.9528, 21730.09
689.4349, 21164.98
689.9171, 20603.49
690.3992, 20038.50
690.8813, 19437.45
691.3634, 18792.88
691.8455, 18153.80
692.3276, 17572.10
692.8098, 17043.07
693.2919, 16537.18
693.7740, 16061.61
694.2561, 15589.99
694.7382, 15119.37
695.2203, 14647.24
695.7025, 14154.26
696.1846, 13653.46
696.6667, 13198.61
697.1488, 12821.20
697.6309, 12465.04
698.1130, 12112.34
698.5952, 11759.28
699.0773, 11392.13
699.5594, 11017.25
700.0415, 10662.31
700.5236, 10342.15
701.0057, 10054.17
701.4879, 9802.515
701.9700, 9589.061
702.4521, 9361.176
702.9342, 9110.888
703.4163, 8853.858
703.8984, 8590.692
704.3806, 8330.911
704.8627, 8094.742
705.3448, 7887.254
705.8269, 7686.171
706.3090, 7500.008
706.7911, 7306.646
707.2733, 7082.979
707.7554, 6845.805
708.2375, 6626.143
708.7196, 6432.122
709.2017, 6248.316
709.6838, 6057.692
710.1660, 5866.406
710.6481, 5692.196
711.1302, 5534.307
711.6123, 5377.188
712.0944, 5214.757
712.5765, 5053.967
713.0587, 4903.958
713.5408, 4765.369
714.0229, 4622.081
714.5050, 4457.424
714.9871, 4312.848
715.4692, 4210.847
715.9514, 4117.874
716.4335, 4010.067
716.9156, 3887.758
717.3977, 3759.290
717.8798, 3618.557
718.3619, 3484.303
718.8441, 3371.607
719.3262, 3275.373
719.8083, 3190.371
720.2904, 3114.335
720.7725, 3040.070
721.2546, 2963.206
721.7368, 2885.251
722.2189, 2809.675
722.7010, 2737.317
723.1831, 2665.662
723.6652, 2592.966
724.1473, 2522.785
724.6295, 2460.361
725.1116, 2400.654
725.5937, 2333.553
726.0758, 2258.535
726.5579, 2179.706
727.0400, 2079.364
