##NAMES=Kuksite
##RRUFFID=R110039
##IDEAL CHEMISTRY=Pb_3_Zn_3_Te^6+^O_6_(PO_4_)_2_
##LOCALITY=Blue Bell claims, Baker, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Brent Thorne
##DESCRIPTION=Pale-green short-primatic hexagonal crystals, associated with colorless elongated tabular hemimorphite and yellow to brown-yellow andradite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110039
522.4688, 46.63953
522.9509, 48.58591
523.4330, 50.01978
523.9151, 51.16751
524.3972, 52.17035
524.8793, 53.01917
525.3615, 53.68802
525.8436, 54.07391
526.3257, 54.55759
526.8078, 56.00299
527.2899, 58.15732
527.7720, 59.80368
528.2542, 60.40863
528.7363, 60.27054
529.2184, 59.41708
529.7005, 58.02258
530.1826, 56.99045
530.6647, 57.53601
531.1469, 58.29251
531.6290, 57.92953
532.1111, 56.01538
532.5932, 54.25323
533.0753, 53.58636
533.5574, 53.29767
534.0396, 52.65622
534.5217, 50.90567
535.0038, 49.53946
535.4859, 49.03497
535.9680, 49.07816
536.4501, 48.63635
536.9323, 47.42267
537.4144, 46.21533
537.8965, 45.32010
538.3786, 44.74710
538.8607, 44.10767
539.3428, 43.41263
539.8250, 42.62039
540.3071, 41.61612
540.7892, 40.44598
541.2713, 39.45520
541.7534, 38.73148
542.2355, 38.11676
542.7177, 37.49802
543.1998, 36.80725
543.6819, 35.88516
544.1640, 34.20184
544.6461, 32.62622
545.1282, 32.24023
545.6104, 32.82492
546.0925, 33.05402
546.5746, 31.89230
547.0567, 30.39423
547.5388, 29.23480
548.0209, 28.56525
548.5031, 28.05508
548.9852, 27.65982
549.4673, 27.40747
549.9494, 27.33685
550.4315, 27.87170
550.9136, 27.88257
551.3958, 26.97113
551.8779, 25.50470
552.3600, 24.67313
552.8421, 24.66235
553.3242, 24.60953
553.8063, 24.17065
554.2885, 23.37579
554.7706, 22.43814
555.2527, 21.35413
555.7348, 20.18185
556.2169, 18.78607
556.6990, 17.35577
557.1812, 16.33704
557.6633, 15.81403
558.1454, 15.68860
558.6275, 16.31644
559.1096, 17.17917
559.5917, 17.37592
560.0739, 15.91855
560.5560, 14.32138
561.0381, 13.41061
561.5202, 13.06393
562.0023, 12.64301
562.4844, 11.77280
562.9666, 10.94803
563.4487, 10.43008
563.9308, 10.29871
564.4129, 10.17261
