##NAMES=Quenselite
##RRUFFID=R100036
##IDEAL CHEMISTRY=PbMn^3+^O_2_(OH)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Tabular to rectangular blocky, black with a hint of red highlights
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100036
330.5863, 27.00039
331.0684, 26.63515
331.5505, 24.92641
332.0327, 20.36388
332.5148, 16.21348
332.9969, 13.83406
333.4790, 14.01503
333.9611, 13.91536
334.4432, 13.40627
334.9254, 12.68675
335.4075, 12.16326
335.8896, 12.10252
336.3717, 11.67488
336.8538, 10.48254
337.3359, 8.396317
337.8180, 6.876038
338.3001, 6.128899
338.7823, 5.634377
339.2644, 4.755249
339.7465, 3.339188
340.2286, 2.181862
340.7107, 1.518028
341.1928, 1.280724
341.6750, 1.117638
342.1571, 1.049706
342.6392, 0.9577790
343.1213, 0.6165620
343.6034, 2.0416001E-02
344.0855, 0.1149830
344.5677, 0.5392000
345.0498, 1.506432
345.5319, 1.667114
346.0140, 1.013779
346.4961, 0.2168810
346.9782, 2.539925
347.4604, 5.531029
347.9425, 6.717789
348.4246, 5.515488
348.9067, 3.587502
349.3888, 3.567116
349.8709, 5.105713
350.3531, 6.271637
350.8352, 5.892586
351.3173, 4.526306
351.7994, 3.059135
352.2815, 1.491676
352.7636, 0.2273860
353.2458, 0.3088840
353.7279, 0.2519610
354.2100, 0.1198430
354.6921, 1.124458
355.1742, 2.103172
355.6563, 2.226013
356.1385, 1.563072
356.6206, 0.8675690
357.1027, 0.8814470
357.5848, 1.069572
358.0669, 0.7206340
358.5490, 0.8997040
359.0312, 2.281013
359.5133, 2.202637
359.9954, 1.051849
360.4775, 3.5789002E-02
360.9596, 0.7351000
361.4417, 0.8661880
361.9239, 0.1068040
362.4060, 2.721581
362.8881, 5.062080
363.3702, 6.173286
363.8523, 6.601608
364.3344, 7.199402
364.8166, 8.881897
