##NAMES=Normandite
##RRUFFID=R120066
##IDEAL CHEMISTRY=NaCa(Mn,Fe)(Ti,Nb,Zr)(Si_2_O_7_)OF
##LOCALITY=Partomchorr Mt., Khibiny Massif, Kola Peninsula, Murmanskaja Oblast', Northern Region, Russia
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Radiating aggregate of brown bladed crystals, twinned around (001)
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120066
393.4086, 110.3840
393.8907, 110.5120
394.3728, 110.5105
394.8549, 109.9564
395.3370, 109.0509
395.8192, 108.6548
396.3013, 109.8308
396.7834, 111.9410
397.2655, 112.7229
397.7476, 111.6747
398.2297, 110.5536
398.7119, 110.4735
399.1940, 110.8193
399.6761, 110.8398
400.1582, 110.3514
400.6403, 109.4766
401.1224, 108.3427
401.6046, 106.9321
402.0867, 105.1692
402.5688, 102.9216
403.0509, 100.4104
403.5330, 97.80873
404.0151, 95.10471
404.4973, 92.67990
404.9794, 91.13817
405.4615, 89.86183
405.9436, 87.68938
406.4257, 84.44139
406.9078, 80.81206
407.3900, 77.20793
407.8721, 73.69716
408.3542, 70.48767
408.8363, 67.99879
409.3184, 65.46805
409.8005, 62.36264
410.2827, 58.80617
410.7648, 55.24554
411.2469, 51.83282
411.7290, 48.61983
412.2111, 45.81575
412.6932, 43.63899
413.1754, 41.27066
413.6575, 38.28696
414.1396, 35.20079
414.6217, 32.51564
415.1038, 30.32721
415.5859, 28.47383
416.0681, 26.87125
416.5502, 25.57886
417.0323, 23.82698
417.5144, 21.22046
417.9965, 18.63794
418.4786, 16.38220
418.9608, 14.42615
419.4429, 12.60922
419.9250, 10.84386
420.4071, 9.228409
420.8892, 8.065048
421.3713, 7.938171
421.8535, 7.387947
422.3356, 6.125031
422.8177, 4.620003
423.2998, 3.149239
423.7819, 1.796021
424.2640, 0.6128230
424.7462, 0.3479310
425.2283, 1.091248
425.7104, 1.661545
426.1925, 1.865105
426.6746, 2.090073
427.1567, 2.522545
427.6389, 3.031044
428.1210, 3.427536
428.6031, 3.636879
429.0852, 3.645432
429.5673, 3.345253
430.0494, 2.605759
430.5316, 2.002045
431.0137, 1.779671
431.4958, 1.690063
431.9779, 1.681534
432.4600, 1.702629
432.9421, 1.506081
433.4243, 0.7266310
433.9064, 0.4726490
434.3885, 1.229652
434.8706, 1.229218
435.3527, 1.293022
435.8348, 2.254555
436.3170, 3.639221
436.7991, 4.617897
437.2812, 4.730156
437.7633, 4.731735
438.2454, 5.362335
438.7275, 6.546478
439.2097, 7.743645
439.6918, 8.723961
440.1739, 9.700272
440.6560, 11.06585
441.1381, 12.85962
441.6202, 14.50410
442.1024, 15.82600
442.5845, 16.92422
443.0666, 17.80353
443.5487, 18.49563
444.0308, 19.28478
444.5129, 20.41184
444.9951, 21.83405
445.4772, 23.15430
445.9593, 24.40018
446.4414, 25.52544
446.9235, 26.54539
447.4056, 27.42784
447.8878, 28.14271
448.3699, 28.67830
448.8520, 29.00007
449.3341, 29.02744
449.8162, 28.60627
450.2983, 28.32327
450.7805, 28.10345
451.2626, 28.06602
451.7447, 28.38987
452.2268, 28.95484
452.7089, 29.43919
453.1910, 29.60274
453.6732, 29.56899
454.1553, 29.88925
454.6374, 30.87440
455.1195, 31.68552
455.6016, 32.07324
456.0837, 32.32875
456.5659, 32.57195
457.0480, 32.87401
457.5301, 33.47787
458.0122, 34.77663
458.4943, 36.75688
458.9764, 38.51665
459.4586, 40.01157
459.9407, 41.29266
460.4228, 42.39449
460.9049, 43.33054
461.3870, 44.10458
461.8691, 44.67007
462.3513, 45.14891
462.8334, 45.77185
463.3155, 46.52113
463.7976, 46.96465
464.2797, 46.96593
464.7618, 46.59190
465.2440, 45.91976
465.7261, 44.95431
466.2082, 43.82928
466.6903, 42.49416
467.1724, 41.13601
467.6545, 40.01116
468.1367, 39.08890
468.6188, 37.90600
469.1009, 36.12281
469.5830, 33.84652
470.0651, 31.57592
470.5472, 29.06113
471.0294, 26.86085
471.5115, 25.33550
471.9936, 24.13556
472.4757, 22.83350
472.9578, 21.31268
473.4399, 19.62994
473.9221, 17.79019
474.4042, 15.66753
474.8863, 14.18325
475.3684, 13.89465
475.8505, 13.56101
476.3326, 12.65280
476.8148, 11.39383
477.2969, 10.18912
477.7790, 9.241119
478.2611, 8.477196
478.7432, 7.750237
479.2253, 7.009575
479.7075, 6.498215
480.1896, 6.449310
480.6717, 6.454681
481.1538, 6.244423
481.6359, 5.864105
482.1180, 5.588402
482.6002, 5.726448
483.0823, 6.038773
483.5644, 5.790047
484.0465, 4.872719
484.5286, 3.890381
485.0107, 2.989319
485.4929, 2.208511
485.9750, 1.654465
486.4571, 1.403687
486.9392, 1.136620
487.4213, 0.5770490
487.9034, 8.3457999E-02
488.3856, 0.4531710
488.8677, 0.4712140
489.3498, 0.4224320
489.8319, 0.5419010
490.3140, 0.8248750
490.7961, 1.073769
491.2783, 1.531128
491.7604, 1.605453
492.2425, 0.8235550
492.7246, 0.4068830
493.2067, 1.326149
493.6888, 1.677917
494.1710, 1.821579
494.6531, 2.287766
495.1352, 3.159531
495.6173, 4.075096
496.0994, 5.034019
496.5815, 6.044342
497.0637, 7.144943
497.5458, 8.287636
498.0279, 9.361305
498.5100, 10.29462
498.9921, 11.18950
499.4742, 12.35618
499.9564, 13.96033
500.4385, 15.40256
500.9206, 16.55280
501.4027, 17.55904
501.8848, 18.50110
502.3669, 19.37523
502.8491, 20.10803
503.3312, 20.58060
503.8133, 20.89204
504.2954, 21.32944
504.7775, 21.92780
505.2596, 22.49200
505.7418, 23.07215
506.2239, 23.47192
506.7060, 23.37572
507.1881, 22.65915
507.6702, 21.90612
508.1523, 21.36603
508.6345, 20.99229
509.1166, 20.80292
509.5987, 20.80013
510.0808, 20.62579
510.5629, 19.91174
511.0450, 18.72795
511.5272, 17.87839
512.0093, 17.76888
512.4914, 17.46001
512.9735, 16.59468
513.4556, 15.40969
513.9377, 14.13092
514.4199, 12.85545
514.9020, 11.68161
515.3841, 10.77387
515.8662, 10.18619
516.3483, 9.523529
516.8304, 8.891495
517.3126, 8.062325
517.7947, 6.792099
518.2768, 5.336220
518.7589, 4.029343
519.2410, 2.999535
519.7231, 2.223206
520.2053, 1.725845
520.6874, 1.530563
521.1695, 1.289841
521.6516, 0.8530810
522.1337, 0.5039440
522.6158, 0.6669460
523.0980, 1.083115
523.5801, 0.9763110
524.0622, 0.3073730
524.5443, 1.852722
525.0264, 2.718002
525.5085, 2.982613
525.9907, 3.058006
526.4728, 3.073219
526.9549, 2.991310
527.4370, 2.706383
527.9191, 2.160027
528.4012, 1.776924
528.8834, 1.745476
529.3655, 1.763535
529.8476, 1.664543
530.3297, 1.437386
530.8118, 1.072929
531.2939, 0.5538100
531.7761, 2.4490001E-02
532.2582, 0.3819660
532.7403, 0.1809160
533.2224, 0.4070430
533.7045, 1.190277
534.1866, 2.235947
534.6688, 3.591644
535.1509, 5.076096
535.6330, 6.242485
536.1151, 6.708366
536.5972, 6.780411
537.0793, 7.316017
537.5615, 8.417015
538.0436, 9.573578
538.5257, 10.94994
539.0078, 12.05542
539.4899, 12.30995
539.9720, 11.75107
540.4542, 11.26534
540.9363, 11.46291
541.4184, 11.89732
541.9005, 11.94003
542.3826, 11.57724
542.8647, 10.99693
543.3469, 10.17718
543.8290, 9.328636
544.3111, 9.079414
544.7932, 9.841606
545.2753, 10.14648
545.7574, 9.204338
546.2396, 8.118416
546.7217, 7.979149
547.2038, 8.694427
547.6859, 9.363121
548.1680, 9.312538
548.6501, 8.784363
549.1323, 8.889702
549.6144, 10.31573
550.0965, 11.26258
550.5786, 11.16617
551.0607, 10.84376
551.5428, 10.92433
552.0250, 11.41684
552.5071, 11.91888
552.9892, 12.10958
553.4713, 12.10524
553.9534, 12.25938
554.4355, 12.60305
554.9177, 12.95690
555.3998, 13.31433
555.8819, 13.59333
556.3640, 13.68941
556.8461, 13.58260
557.3282, 13.41436
557.8104, 13.20945
558.2925, 12.98943
558.7746, 12.80891
559.2567, 12.65444
559.7388, 12.40555
560.2209, 11.95988
560.7031, 11.41191
561.1852, 11.06311
561.6673, 11.17242
562.1494, 11.11378
562.6315, 10.81770
563.1136, 10.39966
563.5958, 9.877342
564.0779, 9.300461
564.5600, 8.805893
565.0421, 8.512451
565.5242, 8.330902
566.0063, 7.961456
566.4885, 7.363586
