##NAMES=Ktenasite
##RRUFFID=R090002
##IDEAL CHEMISTRY=(Cu,Zn)_5_(SO_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Radial aggregates of bluish green tabular crystals associated with serpierite, R060475
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090002
535.5194, 4.109802
536.0015, 4.402283
536.4836, 5.690247
536.9658, 5.812744
537.4479, 3.277649
537.9300, 1.674866
538.4121, 3.387024
538.8942, 1.294495
539.3763, 1.767212
539.8585, 3.761780
540.3406, 4.742249
540.8227, 4.833862
541.3048, 3.900269
541.7869, 2.661987
542.2690, 2.232361
542.7512, 2.214417
543.2333, 1.595764
543.7154, 1.109070
544.1975, 3.698242
544.6796, 4.111450
545.1617, 2.750366
545.6439, 1.351990
546.1260, 9.3627997E-02
546.6081, 0.4883420
547.0902, 0.1218260
547.5723, 2.309326
548.0544, 4.259827
548.5366, 6.114807
549.0187, 7.411133
549.5008, 7.719666
549.9829, 6.464722
550.4650, 5.264526
550.9471, 4.235107
551.4293, 3.351990
551.9114, 2.400085
552.3935, 1.226501
552.8756, 0.7642820
553.3577, 1.684387
553.8398, 3.604797
554.3220, 4.593384
554.8041, 4.620972
555.2862, 4.735168
555.7683, 6.192139
556.2504, 8.243713
556.7325, 9.371216
557.2147, 9.300598
557.6968, 8.704041
558.1789, 6.972290
558.6610, 5.361145
559.1431, 5.735657
559.6252, 11.84833
560.1074, 16.88751
560.5895, 17.40942
561.0716, 14.56500
561.5537, 12.22156
562.0358, 11.32977
562.5179, 10.85931
563.0001, 10.52747
563.4822, 10.35077
563.9643, 10.03894
564.4464, 9.223145
564.9285, 8.797852
565.4106, 9.689026
565.8928, 12.22168
566.3749, 13.85590
566.8570, 14.19385
567.3391, 14.07568
567.8212, 15.15588
568.3033, 17.17987
568.7855, 18.04639
569.2676, 16.13898
569.7497, 13.61877
570.2318, 14.01373
570.7139, 16.77588
571.1960, 19.55981
571.6782, 21.01434
572.1603, 21.87640
572.6424, 22.60474
573.1245, 23.23627
573.6066, 23.98199
574.0887, 25.16589
574.5709, 26.36395
575.0530, 27.26459
575.5351, 27.87360
576.0172, 28.09552
576.4993, 27.30347
576.9814, 26.42590
577.4636, 27.11609
577.9457, 30.13226
578.4278, 32.68036
578.9099, 33.91980
579.3920, 34.26025
579.8741, 34.93921
580.3563, 35.88239
580.8384, 37.53790
581.3205, 40.77002
581.8026, 44.96985
582.2847, 47.91553
582.7668, 49.47986
583.2490, 50.62048
583.7311, 51.78552
584.2131, 53.12689
584.6953, 55.04333
585.1774, 58.13940
585.6595, 60.82941
586.1416, 61.45593
586.6237, 61.35199
587.1058, 62.55414
587.5880, 66.79260
