##NAMES=Montroydite
##RRUFFID=R140877
##IDEAL CHEMISTRY=HgO
##LOCALITY=Terlingua, Texas, USA
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Red crystals with good cleavage, associated with yellow terlinguaite (R130878).
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140877
637.4678, 2.979797
637.9499, 3.605042
638.4320, 4.039185
638.9141, 4.207031
639.3962, 4.128357
639.8784, 3.615173
640.3605, 2.817810
640.8426, 2.425110
641.3247, 2.773193
641.8068, 3.327087
642.2889, 3.546509
642.7711, 3.534851
643.2532, 3.547302
643.7353, 3.820801
644.2174, 4.023865
644.6995, 3.930969
645.1816, 3.590637
645.6638, 3.369019
646.1459, 3.671509
646.6280, 3.729431
647.1101, 3.080872
647.5922, 1.633728
648.0743, 1.270691
648.5565, 2.369751
649.0386, 3.544128
649.5207, 3.521240
650.0028, 2.459045
650.4849, 1.820740
650.9670, 1.722717
651.4492, 1.827148
651.9313, 1.800598
652.4134, 1.709595
652.8955, 1.716492
653.3776, 2.030029
653.8597, 2.248169
654.3419, 2.047974
654.8240, 1.572754
655.3061, 1.034851
655.7882, 0.1682740
656.2703, 0.3840940
656.7524, 0.1873170
657.2346, 0.4690550
657.7167, 0.6248780
658.1988, 3.6926001E-02
658.6809, 0.4924930
659.1630, 0.2819820
659.6451, 0.4766850
660.1273, 0.8967900
660.6094, 0.9652100
