##NAMES=Aphthitalite
##RRUFFID=R050651
##IDEAL CHEMISTRY=K_3_Na(SO_4_)_2_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless hexagonal crystals displaying P-3m1 space group symmetry, associated with halite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050651
644.2164, 3.126465
644.6985, 1.041504
645.1807, 3.773438
645.6628, 2.066895
646.1449, 1.753906
646.6270, 4.845703
647.1091, 9.578125
647.5912, 11.37891
648.0734, 9.769775
648.5555, 6.523193
649.0376, 1.456543
649.5197, 4.661621
650.0018, 8.977783
650.4839, 11.58350
650.9661, 11.47144
651.4482, 6.967529
651.9303, 0.3449710
652.4124, 8.905518
652.8945, 18.54053
653.3766, 25.67285
653.8588, 26.93799
654.3409, 25.30176
654.8230, 23.03784
655.3051, 20.25342
655.7872, 17.69189
656.2693, 15.21948
656.7515, 13.19287
657.2336, 11.92505
657.7158, 11.47876
658.1979, 11.55908
658.6800, 12.14404
659.1621, 13.13184
659.6442, 14.54321
660.1263, 16.33765
660.6085, 17.66870
661.0906, 18.03589
661.5727, 18.00000
662.0548, 18.67773
662.5369, 19.88062
663.0190, 20.91919
663.5012, 22.11060
663.9833, 22.51782
664.4654, 20.92944
664.9475, 17.66699
665.4296, 14.95239
665.9117, 14.82837
666.3939, 14.44043
666.8760, 11.82715
667.3581, 6.327148
667.8402, 3.413086
668.3223, 3.628174
668.8044, 5.623535
669.2866, 8.946289
669.7687, 13.70068
670.2508, 17.20044
670.7329, 19.32715
671.2150, 19.90112
671.6971, 17.20312
672.1793, 12.77881
672.6614, 11.10742
673.1435, 14.19141
673.6256, 17.48535
674.1077, 16.79321
674.5898, 14.05786
675.0720, 12.31128
675.5541, 14.94409
676.0362, 15.95459
676.5183, 11.61133
677.0004, 4.537354
677.4825, 2.067627
677.9647, 6.791260
678.4468, 11.36450
678.9289, 14.16309
679.4110, 15.25171
679.8931, 14.36108
680.3752, 11.37012
680.8574, 8.827148
681.3395, 8.768799
681.8216, 10.01709
682.3037, 9.585205
682.7858, 7.621582
683.2679, 6.660889
683.7501, 10.11011
684.2322, 14.10034
684.7143, 14.96655
685.1964, 11.57544
685.6785, 9.171387
686.1606, 9.763428
686.6428, 11.35547
687.1249, 12.36426
687.6070, 11.57104
688.0891, 13.51538
688.5712, 19.90161
689.0533, 26.37256
689.5355, 27.03955
690.0176, 22.19043
690.4997, 17.55566
690.9818, 14.10352
691.4639, 11.55029
691.9460, 10.06299
692.4282, 9.253662
692.9103, 8.201660
693.3924, 6.126465
693.8745, 4.043945
694.3566, 1.235107
694.8387, 1.054688
695.3209, 0.1105960
695.8030, 9.652588
696.2851, 17.84937
696.7672, 22.46631
697.2493, 23.94824
697.7314, 24.34448
698.2136, 23.49316
698.6957, 21.98926
699.1778, 19.36621
699.6599, 16.32227
700.1420, 17.01660
700.6241, 21.19971
701.1063, 24.24976
701.5884, 22.02466
702.0705, 17.90332
702.5526, 15.84595
703.0347, 15.95630
703.5168, 16.14404
703.9990, 15.63623
704.4811, 14.80957
704.9632, 13.97241
705.4453, 13.52148
705.9274, 11.61255
706.4095, 6.669434
706.8917, 1.940674
707.3738, 0.3952640
707.8560, 2.591309
708.3381, 3.671387
708.8202, 3.188477
709.3023, 2.912109
709.7844, 5.504639
710.2665, 9.698730
710.7487, 13.40649
711.2308, 15.62158
711.7129, 15.75024
712.1950, 12.72168
712.6771, 8.626953
713.1592, 6.573975
713.6414, 9.174316
714.1235, 11.98486
714.6056, 13.88647
715.0877, 15.34595
715.5698, 17.63916
716.0519, 22.14575
716.5341, 23.55908
717.0162, 19.65796
717.4983, 12.44458
717.9804, 7.107910
718.4625, 3.624268
718.9446, 2.339844
719.4268, 4.660889
719.9089, 8.406982
720.3910, 10.92139
720.8731, 12.37939
721.3552, 13.65479
721.8373, 15.66919
722.3195, 17.19922
