##NAMES=Petersenite-(Ce)
##RRUFFID=R120035
##IDEAL CHEMISTRY=Na_4_Ce_2_(CO_3_)_5_
##LOCALITY=Mont Saint-Hilaire, Rouville RCM, Montérégie, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Pale yellow or pink (depending on light source) hexagonal prismatic crystals, associated with albite and aegirine.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120035
402.9038, 8.547127
403.3859, 8.225540
403.8680, 7.904022
404.3501, 7.782669
404.8322, 7.920021
405.3144, 8.253578
405.7965, 8.853012
406.2786, 9.449951
406.7607, 9.640991
407.2428, 9.390526
407.7249, 9.150497
408.2071, 9.096481
408.6892, 9.194336
409.1713, 9.168472
409.6534, 8.958458
410.1355, 8.675369
410.6176, 8.445793
411.0998, 8.275078
411.5819, 8.151619
412.0640, 8.134125
412.5461, 8.089081
413.0282, 7.675301
413.5103, 6.958214
413.9925, 6.366180
414.4746, 6.268929
414.9567, 6.417015
415.4388, 6.388565
415.9209, 6.135933
416.4030, 5.938538
416.8852, 6.114777
417.3673, 6.458199
417.8494, 6.666344
418.3315, 6.573288
418.8136, 6.401779
419.2957, 6.264778
419.7779, 6.148148
420.2600, 6.019325
420.7421, 5.832153
421.2242, 5.660759
421.7063, 5.562691
422.1884, 5.586174
422.6706, 5.576851
423.1527, 5.438438
423.6348, 5.271271
424.1169, 5.229355
424.5990, 5.369904
425.0811, 5.583862
425.5633, 5.929581
426.0454, 6.474945
426.5275, 6.642433
427.0096, 6.113609
427.4917, 5.480797
427.9738, 5.240669
428.4560, 5.660301
428.9381, 5.903984
429.4202, 5.857750
429.9023, 5.567513
430.3844, 5.128723
430.8665, 4.421547
431.3487, 3.942078
431.8308, 4.073997
432.3129, 4.862030
432.7950, 5.259789
433.2771, 5.177223
433.7592, 4.910210
434.2414, 4.849693
434.7235, 4.974266
435.2056, 5.025764
435.6877, 4.864456
436.1698, 4.624954
436.6519, 4.631981
437.1341, 4.872581
437.6162, 5.113647
438.0983, 5.235573
438.5804, 5.241508
439.0625, 5.097694
439.5446, 4.756958
440.0268, 4.415581
440.5089, 4.224770
440.9910, 4.154175
441.4731, 4.150917
441.9552, 4.248619
442.4373, 4.372887
442.9195, 4.471695
443.4016, 4.537941
443.8837, 4.595436
444.3658, 4.651314
444.8479, 4.710571
445.3300, 4.771873
445.8122, 4.765121
446.2943, 4.839249
446.7764, 5.161598
447.2585, 5.590530
447.7406, 5.760468
448.2227, 5.346649
448.7049, 4.965973
449.1870, 4.814491
449.6691, 4.950516
450.1512, 5.025192
450.6333, 5.026703
451.1154, 4.977081
451.5976, 4.898888
452.0797, 4.799828
452.5618, 4.654984
453.0439, 4.457809
453.5260, 4.221626
454.0081, 3.928108
454.4903, 3.550079
454.9724, 3.291489
455.4545, 3.376488
455.9366, 3.729240
456.4187, 3.736801
456.9008, 3.316727
457.3830, 2.917892
457.8651, 3.207657
458.3472, 3.974754
458.8293, 4.519958
459.3114, 4.549271
459.7935, 4.324638
460.2757, 4.102478
460.7578, 3.892105
461.2399, 3.741600
461.7220, 3.736282
462.2041, 3.798767
462.6862, 3.799622
463.1684, 3.654190
463.6505, 3.750214
464.1326, 4.830833
464.6147, 6.110588
465.0968, 6.591354
465.5789, 5.157227
466.0611, 3.685738
466.5432, 2.646194
467.0253, 2.057198
467.5074, 1.780396
467.9895, 2.034096
468.4716, 2.411911
468.9538, 2.749451
469.4359, 3.145157
469.9180, 3.266479
470.4001, 2.985382
470.8822, 2.513596
471.3643, 2.144775
471.8465, 1.853455
472.3286, 1.754745
472.8107, 1.946899
473.2928, 2.355354
473.7749, 2.622147
474.2570, 2.728912
474.7392, 2.819229
475.2213, 2.993546
475.7034, 3.244759
476.1855, 3.502304
476.6676, 3.740662
477.1497, 4.047661
477.6319, 4.855751
478.1140, 5.897102
478.5961, 6.272354
479.0782, 4.930412
479.5603, 3.125519
480.0424, 2.411934
480.5246, 2.670776
481.0067, 2.946129
481.4888, 2.509102
481.9709, 1.886932
482.4530, 1.583740
482.9352, 1.841965
483.4173, 2.064720
483.8994, 1.864189
484.3815, 1.511742
484.8636, 1.426346
485.3457, 2.067184
485.8279, 2.608047
486.3100, 2.791115
486.7921, 2.607437
487.2742, 2.472672
487.7563, 2.475403
488.2384, 2.444267
488.7206, 2.260323
489.2027, 1.769989
489.6848, 1.512123
490.1669, 1.565826
490.6490, 1.795731
491.1311, 2.071953
491.6133, 2.438057
