##NAMES=Corundum
##RRUFFID=X080005
##IDEAL CHEMISTRY=Al_2_O_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted pink sapphire gemstone, 2.51 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080005
387.3924, 0.2540630
387.8745, 0.1116870
388.3567, 0.3954430
388.8388, 0.6299440
389.3209, 0.5588460
389.8030, 0.1786800
390.2851, 0.8036540
390.7672, 0.9341660
391.2494, 0.7204320
391.7315, 0.5149270
392.2136, 0.5481950
392.6957, 0.7538990
393.1778, 0.8193510
393.6599, 0.5426290
394.1421, 0.3749540
394.6242, 0.4201350
395.1063, 0.5464210
395.5884, 0.6091610
396.0706, 0.5836330
396.5527, 0.5898670
397.0348, 0.8018990
397.5169, 1.272003
397.9990, 1.737755
398.4811, 2.136120
398.9633, 2.584450
399.4454, 3.188938
399.9275, 3.888401
400.4096, 4.546013
400.8917, 5.084919
401.3738, 5.497314
401.8560, 5.709568
402.3381, 5.573788
402.8202, 5.519783
403.3023, 5.683880
403.7844, 5.981144
404.2665, 6.363739
404.7487, 6.826962
405.2308, 7.262020
405.7129, 7.483402
406.1950, 7.474552
406.6771, 7.580746
407.1592, 7.820477
407.6414, 8.252655
408.1235, 8.959846
408.6056, 9.902622
409.0877, 10.87505
409.5698, 11.63407
410.0519, 12.35246
410.5341, 13.37659
411.0162, 14.64920
411.4983, 16.45534
411.9804, 18.78677
412.4625, 21.84567
412.9446, 26.00804
413.4268, 31.31876
413.9089, 37.76717
414.3910, 45.06033
414.8731, 53.36839
415.3552, 63.69155
415.8373, 76.73321
416.3195, 91.29516
416.8016, 107.4814
417.2837, 126.1312
417.7658, 138.1246
418.2479, 141.4479
418.7300, 136.6311
419.2122, 121.3699
419.6943, 96.04819
420.1764, 69.95752
420.6585, 49.75408
421.1406, 35.45964
421.6227, 24.87766
422.1049, 19.20366
422.5870, 15.33674
423.0691, 12.68080
423.5512, 10.91035
424.0333, 9.482998
424.5154, 8.173203
424.9976, 7.081509
425.4797, 6.450455
425.9618, 6.488705
426.4439, 6.629414
426.9260, 6.813263
427.4081, 7.140125
427.8903, 7.792850
428.3724, 8.698177
428.8545, 9.557697
429.3366, 10.12295
429.8187, 10.37620
430.3008, 10.54223
430.7830, 10.85975
431.2651, 10.82400
431.7472, 10.15551
432.2293, 9.163517
432.7114, 8.208416
433.1935, 7.426189
433.6757, 6.717743
434.1578, 5.915806
434.6399, 4.975319
435.1220, 4.107403
435.6041, 3.236916
436.0862, 2.529854
436.5684, 2.139812
437.0505, 2.004345
437.5326, 1.913174
438.0147, 1.687523
438.4968, 1.382172
438.9789, 1.335209
439.4611, 1.650066
439.9432, 2.005413
440.4253, 2.376259
440.9074, 2.671589
441.3895, 2.743824
441.8716, 2.528698
442.3538, 2.289631
442.8359, 2.248638
443.3180, 2.374557
443.8001, 2.585373
444.2822, 2.857445
444.7643, 3.189106
445.2465, 3.525467
445.7286, 3.887440
446.2107, 4.445538
446.6928, 5.253426
447.1749, 6.300407
447.6570, 7.800083
448.1392, 9.632080
448.6213, 11.12845
449.1034, 12.00448
449.5855, 12.23398
450.0677, 11.66845
450.5498, 10.05158
451.0319, 8.364105
451.5140, 6.708179
451.9961, 5.181793
452.4782, 3.878502
452.9604, 2.821407
453.4425, 2.085087
453.9246, 1.804459
454.4067, 2.049183
454.8888, 2.008343
455.3709, 1.442017
455.8531, 0.9047430
456.3352, 0.5513610
456.8173, 0.3855360
457.2994, 0.4009400
457.7815, 0.5769690
458.2636, 0.8238300
458.7458, 0.9155770
459.2279, 0.7603650
459.7100, 0.6384850
460.1921, 0.5169790
460.6742, 0.4599150
461.1563, 0.5373610
461.6385, 0.7231100
462.1206, 0.9222260
462.6027, 1.073559
463.0848, 1.175285
463.5669, 1.199924
464.0490, 1.071457
464.5312, 1.022255
465.0133, 1.319756
465.4954, 1.634483
465.9775, 1.549419
466.4596, 0.9392320
466.9417, 0.3284030
467.4239, 0.2803540
467.9060, 0.7058110
468.3881, 0.9689560
468.8702, 0.8790660
469.3523, 0.8102800
469.8344, 1.311413
470.3166, 2.127796
470.7987, 2.456432
471.2808, 1.628086
471.7629, 0.5965770
472.2450, 0.2500150
472.7271, 0.4791220
473.2093, 0.7395100
473.6914, 0.8300550
474.1735, 0.7883030
474.6556, 0.6576040
475.1377, 0.3992960
475.6198, 0.1974680
476.1020, 6.1877999E-02
476.5841, 3.5929999E-03
477.0662, 0.1095960
477.5483, 0.3370900
478.0304, 0.4479290
478.5125, 0.2314640
478.9947, 0.2559360
479.4768, 0.5065350
479.9589, 0.2659260
480.4410, 9.9808000E-02
480.9231, 0.2246480
481.4052, 0.3834650
481.8874, 0.2459980
482.3695, 0.2370340
482.8516, 0.7660900
483.3337, 0.9581030
483.8158, 0.7655140
484.2979, 0.6456950
484.7801, 0.7519150
485.2622, 0.7530560
485.7443, 0.3708500
486.2264, 0.1496620
486.7085, 0.3933560
487.1906, 0.1514850
487.6728, 0.3019180
488.1549, 0.6076130
488.6370, 0.7630040
489.1191, 0.7815510
489.6012, 0.5340840
490.0833, 0.3006550
490.5655, 0.3952900
491.0476, 0.7619020
491.5297, 1.002907
492.0118, 0.8151250
492.4939, 0.4989660
492.9760, 0.5223430
493.4582, 0.8682790
493.9403, 1.013618
494.4224, 0.6040500
494.9045, 9.7321004E-02
495.3866, 0.3976820
495.8687, 0.1755070
496.3509, 4.9908001E-02
496.8330, 0.1546440
497.3151, 0.2063900
497.7972, 0.2796670
498.2793, 0.3804280
498.7614, 0.4658660
499.2436, 0.4991040
499.7257, 0.4852410
500.2078, 0.4519160
500.6899, 0.3953440
501.1720, 0.3264080
501.6541, 0.1763920
502.1363, 4.9477000E-02
502.6184, 0.1024590
503.1005, 0.3560680
503.5826, 0.6266140
504.0647, 0.6587870
504.5468, 0.4189530
505.0290, 0.2857210
505.5111, 0.3521120
505.9932, 0.4123080
506.4753, 0.3785130
506.9575, 0.2883030
507.4396, 0.1987380
507.9217, 0.1263310
508.4038, 7.5741000E-02
508.8859, 3.8345002E-02
509.3680, 1.7460000E-02
509.8502, 9.3318999E-02
510.3323, 0.3527150
510.8144, 0.6023480
511.2965, 0.6129300
511.7786, 0.4287990
512.2607, 0.2816700
512.7429, 0.2905920
513.2250, 0.3102840
513.7071, 0.1420710
514.1892, 0.1473960
514.6713, 0.2433050
515.1534, 2.9205000E-02
515.6356, 0.4651150
516.1177, 0.6528020
516.5998, 0.4453010
517.0819, 0.3142620
517.5640, 0.3034250
518.0461, 0.3469310
518.5283, 0.4399570
519.0104, 0.5512470
519.4925, 0.6057210
519.9746, 0.5490990
520.4567, 0.4124870
520.9388, 0.3045160
521.4210, 0.1935730
521.9031, 0.1761470
522.3852, 0.3077160
522.8673, 0.4893990
523.3494, 0.6930850
523.8315, 0.8912200
524.3137, 1.006847
524.7958, 0.9358940
525.2779, 0.7404210
525.7600, 0.6599690
526.2421, 0.7381400
526.7242, 0.7640910
527.2064, 0.5571980
527.6885, 0.2960820
528.1706, 0.2135700
528.6527, 0.3492810
529.1348, 0.5341990
529.6169, 0.7231290
530.0991, 0.8920780
530.5812, 1.019306
531.0633, 1.100952
531.5454, 1.069157
532.0275, 0.8234370
532.5096, 0.4207080
532.9918, 0.2664950
533.4739, 0.6119080
533.9560, 0.8423040
534.4381, 0.6914410
534.9202, 0.4403310
535.4023, 0.4336400
535.8845, 0.7136380
536.3666, 1.046326
536.8487, 1.150761
537.3308, 1.018303
537.8129, 0.9558070
538.2950, 0.9545860
538.7772, 1.010002
539.2593, 1.206665
539.7414, 1.429131
540.2235, 1.542770
540.7056, 1.494026
541.1877, 1.356533
541.6699, 1.171970
542.1520, 0.9519810
542.6341, 0.7766460
543.1162, 0.6569520
543.5983, 0.5691680
544.0804, 0.4741360
544.5626, 0.3898160
545.0447, 0.3996430
545.5268, 0.5532990
546.0089, 0.7167170
546.4910, 0.8374370
546.9731, 0.8864210
547.4553, 0.7285730
547.9374, 0.3293990
548.4195, 0.1018750
548.9016, 0.5428310
549.3837, 1.680302
549.8658, 2.151691
550.3480, 1.430481
550.8301, 0.7985150
551.3122, 0.6841010
551.7943, 0.8197480
552.2764, 0.8502240
552.7585, 0.6794620
553.2407, 0.4774820
553.7228, 0.5084610
554.2049, 0.7873340
554.6870, 1.011951
555.1691, 1.282772
555.6512, 1.340515
556.1334, 0.8919030
556.6155, 0.2835200
557.0976, 4.8866000E-02
557.5797, 1.6182000E-02
558.0618, 0.3142280
558.5439, 0.8580550
559.0261, 1.532303
559.5082, 1.853474
559.9903, 1.683655
560.4724, 1.486687
560.9545, 1.660240
561.4366, 2.113464
561.9188, 2.363464
562.4009, 2.331413
562.8830, 2.188370
563.3651, 1.823669
563.8472, 1.457153
564.3293, 1.441303
564.8115, 1.828098
565.2936, 2.347042
565.7757, 2.750160
566.2578, 3.039005
