##NAMES=Graphite
##RRUFFID=R090047
##IDEAL CHEMISTRY=C
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Silver gray platelets associated with diopside, R090046
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090047
531.4006, 9.6378997E-02
531.8827, 0.2905810
532.3648, 0.4739930
532.8469, 0.5293040
533.3290, 0.5554190
533.8112, 0.6133790
534.2933, 0.7694220
534.7754, 0.8564620
535.2575, 0.7784860
535.7396, 0.6051210
536.2217, 0.5806040
536.7039, 0.8906180
537.1860, 1.203110
537.6681, 1.300534
538.1502, 1.221597
538.6323, 1.134915
539.1144, 1.025129
539.5966, 0.9949720
540.0787, 1.235511
540.5608, 1.696723
541.0429, 1.980710
541.5250, 2.031300
542.0071, 1.916518
542.4893, 1.699477
542.9714, 1.381330
543.4535, 0.8923640
543.9356, 1.6236000E-02
544.4177, 0.7116580
544.8998, 0.3763050
545.3820, 0.6341140
545.8641, 1.484030
546.3462, 1.781274
546.8283, 1.885901
547.3104, 1.804131
547.7925, 1.499146
548.2747, 1.195411
548.7568, 1.064570
549.2389, 0.9886640
549.7210, 0.9044180
550.2031, 0.7927170
550.6852, 0.7505090
551.1674, 0.6991560
551.6495, 0.6509850
552.1316, 0.7025640
552.6137, 1.005304
553.0958, 1.349615
553.5779, 1.585673
554.0601, 1.673496
554.5422, 1.734750
555.0243, 1.841756
555.5064, 1.862899
555.9885, 1.511485
556.4706, 0.9630990
556.9528, 0.6734610
557.4349, 0.7104610
557.9170, 0.9017160
558.3991, 1.176684
558.8812, 1.395988
559.3633, 1.411745
559.8455, 1.112844
560.3276, 0.9448240
560.8097, 1.191143
561.2918, 0.7898167
561.7739, 1.442288
562.2560, 0.3495870
562.7382, 0.3733320
563.2203, 0.2340090
563.7024, 0.6202630
564.1845, 0.5715544
564.6666, 1.022535
565.1487, 0.7869760
565.6309, 0.6694030
566.1130, 0.7791400
566.5951, 0.8825650
567.0772, 0.9260800
567.5593, 0.9202650
568.0414, 0.9358200
568.5236, 1.002713
569.0057, 1.083029
569.4878, 1.186715
569.9699, 1.260723
570.4520, 1.155094
570.9341, 0.9133240
571.4163, 0.6744010
571.8984, 0.6553430
572.3805, 0.7741420
572.8626, 0.9620290
573.3447, 1.112836
573.8268, 1.137723
574.3090, 0.9722630
574.7911, 0.8108180
575.2732, 0.7398750
575.7553, 0.8769950
576.2374, 1.000017
576.7195, 1.030475
577.2017, 0.9882440
577.6838, 0.9379930
578.1659, 1.011151
578.6480, 1.037326
579.1301, 0.9490050
579.6122, 0.7681880
580.0944, 0.7502460
580.5765, 0.9164450
581.0586, 1.002336
581.5407, 0.8415360
582.0228, 0.5490070
582.5049, 0.4102800
582.9871, 0.4269610
583.4692, 0.4485280
583.9513, 0.2611460
584.4334, 2.8355001E-02
584.9155, 5.5764999E-02
585.3976, 9.4307996E-02
585.8798, 0.2857600
586.3619, 0.3192060
586.8440, 0.3621820
587.3261, 0.6339180
587.8082, 1.453760
588.2903, 1.937428
588.7725, 1.770149
589.2546, 1.317815
589.7367, 0.9766110
590.2188, 0.7192080
590.7009, 0.6514170
591.1830, 0.8911610
591.6652, 1.395904
592.1473, 1.590725
592.6294, 1.402926
593.1115, 1.025297
593.5936, 0.7290900
594.0757, 0.5790880
594.5579, 0.3926230
595.0400, 8.9672998E-02
595.5222, 0.1720870
596.0043, 7.1773998E-02
596.4864, 0.2661400
596.9685, 0.6216920
597.4506, 0.9180120
597.9327, 1.085782
598.4149, 0.9785740
598.8970, 0.7655250
599.3791, 0.6813980
599.8612, 0.8368960
600.3433, 0.9723300
600.8254, 1.018712
601.3076, 1.075348
601.7897, 1.064197
602.2718, 0.8894540
602.7539, 0.7392780
603.2360, 0.7288190
603.7181, 0.7877120
604.2003, 0.7102100
604.6824, 0.4686900
605.1645, 0.3042150
605.6466, 0.4200270
606.1287, 0.7251390
606.6108, 0.8158400
607.0930, 0.6025640
607.5751, 0.4370920
608.0572, 0.9136630
608.5393, 1.616355
609.0214, 1.864679
609.5035, 1.031875
609.9857, 0.1897310
610.4678, 5.5960000E-02
610.9499, 0.1518530
611.4320, 0.4592350
611.9141, 0.9200240
612.3962, 1.264400
612.8784, 1.456232
613.3605, 1.512694
613.8426, 1.390196
614.3247, 0.9706560
614.8068, 0.5836060
615.2889, 0.4299460
615.7711, 0.5254200
616.2532, 0.5157370
616.7353, 0.3805810
617.2174, 0.2343450
617.6995, 0.1946030
618.1816, 0.2204920
618.6638, 0.2678150
619.1459, 0.3397840
619.6280, 0.4163840
620.1101, 0.4738880
620.5922, 0.4852740
621.0743, 0.4986160
621.5565, 0.5554710
622.0386, 0.5893170
622.5207, 0.5221650
623.0028, 0.3917750
623.4849, 0.3715230
623.9670, 0.6254530
624.4492, 0.8790730
624.9313, 1.013817
625.4134, 1.025670
625.8955, 1.005433
626.3776, 0.9472360
626.8597, 0.8553200
627.3419, 0.7728820
627.8240, 0.7031240
628.3061, 0.5410960
628.7882, 0.2539360
629.2703, 2.3407999E-02
629.7524, 6.2011000E-02
630.2346, 0.2770460
630.7167, 0.4910850
631.1988, 0.6891750
631.6809, 0.8297240
632.1630, 0.9026630
632.6451, 0.8784920
633.1273, 0.7637310
633.6094, 0.4426510
634.0915, 0.1999690
634.5736, 6.0911000E-02
635.0557, 4.4923000E-02
635.5378, 5.1608000E-02
636.0200, 2.4073999E-02
636.5021, 0.2709830
636.9842, 0.7591350
637.4663, 1.433867
637.9484, 1.642334
638.4305, 1.359501
638.9127, 0.9937000
639.3948, 0.6598410
639.8769, 0.3593810
640.3590, 0.2713060
640.8411, 0.5357360
641.3232, 0.8855710
641.8054, 0.9601180
642.2875, 0.8000670
642.7696, 0.7127570
643.2517, 0.9282320
643.7338, 1.113865
644.2159, 0.9224640
644.6981, 0.5151200
645.1802, 0.2665420
645.6623, 0.3812780
646.1444, 0.5738470
646.6265, 0.7891560
647.1086, 0.9014390
647.5908, 0.7631020
648.0729, 0.2881520
648.5550, 2.6247000E-02
649.0371, 0.1137860
649.5192, 0.4439210
650.0013, 0.5695620
650.4835, 0.5036150
650.9656, 0.4299430
651.4477, 0.5320140
651.9298, 0.7228200
652.4119, 0.7741360
652.8940, 0.6471900
653.3762, 0.5216850
653.8583, 0.5379070
654.3404, 0.6860980
654.8225, 0.9003920
655.3046, 1.229031
655.7867, 1.268099
656.2689, 0.8050140
656.7510, 0.3364380
657.2331, 0.2155710
657.7152, 0.6571010
658.1973, 0.7855520
658.6794, 0.4672170
659.1616, 2.1499999E-04
659.6437, 4.9272999E-02
660.1258, 0.3272980
660.6079, 0.6370760
661.0900, 0.7033150
661.5721, 0.7098730
662.0543, 0.9145820
662.5364, 1.145460
663.0185, 1.196381
663.5006, 1.064604
663.9827, 0.8320910
664.4648, 0.4115730
664.9470, 9.4113998E-02
665.4291, 0.2829930
665.9112, 6.2182002E-02
666.3933, 0.4761330
666.8754, 0.7564710
667.3575, 0.9110280
667.8397, 0.7213420
668.3218, 0.2343330
668.8039, 0.1145370
669.2860, 9.4145000E-02
669.7681, 0.2124060
670.2502, 0.4539540
670.7324, 0.6984560
671.2145, 0.9222320
671.6966, 1.002091
672.1787, 0.9715780
672.6608, 0.9842240
673.1429, 1.095220
673.6251, 1.053128
674.1072, 0.6317950
674.5893, 0.1268260
675.0714, 9.2477001E-02
675.5535, 0.3716930
676.0356, 0.8946300
676.5178, 1.156280
676.9999, 1.104645
677.4820, 0.7814260
677.9641, 0.4002860
678.4462, 0.2500480
678.9283, 0.2733370
679.4105, 0.3122640
679.8926, 0.3712500
680.3747, 0.3413512
680.8568, 0.5935820
681.3389, 0.2597160
681.8210, 0.1237800
682.3032, 1.0115000E-02
682.7853, 0.5110630
683.2674, 1.018420
683.7495, 0.9857490
684.2316, 0.6868100
684.7137, 0.4449840
685.1959, 0.4425710
685.6780, 0.5462020
686.1601, 0.6720360
686.6422, 0.7549610
687.1243, 0.7555980
687.6064, 0.8020820
688.0886, 0.8682910
688.5707, 0.8123240
689.0528, 0.5950440
689.5349, 0.3373620
690.0170, 0.2476110
690.4991, 0.2432580
690.9813, 0.2824750
691.4634, 0.3480410
691.9455, 0.3616950
692.4276, 0.2857610
692.9097, 0.1298740
693.3918, 8.9087002E-02
693.8740, 0.1232760
