##NAMES=Mimetite
##RRUFFID=R130731
##IDEAL CHEMISTRY=Pb^2+^_5_(As^5+^O_4_)_3_Cl
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Bob Downs
##DESCRIPTION=Pale yellow transparent hexagonal prisms, monoclinic polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130731
504.3233, 130.1509
504.8054, 130.0648
505.2875, 130.1331
505.7697, 130.4188
506.2518, 130.7529
506.7339, 130.8796
507.2160, 130.9927
507.6981, 130.2353
508.1802, 127.1558
508.6624, 121.9055
509.1445, 119.7945
509.6266, 121.5618
510.1087, 124.0745
510.5908, 123.7990
511.0729, 121.1769
511.5551, 117.3243
512.0372, 109.7438
512.5193, 103.9572
513.0014, 110.4701
513.4835, 125.9460
513.9656, 138.2415
514.4478, 137.2185
514.9299, 132.2072
515.4120, 131.0543
515.8941, 136.1785
516.3762, 138.9091
516.8583, 131.5905
517.3405, 118.7972
517.8226, 109.2974
518.3047, 108.1838
518.7868, 109.0967
519.2689, 112.4622
519.7510, 116.8473
520.2332, 115.7079
520.7153, 103.8549
521.1974, 94.43933
521.6795, 94.29285
522.1616, 106.0828
522.6437, 109.2853
523.1259, 101.5589
523.6080, 90.24988
524.0901, 83.40601
524.5722, 81.16357
525.0543, 82.12964
525.5364, 87.82697
526.0186, 93.31812
526.5007, 85.25732
526.9828, 65.74640
527.4649, 50.15936
527.9470, 53.54034
528.4291, 64.25079
528.9113, 64.91998
529.3934, 54.20972
529.8755, 45.47919
530.3576, 49.68964
530.8397, 59.08606
531.3218, 65.85925
531.8040, 69.01166
532.2861, 68.09650
532.7682, 59.83911
533.2503, 47.28845
533.7324, 38.47217
534.2145, 34.90613
534.6967, 34.93469
535.1788, 39.15143
535.6609, 48.26721
536.1430, 53.04474
536.6251, 50.90283
537.1072, 48.19708
537.5894, 51.39569
538.0715, 62.30237
538.5536, 65.89038
539.0357, 58.76324
539.5178, 47.02600
539.9999, 40.42078
540.4821, 38.95880
540.9642, 41.85254
541.4463, 53.72955
541.9284, 68.08459
542.4105, 70.52942
542.8926, 61.39417
543.3748, 50.66888
543.8569, 44.80792
544.3390, 42.58301
544.8211, 42.52002
545.3032, 44.91565
545.7853, 47.32031
546.2675, 49.12573
546.7495, 49.95123
547.2316, 49.33051
547.7137, 45.37921
548.1959, 41.89233
548.6780, 38.74829
549.1601, 36.53070
549.6422, 39.16156
550.1243, 50.67883
550.6064, 61.59308
551.0886, 67.72876
551.5707, 68.75659
552.0528, 66.15082
