##NAMES=Fluorellestadite
##RRUFFID=R130124
##IDEAL CHEMISTRY=Ca_5_(SiO_4_)_1.5_(SO_4_)_1.5_F
##LOCALITY=Kopeisk, South Urals, Russia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Green to blue acicular or hexagonal prismatic crystals, associated with opaque nenadkevichite.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130124
540.6229, 19.43558
541.1050, 18.48462
541.5871, 17.70419
542.0692, 16.92862
542.5513, 16.06042
543.0334, 15.12724
543.5156, 14.11227
543.9977, 13.00580
544.4798, 12.06113
544.9619, 11.55280
545.4440, 11.27324
545.9261, 11.00919
546.4083, 10.84210
546.8904, 10.47894
547.3725, 9.453400
547.8546, 8.184769
548.3367, 7.546814
548.8188, 8.529907
549.3010, 9.235382
549.7831, 9.059921
550.2652, 8.019409
550.7473, 7.387833
551.2294, 7.363876
551.7115, 7.412674
552.1937, 7.083817
552.6758, 6.279510
553.1579, 6.146942
553.6400, 6.887054
554.1221, 7.871887
554.6042, 8.296814
555.0864, 8.260468
555.5685, 8.090424
556.0506, 7.787430
556.5327, 7.451202
557.0148, 7.128448
557.4969, 6.913284
557.9791, 7.080353
558.4612, 8.361374
558.9433, 9.674454
559.4254, 9.949875
559.9075, 9.091965
560.3896, 8.367706
560.8718, 8.449585
561.3539, 8.794998
561.8360, 8.996735
562.3181, 8.796783
562.8002, 8.772049
563.2823, 9.153152
563.7645, 9.651993
564.2466, 9.790482
564.7287, 9.390823
565.2108, 9.000549
565.6929, 8.743271
566.1750, 8.608215
566.6572, 8.528259
567.1393, 8.519302
567.6214, 8.447037
568.1035, 8.124420
568.5856, 7.658920
569.0677, 7.487213
569.5499, 7.637970
570.0320, 7.858978
570.5141, 8.056976
570.9962, 8.131241
571.4783, 7.859558
571.9604, 6.967239
572.4426, 6.175278
572.9247, 6.190247
573.4068, 6.588394
573.8889, 6.610565
574.3710, 5.466812
574.8531, 4.455566
575.3353, 4.078979
575.8174, 4.308517
576.2995, 4.507858
576.7816, 4.901855
577.2637, 4.978577
577.7458, 4.373215
578.2280, 2.846985
578.7101, 2.002838
579.1922, 2.047943
579.6743, 2.318634
580.1564, 1.993607
580.6385, 1.124908
581.1207, 0.7353210
581.6028, 1.161362
582.0849, 1.783279
582.5670, 1.536819
583.0491, 0.6724700
583.5313, 1.1810000E-02
584.0134, 7.9650003E-03
584.4955, 0.2578430
584.9776, 0.5707860
585.4597, 0.8677370
585.9418, 0.8162230
586.4240, 0.2077180
586.9061, 1.266403
587.3882, 1.819382
587.8703, 1.716675
588.3524, 1.446487
588.8345, 0.8429110
589.3167, 0.2398380
589.7988, 0.1091460
590.2809, 0.1714020
590.7630, 1.6220000E-02
591.2451, 0.4809570
591.7272, 1.062256
592.2094, 1.129395
592.6915, 0.6350100
593.1736, 0.4030610
593.6557, 0.9545140
594.1378, 1.787369
594.6199, 1.489532
595.1021, 0.1991120
595.5842, 0.9724120
596.0663, 1.099762
596.5484, 0.8172610
597.0305, 0.8190160
597.5126, 1.163086
597.9948, 1.722763
598.4769, 2.516739
598.9590, 3.438263
599.4411, 4.424576
599.9232, 5.678192
600.4053, 6.651825
600.8875, 6.911011
601.3696, 6.963028
601.8517, 7.524445
602.3338, 8.802094
602.8159, 10.19824
603.2980, 11.69560
603.7802, 13.21022
604.2623, 14.33902
604.7444, 14.98132
605.2265, 15.98546
605.7086, 18.02327
606.1907, 20.77379
606.6729, 23.09102
607.1550, 24.97684
607.6371, 26.94704
608.1192, 29.31236
608.6013, 31.97731
609.0834, 34.93173
609.5656, 38.31174
610.0477, 41.55116
610.5298, 43.84904
611.0119, 46.04811
611.4940, 49.12126
611.9761, 53.89964
612.4583, 58.73865
612.9404, 63.44333
613.4225, 68.07257
613.9046, 72.92247
614.3867, 78.06917
614.8688, 83.08592
615.3510, 87.83432
615.8331, 92.36807
616.3152, 97.23488
616.7973, 102.4616
617.2794, 107.4950
617.7615, 111.7792
618.2437, 115.5277
618.7258, 119.5064
619.2079, 123.7928
619.6900, 127.9487
620.1721, 131.5526
620.6542, 134.8380
621.1364, 138.1558
621.6185, 141.9014
622.1006, 145.0608
622.5827, 147.0014
623.0648, 148.1903
623.5469, 149.2769
624.0291, 150.5409
624.5112, 151.5102
624.9933, 152.0774
625.4754, 152.3222
625.9575, 152.4762
626.4396, 152.5303
626.9218, 152.5520
627.4039, 152.6357
627.8860, 152.7213
628.3681, 152.4649
628.8502, 151.8670
629.3323, 150.8995
629.8145, 149.3252
630.2966, 147.4203
630.7787, 145.8224
631.2608, 144.6397
631.7429, 143.0777
632.2250, 140.2821
632.7072, 136.9146
633.1893, 133.6611
633.6714, 130.9666
634.1535, 127.9850
634.6356, 124.0643
635.1177, 119.8558
635.5999, 116.3364
636.0820, 113.8517
636.5641, 111.5044
637.0462, 109.0681
637.5283, 106.6995
638.0104, 104.9671
638.4926, 103.9424
638.9747, 102.9949
639.4568, 101.8587
639.9389, 100.5842
640.4210, 99.36868
640.9031, 98.18948
641.3853, 96.97147
641.8674, 96.02463
642.3495, 94.89815
642.8316, 92.98302
643.3137, 90.14633
643.7958, 87.01433
644.2780, 83.76340
644.7601, 80.30566
645.2422, 76.64034
645.7243, 72.84418
646.2064, 68.80092
646.6885, 64.38989
647.1707, 59.83510
647.6528, 55.52151
648.1349, 51.49586
648.6170, 47.29445
649.0991, 42.57687
649.5812, 37.78734
650.0634, 34.04967
650.5455, 31.30130
651.0276, 28.53992
651.5097, 25.00500
651.9918, 21.23329
652.4739, 18.00531
652.9561, 15.42212
653.4382, 13.43759
653.9203, 12.54941
654.4024, 11.83211
654.8845, 10.57712
655.3666, 8.669907
655.8488, 6.960831
656.3309, 5.603424
656.8130, 4.535263
657.2951, 3.733536
657.7772, 3.291794
658.2593, 2.871674
658.7415, 2.515182
659.2236, 2.113342
659.7057, 1.438049
660.1878, 0.5026550
660.6699, 0.1251370
661.1520, 0.3042760
661.6342, 0.2136230
662.1163, 1.1734000E-02
662.5984, 0.3114780
663.0805, 0.5287020
663.5626, 0.6475680
664.0447, 0.6113430
664.5269, 0.1899410
665.0090, 0.4391630
665.4911, 0.7658230
665.9732, 0.3143460
666.4553, 0.1538090
666.9374, 0.3865510
667.4196, 0.3942110
667.9017, 0.2375790
668.3838, 0.3038940
668.8659, 0.5874630
669.3480, 0.1236720
669.8301, 1.071915
670.3123, 1.626968
670.7944, 1.466278
671.2765, 1.253845
671.7586, 1.742798
672.2407, 2.599182
672.7228, 2.948212
673.2050, 2.575150
673.6871, 2.329941
674.1692, 3.209045
674.6513, 4.421280
675.1334, 5.015396
675.6155, 4.274841
676.0977, 3.627823
676.5798, 3.474030
677.0619, 3.576111
677.5440, 3.573364
678.0261, 3.341003
678.5082, 3.265030
678.9904, 3.412781
679.4725, 3.760284
679.9546, 4.342545
680.4367, 5.153534
680.9188, 5.850525
681.4009, 6.333405
681.8831, 6.577255
682.3652, 6.269485
682.8473, 5.567444
683.3294, 5.257446
683.8115, 6.268509
684.2936, 7.479691
684.7758, 7.940857
685.2579, 7.601059
685.7400, 7.662460
686.2221, 9.155228
686.7042, 10.51923
687.1863, 10.83868
687.6685, 9.732376
688.1506, 9.221771
688.6327, 9.455765
689.1148, 10.01862
689.5969, 10.72963
690.0790, 11.54945
690.5612, 11.67792
691.0433, 10.89543
691.5254, 10.13155
692.0075, 10.52786
692.4896, 11.70169
692.9717, 13.01842
693.4539, 14.54344
693.9360, 15.70879
694.4181, 16.00069
694.9002, 15.71559
695.3823, 15.33374
695.8644, 14.42564
696.3466, 14.24394
696.8287, 15.55057
697.3108, 17.55164
697.7929, 17.98399
698.2750, 16.42165
698.7571, 15.00607
699.2393, 14.46304
699.7214, 14.61053
700.2035, 14.82077
700.6856, 15.05624
701.1677, 15.34772
701.6498, 15.97903
702.1320, 16.61746
702.6141, 16.83687
703.0962, 16.62477
703.5783, 16.30972
704.0604, 15.88669
704.5425, 15.55139
705.0247, 15.45200
705.5068, 15.65410
705.9889, 15.77551
706.4710, 15.80078
706.9531, 15.75464
707.4352, 15.62350
707.9174, 15.39053
708.3995, 15.26952
708.8816, 15.28886
709.3637, 15.32338
709.8458, 15.19243
710.3279, 14.97716
710.8101, 14.92813
711.2922, 15.15065
711.7743, 15.27994
712.2564, 14.96832
712.7385, 14.43831
713.2206, 13.95355
713.7028, 13.61343
714.1849, 13.28894
714.6670, 12.99034
715.1491, 12.68237
715.6312, 12.30641
716.1133, 11.82259
716.5955, 11.36452
717.0776, 10.89693
717.5597, 10.53458
718.0418, 10.69666
718.5239, 11.30617
719.0060, 11.61165
719.4882, 11.21071
719.9703, 10.49266
720.4524, 9.776169
720.9345, 9.117874
721.4166, 8.675186
721.8987, 8.672211
722.3809, 8.757172
722.8630, 8.760269
723.3451, 8.683517
723.8272, 8.670929
724.3093, 8.792343
724.7914, 8.843475
725.2736, 8.773361
725.7557, 8.577377
726.2378, 8.113586
726.7199, 7.339020
727.2020, 6.665054
727.6841, 6.522995
728.1663, 6.598480
728.6484, 6.092743
729.1305, 5.006561
729.6126, 4.025253
730.0947, 3.545135
730.5768, 3.405884
731.0590, 3.596039
731.5411, 4.238358
732.0232, 4.535370
732.5053, 4.149612
732.9874, 3.520691
733.4695, 2.857727
733.9517, 2.079636
734.4338, 1.569260
734.9159, 1.373047
735.3980, 1.303726
735.8801, 1.147171
736.3622, 0.9425660
736.8444, 0.8707580
737.3265, 0.9801030
737.8086, 1.134460
738.2907, 1.267502
738.7728, 1.342682
739.2549, 1.299789
739.7371, 1.036835
740.2192, 0.8098750
740.7013, 0.7080230
741.1834, 0.6771550
741.6655, 0.6626590
742.1476, 0.7542110
742.6298, 0.6023710
743.1119, 3.8787998E-02
743.5940, 0.6246490
744.0761, 0.7855380
744.5582, 0.4868470
745.0403, 0.1070860
745.5225, 0.3405910
