##NAMES=Lanarkite
##RRUFFID=R080116
##IDEAL CHEMISTRY=Pb_2_O(SO_4_)
##LOCALITY=Leadhills, Lanarkshire,  Scotland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Cream colored, elongated prismatic crystals
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080116
434.1743, 2394.124
434.6564, 2516.576
435.1385, 2682.067
435.6206, 2881.796
436.1027, 3112.916
436.5848, 3372.204
437.0670, 3651.677
437.5491, 3951.395
438.0312, 4270.149
438.5133, 4627.555
438.9954, 5008.639
439.4775, 5371.958
439.9597, 5814.187
440.4418, 6155.095
440.9239, 6246.051
441.4060, 6078.695
441.8881, 5678.472
442.3702, 4888.736
442.8524, 3956.480
443.3345, 3110.531
443.8166, 2381.788
444.2987, 1783.581
444.7808, 1347.892
445.2629, 1049.413
445.7451, 812.1719
446.2272, 653.2828
446.7093, 530.8877
447.1914, 433.3118
447.6735, 364.0927
448.1556, 306.2780
448.6378, 263.4683
449.1199, 230.1547
449.6020, 201.4604
450.0841, 180.0376
450.5662, 158.8407
451.0483, 135.8358
451.5305, 112.2498
452.0126, 94.53619
452.4947, 83.61041
452.9768, 75.19061
453.4589, 66.97632
453.9410, 58.86902
454.4232, 51.78162
454.9053, 45.58777
455.3874, 40.38647
455.8695, 36.63062
456.3516, 34.11066
456.8337, 31.38263
457.3159, 27.70673
457.7980, 23.61676
458.2801, 19.68494
458.7622, 16.06543
459.2443, 13.62048
459.7264, 13.76361
460.2086, 15.24048
460.6907, 16.33801
461.1728, 16.65948
461.6549, 17.07623
462.1370, 18.05585
462.6191, 19.70087
463.1013, 22.15839
463.5834, 25.82788
464.0655, 29.88483
464.5476, 33.67670
465.0297, 37.37207
465.5118, 42.31781
465.9940, 50.43304
466.4761, 58.49603
466.9582, 64.45905
467.4403, 65.20184
467.9224, 69.49481
468.4045, 79.83997
468.8867, 92.77338
469.3688, 103.3948
469.8509, 109.8547
470.3330, 117.1158
470.8151, 126.5342
471.2972, 137.8188
471.7794, 148.3483
472.2615, 158.1484
472.7436, 167.5743
473.2257, 176.5421
