##NAMES=Uramarsite
##RRUFFID=R061122
##IDEAL CHEMISTRY=N^3-^H_4_(U^6+^O_2_)As^5+^O_4_&#183;3H_2_O
##LOCALITY=Bota-Burum Uranium deposit, Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brownish green cleavage fragment, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061122
400.7101, 27.85364
401.1923, 24.92883
401.6744, 21.48572
402.1565, 36.46423
402.6386, 17.43591
403.1207, 20.73206
403.6028, 21.22620
404.0850, 24.70142
404.5671, 27.15039
405.0492, 27.81543
405.5313, 29.60852
406.0134, 35.25012
406.4955, 45.18567
406.9777, 52.21753
407.4598, 56.12170
407.9419, 56.64355
408.4240, 50.33557
408.9061, 37.49561
409.3882, 30.71838
409.8704, 42.31360
410.3525, 64.42603
410.8346, 66.47827
411.3167, 47.47888
411.7988, 24.90845
412.2809, 16.90173
412.7631, 18.02112
413.2452, 19.10632
413.7273, 14.49377
414.2094, 8.799316
414.6915, 8.492432
415.1736, 13.62207
415.6558, 16.84412
416.1379, 9.270142
416.6200, 8.6914003E-02
417.1021, 0.7562260
417.5842, 13.24475
418.0663, 25.51855
418.5485, 24.54810
419.0306, 15.32300
419.5127, 7.060303
419.9948, 1.152344
420.4769, 1.385376
420.9590, 2.062256
421.4412, 12.82117
421.9233, 18.28967
422.4054, 8.818115
422.8875, 3.939453
423.3696, 9.544800
423.8517, 0.7060550
424.3339, 9.788940
424.8160, 15.98804
425.2981, 19.38721
425.7802, 20.63696
426.2623, 16.82471
426.7444, 14.18091
427.2266, 16.99927
427.7087, 31.47717
428.1908, 35.40625
428.6729, 24.10962
429.1550, 6.241333
429.6371, 2.645630
430.1193, 1.347168
430.6014, 5.096924
431.0835, 18.54431
431.5656, 37.58118
432.0477, 41.70105
432.5298, 28.25061
433.0119, 12.05542
433.4940, 7.559570
433.9762, 13.82324
434.4583, 25.90405
434.9404, 47.91040
435.4225, 68.63086
435.9046, 63.31323
436.3867, 35.27563
436.8689, 7.695679
437.3510, 5.705444
437.8331, 8.736572
438.3152, 4.907349
438.7973, 7.177490
439.2794, 17.80127
439.7616, 15.23157
440.2437, 6.128296
440.7258, 2.162598
441.2079, 17.35999
441.6900, 31.70984
442.1721, 29.47925
442.6543, 10.98596
443.1364, 0.6885990
443.6185, 11.40186
444.1006, 29.15869
444.5827, 38.62085
445.0648, 30.99060
445.5470, 22.70276
446.0291, 14.15320
446.5112, 6.353149
446.9933, 2.591553
447.4754, 4.315674
447.9576, 8.655396
448.4397, 16.23865
448.9218, 29.74377
449.4039, 34.83728
449.8860, 27.93933
450.3681, 16.34558
450.8503, 7.911499
451.3324, 2.476929
451.8145, 1.061523
452.2966, 5.304688
452.7787, 13.50696
453.2608, 16.91064
453.7430, 14.73633
454.2251, 12.80139
454.7072, 16.40759
455.1893, 24.48792
455.6714, 29.99622
456.1535, 32.06702
456.6357, 31.73059
457.1178, 29.34546
457.5999, 25.50049
458.0820, 22.26721
458.5641, 20.07898
459.0462, 19.35889
459.5284, 22.05322
460.0105, 28.07800
460.4926, 33.09717
460.9747, 33.92139
461.4568, 32.29175
461.9389, 30.01160
462.4211, 26.91687
462.9032, 23.61426
463.3853, 19.05481
463.8674, 14.44495
464.3495, 13.03052
464.8316, 21.17358
465.3138, 28.06531
465.7959, 27.87524
466.2780, 16.75220
466.7601, 10.34277
467.2422, 12.43604
467.7243, 18.20703
468.2065, 22.95117
468.6886, 25.06921
469.1707, 29.13794
469.6528, 37.36731
470.1349, 48.38733
470.6170, 55.05310
471.0992, 57.67468
471.5813, 55.24780
472.0634, 43.99487
472.5455, 23.20984
473.0276, 15.87573
473.5097, 25.62341
473.9918, 41.15942
474.4739, 44.98999
474.9561, 38.58179
475.4382, 35.37671
475.9203, 41.64270
476.4024, 51.90234
476.8845, 57.34351
477.3666, 58.67896
477.8488, 59.80786
478.3309, 66.33984
478.8130, 73.66113
479.2951, 73.85583
479.7772, 62.11609
480.2593, 51.78186
480.7415, 55.02478
481.2236, 65.00586
481.7057, 70.51111
482.1878, 60.49109
482.6699, 49.75610
483.1520, 45.27881
483.6342, 47.64160
484.1163, 51.13647
484.5984, 59.99915
485.0805, 66.44092
485.5626, 64.35168
486.0447, 40.51440
486.5269, 27.46606
487.0090, 31.92285
487.4911, 46.53955
487.9732, 53.40308
488.4553, 49.95972
488.9374, 44.31409
489.4196, 37.92188
489.9017, 30.63245
490.3838, 30.90405
490.8659, 41.01868
491.3480, 51.33228
491.8301, 50.47876
492.3123, 39.54126
492.7944, 30.42273
493.2765, 25.96436
493.7586, 23.74084
494.2407, 17.19116
494.7228, 8.022461
495.2050, 4.870239
495.6871, 21.64429
496.1692, 43.71582
496.6513, 51.00732
497.1334, 41.41980
497.6155, 28.18445
498.0977, 14.40906
498.5798, 3.936401
499.0619, 1.039307
499.5440, 16.71143
500.0261, 29.96240
500.5082, 30.96851
500.9904, 23.31409
501.4725, 20.12000
501.9546, 26.63928
502.4367, 35.42737
502.9188, 45.12048
503.4009, 58.39038
503.8831, 61.78442
504.3652, 49.59351
504.8473, 32.63489
505.3294, 22.02856
505.8115, 19.65674
506.2936, 18.23193
506.7758, 16.79114
507.2579, 15.45422
507.7400, 14.01526
508.2221, 12.29150
508.7042, 12.66846
509.1863, 19.67737
509.6685, 30.56750
510.1506, 31.85962
510.6327, 21.98279
511.1148, 10.90088
511.5969, 10.35693
512.0790, 16.19092
512.5612, 19.22205
513.0433, 13.86414
513.5254, 7.612061
514.0075, 8.364014
514.4896, 13.96045
514.9717, 16.99609
515.4539, 8.451660
515.9360, 0.4898680
516.4181, 2.635620
516.9002, 19.37378
517.3823, 29.63684
517.8644, 23.54297
518.3466, 11.49597
518.8287, 3.754883
519.3108, 0.4807130
519.7929, 1.787720
520.2750, 15.59729
520.7571, 36.21277
521.2393, 44.52026
521.7214, 36.07336
522.2035, 25.70837
522.6856, 19.42456
523.1677, 17.24988
523.6498, 17.93994
524.1320, 21.86121
524.6141, 26.88232
525.0962, 31.84949
525.5783, 36.23181
526.0604, 36.65466
526.5425, 30.42786
527.0247, 22.99500
527.5068, 24.89465
527.9889, 32.85522
528.4710, 34.83667
528.9531, 17.11682
529.4352, 4.630981
529.9174, 16.71692
530.3995, 17.79529
530.8816, 15.96375
531.3637, 12.24243
531.8458, 8.744263
532.3279, 7.262207
532.8101, 14.70251
533.2922, 16.36511
533.7743, 4.360107
534.2564, 14.69727
534.7385, 24.12036
535.2206, 18.53455
535.7027, 11.15112
536.1848, 5.129028
536.6669, 0.3854980
537.1490, 2.437378
537.6312, 3.723633
538.1133, 2.205444
538.5954, 4.458618
539.0775, 16.08081
539.5596, 26.57410
540.0417, 35.77576
540.5239, 42.14087
541.0060, 40.70789
541.4881, 33.47363
541.9702, 28.54346
542.4523, 34.19128
542.9344, 41.41162
543.4166, 37.31885
543.8987, 23.50024
544.3808, 12.57715
544.8629, 11.95117
545.3450, 17.39771
545.8271, 26.27075
546.3093, 40.05835
546.7914, 52.12305
547.2735, 63.88794
547.7556, 72.07520
548.2377, 72.12769
548.7198, 53.15234
549.2020, 39.09253
549.6841, 34.77588
550.1662, 38.71045
550.6483, 42.02393
551.1304, 45.33350
551.6125, 46.83008
552.0947, 42.80127
552.5768, 32.65552
553.0589, 37.48901
553.5410, 61.58350
554.0231, 84.81641
554.5052, 78.01978
554.9874, 48.86646
555.4695, 28.77563
555.9516, 28.17041
556.4337, 36.37915
556.9158, 43.48608
557.3979, 49.17261
557.8801, 51.83154
558.3622, 48.20459
558.8443, 43.04614
559.3264, 39.96729
559.8085, 39.30493
560.2906, 37.51831
560.7728, 30.23169
561.2549, 23.27124
561.7370, 20.97681
562.2191, 27.95288
562.7012, 33.96069
563.1833, 39.36499
563.6655, 43.53613
564.1476, 45.25024
564.6297, 43.63794
565.1118, 41.58862
565.5939, 39.15747
566.0760, 36.86084
566.5582, 39.23853
567.0403, 47.02197
567.5224, 52.49756
568.0045, 46.83960
568.4866, 34.54565
568.9688, 31.16382
569.4509, 39.39746
569.9330, 47.61182
570.4151, 40.09717
570.8972, 26.06812
571.3793, 21.05054
571.8615, 40.38843
572.3436, 58.33398
572.8257, 56.09399
573.3078, 40.46631
573.7899, 30.77637
574.2720, 39.41382
574.7542, 49.60571
575.2363, 54.84009
575.7184, 54.30298
576.2005, 52.74707
576.6826, 48.68579
577.1647, 45.00342
577.6469, 44.56274
578.1290, 48.53223
578.6111, 50.19727
579.0932, 48.28101
579.5753, 45.38037
580.0574, 46.65869
580.5396, 51.82397
581.0217, 56.55029
581.5038, 59.69702
