##NAMES=Eglestonite
##RRUFFID=R060612
##IDEAL CHEMISTRY=Hg^1+^_6_OCl_3_(OH)
##LOCALITY=Cahill mine, Poverty Peak District, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown fragments
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060612
##MEASURED CHEMISTRY=Hg^1+^_6.00_OCl_3.00_(OH) ; O,H not measured but estimated by difference and stoichiometry
803.235, 19.519
803.717, 14.640
804.199, 7.896
804.682, 5.337
805.164, 11.080
805.646, 14.768
806.128, 14.962
806.610, 14.802
807.092, 17.703
807.574, 23.656
808.056, 29.732
808.539, 36.287
809.021, 39.774
809.503, 32.602
809.985, 20.991
810.467, 15.601
810.949, 20.864
811.431, 26.689
811.913, 28.286
812.395, 27.791
812.878, 28.153
813.360, 27.852
813.842, 33.378
814.324, 48.622
814.806, 63.158
815.288, 62.496
815.770, 48.807
816.252, 33.981
816.734, 18.822
817.217, 8.103
817.699, 7.521
818.181, 13.648
818.663, 22.801
819.145, 40.246
819.627, 49.863
820.109, 43.034
820.591, 29.964
821.073, 20.697
821.556, 15.604
822.038, 12.705
822.520, 11.860
823.002, 13.052
823.484, 17.917
823.966, 24.794
824.448, 29.531
824.930, 31.441
825.413, 29.884
825.895, 22.060
826.377, 11.539
826.859, 2.555
827.341, 7.864
827.823, 10.237
828.305, 0.792
828.787, 14.602
829.269, 14.955
829.752, 2.023
830.234, 3.384
830.716, 3.673
831.198, 13.663
831.680, 15.237
832.162, 11.887
832.644, 9.419
833.127, 10.525
833.609, 10.638
834.091, 3.877
834.573, 2.453
835.055, 1.124
835.537, 21.235
836.019, 33.032
836.501, 33.153
836.983, 27.716
837.466, 22.666
837.948, 18.692
838.430, 19.031
838.912, 25.386
839.394, 32.244
839.876, 37.951
840.358, 40.487
840.840, 37.069
841.322, 19.754
841.805, 8.669
842.287, 6.600
842.769, 9.447
843.251, 13.252
843.733, 18.046
844.215, 23.333
844.697, 29.087
845.179, 34.975
845.661, 44.029
846.144, 51.909
846.626, 49.372
847.108, 29.193
847.590, 14.739
848.072, 22.320
848.554, 36.226
849.036, 41.153
849.518, 32.767
850.000, 25.119
850.483, 16.595
850.965, 13.067
851.447, 27.858
851.929, 53.983
852.411, 62.976
852.893, 49.632
853.375, 31.419
853.857, 14.714
854.340, 4.254
854.822, 6.843
855.304, 32.787
855.786, 46.679
856.268, 40.284
856.750, 29.502
857.232, 27.458
857.714, 34.314
858.196, 39.498
858.679, 41.200
859.161, 39.777
859.643, 32.272
860.125, 25.114
860.607, 29.983
861.089, 50.356
861.571, 63.200
862.054, 55.290
862.536, 40.479
863.018, 26.384
863.500, 12.333
863.982, 4.653
864.464, 4.221
864.946, 6.680
865.428, 9.376
865.910, 11.196
866.393, 11.244
866.875, 9.416
867.357, 5.453
867.839, 5.709
868.321, 15.161
868.803, 17.108
869.285, 10.513
869.767, 1.013
870.250, 22.974
870.732, 38.756
871.214, 37.146
871.696, 21.940
872.178, 11.444
872.660, 5.603
873.142, 2.890
873.624, 3.363
874.106, 5.701
874.589, 9.669
875.071, 14.839
875.553, 18.752
876.035, 19.531
876.517, 20.450
876.999, 22.113
877.481, 24.625
877.963, 30.241
878.445, 39.185
878.928, 43.079
879.410, 33.827
879.892, 21.056
880.374, 17.782
880.856, 21.912
881.338, 27.321
881.820, 35.635
882.302, 40.212
882.784, 35.540
883.267, 26.443
883.749, 24.957
884.231, 32.512
884.713, 41.065
885.195, 49.635
885.677, 55.247
886.159, 50.394
886.641, 38.246
887.123, 27.948
887.606, 20.649
888.088, 18.857
888.570, 29.859
889.052, 45.417
889.534, 52.345
890.016, 46.772
890.498, 42.152
890.981, 39.074
891.463, 37.275
891.945, 36.643
892.427, 37.234
892.909, 41.084
893.391, 49.604
893.873, 56.241
894.355, 55.171
894.837, 50.581
895.320, 46.492
895.802, 42.057
896.284, 41.799
896.766, 47.600
897.248, 54.498
897.730, 60.213
898.212, 63.782
898.694, 55.761
899.177, 35.145
899.659, 16.797
900.141, 15.199
900.623, 20.037
901.105, 21.111
901.587, 16.190
902.069, 18.087
902.551, 34.401
903.033, 48.319
903.516, 50.322
903.998, 41.613
904.480, 34.517
904.962, 29.045
905.444, 25.108
905.926, 21.711
906.408, 20.367
906.890, 25.913
907.372, 36.245
907.855, 39.329
908.337, 21.720
908.819, 8.059
909.301, 5.592
909.783, 11.692
910.265, 17.532
910.747, 23.127
911.229, 27.093
911.711, 28.595
912.194, 28.601
912.676, 27.768
913.158, 26.433
913.640, 25.308
914.122, 29.622
914.604, 27.384
915.086, 7.324
915.568, 14.932
916.050, 10.869
916.533, 22.843
917.015, 40.400
917.497, 31.098
917.979, 14.963
918.461, 16.405
918.943, 27.479
919.425, 36.162
919.907, 40.270
920.390, 40.141
920.872, 34.132
921.354, 25.221
921.836, 13.390
922.318, 4.266
922.800, 5.211
923.282, 13.257
923.764, 33.081
924.247, 38.002
924.729, 34.270
925.211, 29.976
925.693, 25.400
926.175, 21.989
926.657, 21.853
927.139, 23.162
927.621, 24.985
928.104, 26.754
928.586, 30.027
929.068, 35.167
929.550, 38.675
930.032, 37.511
930.514, 34.509
930.996, 33.646
931.478, 34.969
931.960, 38.485
932.443, 49.322
932.925, 56.431
933.407, 53.323
933.889, 44.937
934.371, 41.760
934.853, 45.356
935.335, 44.099
935.817, 34.324
936.299, 22.905
936.782, 19.208
937.264, 20.609
937.746, 22.403
938.228, 23.654
938.710, 24.360
939.192, 21.495
939.674, 20.312
940.156, 27.452
940.638, 46.716
941.121, 51.014
941.603, 37.855
942.085, 21.666
942.567, 16.259
943.049, 16.489
943.531, 15.019
944.013, 11.196
944.495, 7.509
944.978, 2.897
945.460, 0.937
945.942, 4.962
946.424, 13.968
946.906, 13.359
947.388, 2.257
947.870, 6.023
948.352, 4.513
948.834, 3.334
949.317, 17.402
949.799, 34.020
950.281, 42.826
950.763, 32.584
951.245, 23.574
951.727, 21.734
952.209, 22.885
952.692, 18.651
953.174, 8.707
953.656, 2.604
954.138, 2.703
954.620, 5.224
955.102, 5.458
955.584, 5.618
956.066, 9.634
956.548, 21.672
957.031, 27.897
957.513, 23.596
957.995, 15.765
958.477, 7.160
958.959, 2.297
959.441, 2.345
959.923, 7.191
960.405, 16.939
960.888, 19.467
961.370, 19.083
961.852, 19.036
962.334, 19.701
962.816, 22.567
963.298, 30.066
963.780, 36.704
964.262, 41.748
964.744, 44.424
965.227, 40.995
965.709, 32.323
966.191, 24.970
966.673, 21.896
967.155, 20.102
967.637, 14.569
968.119, 9.538
968.601, 11.890
969.083, 29.961
969.566, 42.202
970.048, 47.380
970.530, 48.080
971.012, 46.562
971.494, 43.697
971.976, 42.543
972.458, 43.560
972.940, 42.696
973.422, 30.771
973.905, 20.416
974.387, 23.858
974.869, 41.648
975.351, 46.448
975.833, 33.241
976.315, 23.216
976.797, 30.303
977.279, 45.069
977.761, 43.887
978.244, 31.105
978.726, 21.972
979.208, 29.922
979.690, 35.866
980.172, 28.285
980.654, 14.986
981.136, 10.261
981.619, 15.175
982.101, 17.057
982.583, 13.863
983.065, 9.985
983.547, 11.200
984.029, 15.043
984.511, 18.107
984.993, 20.109
985.475, 19.770
985.958, 12.376
986.440, 6.760
986.922, 9.257
987.404, 19.589
987.886, 20.543
988.368, 12.142
988.850, 6.335
989.332, 14.540
989.815, 25.803
990.297, 30.904
990.779, 30.059
991.261, 24.454
991.743, 6.215
992.225, 3.907
992.707, 0.551
993.189, 10.156
993.671, 18.422
994.154, 24.424
994.636, 29.262
995.118, 33.506
995.600, 35.191
996.082, 29.490
996.564, 22.644
997.046, 22.294
997.528, 31.016
998.010, 32.768
998.493, 25.553
998.975, 17.704
999.457, 14.792
999.939, 15.699
1000.421, 18.079
1000.903, 21.940
1001.385, 27.405
1001.867, 40.510
1002.349, 48.642
1002.832, 42.769
1003.314, 29.622
1003.796, 25.274
1004.278, 30.726
1004.760, 33.428
1005.242, 30.051
1005.724, 23.088
1006.206, 12.229
1006.689, 3.014
1007.171, 4.557
1007.653, 25.948
1008.135, 36.426
1008.617, 24.522
1009.099, 12.400
1009.581, 17.024
1010.063, 36.332
1010.545, 48.240
1011.028, 53.062
1011.510, 54.851
1011.992, 56.827
1012.474, 56.140
1012.956, 47.634
1013.438, 34.343
1013.920, 29.175
1014.402, 36.852
1014.885, 39.446
1015.367, 31.552
1015.849, 21.035
1016.331, 21.645
1016.813, 28.780
1017.295, 31.892
1017.777, 27.106
1018.259, 23.505
1018.741, 25.822
1019.224, 29.825
1019.706, 33.355
1020.188, 36.542
1020.670, 35.710
1021.152, 30.750
1021.634, 23.980
1022.116, 14.206
1022.598, 5.415
1023.081, 1.604
1023.563, 2.347
1024.045, 6.092
1024.527, 16.589
1025.009, 23.960
1025.491, 27.215
1025.973, 25.983
1026.455, 15.967
1026.938, 0.508
1027.420, 7.441
1027.902, 4.524
1028.384, 1.089
1028.866, 6.131
1029.348, 10.232
1029.830, 13.154
1030.312, 14.944
1030.794, 15.421
1031.276, 14.434
1031.759, 13.176
1032.241, 13.400
1032.723, 12.958
1033.205, 6.494
1033.687, 3.357
1034.169, 9.599
1034.651, 9.463
1035.133, 5.359
1035.616, 3.872
1036.098, 14.800
1036.580, 24.755
1037.062, 32.762
1037.544, 28.780
1038.026, 10.507
1038.508, 5.664
1038.990, 6.584
1039.473, 0.512
1039.955, 8.019
1040.437, 18.586
1040.919, 24.995
1041.401, 27.014
1041.883, 25.543
1042.365, 18.758
1042.847, 11.305
1043.329, 12.911
1043.812, 20.454
1044.294, 27.093
1044.776, 31.966
1045.258, 33.114
1045.740, 27.541
1046.222, 20.986
1046.704, 19.478
1047.186, 22.755
1047.668, 24.906
1048.151, 25.642
1048.633, 26.158
1049.115, 27.330
1049.597, 28.654
1050.079, 29.258
1050.561, 29.697
1051.043, 32.215
1051.525, 37.975
1052.008, 44.249
1052.490, 52.562
1052.972, 56.540
1053.454, 36.304
1053.936, 5.931
1054.418, 4.799
1054.900, 21.472
1055.382, 42.009
1055.865, 42.903
1056.347, 37.103
1056.829, 31.412
1057.311, 25.852
1057.793, 21.307
1058.275, 17.539
1058.757, 13.493
1059.239, 4.864
1059.721, 0.620
1060.203, 14.762
1060.686, 37.400
1061.168, 40.432
1061.650, 14.690
1062.132, 1.937
1062.614, 2.754
1063.096, 2.965
1063.578, 4.454
1064.060, 4.442
1064.543, 8.569
1065.025, 18.316
1065.507, 23.630
1065.989, 15.630
1066.471, 9.952
1066.953, 14.540
1067.435, 25.436
1067.917, 25.111
1068.400, 15.328
1068.882, 7.120
1069.364, 4.313
1069.846, 5.442
1070.328, 13.764
1070.810, 23.314
1071.292, 25.870
1071.774, 18.773
1072.256, 14.874
1072.739, 14.755
1073.221, 15.500
1073.703, 13.612
1074.185, 11.836
1074.667, 14.588
1075.149, 21.150
1075.631, 26.319
1076.113, 28.174
1076.596, 29.589
1077.078, 31.569
1077.560, 32.731
1078.042, 28.962
1078.524, 22.273
1079.006, 20.032
1079.488, 24.757
1079.970, 28.282
1080.453, 23.858
1080.935, 18.920
1081.417, 19.318
1081.899, 24.574
1082.381, 22.485
1082.863, 12.960
1083.345, 8.589
1083.827, 19.137
1084.309, 33.595
1084.792, 43.382
1085.274, 48.640
1085.756, 50.353
1086.238, 46.491
1086.720, 44.306
1087.202, 44.570
1087.684, 44.909
1088.166, 41.980
1088.648, 38.469
1089.131, 38.392
1089.613, 40.576
1090.095, 43.175
1090.577, 45.233
1091.059, 47.760
1091.541, 52.237
1092.023, 55.727
1092.505, 50.370
1092.988, 38.574
1093.470, 33.196
1093.952, 38.281
1094.434, 42.063
1094.916, 33.853
1095.398, 23.221
1095.880, 18.608
1096.362, 19.682
1096.844, 17.346
1097.327, 11.709
1097.809, 6.984
1098.291, 4.087
1098.773, 4.752
1099.255, 15.108
1099.737, 29.292
1100.219, 36.668
1100.701, 31.298
1101.183, 25.977
1101.666, 20.940
1102.148, 15.943
1102.630, 8.887
1103.112, 2.277
1103.594, 3.158
1104.076, 10.608
1104.558, 16.207
1105.040, 14.950
1105.523, 13.493
1106.005, 14.620
1106.487, 15.727
1106.969, 8.532
1107.451, 4.332
1107.933, 5.582
1108.415, 9.709
1108.897, 23.611
1109.380, 21.594
1109.862, 16.114
1110.344, 16.946
1110.826, 23.407
1111.308, 24.091
1111.790, 18.659
1112.272, 15.319
1112.754, 20.322
1113.236, 25.695
1113.719, 23.283
1114.201, 16.120
1114.683, 7.733
1115.165, 5.416
1115.647, 7.715
1116.129, 3.860
1116.611, 15.998
1117.093, 18.361
1117.575, 14.500
1118.058, 7.922
1118.540, 0.384
1119.022, 1.810
1119.504, 11.173
1119.986, 18.212
1120.468, 13.243
1120.950, 6.342
1121.432, 12.678
1121.915, 28.115
1122.397, 40.101
1122.879, 47.338
1123.361, 47.465
1123.843, 27.351
1124.325, 11.424
1124.807, 12.898
1125.289, 26.446
1125.771, 34.881
1126.254, 38.660
1126.736, 44.314
1127.218, 55.545
1127.700, 62.538
1128.182, 50.802
1128.664, 35.770
1129.146, 33.729
1129.628, 45.876
1130.110, 52.370
1130.593, 52.910
1131.075, 50.642
1131.557, 45.278
1132.039, 40.122
1132.521, 40.852
1133.003, 43.967
1133.485, 42.939
1133.967, 32.680
1134.450, 27.793
1134.932, 30.263
1135.414, 32.384
1135.896, 24.683
1136.378, 13.660
1136.860, 9.046
1137.342, 11.124
1137.824, 19.579
1138.307, 47.360
1138.789, 62.401
1139.271, 56.984
1139.753, 41.772
1140.235, 29.723
1140.717, 20.862
1141.199, 15.667
1141.681, 14.282
1142.163, 13.885
1142.646, 13.689
1143.128, 13.770
1143.610, 14.667
1144.092, 15.560
1144.574, 14.001
1145.056, 10.193
1145.538, 3.764
1146.020, 8.133
1146.502, 12.793
1146.985, 9.674
1147.467, 31.884
1147.949, 30.601
1148.431, 7.089
1148.913, 0.045
1149.395, 8.914
1149.877, 15.804
1150.359, 8.903
1150.842, 0.960
1151.324, 2.021
1151.806, 8.244
1152.288, 14.426
1152.770, 20.683
1153.252, 25.571
1153.734, 29.196
1154.216, 30.449
1154.698, 25.830
1155.181, 20.558
1155.663, 20.054
1156.145, 23.526
1156.627, 28.601
1157.109, 36.724
1157.591, 40.577
1158.073, 37.813
1158.555, 36.574
1159.037, 52.191
1159.520, 71.054
1160.002, 70.669
1160.484, 51.322
1160.966, 37.489
1161.448, 36.770
1161.930, 34.916
1162.412, 27.608
1162.894, 19.938
1163.377, 22.166
1163.859, 29.676
1164.341, 32.612
1164.823, 28.412
1165.305, 27.383
1165.787, 35.988
1166.269, 44.843
1166.751, 49.854
1167.234, 51.347
1167.716, 52.923
1168.198, 53.505
1168.680, 48.746
1169.162, 32.417
1169.644, 23.435
1170.126, 35.392
1170.608, 48.851
1171.090, 53.189
1171.573, 49.267
1172.055, 37.772
1172.537, 21.241
1173.019, 12.433
1173.501, 27.255
1173.983, 39.724
1174.465, 35.856
1174.947, 26.455
1175.430, 21.261
1175.912, 20.134
1176.394, 15.391
1176.876, 7.276
1177.358, 2.129
1177.840, 6.248
1178.322, 11.594
1178.804, 16.018
1179.286, 17.836
1179.769, 12.503
1180.251, 0.355
1180.733, 6.179
1181.215, 3.648
1181.697, 2.852
1182.179, 15.105
1182.661, 24.510
1183.143, 24.800
1183.625, 18.454
1184.108, 12.481
1184.590, 6.452
1185.072, 8.118
1185.554, 20.492
1186.036, 31.059
1186.518, 24.653
1187.000, 14.260
1187.482, 12.131
1187.965, 17.948
1188.447, 21.194
1188.929, 21.641
1189.411, 21.714
1189.893, 22.103
1190.375, 22.517
1190.857, 20.710
1191.339, 19.943
1191.822, 25.881
1192.304, 40.194
1192.786, 44.349
1193.268, 37.125
1193.750, 27.691
1194.232, 18.581
1194.714, 11.578
1195.196, 10.839
1195.678, 12.881
1196.161, 12.508
1196.643, 7.820
1197.125, 5.137
1197.607, 4.221
1198.089, 5.938
1198.571, 11.946
1199.053, 20.185
1199.535, 31.003
1200.017, 41.861
1200.500, 46.148
1200.982, 36.612
1201.464, 33.912
1201.946, 39.833
1202.428, 48.414
1202.910, 58.201
1203.392, 65.414
1203.874, 62.413
1204.357, 52.194
1204.839, 45.008
1205.321, 42.700
1205.803, 38.262
1206.285, 29.647
1206.767, 24.503
1207.249, 36.095
1207.731, 52.654
1208.214, 56.253
1208.696, 48.565
1209.178, 46.565
1209.660, 56.878
1210.142, 60.768
1210.624, 54.384
1211.106, 43.823
1211.588, 33.732
1212.070, 25.572
1212.552, 22.386
1213.035, 24.112
1213.517, 23.990
1213.999, 19.389
1214.481, 18.894
1214.963, 26.210
1215.445, 34.002
1215.927, 27.353
1216.409, 16.695
1216.892, 19.939
1217.374, 40.971
1217.856, 49.632
1218.338, 39.744
1218.820, 30.505
1219.302, 29.197
1219.784, 30.221
1220.266, 22.910
1220.749, 12.857
1221.231, 9.571
1221.713, 17.287
1222.195, 16.983
1222.677, 4.818
1223.159, 5.815
1223.641, 9.874
1224.123, 7.923
1224.605, 3.571
1225.088, 18.708
1225.570, 28.006
1226.052, 27.607
1226.534, 25.719
1227.016, 21.583
1227.498, 18.988
1227.980, 20.922
1228.462, 24.656
1228.944, 25.980
1229.427, 26.171
1229.909, 27.693
1230.391, 32.641
1230.873, 34.795
1231.355, 33.609
1231.837, 31.847
1232.319, 32.284
1232.801, 32.496
1233.284, 26.530
1233.766, 18.426
1234.248, 17.288
1234.730, 28.747
1235.212, 36.093
1235.694, 39.035
1236.176, 37.337
1236.658, 27.549
1237.141, 17.693
1237.623, 21.486
1238.105, 32.007
1238.587, 28.021
1239.069, 1.502
1239.551, 9.033
1240.033, 10.704
1240.515, 35.139
1240.997, 50.362
1241.479, 56.390
1241.962, 47.988
1242.444, 30.726
1242.926, 22.058
1243.408, 24.343
1243.890, 26.857
1244.372, 28.685
1244.854, 29.375
1245.336, 25.264
1245.819, 22.635
1246.301, 28.711
1246.783, 41.135
1247.265, 51.534
1247.747, 60.577
1248.229, 59.874
1248.711, 47.407
1249.193, 33.863
1249.676, 29.604
1250.158, 27.216
1250.640, 18.702
1251.122, 7.633
1251.604, 7.780
1252.086, 19.556
1252.568, 24.927
1253.050, 20.427
1253.532, 13.120
1254.015, 5.457
1254.497, 0.199
1254.979, 1.334
1255.461, 0.644
1255.943, 2.675
1256.425, 4.589
1256.907, 3.023
1257.389, 4.269
1257.871, 10.384
1258.354, 5.106
1258.836, 3.397
1259.318, 13.578
1259.800, 23.297
1260.282, 24.452
1260.764, 18.666
1261.246, 14.627
1261.728, 14.694
1262.211, 14.062
1262.693, 7.476
1263.175, 2.931
1263.657, 4.591
1264.139, 10.391
1264.621, 15.061
1265.103, 18.478
1265.585, 18.092
1266.068, 17.142
1266.550, 16.432
1267.032, 16.419
1267.514, 17.537
1267.996, 20.155
1268.478, 23.852
1268.960, 27.784
1269.442, 31.921
1269.924, 36.900
1270.407, 44.222
1270.889, 46.191
1271.371, 38.997
1271.853, 33.111
1272.335, 33.886
1272.817, 37.820
1273.299, 36.677
1273.781, 34.814
1274.264, 37.209
1274.746, 44.251
1275.228, 43.801
1275.710, 32.005
1276.192, 18.404
1276.674, 5.430
1277.156, 2.265
1277.638, 8.078
1278.120, 25.379
1278.603, 32.744
1279.085, 26.138
1279.567, 19.506
1280.049, 12.570
1280.531, 7.965
1281.013, 6.007
1281.495, 8.620
1281.977, 25.467
1282.459, 43.339
1282.942, 44.318
1283.424, 26.997
1283.906, 15.606
1284.388, 9.704
1284.870, 8.126
1285.352, 12.721
1285.834, 16.016
1286.316, 10.241
1286.799, 3.030
1287.281, 0.942
1287.763, 3.925
1288.245, 13.607
1288.727, 28.278
1289.209, 36.607
1289.691, 31.281
1290.173, 22.515
1290.656, 8.068
1291.138, 0.000
##END=



