##NAMES=Cuprite
##RRUFFID=R140763
##IDEAL CHEMISTRY=Cu^1+^_2_O
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Semimetallic deep red, massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R140763
323.6098, 17.74734
324.0919, 17.00632
324.5740, 15.89600
325.0562, 14.81004
325.5383, 13.85365
326.0204, 13.08594
326.5025, 12.46100
326.9846, 12.19370
327.4667, 12.00883
327.9489, 11.62448
328.4310, 11.00894
328.9131, 10.14551
329.3952, 8.767365
329.8773, 6.865540
330.3594, 5.763947
330.8416, 6.213104
331.3237, 6.814209
331.8058, 6.494446
332.2879, 4.358154
332.7700, 2.984222
333.2521, 2.938293
333.7343, 3.863007
334.2164, 4.069519
334.6985, 3.063965
335.1806, 2.053192
335.6627, 1.751373
336.1448, 2.521759
336.6270, 2.893860
337.1091, 2.672852
337.5912, 2.133118
338.0733, 1.922119
338.5554, 2.206421
339.0375, 2.267792
339.5197, 1.614014
340.0018, 0.1694640
340.4839, 0.4019780
340.9660, 0.1182860
341.4481, 1.040314
341.9302, 1.506256
342.4124, 1.503754
342.8945, 1.274231
343.3766, 0.7544560
343.8587, 6.9580004E-02
344.3408, 0.1065060
344.8229, 0.2907100
345.3051, 0.7353820
345.7872, 0.6498410
346.2693, 0.1282960
346.7514, 0.1323550
347.2335, 0.1574710
347.7156, 0.5910030
348.1978, 9.0301998E-02
348.6799, 1.245880
349.1620, 2.202179
349.6441, 1.469452
350.1262, 0.2218930
350.6083, 1.047852
351.0905, 0.6676940
351.5726, 9.3810998E-02
352.0547, 0.3204960
352.5368, 0.1410830
353.0189, 5.4749001E-02
353.5010, 7.0556998E-02
353.9832, 0.2226260
354.4653, 7.6964997E-02
354.9474, 0.8739620
355.4295, 1.551971
355.9116, 1.492249
356.3937, 1.031738
356.8759, 0.6705320
357.3580, 0.5589290
357.8401, 0.6354980
358.3222, 0.9555050
358.8043, 1.480347
359.2864, 1.933136
359.7686, 2.259583
360.2507, 2.406799
360.7328, 2.264343
361.2149, 1.468628
361.6970, 0.9596250
362.1791, 1.360992
362.6613, 2.328430
363.1434, 3.072693
363.6255, 3.178894
364.1076, 3.131561
364.5897, 3.128723
365.0718, 3.161377
365.5540, 3.306396
366.0361, 3.710693
366.5182, 4.189240
367.0003, 4.521179
367.4824, 4.595154
367.9645, 4.615417
368.4467, 4.497894
368.9288, 4.217773
369.4109, 4.415436
369.8930, 5.568268
370.3751, 6.841553
370.8572, 7.666321
371.3394, 7.680573
371.8215, 7.853821
372.3036, 8.386292
372.7857, 9.122620
373.2678, 9.460968
373.7499, 9.092285
374.2321, 8.880157
374.7142, 9.326080
375.1963, 10.69681
375.6784, 11.52844
376.1605, 11.56750
376.6426, 11.37399
377.1248, 11.92560
377.6069, 13.40903
378.0890, 14.54941
378.5711, 14.70801
379.0532, 14.09473
379.5353, 14.28674
380.0175, 15.40955
380.4996, 16.74997
380.9817, 17.53775
381.4638, 17.85898
381.9459, 18.56543
382.4280, 20.01688
382.9102, 21.67133
383.3923, 22.22900
383.8744, 21.80719
384.3565, 21.54266
384.8386, 22.41046
385.3207, 23.91513
385.8029, 24.93005
386.2850, 25.27908
386.7671, 25.55710
387.2492, 26.47800
387.7313, 27.80627
388.2134, 28.98593
388.6956, 29.40311
389.1777, 29.78479
389.6598, 31.08023
390.1419, 33.21194
390.6240, 34.91275
391.1061, 34.98163
391.5883, 34.44907
392.0704, 34.40509
392.5525, 35.50159
393.0346, 36.64468
393.5167, 37.27185
393.9988, 37.60056
394.4810, 38.17059
394.9631, 39.32312
395.4452, 40.60764
395.9273, 41.82990
396.4094, 43.00323
396.8915, 44.08380
397.3737, 44.81223
397.8558, 45.43750
