##NAMES=Hydrotungstite
##RRUFFID=R120058
##IDEAL CHEMISTRY=WO_2_(OH)_2_&#183;H_2_O
##LOCALITY=Mundo Nuevo, La Libertad, Peru
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Greenish yellow cubes, associated with ferberite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120058
371.2312, 136.3776
371.7133, 133.3636
372.1955, 132.3574
372.6776, 134.7999
373.1597, 137.8439
373.6418, 139.6985
374.1239, 140.4087
374.6060, 141.0459
375.0882, 142.5274
375.5703, 144.8111
376.0524, 146.2642
376.5345, 147.0696
377.0166, 146.8816
377.4987, 144.7239
377.9809, 141.7558
378.4630, 139.7791
378.9451, 139.6520
379.4272, 140.3499
379.9093, 139.3428
380.3914, 134.9839
380.8736, 131.6230
381.3557, 130.7183
381.8378, 129.8538
382.3199, 126.9432
382.8020, 121.8654
383.2841, 116.2810
383.7663, 112.1869
384.2484, 109.9076
384.7305, 106.7083
385.2126, 101.0414
385.6947, 95.90344
386.1768, 92.39679
386.6590, 90.15082
387.1411, 88.29669
387.6232, 86.32626
388.1053, 84.31854
388.5874, 82.58359
389.0695, 81.16623
389.5517, 79.95721
390.0338, 78.70148
390.5159, 77.71933
390.9980, 77.23816
391.4801, 77.32617
391.9622, 78.10101
392.4444, 79.98630
392.9265, 83.14709
393.4086, 85.77609
393.8907, 86.72205
394.3728, 87.98065
394.8549, 90.93649
395.3371, 95.28452
395.8192, 99.68814
396.3013, 103.8181
396.7834, 107.3493
397.2655, 109.0829
397.7477, 108.6951
398.2298, 107.3336
398.7119, 105.7295
399.1940, 103.4775
399.6761, 99.91846
400.1582, 94.79987
400.6404, 88.52350
401.1225, 81.15201
401.6046, 72.69238
402.0867, 64.32666
402.5688, 56.08224
403.0509, 48.48840
403.5331, 42.04868
404.0152, 36.75183
404.4973, 32.17114
404.9794, 28.37839
405.4615, 25.11020
405.9436, 21.96945
406.4258, 18.95190
406.9079, 15.86945
407.3900, 12.40659
407.8721, 8.753967
408.3542, 5.741364
408.8363, 3.180359
409.3185, 1.507385
409.8006, 1.589966
410.2827, 2.949677
410.7648, 3.951172
411.2469, 3.863312
411.7290, 3.040497
412.2112, 2.229004
412.6933, 1.452271
413.1754, 0.6040340
413.6575, 0.6363530
414.1396, 1.787018
414.6217, 2.307983
415.1039, 2.125732
415.5860, 1.551941
416.0681, 0.7719730
416.5502, 0.3057860
417.0323, 0.5006870
417.5144, 1.106033
417.9966, 2.490067
418.4787, 2.709579
418.9608, 2.130157
419.4429, 1.482269
419.9250, 1.116211
420.4071, 0.9161380
420.8893, 0.6725310
421.3714, 0.5829160
421.8535, 0.6125030
422.3356, 0.6777190
422.8177, 0.6480560
423.2998, 0.3830260
423.7820, 4.7378998E-02
424.2641, 0.4276890
424.7462, 0.5468750
425.2283, 0.3845670
425.7104, 0.4801640
426.1925, 1.355362
426.6747, 1.954071
427.1568, 1.755020
427.6389, 1.148972
428.1210, 0.7335820
428.6031, 0.7727200
429.0852, 1.050781
429.5674, 1.151199
430.0495, 0.9504550
430.5316, 1.152267
431.0137, 2.630920
431.4958, 3.984116
431.9779, 4.193008
432.4601, 3.293579
432.9422, 2.306702
433.4243, 2.120438
433.9064, 2.474106
434.3885, 2.090164
434.8706, 0.3170470
435.3528, 0.7631530
435.8349, 1.189316
436.3170, 4.544510
436.7991, 6.532547
437.2812, 5.948334
437.7633, 4.567642
438.2455, 3.908127
438.7276, 3.887711
439.2097, 3.942383
439.6918, 3.779510
440.1739, 3.738785
440.6560, 4.431503
441.1382, 5.886612
441.6203, 7.410217
442.1024, 8.981842
442.5845, 10.39401
443.0666, 11.39648
443.5487, 12.00101
444.0309, 12.43089
444.5130, 12.84634
444.9951, 13.21135
445.4772, 13.30165
445.9593, 12.55516
446.4414, 12.24664
446.9236, 13.18338
447.4057, 14.69826
447.8878, 15.75710
448.3699, 15.98076
448.8520, 15.72914
449.3341, 15.55934
449.8163, 15.52893
450.2984, 15.48842
450.7805, 15.07178
451.2626, 14.99475
451.7447, 16.08540
452.2268, 17.83124
452.7090, 18.88782
453.1911, 18.28276
453.6732, 16.47359
454.1553, 15.39771
454.6374, 15.62180
455.1195, 15.65616
455.6017, 15.05232
456.0838, 14.30182
456.5659, 13.92207
457.0480, 13.96918
457.5301, 13.97876
458.0122, 13.29974
458.4944, 11.94533
458.9765, 11.15987
459.4586, 11.46646
459.9407, 11.59209
460.4228, 10.70943
460.9049, 9.248154
461.3871, 7.970184
461.8692, 7.181351
462.3513, 6.630280
462.8334, 5.886490
463.3155, 4.959579
463.7976, 4.616470
464.2798, 5.494156
464.7619, 6.590378
465.2440, 6.467194
465.7261, 5.106796
466.2082, 4.064209
466.6903, 4.192612
467.1725, 4.735321
467.6546, 4.788513
468.1367, 4.282898
468.6188, 3.496887
469.1009, 2.487366
469.5830, 1.404800
470.0652, 0.9590450
470.5473, 1.614105
471.0294, 2.234528
471.5115, 2.461533
471.9936, 2.504898
472.4757, 2.718979
472.9579, 3.181091
473.4400, 3.564285
473.9221, 3.433105
474.4042, 2.658463
474.8863, 2.089737
475.3684, 1.655884
475.8506, 1.429596
476.3327, 1.858154
476.8148, 2.467438
477.2969, 2.251175
477.7790, 0.6762080
478.2611, 1.316452
478.7433, 1.441788
479.2254, 1.356110
479.7075, 3.015015
480.1896, 1.936661
480.6717, 0.5531620
481.1538, 0.1678470
481.6360, 0.7251590
482.1181, 1.447617
482.6002, 1.913696
483.0823, 2.132309
483.5644, 2.096207
484.0465, 1.756012
484.5287, 1.331039
485.0108, 0.7128750
485.4929, 0.1734620
485.9750, 0.1043700
486.4571, 0.6319890
486.9392, 1.181168
487.4214, 1.209946
487.9035, 1.036240
488.3856, 1.524445
488.8677, 2.910904
489.3498, 4.216888
489.8319, 4.519165
490.3141, 3.882965
490.7962, 3.555176
491.2783, 3.835983
491.7604, 4.112411
492.2425, 3.997894
492.7246, 3.693176
493.2068, 3.626526
493.6889, 3.998474
494.1710, 4.535049
494.6531, 4.801331
495.1352, 4.679688
495.6173, 4.654297
496.0995, 4.673721
496.5816, 4.883270
497.0637, 5.464050
497.5458, 6.243317
498.0279, 6.843948
498.5100, 7.039841
498.9922, 7.069595
499.4743, 7.599625
499.9564, 8.964111
500.4385, 10.04172
500.9206, 10.20210
501.4027, 10.32987
501.8849, 11.03607
502.3670, 12.27753
502.8491, 13.51958
503.3312, 14.42979
503.8133, 15.02258
504.2954, 15.18172
504.7776, 14.72997
505.2597, 14.88681
505.7418, 16.67767
506.2239, 19.14990
506.7060, 20.95813
507.1881, 21.95663
507.6703, 22.63803
508.1524, 22.80988
508.6345, 22.94650
509.1166, 24.04526
509.5987, 26.26180
510.0808, 28.57799
510.5630, 30.21046
511.0451, 31.10355
511.5272, 31.49252
512.0093, 30.97496
512.4914, 30.78574
512.9735, 31.58183
513.4556, 32.71065
513.9377, 33.30058
514.4199, 33.15184
514.9020, 32.73805
