##NAMES=Greifensteinite
##RRUFFID=R070613
##IDEAL CHEMISTRY=Ca_2_Fe^2+^_5_Be_4_(PO_4_)_6_(OH)_4_&#183;6H_2_O
##LOCALITY=Tip Top mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Dakota Matrix Minerals
##DESCRIPTION=Darker orange-brown blebs in pale salmon colored montgomeryite, associated with tiptopite (R070609)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070613
399.6317, 104.8840
400.1138, 106.1172
400.5959, 107.1042
401.0780, 107.8679
401.5602, 108.2392
402.0423, 107.9276
402.5244, 106.9925
403.0065, 106.0761
403.4886, 105.2710
403.9707, 104.4676
404.4529, 103.7748
404.9350, 103.0467
405.4171, 101.7727
405.8992, 99.45472
406.3813, 96.55788
406.8634, 93.75199
407.3456, 91.04552
407.8277, 88.58838
408.3098, 86.53543
408.7919, 84.73459
409.2740, 82.92824
409.7561, 81.10072
410.2383, 79.24516
410.7204, 77.24502
411.2025, 75.18323
411.6846, 73.27379
412.1667, 71.54037
412.6488, 70.09504
413.1310, 69.21967
413.6131, 68.87730
414.0952, 68.26872
414.5773, 67.30039
415.0594, 65.97807
415.5415, 64.00945
416.0237, 61.51726
416.5058, 59.48236
416.9879, 58.70718
417.4700, 58.87373
417.9521, 58.22678
418.4342, 55.88618
418.9164, 53.92862
419.3985, 53.26733
419.8806, 53.22592
420.3627, 52.78773
420.8448, 51.62717
421.3269, 50.17281
421.8091, 49.07997
422.2912, 48.50378
422.7733, 47.84476
423.2554, 47.12837
423.7375, 46.36522
424.2196, 45.53087
424.7018, 44.60834
425.1839, 43.57118
425.6660, 42.37812
426.1481, 41.11488
426.6302, 40.28452
427.1123, 40.53149
427.5945, 40.44077
428.0766, 39.57433
428.5587, 38.43708
429.0408, 37.49688
429.5229, 36.91175
430.0050, 36.57776
430.4872, 36.37616
430.9693, 36.33638
431.4514, 36.19589
431.9335, 35.88451
432.4156, 35.52470
432.8977, 35.20921
433.3799, 34.88615
433.8620, 34.41448
434.3441, 33.66999
434.8262, 32.76617
435.3083, 32.06581
435.7904, 31.67833
436.2726, 31.19671
436.7547, 30.35246
437.2368, 29.40778
437.7189, 28.65527
438.2010, 28.16933
438.6831, 27.57054
439.1653, 26.34792
439.6474, 24.66417
440.1295, 23.45267
440.6116, 23.05736
441.0937, 22.77190
441.5758, 21.84209
442.0580, 20.49985
442.5401, 19.47578
443.0222, 19.21836
443.5043, 19.20401
443.9864, 18.93071
444.4685, 18.41577
444.9507, 17.84081
445.4328, 17.31251
445.9149, 16.74972
446.3970, 15.92328
446.8791, 14.69120
447.3612, 13.64964
447.8434, 12.96432
448.3255, 12.55570
448.8076, 12.40546
449.2897, 12.48859
449.7718, 12.58793
450.2539, 12.49298
450.7361, 12.19115
451.2182, 11.93456
451.7003, 11.65544
452.1824, 11.48640
452.6645, 11.52829
453.1466, 11.70036
453.6288, 11.92492
454.1109, 12.16879
454.5930, 12.31118
455.0751, 12.07522
455.5572, 11.11554
456.0393, 10.45353
456.5215, 10.15759
457.0036, 10.04696
457.4857, 9.971504
457.9678, 9.971123
458.4499, 10.24165
458.9320, 11.01469
459.4142, 12.15585
459.8963, 12.86809
460.3784, 12.98040
460.8605, 12.94571
461.3426, 12.78883
461.8247, 12.61556
462.3069, 12.56007
462.7890, 12.65766
463.2711, 12.76112
463.7532, 12.70970
464.2353, 12.50256
464.7174, 12.25457
465.1996, 11.93358
465.6817, 11.64581
466.1638, 11.51115
466.6459, 11.46703
467.1280, 11.35448
467.6101, 11.12041
468.0923, 10.79597
468.5744, 10.40208
469.0565, 9.938828
469.5386, 9.447807
470.0207, 8.944870
470.5028, 8.420776
470.9850, 7.843842
471.4671, 7.187958
471.9492, 6.609581
472.4313, 6.271744
472.9134, 5.955780
473.3955, 5.400505
473.8777, 4.599625
474.3598, 3.706352
