##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
543.4550, 20.94594
543.9371, 23.90313
544.4193, 26.82458
544.9014, 29.51848
545.3835, 31.64225
545.8656, 33.16551
546.3477, 35.03615
546.8298, 38.25176
547.3120, 41.68339
547.7941, 44.35890
548.2762, 44.68092
548.7583, 46.39782
549.2404, 51.01629
549.7225, 56.75946
550.2047, 60.46460
550.6868, 61.11568
551.1689, 61.79716
551.6510, 63.50420
552.1331, 65.98803
552.6152, 67.16667
553.0974, 66.75114
553.5795, 66.24501
554.0616, 66.76824
554.5437, 68.06641
555.0258, 68.57713
555.5079, 68.18650
555.9901, 68.07765
556.4722, 70.07396
556.9543, 73.25954
557.4364, 75.61760
557.9185, 76.60133
558.4006, 76.63121
558.8828, 75.43359
559.3649, 73.53474
559.8470, 72.10983
560.3291, 71.58594
560.8112, 71.67461
561.2933, 72.46983
561.7755, 73.97997
562.2576, 75.27139
562.7397, 75.86090
563.2218, 76.45596
563.7039, 77.46119
564.1860, 79.32348
564.6682, 80.47493
565.1503, 80.78391
565.6324, 80.58399
566.1145, 80.12192
566.5966, 79.29925
567.0787, 79.14062
567.5609, 80.18568
568.0430, 81.61749
568.5251, 81.46941
569.0072, 79.91270
569.4893, 78.36272
569.9714, 77.72787
570.4536, 77.50623
570.9357, 76.95927
571.4178, 76.09351
571.8999, 75.19966
572.3820, 74.57681
572.8641, 73.96077
573.3463, 73.17223
573.8284, 72.23143
574.3105, 70.94155
574.7926, 68.53128
575.2747, 65.98843
575.7568, 64.59399
576.2390, 65.91577
576.7211, 66.39475
577.2032, 65.50433
577.6853, 63.49654
578.1674, 61.14319
578.6495, 58.22487
579.1317, 55.63875
579.6138, 54.05325
580.0959, 53.24010
580.5780, 50.98029
581.0601, 47.09159
581.5422, 43.43270
582.0244, 41.89191
582.5065, 41.72213
582.9886, 41.23290
583.4707, 40.26752
583.9528, 38.94708
584.4349, 37.50993
584.9171, 35.67949
585.3992, 33.05542
585.8813, 27.74706
586.3634, 23.56958
586.8455, 23.14751
587.3276, 25.09476
587.8098, 25.74208
588.2919, 22.96272
588.7740, 20.23592
589.2561, 18.75916
589.7382, 18.58900
590.2203, 17.93092
590.7025, 17.01346
591.1846, 15.32693
591.6667, 11.81125
592.1488, 6.082565
592.6309, 2.987183
593.1130, 3.023331
593.5952, 4.681160
594.0773, 6.916725
594.5594, 9.320679
595.0415, 10.27911
595.5236, 9.015053
596.0057, 7.099632
596.4879, 5.952873
596.9700, 5.319107
597.4521, 4.648666
597.9342, 3.479744
598.4163, 2.383430
598.8984, 1.884354
599.3806, 1.879417
599.8627, 1.404053
600.3448, 0.7141110
600.8269, 2.532166
601.3090, 3.104744
601.7911, 2.130089
602.2733, 1.031120
602.7554, 0.3807680
603.2375, 1.652649
603.7196, 2.364349
604.2017, 2.503860
604.6838, 2.235466
605.1660, 1.567108
605.6481, 0.5178150
606.1302, 1.581635
606.6123, 4.264885
607.0944, 5.246647
607.5765, 2.425575
608.0587, 1.239143
608.5408, 2.320518
609.0229, 1.295807
609.5050, 9.1805004E-02
609.9871, 1.631454
610.4692, 2.697681
610.9514, 2.892132
611.4335, 2.175426
611.9156, 0.9204480
612.3977, 2.224686
612.8798, 4.780685
613.3619, 5.076843
613.8441, 1.401493
614.3262, 0.2840230
614.8083, 0.7509190
615.2904, 2.757553
615.7725, 3.441044
616.2546, 2.705936
616.7368, 2.343258
617.2189, 2.757496
617.7010, 3.597649
618.1831, 4.554695
618.6652, 5.473045
619.1473, 5.703480
619.6295, 3.900890
620.1116, 1.954987
620.5937, 2.066883
621.0758, 3.879269
621.5579, 5.603699
622.0400, 6.602173
622.5222, 7.033451
623.0043, 6.777096
623.4864, 5.620510
623.9685, 4.970570
624.4506, 5.158104
624.9327, 5.728477
625.4149, 6.385044
625.8970, 7.036785
626.3791, 8.212372
626.8612, 10.38892
627.3433, 12.31715
627.8254, 11.61781
628.3076, 8.458172
628.7897, 6.516060
629.2718, 6.950645
629.7539, 8.645855
630.2360, 10.35245
630.7181, 11.90930
631.2003, 12.77301
631.6824, 11.95581
632.1645, 10.90336
632.6466, 10.69084
633.1287, 11.25916
633.6108, 12.07957
634.0930, 13.40568
634.5751, 14.57950
635.0572, 15.32752
635.5393, 15.69263
636.0214, 15.29028
636.5035, 13.48779
636.9857, 11.68642
637.4678, 10.83553
637.9499, 10.91467
638.4320, 12.31110
638.9141, 15.37189
639.3962, 18.79353
639.8784, 20.64431
