##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
414.7073, 0.2429160
415.1894, 0.1765440
415.6715, 0.1088260
416.1537, 0.1593970
416.6358, 0.3357320
417.1179, 0.5240400
417.6000, 0.7268100
418.0821, 0.8906140
418.5642, 0.9721570
419.0464, 0.9736560
419.5285, 0.9305000
420.0106, 0.8209880
420.4927, 0.6819380
420.9748, 0.5983010
421.4569, 0.5825310
421.9391, 0.5967850
422.4212, 0.6275120
422.9033, 0.6667960
423.3854, 0.6889190
423.8675, 0.6671680
424.3496, 0.6338160
424.8318, 0.6833020
425.3139, 0.7938770
425.7960, 0.7878170
426.2781, 0.5493010
426.7602, 0.1784730
427.2423, 0.1241870
427.7245, 0.3422130
428.2066, 0.5237350
428.6887, 0.7054100
429.1708, 0.8537450
429.6529, 0.8813650
430.1350, 0.8024460
430.6172, 0.7873990
431.0992, 0.9893070
431.5814, 1.401295
432.0635, 1.756399
432.5456, 2.073776
433.0277, 2.341717
433.5098, 2.450830
433.9919, 2.522432
434.4741, 2.805683
434.9562, 3.408842
435.4383, 4.139826
435.9204, 4.599688
436.4025, 4.582905
436.8846, 4.671349
437.3668, 4.935936
437.8489, 5.231838
438.3310, 5.418774
438.8131, 5.536844
439.2952, 5.765606
439.7773, 6.276482
440.2595, 7.037863
440.7416, 7.713518
441.2237, 8.213148
441.7058, 8.751949
442.1879, 9.410057
442.6700, 10.12062
443.1522, 10.80367
443.6343, 11.43233
444.1164, 12.05952
444.5985, 12.77375
445.0806, 13.58045
445.5627, 14.36934
446.0449, 15.05721
446.5270, 15.79362
447.0091, 16.67135
447.4912, 17.67894
447.9733, 18.77247
448.4554, 20.05793
448.9376, 21.36885
449.4197, 22.38839
449.9018, 23.09835
450.3839, 23.70505
450.8660, 24.33273
451.3481, 24.89392
451.8303, 25.25692
452.3124, 25.39782
452.7945, 25.40224
453.2766, 25.30242
453.7587, 25.09995
