##NAMES=Rudenkoite
##RRUFFID=R070048
##IDEAL CHEMISTRY=Sr_3_Al_3.5_Si_3.5_O_10_(OH,O)_8_Cl_2_&#183;H_2_O
##LOCALITY=80 km SEE of Aldan, Yakutia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White fragment embedded in epoxy, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070048
512.2504, 130.2832
512.7325, 167.9824
513.2147, 211.6133
513.6968, 255.1602
514.1789, 299.3887
514.6610, 336.2715
515.1431, 358.0928
515.6252, 371.2871
516.1074, 383.4980
516.5895, 390.3555
517.0716, 403.4082
517.5537, 428.0625
518.0358, 462.6494
518.5179, 496.4316
519.0001, 536.9209
519.4822, 568.3203
519.9643, 582.5352
520.4464, 572.8750
520.9285, 571.5195
521.4106, 585.0264
521.8928, 598.4150
522.3749, 591.7109
522.8570, 562.6934
523.3391, 533.1182
523.8212, 510.1543
524.3033, 487.8594
524.7855, 445.0801
525.2676, 382.2783
525.7497, 325.0449
526.2318, 290.0596
526.7139, 270.2910
527.1960, 255.2695
527.6782, 244.8750
528.1603, 230.9580
528.6424, 205.2227
529.1245, 172.1309
529.6066, 137.9443
530.0887, 96.96484
530.5709, 63.97656
531.0530, 48.05664
531.5352, 46.19336
532.0173, 49.25391
532.4994, 68.02734
532.9815, 79.73633
533.4636, 68.41602
533.9457, 21.61426
534.4279, 4.281250
534.9100, 28.49023
535.3921, 71.76758
535.8742, 115.0449
536.3563, 158.2061
536.8384, 201.0293
537.3206, 241.1680
537.8027, 281.9922
538.2848, 331.0938
538.7669, 388.5625
539.2490, 448.9062
539.7311, 510.0723
540.2133, 571.3359
540.6954, 627.8174
541.1775, 678.3906
541.6596, 738.9932
542.1417, 826.8438
542.6238, 933.0039
543.1060, 1042.689
543.5881, 1154.436
544.0702, 1264.891
544.5523, 1363.368
545.0344, 1459.604
545.5165, 1572.408
545.9987, 1723.172
546.4808, 1878.062
546.9629, 2026.961
547.4450, 2169.346
547.9271, 2301.066
548.4092, 2420.383
548.8914, 2532.126
549.3735, 2636.694
549.8556, 2728.428
550.3377, 2829.071
550.8198, 2944.834
551.3019, 3063.020
551.7841, 3160.911
552.2662, 3235.588
552.7483, 3316.461
553.2304, 3421.897
553.7125, 3532.859
554.1946, 3589.195
554.6768, 3592.594
555.1589, 3582.157
555.6410, 3589.542
556.1231, 3598.781
556.6052, 3584.054
557.0873, 3541.974
557.5695, 3480.413
558.0516, 3399.388
558.5337, 3305.976
559.0158, 3206.643
559.4979, 3090.812
559.9800, 2982.439
560.4622, 2891.412
560.9443, 2815.317
561.4264, 2739.983
561.9085, 2666.817
562.3906, 2591.805
562.8727, 2511.107
563.3549, 2421.735
563.8370, 2342.822
564.3191, 2285.221
564.8012, 2226.747
565.2833, 2141.632
565.7654, 2026.975
566.2476, 1928.146
566.7297, 1850.415
567.2118, 1792.170
567.6939, 1757.308
568.1760, 1743.896
568.6581, 1734.446
569.1403, 1722.345
569.6224, 1709.358
570.1045, 1699.299
570.5866, 1693.221
571.0687, 1687.169
571.5508, 1673.051
572.0330, 1659.020
572.5151, 1650.514
572.9972, 1647.681
573.4793, 1652.560
573.9614, 1670.049
574.4435, 1693.789
574.9257, 1715.809
575.4078, 1728.198
575.8899, 1749.316
576.3720, 1785.815
576.8541, 1832.669
577.3362, 1868.045
577.8184, 1880.424
578.3005, 1913.854
578.7826, 1992.042
579.2647, 2111.091
579.7468, 2229.990
580.2289, 2347.936
580.7111, 2472.543
581.1932, 2609.140
581.6753, 2760.022
582.1574, 2928.968
582.6395, 3118.759
583.1216, 3320.536
583.6038, 3518.311
584.0859, 3719.489
584.5680, 3944.332
585.0501, 4242.695
585.5322, 4534.168
586.0143, 4773.521
586.4965, 4968.848
586.9786, 5171.508
587.4607, 5403.354
587.9428, 5634.461
588.4249, 5852.177
