##NAMES=Nepheline
##RRUFFID=R090059
##IDEAL CHEMISTRY=KNa_3_(AlSiO_4_)_4_
##LOCALITY=Lajuar Madan, Sar-e-Sang District, Badakhshan, Afghanistan
##OWNER=RRUFF
##SOURCE=Dudley Blauwet
##DESCRIPTION=Colorless blocky crystals coated with colorless sodalite with electric blue inclusions, on a marble matrix
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R090059
374.3475, 48.37648
374.8296, 53.75018
375.3117, 57.41213
375.7939, 60.33976
376.2760, 63.96209
376.7581, 68.46495
377.2402, 73.53918
377.7223, 79.13943
378.2044, 85.17860
378.6866, 91.14537
379.1687, 96.65055
379.6508, 102.5372
380.1329, 110.1975
380.6150, 119.5221
381.0971, 128.6407
381.5793, 136.5658
382.0614, 144.1593
382.5435, 152.7572
383.0256, 162.6176
383.5077, 172.5332
383.9898, 181.2392
384.4720, 189.1123
384.9541, 198.8816
385.4362, 212.1695
385.9183, 225.7869
386.4004, 237.2639
386.8825, 247.3738
387.3647, 259.0809
387.8468, 274.0749
388.3289, 290.8960
388.8110, 305.5823
389.2931, 316.8788
389.7752, 329.3444
390.2574, 344.8353
390.7395, 361.5889
391.2216, 377.5431
391.7037, 392.2098
392.1858, 406.3766
392.6679, 420.9210
393.1501, 436.0924
393.6322, 450.2198
394.1143, 463.2988
394.5964, 475.5160
395.0785, 487.1663
395.5606, 498.0204
396.0428, 507.3504
396.5249, 514.7761
397.0070, 520.2742
397.4891, 523.8768
397.9712, 525.2880
398.4533, 525.0095
398.9355, 522.6308
399.4176, 518.7889
399.8997, 514.0856
400.3818, 508.7320
400.8639, 502.6063
401.3460, 495.4357
401.8282, 486.8003
402.3103, 478.2693
402.7924, 469.6950
403.2745, 461.2865
403.7566, 453.2005
404.2387, 445.3748
404.7209, 437.5484
405.2030, 429.4831
405.6851, 421.2746
406.1672, 414.0703
406.6493, 408.6437
407.1314, 403.2167
407.6136, 397.0389
408.0957, 390.7971
408.5778, 385.4173
409.0599, 381.2554
409.5420, 377.4243
410.0241, 372.5477
410.5063, 366.4637
410.9884, 360.3077
411.4705, 354.0995
411.9526, 348.0057
412.4347, 342.1908
412.9168, 336.6354
413.3990, 331.1554
413.8811, 326.0211
414.3632, 320.9200
414.8453, 314.5443
415.3274, 306.4939
415.8095, 298.1530
416.2917, 290.1901
416.7738, 282.4095
417.2559, 274.6238
417.7380, 266.9233
418.2201, 258.8981
418.7022, 249.8413
419.1844, 239.8813
419.6665, 230.2706
420.1486, 221.5599
420.6307, 213.1678
421.1128, 204.4992
421.5949, 195.5040
422.0771, 186.3087
422.5592, 176.4767
423.0413, 166.6879
423.5234, 157.8518
424.0055, 150.1022
424.4876, 142.9120
424.9698, 136.1147
425.4519, 129.6724
425.9340, 123.0313
426.4161, 115.7267
426.8982, 108.6046
427.3803, 102.3542
427.8625, 96.67041
428.3446, 90.72157
428.8267, 84.04722
429.3088, 77.25810
429.7909, 71.53617
430.2730, 67.35955
430.7552, 63.36976
431.2373, 59.99939
431.7194, 56.56211
432.2015, 52.17589
432.6836, 47.05934
433.1657, 42.08049
433.6479, 37.85941
434.1300, 34.36870
434.6121, 32.07352
435.0942, 32.71041
435.5763, 32.61444
436.0584, 30.76610
436.5406, 28.01438
437.0227, 25.15774
437.5048, 22.56214
437.9869, 20.42512
438.4690, 19.05265
438.9511, 18.61781
439.4333, 18.17564
439.9154, 17.79854
440.3975, 17.29257
440.8796, 16.36035
441.3617, 15.25625
441.8438, 14.63027
442.3260, 14.97440
442.8081, 16.02548
443.2902, 17.07558
443.7723, 18.21553
444.2544, 19.04526
444.7365, 18.90011
445.2187, 18.70601
445.7008, 19.38670
446.1829, 21.13329
446.6650, 23.13879
447.1471, 24.57056
447.6292, 25.67649
448.1114, 27.60050
448.5935, 30.79128
449.0756, 34.07076
449.5577, 36.42130
450.0398, 38.11288
450.5219, 39.80488
451.0041, 41.30718
451.4862, 43.06209
451.9683, 45.38764
452.4504, 48.33256
452.9325, 52.25794
453.4146, 57.58419
453.8968, 63.69440
454.3789, 69.19048
454.8610, 73.85445
455.3431, 78.47885
455.8252, 83.32455
456.3073, 88.40236
456.7895, 93.44612
457.2716, 98.48447
457.7537, 104.2043
458.2358, 111.3547
458.7179, 119.9404
459.2000, 127.9021
459.6822, 134.7228
460.1643, 141.6551
460.6464, 148.6202
461.1285, 156.0322
461.6106, 164.6173
462.0927, 174.6312
462.5748, 185.1480
463.0569, 194.6038
463.5391, 202.5900
464.0212, 210.6834
464.5033, 219.9796
464.9854, 228.1985
465.4675, 234.7947
465.9496, 239.4823
466.4318, 241.9663
466.9139, 242.1727
467.3960, 239.9482
467.8781, 234.5048
468.3602, 225.0564
468.8423, 214.1751
469.3245, 202.2787
469.8066, 189.3423
470.2887, 174.9260
470.7708, 159.0304
471.2529, 143.1916
471.7350, 128.4125
472.2172, 114.5847
472.6993, 101.5050
473.1814, 89.03443
473.6635, 77.68852
474.1456, 68.39304
474.6277, 60.47062
475.1099, 52.52642
475.5920, 43.56484
476.0741, 35.58598
476.5562, 30.46819
477.0383, 27.55187
477.5204, 24.74639
478.0026, 21.42415
478.4847, 17.96506
478.9668, 14.91445
479.4489, 12.34673
479.9310, 9.814860
480.4131, 7.113910
480.8953, 4.604161
481.3774, 2.541432
481.8595, 0.8986780
482.3416, 0.4819820
482.8237, 1.712785
483.3058, 2.725477
483.7880, 3.276964
484.2701, 2.681512
484.7522, 2.612988
485.2343, 3.513148
485.7164, 4.662747
486.1985, 4.700287
486.6807, 3.720999
487.1628, 3.071438
487.6449, 2.783993
488.1270, 2.850870
488.6091, 3.190943
489.0912, 4.171191
489.5734, 3.529994
490.0555, 3.291282
490.5376, 3.454413
491.0197, 3.734519
491.5018, 2.893928
491.9839, 2.314219
492.4661, 2.685729
492.9482, 2.717589
493.4303, 1.599155
493.9124, 0.8901380
494.3945, 0.6240400
494.8766, 1.083596
495.3588, 2.022419
495.8409, 2.445604
496.3230, 2.009022
496.8051, 1.610743
497.2872, 0.6976940
497.7693, 0.5615280
498.2515, 1.576837
498.7336, 2.154295
499.2157, 2.287217
499.6978, 1.820568
500.1799, 0.4223320
500.6620, 0.2816720
501.1442, 0.2658330
501.6263, 1.160682
502.1084, 1.966948
502.5905, 2.577821
503.0726, 2.853437
503.5547, 2.666187
504.0369, 2.211489
504.5190, 2.203207
505.0011, 3.243712
505.4832, 3.776251
505.9653, 3.329575
506.4474, 2.689787
506.9296, 2.526535
507.4117, 2.798675
507.8938, 2.898661
508.3759, 2.162590
508.8580, 0.8242240
509.3401, 0.3355210
509.8223, 1.038380
510.3044, 1.850157
510.7865, 2.813213
511.2686, 3.466390
511.7507, 3.046527
512.2328, 1.323429
512.7150, 1.396441
513.1971, 1.277944
513.6792, 1.596584
514.1613, 2.666893
514.6434, 3.158725
515.1255, 3.313426
515.6077, 3.202201
516.0898, 2.884963
516.5719, 2.652998
517.0540, 2.675981
517.5361, 2.589412
518.0182, 2.136228
518.5004, 1.536146
518.9825, 2.318613
519.4646, 3.037619
519.9467, 3.442424
520.4288, 3.123092
520.9109, 1.848647
521.3931, 2.382922
521.8752, 2.256339
522.3573, 3.338176
522.8394, 4.775351
523.3215, 6.101182
523.8036, 6.525179
524.2858, 5.751538
524.7679, 4.517602
525.2500, 4.002121
525.7321, 4.302503
526.2142, 4.848365
526.6964, 6.008443
527.1785, 6.983146
527.6606, 7.200051
528.1427, 6.967609
528.6248, 6.987198
529.1069, 7.603472
529.5891, 8.506876
530.0712, 9.440450
530.5533, 10.38317
531.0354, 10.88715
531.5175, 10.64095
531.9996, 10.20610
532.4818, 10.41265
532.9639, 11.19420
533.4460, 11.52479
533.9281, 10.30400
534.4102, 9.315236
534.8923, 10.43874
535.3745, 13.05650
535.8566, 14.96837
536.3387, 15.08603
536.8208, 14.30570
537.3029, 14.47714
537.7850, 16.31868
538.2672, 17.64115
538.7493, 18.02364
539.2314, 18.29814
539.7135, 19.00592
540.1956, 20.01076
540.6777, 20.81040
541.1599, 21.09405
541.6420, 21.11151
542.1241, 21.56213
542.6062, 22.60122
543.0883, 23.37939
543.5704, 23.45812
544.0526, 23.51058
544.5347, 24.09774
545.0168, 25.09322
545.4989, 25.87462
545.9810, 26.02477
546.4631, 25.79428
546.9453, 25.50897
547.4274, 25.25609
547.9095, 25.05557
548.3916, 24.90734
548.8737, 24.77631
549.3558, 24.71052
549.8380, 24.71966
550.3201, 24.58948
550.8022, 24.55746
551.2843, 24.26850
551.7664, 23.10292
552.2485, 21.26638
552.7307, 19.53741
553.2128, 18.34024
553.6949, 17.58600
554.1770, 17.01691
554.6591, 16.86601
555.1412, 16.48231
555.6234, 15.70850
556.1055, 14.79355
556.5876, 13.83768
557.0697, 12.91791
557.5518, 12.13979
558.0339, 11.53188
558.5161, 11.09277
558.9982, 11.01000
559.4803, 11.32349
559.9624, 11.63058
560.4445, 11.91800
560.9266, 12.09354
561.4088, 12.01867
561.8909, 11.73899
562.3730, 11.57731
562.8551, 11.79867
563.3372, 12.02553
563.8193, 11.77687
564.3015, 11.17007
564.7836, 10.78892
565.2657, 10.91733
565.7478, 11.25828
566.2299, 11.27886
566.7120, 10.73921
567.1942, 10.41704
567.6763, 10.36296
568.1584, 10.43598
568.6405, 10.68191
569.1226, 10.97519
569.6047, 11.08992
570.0869, 10.90763
570.5690, 10.65582
571.0511, 10.66714
571.5332, 10.93995
572.0153, 11.24865
572.4974, 11.74129
572.9796, 12.13893
573.4617, 12.23150
573.9438, 12.13554
574.4259, 12.12378
574.9080, 12.30937
575.3901, 12.59860
575.8723, 13.01519
576.3544, 13.50046
576.8365, 13.68930
577.3186, 13.39084
577.8007, 12.90566
578.2828, 12.52471
578.7650, 12.17616
579.2471, 11.89109
579.7292, 11.76001
580.2113, 11.75858
580.6934, 11.90032
581.1755, 12.10547
581.6577, 12.34773
582.1398, 12.56702
582.6219, 12.47139
583.1040, 11.62358
583.5861, 9.919084
584.0682, 8.726972
584.5504, 8.561356
585.0325, 8.319571
585.5146, 7.336730
585.9967, 6.243515
586.4788, 5.820859
586.9609, 6.338775
587.4431, 7.122544
587.9252, 7.662085
588.4073, 7.939083
588.8894, 7.581188
589.3715, 6.359825
589.8536, 5.387500
590.3358, 5.777425
590.8179, 6.932673
591.3000, 6.830608
591.7821, 4.529878
592.2642, 2.739842
592.7463, 2.785168
593.2285, 3.598936
593.7106, 4.011425
594.1927, 3.873048
594.6748, 3.541641
595.1569, 3.268204
595.6390, 3.097360
596.1212, 3.253084
596.6033, 4.109007
597.0854, 4.652439
597.5675, 4.549083
598.0496, 4.346464
598.5317, 4.399884
599.0139, 4.720319
599.4960, 5.000873
599.9781, 5.105638
600.4602, 5.023151
600.9423, 4.856510
601.4244, 4.610935
601.9066, 4.267070
602.3887, 3.758560
602.8708, 3.263595
603.3529, 2.982859
603.8350, 2.907386
604.3171, 3.360388
604.7993, 5.021827
605.2814, 6.626039
605.7635, 7.266427
606.2456, 7.253591
606.7277, 7.355271
607.2098, 7.862766
607.6920, 8.419367
608.1741, 8.375795
608.6562, 7.489150
609.1383, 7.106725
609.6204, 7.705050
610.1025, 8.305370
610.5847, 8.764989
611.0668, 9.002687
611.5489, 8.842877
612.0310, 8.239744
612.5131, 7.620849
612.9952, 7.402044
613.4774, 7.476540
613.9595, 7.506820
614.4416, 7.412802
614.9237, 7.354702
615.4058, 7.559412
615.8879, 7.806696
616.3701, 7.341757
616.8522, 5.673327
617.3343, 4.398152
617.8164, 3.927868
618.2985, 3.899236
618.7806, 4.205462
619.2628, 4.672883
619.7449, 4.896675
620.2270, 4.607717
620.7091, 3.956067
621.1912, 3.314385
621.6733, 2.608393
622.1555, 2.122747
622.6376, 2.050590
623.1197, 2.073504
623.6018, 2.019178
624.0839, 1.916466
624.5660, 1.881554
625.0482, 2.033867
625.5303, 2.156285
626.0124, 1.916240
626.4945, 1.451657
626.9766, 1.286283
627.4587, 1.568786
627.9409, 1.908668
628.4230, 1.908780
628.9051, 1.579036
629.3872, 1.462855
629.8693, 1.797801
630.3514, 2.010611
630.8336, 1.867356
631.3157, 1.612992
631.7978, 1.446942
632.2799, 1.428745
632.7620, 1.609623
633.2441, 2.137496
633.7263, 2.837114
634.2084, 2.961225
634.6905, 2.389034
635.1726, 1.679934
635.6547, 0.5954070
636.1368, 0.1737670
636.6190, 0.3442290
637.1011, 2.026055
637.5832, 3.126446
638.0653, 2.570444
638.5474, 1.690976
639.0295, 1.724744
639.5117, 2.313490
639.9938, 2.393852
640.4759, 1.603332
640.9580, 0.6269910
641.4401, 0.4227140
641.9222, 1.139087
642.4044, 1.231501
642.8865, 2.3124000E-02
643.3686, 1.069221
643.8507, 0.6243350
644.3328, 0.4000710
644.8149, 0.8484630
645.2971, 0.3425080
645.7792, 0.6259160
646.2613, 0.7750740
646.7434, 0.3477200
647.2255, 0.2483110
647.7076, 1.032149
648.1898, 0.9481770
648.6719, 0.1275780
649.1540, 1.400164
649.6361, 2.057394
650.1182, 1.689118
650.6003, 1.302691
651.0825, 0.9646050
651.5646, 0.6453040
652.0467, 0.2551560
652.5288, 0.1129310
653.0109, 0.2301810
653.4930, 3.0483000E-02
653.9752, 0.2032590
654.4573, 6.6918001E-02
654.9394, 0.4536210
655.4215, 0.8704110
655.9036, 0.2274020
656.3857, 0.1115370
656.8679, 0.2795360
657.3500, 0.7631860
657.8321, 0.1221250
658.3142, 0.4323250
658.7963, 0.6695910
659.2784, 0.1101940
