##NAMES=Simonkolleite
##RRUFFID=R130616
##IDEAL CHEMISTRY=Zn_5_(OH)_8_Cl_2_&#183;H_2_O
##LOCALITY=Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless tabular crystals, associated with the blue platy crystals with the chemistry CuZnCl(OH)3.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130616
343.7068, 1.318686
344.1889, 1.349189
344.6710, 1.404863
345.1531, 1.472265
345.6353, 1.557455
346.1174, 1.650838
346.5995, 1.737076
347.0816, 1.819341
347.5637, 1.918382
348.0458, 2.044888
348.5280, 2.198261
349.0101, 2.455039
349.4922, 3.047692
349.9743, 3.495215
350.4564, 3.474608
350.9385, 3.141673
351.4207, 2.843084
351.9028, 2.768862
352.3849, 2.911283
352.8670, 3.251275
353.3491, 4.088223
353.8312, 4.750289
354.3134, 5.139035
354.7955, 5.317839
355.2776, 5.275984
355.7597, 5.023135
356.2418, 4.767258
356.7239, 4.874610
357.2061, 5.617402
357.6882, 6.177479
358.1703, 6.499617
358.6524, 6.739019
359.1345, 6.953141
359.6166, 7.164888
360.0987, 7.406139
360.5808, 7.709410
361.0630, 8.076451
361.5451, 8.491179
362.0272, 8.942543
362.5093, 9.428145
362.9914, 10.02011
363.4735, 10.66714
363.9557, 11.22471
364.4378, 11.59904
364.9199, 11.86617
365.4020, 12.35200
365.8841, 13.17307
366.3662, 14.07613
366.8484, 15.07705
367.3305, 16.11414
367.8126, 17.10317
368.2947, 18.02131
368.7768, 18.96596
369.2589, 20.11572
369.7411, 21.56148
370.2232, 22.91572
370.7053, 24.03601
371.1874, 25.20048
371.6695, 26.59980
372.1516, 28.18417
372.6338, 29.75651
373.1159, 31.06274
373.5980, 32.14528
374.0801, 33.81377
374.5622, 36.52999
375.0443, 39.29531
375.5265, 41.73049
376.0086, 44.00834
376.4907, 46.33144
376.9728, 48.74485
377.4549, 51.38054
377.9370, 54.65123
378.4192, 58.77565
378.9013, 63.03889
379.3834, 67.13904
379.8655, 71.32542
380.3476, 75.76390
380.8297, 80.50933
381.3119, 85.63492
381.7940, 91.18637
382.2761, 97.17233
382.7582, 103.5009
383.2403, 110.0192
383.7224, 117.1160
384.2046, 125.0946
384.6867, 133.8031
385.1688, 142.8956
385.6509, 152.1798
386.1330, 161.6308
386.6151, 171.1940
387.0973, 180.7455
387.5794, 190.7537
388.0615, 201.7327
388.5436, 213.3311
389.0257, 225.2300
389.5078, 237.6878
389.9900, 249.8588
390.4721, 261.0956
390.9542, 271.4550
391.4363, 280.9940
391.9184, 289.9070
392.4005, 297.6957
392.8827, 303.9051
393.3648, 308.6400
393.8469, 311.4149
394.3290, 311.9137
394.8111, 310.4585
395.2932, 307.4401
395.7754, 302.8514
396.2575, 296.6507
396.7396, 288.4355
397.2217, 278.3227
397.7038, 268.1261
398.1859, 258.0776
398.6681, 247.6480
399.1501, 236.2577
399.6323, 224.1422
400.1144, 212.0189
400.5965, 200.1727
401.0786, 188.6962
401.5607, 178.0953
402.0428, 168.6490
402.5250, 159.3993
403.0071, 149.9188
403.4892, 140.6588
403.9713, 132.2209
404.4534, 124.7603
404.9355, 117.9197
405.4177, 111.2986
405.8998, 104.9128
406.3819, 98.96234
406.8640, 93.45726
407.3461, 88.33869
407.8282, 83.57224
408.3104, 79.14780
408.7925, 75.07588
409.2746, 71.34006
409.7567, 67.90133
410.2388, 64.50003
410.7209, 60.87002
411.2031, 57.66994
411.6852, 55.14098
412.1673, 52.94684
412.6494, 50.78491
413.1315, 48.56904
413.6136, 46.38150
414.0958, 44.33424
414.5779, 42.43384
415.0600, 40.61255
415.5421, 38.97878
416.0242, 37.33313
416.5063, 35.49757
416.9885, 33.57795
417.4706, 31.86407
417.9527, 30.55374
418.4348, 29.55491
418.9169, 28.51811
419.3990, 27.37226
419.8812, 26.36389
420.3633, 25.76495
420.8454, 25.23015
421.3275, 24.41271
421.8096, 23.22533
422.2917, 21.93670
422.7739, 20.78414
423.2560, 19.76823
423.7381, 18.86550
424.2202, 18.12549
424.7023, 17.43089
425.1844, 16.65569
425.6666, 15.83518
426.1487, 15.09580
426.6308, 14.55914
427.1129, 14.10178
427.5950, 13.54909
428.0771, 12.89404
428.5593, 12.18648
429.0414, 11.39720
429.5235, 10.60613
430.0056, 9.973618
430.4877, 9.532096
430.9698, 9.176675
431.4520, 8.959292
431.9341, 8.778477
432.4162, 8.390150
432.8983, 7.715955
433.3804, 6.973408
433.8625, 6.418839
434.3447, 6.083686
434.8268, 5.712210
435.3089, 5.262973
435.7910, 4.803133
436.2731, 4.339399
436.7552, 3.898269
437.2374, 3.566367
437.7195, 3.409389
438.2016, 3.368836
438.6837, 3.224572
439.1658, 2.862895
439.6479, 2.540956
440.1301, 2.304133
440.6122, 2.099440
441.0943, 1.853494
441.5764, 1.565881
442.0585, 1.332999
