##NAMES=Gadolinium gallium garnet
##RRUFFID=X090007
##IDEAL CHEMISTRY=Gd_3_Ga_2_(GaO_4_)_3_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted colorless gemstone, 1.70 ct
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/X090007
641.0256, 63.96298
641.5078, 63.36810
641.9899, 63.10217
642.4720, 63.22067
642.9541, 62.97458
643.4362, 62.23242
643.9183, 61.29388
644.4005, 59.82788
644.8826, 58.26099
645.3647, 57.31961
645.8468, 57.17456
646.3289, 57.03857
646.8110, 56.30389
647.2932, 54.98376
647.7753, 52.97614
648.2574, 50.24664
648.7395, 48.03583
649.2216, 47.19510
649.7037, 46.87598
650.1859, 45.51093
650.6680, 42.88901
651.1501, 40.23993
651.6322, 37.19400
652.1143, 34.57980
652.5964, 33.41074
653.0786, 32.90958
653.5607, 31.44205
654.0428, 28.44708
654.5249, 25.18481
655.0070, 23.62305
655.4891, 23.85336
655.9713, 23.15863
656.4534, 20.99268
656.9355, 18.96667
657.4176, 18.03308
657.8997, 17.58490
658.3818, 16.85483
658.8640, 15.68918
659.3461, 14.84021
659.8282, 15.05298
660.3103, 15.48923
660.7924, 15.15491
661.2745, 14.12592
661.7567, 12.94427
662.2388, 11.84793
662.7209, 10.91922
663.2030, 10.35208
663.6851, 10.33005
664.1672, 10.05206
664.6494, 9.573730
665.1315, 8.760223
665.6136, 7.002258
666.0957, 5.093170
666.5778, 4.215515
667.0599, 4.714935
667.5421, 5.650208
668.0242, 6.392731
668.5063, 6.929443
668.9884, 7.209137
669.4705, 7.229156
669.9526, 7.020294
670.4348, 6.458435
670.9169, 5.884430
671.3990, 6.139130
671.8811, 7.895508
672.3632, 8.799652
672.8453, 7.899353
673.3275, 7.040985
673.8096, 7.217133
674.2917, 8.155396
674.7738, 9.410309
675.2559, 10.79568
675.7380, 11.92880
676.2202, 12.13684
676.7023, 11.53815
677.1844, 11.34177
677.6665, 11.63171
678.1486, 12.17731
678.6307, 12.86542
679.1129, 13.74884
679.5950, 14.97971
680.0771, 16.70428
680.5592, 18.13708
681.0413, 18.94040
681.5234, 19.50684
682.0056, 20.10342
682.4877, 20.71317
682.9698, 21.27786
683.4519, 21.76862
683.9340, 22.07510
684.4161, 21.98569
684.8983, 21.46747
685.3804, 20.96759
685.8625, 20.49451
686.3446, 20.03174
686.8267, 19.52951
687.3088, 19.06174
687.7910, 18.84305
688.2731, 18.95508
688.7552, 18.60229
689.2373, 17.13373
689.7194, 15.24689
690.2015, 13.68860
690.6837, 12.39005
691.1658, 10.94125
691.6479, 9.160736
692.1300, 7.353943
692.6121, 5.923645
693.0942, 4.892944
693.5764, 4.200623
694.0585, 4.543518
694.5406, 4.279266
695.0227, 2.614166
695.5048, 0.3552860
695.9869, 1.921814
696.4691, 4.067810
696.9512, 5.441925
697.4333, 5.050171
697.9154, 4.063202
698.3975, 4.136414
698.8796, 5.108765
699.3618, 5.998291
699.8439, 6.438965
700.3260, 6.700775
700.8081, 7.188599
701.2902, 7.996613
