##NAMES=Peretaite
##RRUFFID=R060459
##IDEAL CHEMISTRY=CaSb^3+^_4_O_4_(SO_4_)_2_(OH)_2_&#183;2H_2_O
##LOCALITY=Pereta mine, Grosseto, Tuscany, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless thin plates, with red incrustations of valentinite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060459
505.1738, 8.5814998E-02
505.6559, 0.6408690
506.1381, 0.3630370
506.6202, 3.580200
507.1023, 5.531372
507.5844, 5.919556
508.0665, 5.546021
508.5486, 5.505249
509.0308, 5.815674
509.5129, 5.830200
509.9950, 5.452271
510.4771, 4.658325
510.9592, 3.089233
511.4413, 0.8751220
511.9235, 1.042969
512.4056, 2.406982
512.8877, 2.932251
513.3698, 1.543091
513.8519, 2.031250
514.3340, 4.689209
514.8162, 2.682129
515.2983, 1.008789
515.7804, 2.755615
516.2625, 0.1235350
516.7446, 3.048584
517.2267, 4.305664
517.7089, 4.212891
518.1910, 3.548950
518.6731, 0.6335450
519.1552, 1.148438
519.6373, 0.3588870
520.1194, 5.747192
520.6016, 8.015381
521.0837, 5.758667
521.5658, 1.962524
522.0479, 1.551147
522.5300, 5.062012
523.0121, 7.045776
523.4943, 7.204224
523.9764, 6.035645
524.4585, 3.681641
524.9406, 0.1115720
525.4227, 1.678223
525.9048, 0.3088380
526.3870, 4.379272
526.8691, 6.234863
527.3513, 6.000977
527.8334, 5.426025
528.3155, 5.912476
528.7976, 6.807495
529.2797, 7.202393
529.7618, 6.986694
530.2440, 6.289429
530.7261, 4.497192
531.2082, 2.485474
531.6903, 1.402466
532.1724, 1.735107
532.6545, 2.897217
533.1367, 5.640381
533.6188, 9.239014
534.1009, 11.23181
534.5830, 9.728882
535.0651, 8.004150
535.5472, 7.144653
536.0294, 7.292603
536.5115, 7.238770
536.9936, 6.570313
537.4757, 6.291016
537.9578, 7.322144
538.4399, 9.843506
538.9221, 12.88123
539.4042, 16.90417
539.8863, 20.48047
540.3684, 20.29211
540.8505, 16.68787
541.3326, 13.87500
541.8148, 13.98950
542.2969, 15.69336
542.7790, 16.58557
543.2611, 16.79285
543.7432, 17.33862
544.2253, 20.04578
544.7075, 22.84827
545.1896, 23.01404
545.6717, 19.53906
546.1538, 17.08435
546.6359, 19.12610
547.1180, 22.88135
547.6002, 25.36780
548.0823, 24.39966
548.5644, 23.83130
549.0465, 24.36365
549.5286, 25.78845
550.0107, 27.54749
550.4929, 30.09790
550.9750, 32.24170
551.4571, 33.36768
551.9392, 33.46729
552.4213, 34.53918
552.9034, 36.90076
553.3856, 39.24072
553.8677, 40.60071
554.3498, 41.00110
554.8319, 40.48706
555.3140, 38.83838
555.7961, 37.10376
556.2783, 36.33289
556.7604, 36.56726
557.2425, 38.04077
557.7246, 41.92712
558.2067, 45.99133
558.6888, 47.80615
559.1710, 47.90527
559.6531, 48.02405
560.1352, 49.49805
560.6173, 50.87183
561.0994, 50.88184
561.5815, 49.09534
562.0637, 48.46069
562.5458, 49.74487
563.0279, 52.38391
563.5100, 55.90344
563.9921, 60.88342
564.4742, 65.34692
564.9564, 69.22485
565.4385, 72.76343
565.9206, 76.14404
566.4027, 79.17725
566.8848, 82.59900
567.3669, 86.70386
567.8491, 91.30701
568.3312, 95.70483
568.8133, 99.92395
569.2954, 104.0974
569.7775, 106.9319
570.2596, 110.0287
570.7418, 117.1504
571.2239, 128.6753
571.7060, 139.8591
572.1881, 146.3352
572.6702, 151.2998
573.1523, 158.2427
573.6345, 168.5087
574.1166, 179.2006
574.5987, 188.8641
575.0808, 198.3075
575.5629, 208.9978
576.0450, 219.9855
576.5272, 233.5839
577.0093, 250.7142
577.4914, 270.6133
577.9735, 289.5824
578.4556, 306.6488
578.9377, 325.3229
579.4199, 347.6997
579.9020, 373.5217
580.3841, 400.7307
580.8662, 429.1060
581.3483, 459.2776
581.8304, 492.0284
582.3126, 526.8665
582.7947, 562.1414
583.2768, 597.8556
583.7589, 633.3835
584.2410, 667.0544
584.7231, 699.8057
585.2053, 733.7352
585.6874, 770.6150
586.1696, 808.0144
586.6517, 845.2283
587.1338, 881.9653
587.6159, 917.1781
588.0980, 951.5310
588.5801, 983.3273
589.0623, 1011.100
589.5444, 1034.162
590.0265, 1058.240
590.5086, 1085.149
590.9907, 1110.816
591.4728, 1131.693
591.9550, 1146.871
592.4371, 1162.690
592.9192, 1180.159
593.4013, 1196.883
593.8834, 1211.821
594.3655, 1223.943
594.8477, 1226.595
595.3298, 1218.299
595.8119, 1198.761
596.2940, 1166.738
596.7761, 1123.044
597.2582, 1069.457
597.7404, 1001.294
598.2225, 927.8953
598.7046, 853.6169
599.1867, 779.1381
599.6688, 708.3798
600.1509, 640.3801
600.6331, 577.0630
601.1152, 520.5906
601.5973, 471.5015
602.0794, 426.3553
602.5615, 384.7908
603.0436, 347.8915
603.5258, 317.9740
604.0079, 295.9485
604.4900, 276.6753
604.9721, 259.9238
605.4542, 245.0862
605.9363, 230.5391
606.4185, 216.4784
606.9006, 205.5426
607.3827, 200.7775
607.8648, 198.9520
608.3469, 196.0292
608.8290, 192.0581
609.3112, 187.4355
609.7933, 181.6897
610.2754, 175.8491
610.7575, 171.3711
611.2396, 168.5894
611.7217, 163.2233
612.2039, 152.6130
612.6860, 140.1929
613.1681, 128.5557
613.6502, 118.5129
614.1323, 107.9869
614.6144, 95.71802
615.0966, 83.75903
615.5787, 75.49182
616.0608, 71.69800
616.5429, 67.12756
617.0250, 60.13782
617.5071, 52.13562
617.9893, 46.21509
618.4714, 42.30029
618.9535, 39.84106
619.4356, 39.76379
619.9177, 40.27063
620.3998, 38.82080
620.8820, 35.58887
621.3641, 32.36377
621.8462, 30.26477
622.3283, 28.73389
622.8104, 26.82092
623.2925, 23.63635
