##NAMES=Chondrodite
##RRUFFID=R110158
##IDEAL CHEMISTRY=Mg_5_(SiO_4_)_2_F_2_
##LOCALITY=Pein Pyit, Mogok, Mandalay Division, Burma
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Orange bleb enclosed in calcite, associated with red spinel
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110158
584.6617, 1081.531
585.1439, 990.1875
585.6260, 1006.102
586.1081, 1047.547
586.5902, 1095.648
587.0723, 1132.227
587.5544, 1120.672
588.0366, 986.7891
588.5187, 865.7109
589.0008, 801.9922
589.4829, 793.7734
589.9650, 791.6797
590.4471, 800.7656
590.9293, 805.2109
591.4114, 791.4766
591.8935, 752.3828
592.3756, 750.9922
592.8577, 800.0234
593.3398, 849.7656
593.8220, 843.7422
594.3041, 788.9453
594.7862, 737.1797
595.2683, 696.7031
595.7504, 667.3516
596.2325, 652.1172
596.7147, 648.6016
597.1968, 649.2500
597.6789, 648.4922
598.1610, 654.2891
598.6431, 682.9844
599.1252, 727.4609
599.6074, 753.5859
600.0895, 730.4453
600.5716, 701.6719
601.0537, 690.1875
601.5358, 703.0625
602.0179, 706.2734
602.5001, 694.0859
602.9822, 677.5312
603.4643, 662.4922
603.9464, 645.0234
604.4285, 647.9453
604.9106, 680.1641
605.3928, 719.5000
605.8749, 723.7891
606.3570, 696.7656
606.8391, 693.3984
607.3212, 747.1641
607.8033, 811.5234
608.2855, 799.6172
608.7676, 731.2734
609.2497, 680.8516
609.7318, 717.4609
610.2139, 765.9922
610.6960, 765.0469
611.1782, 712.6172
611.6603, 655.2891
612.1424, 603.0781
612.6245, 555.6250
613.1066, 513.6953
613.5887, 480.6250
614.0709, 448.6172
614.5530, 418.7188
615.0351, 391.0625
615.5172, 363.3594
615.9993, 332.7031
616.4814, 312.7266
616.9636, 308.5234
617.4457, 312.7031
617.9278, 308.4766
618.4099, 296.5156
618.8920, 290.3203
619.3741, 304.4766
619.8563, 319.6875
620.3384, 304.1016
620.8205, 261.2500
621.3026, 212.3438
621.7847, 160.0391
622.2668, 112.5547
622.7490, 78.85938
623.2311, 60.77344
623.7132, 45.41406
624.1953, 29.46875
624.6774, 17.08594
625.1595, 13.49219
625.6417, 38.06250
626.1238, 35.21875
626.6059, 7.742188
627.0880, 61.11719
627.5701, 83.00000
628.0522, 69.43750
628.5344, 58.00781
629.0165, 57.90625
629.4986, 62.31250
629.9807, 60.60938
630.4628, 52.96875
630.9449, 38.43750
631.4271, 10.89062
631.9092, 18.49219
632.3913, 31.13281
632.8734, 30.15625
633.3555, 39.87500
633.8376, 86.25000
634.3198, 134.5234
634.8019, 163.4766
635.2840, 168.2344
635.7661, 167.0078
636.2482, 160.0547
636.7303, 149.6719
637.2125, 137.7109
637.6946, 124.4844
638.1767, 110.4219
638.6588, 96.74219
639.1409, 82.36719
639.6230, 65.25781
640.1052, 46.07031
640.5873, 29.27344
641.0694, 17.20312
641.5515, 7.640625
642.0336, 6.093750
642.5157, 20.53125
642.9979, 25.82031
643.4800, 9.898438
643.9621, 10.24219
644.4442, 21.26562
644.9263, 24.71094
645.4084, 31.92188
645.8906, 52.99219
646.3727, 76.19531
