##NAMES=Stichtite
##RRUFFID=R060675
##IDEAL CHEMISTRY=Mg_6_Cr^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Nevada Creek, Dundas, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Purple massive, associated with green serpentine
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060675
519.756, 3612.817
520.239, 3735.717
520.721, 3844.893
521.203, 3991.275
521.685, 4182.957
522.167, 4383.305
522.649, 4593.759
523.131, 4809.431
523.613, 5039.039
524.096, 5269.405
524.578, 5474.608
525.060, 5640.078
525.542, 5803.396
526.024, 6029.569
526.506, 6316.781
526.988, 6565.830
527.470, 6751.935
527.952, 6920.756
528.435, 7105.126
528.917, 7302.143
529.399, 7506.153
529.881, 7722.833
530.363, 7940.209
530.845, 8166.394
531.327, 8384.692
531.809, 8561.670
532.291, 8690.363
532.774, 8797.543
533.256, 8916.699
533.738, 9051.933
534.220, 9140.725
534.702, 9177.601
535.184, 9170.184
535.666, 9095.412
536.148, 8989.920
536.630, 8906.292
537.113, 8858.092
537.595, 8779.236
538.077, 8606.345
538.559, 8355.126
539.041, 8075.300
539.523, 7768.651
540.005, 7439.600
540.487, 7079.085
540.969, 6698.614
541.452, 6332.051
541.934, 5981.722
542.416, 5643.221
542.898, 5311.265
543.380, 4990.726
543.862, 4685.883
544.344, 4396.477
544.826, 4117.936
545.309, 3845.980
545.791, 3583.262
546.273, 3348.219
546.755, 3151.521
547.237, 2953.450
547.719, 2728.727
548.201, 2511.506
548.683, 2332.813
549.166, 2192.450
549.648, 2060.167
550.130, 1924.762
550.612, 1789.842
551.094, 1652.256
551.576, 1517.039
552.058, 1402.927
552.540, 1318.900
553.023, 1258.427
553.505, 1212.682
553.987, 1191.691
554.469, 1157.240
554.951, 1104.930
555.433, 1045.784
555.915, 974.620
556.397, 902.125
556.879, 846.582
557.362, 816.595
557.844, 797.892
558.326, 772.154
558.808, 740.469
559.290, 717.094
559.772, 707.703
560.254, 695.191
560.736, 663.985
561.218, 617.425
561.701, 576.643
562.183, 535.674
562.665, 507.908
563.147, 513.106
563.629, 525.831
564.111, 511.469
564.593, 468.176
565.075, 425.265
565.557, 411.258
566.040, 419.716
566.522, 408.139
567.004, 367.736
567.486, 327.179
567.968, 288.315
568.450, 256.788
568.932, 242.374
569.414, 244.666
569.896, 242.132
570.379, 214.962
570.861, 185.566
571.343, 185.676
571.825, 208.010
572.307, 215.299
572.789, 189.352
573.271, 155.059
573.753, 159.240
574.236, 227.646
574.718, 253.287
575.200, 197.612
575.682, 142.672
576.164, 119.015
576.646, 116.072
577.128, 114.324
577.610, 107.140
578.093, 98.440
578.575, 87.927
579.057, 78.636
579.539, 87.129
580.021, 118.295
580.503, 144.366
580.985, 141.911
581.467, 118.831
581.950, 115.364
582.432, 156.462
582.914, 179.783
583.396, 157.969
583.878, 129.147
584.360, 129.892
584.842, 156.769
585.324, 181.479
585.806, 186.345
586.289, 173.833
586.771, 142.186
587.253, 86.271
587.735, 56.184
588.217, 79.461
588.699, 111.114
589.181, 98.396
589.663, 49.439
590.145, 21.044
590.628, 33.638
591.110, 56.914
591.592, 88.447
592.074, 115.580
592.556, 112.725
593.038, 75.691
593.520, 33.062
594.002, 16.684
594.484, 25.227
594.967, 25.052
595.449, 7.552
595.931, 1.814
596.413, 8.750
596.895, 29.630
597.377, 56.229
597.859, 88.323
598.341, 112.224
598.823, 117.278
599.306, 114.572
599.788, 120.063
600.270, 129.391
600.752, 120.104
601.234, 80.875
601.716, 34.338
602.198, 20.669
602.680, 50.404
603.162, 73.249
603.645, 88.617
604.127, 97.408
604.609, 103.634
605.091, 102.259
605.573, 80.499
606.055, 31.123
606.537, 10.191
607.019, 6.217
607.502, 21.058
607.984, 25.853
608.466, 5.454
608.948, 9.804
609.430, 0.242
609.912, 24.549
610.394, 30.365
610.876, 2.207
611.359, 19.126
611.841, 5.394
612.323, 7.825
612.805, 2.116
613.287, 25.107
613.769, 35.210
614.251, 18.202
614.733, 3.304
615.216, 1.078
615.698, 22.899
616.180, 29.209
616.662, 13.680
617.144, 5.577
617.626, 16.228
618.108, 18.786
618.590, 15.839
619.072, 10.959
619.555, 17.713
620.037, 26.736
620.519, 69.460
621.001, 58.095
621.483, 7.407
621.965, 22.891
622.447, 9.515
622.929, 63.393
623.411, 68.246
623.894, 30.997
624.376, 14.708
624.858, 36.448
625.340, 65.777
625.822, 75.578
626.304, 67.274
626.786, 65.306
627.268, 76.461
627.750, 84.428
628.233, 79.688
628.715, 75.071
629.197, 84.005
629.679, 105.664
630.161, 129.250
630.643, 149.772
631.125, 164.531
631.607, 162.986
632.089, 145.948
632.572, 141.702
633.054, 160.798
633.536, 185.809
634.018, 199.915
634.500, 202.896
634.982, 204.865
635.464, 195.617
635.946, 197.928
636.429, 229.770
636.911, 268.599
637.393, 286.785
637.875, 284.713
638.357, 289.763
638.839, 331.330
639.321, 386.071
639.803, 393.780
640.286, 353.964
640.768, 319.528
641.250, 303.977
641.732, 301.309
642.214, 306.555
642.696, 320.178
643.178, 336.308
643.660, 363.980
644.143, 383.076
644.625, 391.282
645.107, 386.062
645.589, 351.569
646.071, 294.663
646.553, 260.157
647.035, 299.304
647.517, 371.365
647.999, 372.450
648.482, 302.823
648.964, 248.471
649.446, 232.469
649.928, 243.440
650.410, 274.847
650.892, 328.678
651.374, 368.023
651.856, 388.564
652.338, 401.143
652.821, 403.460
653.303, 402.266
653.785, 400.205
654.267, 400.259
654.749, 412.191
655.231, 453.451
655.713, 502.552
656.195, 509.479
656.677, 477.538
657.160, 455.723
657.642, 457.331
658.124, 474.332
658.606, 501.896
659.088, 540.740
659.570, 565.575
660.052, 571.118
660.534, 571.068
661.016, 552.433
661.499, 540.183
661.981, 563.781
662.463, 620.015
662.945, 675.877
663.427, 715.116
663.909, 737.901
664.391, 734.234
664.873, 711.265
665.356, 708.142
665.838, 736.298
666.320, 775.454
666.802, 805.417
667.284, 827.245
667.766, 861.283
668.248, 916.465
668.730, 972.067
669.213, 1031.661
669.695, 1086.253
670.177, 1125.040
670.659, 1151.620
671.141, 1181.796
671.623, 1215.801
672.105, 1267.099
672.587, 1361.060
673.070, 1483.062
673.552, 1590.585
674.034, 1675.766
674.516, 1760.360
674.998, 1863.679
675.480, 1981.134
675.962, 2085.070
676.444, 2161.868
676.926, 2251.434
677.409, 2374.322
677.891, 2497.186
678.373, 2596.690
678.855, 2679.776
679.337, 2770.623
679.819, 2887.248
680.301, 2993.868
680.783, 3056.560
681.265, 3096.744
681.748, 3153.299
682.230, 3225.566
682.712, 3277.595
683.194, 3284.035
683.676, 3259.137
684.158, 3243.460
684.640, 3244.396
685.122, 3219.724
685.604, 3150.753
686.087, 3075.806
686.569, 3019.481
687.051, 2973.748
687.533, 2924.627
688.015, 2877.489
688.497, 2810.362
688.979, 2703.128
689.461, 2582.195
689.943, 2459.795
