##NAMES=Euxenite-(Y)
##RRUFFID=R080101
##IDEAL CHEMISTRY=(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)_2_O_6_
##LOCALITY=Betafo, Madagascar
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Khaki colored fragment from metamict sample R060856, after heating at T = 1000 C for 24 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080101
456.4522, 821.7734
456.9344, 775.5781
457.4165, 751.6885
457.8986, 748.7324
458.3807, 763.1982
458.8628, 792.8428
459.3449, 840.6914
459.8271, 914.8672
460.3092, 1012.291
460.7913, 1120.816
461.2734, 1236.263
461.7555, 1360.183
462.2376, 1493.509
462.7198, 1633.609
463.2019, 1789.675
463.6840, 1971.159
464.1661, 2167.725
464.6482, 2366.870
465.1303, 2569.754
465.6125, 2768.893
466.0946, 2958.124
466.5767, 3139.664
467.0588, 3324.821
467.5409, 3522.004
468.0230, 3716.287
468.5052, 3899.897
468.9873, 4065.419
469.4694, 4238.103
469.9515, 4423.891
470.4336, 4611.771
470.9157, 4787.964
471.3979, 4950.154
471.8800, 5110.719
472.3621, 5274.165
472.8442, 5437.808
473.3263, 5595.059
473.8084, 5745.578
474.2906, 5892.131
474.7727, 6037.084
475.2548, 6179.696
475.7369, 6316.689
476.2190, 6447.827
476.7011, 6573.555
477.1833, 6697.796
477.6654, 6818.724
478.1475, 6931.479
478.6296, 7032.438
479.1117, 7125.404
479.5938, 7214.594
480.0760, 7299.889
480.5581, 7377.801
481.0402, 7447.479
481.5223, 7509.205
482.0044, 7564.098
482.4865, 7613.844
482.9687, 7651.816
483.4508, 7678.076
483.9329, 7690.630
484.4150, 7686.564
484.8971, 7653.848
485.3792, 7616.527
485.8614, 7583.519
486.3435, 7553.537
486.8256, 7505.096
487.3077, 7436.865
487.7898, 7352.798
488.2719, 7251.893
488.7541, 7130.611
489.2362, 7011.604
489.7183, 6895.786
490.2004, 6780.959
490.6825, 6661.604
