##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=CdAg_5.5_Pb_12_Sb_21.5_S_48_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
440.1398, 3.576948
440.6219, 5.118707
441.1040, 5.924939
441.5862, 5.435596
442.0683, 4.368027
442.5504, 4.071709
443.0325, 4.876577
443.5146, 5.323433
443.9967, 4.736901
444.4789, 4.218887
444.9610, 4.722300
445.4431, 5.924142
445.9252, 6.514485
446.4073, 5.152269
446.8894, 2.484372
447.3716, 1.090436
447.8537, 1.380679
448.3358, 1.893829
448.8179, 2.108683
449.3000, 2.167134
449.7821, 2.170171
450.2643, 2.096380
450.7464, 2.160695
451.2285, 2.757486
451.7106, 3.724498
452.1927, 4.146120
452.6748, 3.637108
453.1570, 2.957330
453.6391, 3.002933
454.1212, 3.605357
454.6033, 3.975726
455.0854, 3.827385
455.5675, 3.446709
456.0497, 2.928744
456.5318, 2.347256
457.0139, 2.064067
457.4960, 2.281917
457.9781, 2.896617
458.4602, 3.769276
458.9424, 5.309983
459.4245, 6.238187
459.9066, 6.090498
460.3887, 5.355162
460.8708, 4.254356
461.3529, 2.950160
461.8351, 2.055061
462.3172, 2.273210
462.7993, 3.667879
463.2814, 4.134337
463.7635, 2.556185
464.2456, 1.396876
464.7278, 1.689271
465.2099, 2.626720
465.6920, 2.941603
466.1741, 2.167147
466.6562, 1.092737
467.1383, 1.178706
467.6205, 3.009397
468.1026, 4.171634
468.5847, 4.097151
469.0668, 3.775570
469.5489, 3.652066
470.0310, 3.648569
470.5132, 3.431996
470.9953, 2.702410
471.4774, 1.710862
471.9595, 1.069264
472.4416, 0.7672660
472.9237, 0.8802490
473.4059, 2.002506
473.8880, 3.223167
474.3701, 3.586348
474.8522, 2.937119
475.3343, 2.248966
475.8164, 2.218369
476.2986, 2.613687
476.7807, 2.863636
477.2628, 2.956121
477.7449, 2.747463
478.2270, 1.914367
478.7091, 0.6616890
479.1913, 0.1379220
479.6734, 0.2623380
480.1555, 0.1240720
480.6376, 0.2059840
481.1197, 0.6307800
481.6018, 0.9485280
482.0839, 1.095571
482.5660, 1.149288
483.0482, 1.226223
483.5303, 1.388106
484.0124, 1.301954
484.4945, 0.4500400
484.9766, 0.1503740
485.4587, 0.2917310
485.9409, 1.431650
486.4230, 2.407162
486.9051, 2.747100
487.3872, 2.584677
487.8693, 2.256142
488.3514, 1.473205
488.8336, 1.124275
489.3157, 1.741905
489.7978, 2.307087
490.2799, 1.879951
490.7620, 0.6294790
491.2441, 0.3495410
491.7263, 1.3841000E-02
492.2084, 1.367169
492.6905, 1.916103
493.1726, 1.284463
493.6547, 0.7513640
494.1368, 0.9118660
494.6190, 1.405087
495.1011, 2.017688
495.5832, 2.773664
496.0653, 3.153221
496.5474, 2.396032
497.0295, 0.9327640
497.5117, 0.1727940
497.9938, 0.4605560
498.4759, 0.8875670
498.9580, 0.5605260
499.4401, 0.3015370
499.9222, 0.5287600
500.4044, 0.6518020
500.8865, 1.756029
501.3686, 1.835913
501.8507, 1.311992
502.3328, 1.123958
502.8149, 1.604019
503.2971, 2.223135
503.7792, 2.159903
504.2613, 1.009609
504.7434, 0.6786270
505.2255, 2.104328
505.7076, 3.333965
506.1898, 3.085232
506.6719, 1.958669
507.1540, 1.341280
507.6361, 1.983891
508.1182, 3.283900
508.6003, 3.814391
509.0825, 3.267073
509.5646, 2.781776
510.0467, 2.513165
510.5288, 2.295649
511.0109, 1.937494
511.4930, 1.527458
511.9752, 1.419638
512.4573, 2.120968
512.9394, 3.090321
513.4215, 2.874376
513.9036, 1.235862
514.3857, 9.7337000E-02
514.8679, 0.4564290
515.3500, 0.1597230
515.8321, 0.4665960
516.3142, 1.482307
516.7963, 2.212852
517.2784, 2.193289
517.7606, 1.801765
518.2427, 1.568385
518.7248, 1.534590
519.2069, 1.449974
519.6890, 1.104160
520.1711, 0.5875770
520.6533, 0.3722950
521.1354, 0.6582420
521.6175, 0.9253090
522.0996, 1.146203
522.5817, 1.276435
523.0638, 1.160111
523.5460, 0.8355020
524.0281, 0.6350560
524.5102, 0.9292770
524.9923, 1.696775
525.4744, 2.100492
525.9565, 1.826553
526.4387, 1.574960
526.9208, 1.552299
527.4029, 1.648634
527.8850, 1.615447
528.3671, 1.317639
528.8492, 1.076633
529.3314, 1.657317
529.8135, 2.950817
530.2956, 3.079574
530.7777, 1.348200
531.2598, 0.3151380
531.7419, 0.4529580
532.2241, 0.2164610
532.7062, 0.5181010
533.1883, 3.8004000E-02
533.6704, 0.4203830
534.1525, 0.5002060
534.6346, 2.080283
535.1168, 2.588347
535.5989, 1.544184
536.0810, 0.3884940
536.5631, 0.6838310
537.0452, 2.513434
537.5273, 3.595190
538.0095, 3.678246
538.4916, 3.384790
538.9737, 2.571433
539.4558, 1.647927
539.9379, 1.290750
540.4200, 1.686881
540.9022, 2.290906
541.3843, 2.267147
541.8664, 1.403355
