##NAMES=Stringhamite
##RRUFFID=R060934
##IDEAL CHEMISTRY=CaCuSiO_4_&#183;H_2_O
##LOCALITY=Santos mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Azure blue crust, there is no diffraction from this material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060934
335.5826, 289.7770
336.0648, 292.8724
336.5469, 298.4993
337.0290, 310.7976
337.5111, 333.1178
337.9932, 348.3862
338.4753, 352.3612
338.9575, 352.5634
339.4396, 366.3800
339.9217, 398.0109
340.4038, 426.8727
340.8859, 442.9692
341.3680, 445.6777
341.8502, 447.0830
342.3323, 447.7800
342.8144, 445.8286
343.2965, 437.1211
343.7786, 421.5543
344.2607, 406.6135
344.7429, 394.3030
345.2250, 385.8257
345.7071, 385.8820
346.1892, 395.8677
346.6713, 405.2408
347.1534, 401.8003
347.6355, 387.4269
348.1176, 372.5208
348.5998, 357.9137
349.0819, 347.0303
349.5640, 346.8962
350.0461, 357.1288
350.5282, 366.7407
351.0103, 364.6049
351.4925, 355.4119
351.9746, 349.5840
352.4567, 351.1056
352.9388, 354.7191
353.4209, 353.2250
353.9030, 347.8821
354.3852, 344.2585
354.8673, 344.1298
355.3494, 348.4270
355.8315, 359.6343
356.3136, 380.6066
356.7957, 401.6777
357.2779, 416.6567
357.7600, 426.1597
358.2421, 431.8882
358.7242, 427.8624
359.2063, 423.6857
359.6884, 430.2965
360.1706, 451.9041
360.6527, 470.0857
361.1348, 469.8131
361.6169, 463.6772
362.0990, 466.6495
362.5811, 491.4666
363.0633, 515.5311
363.5454, 530.2000
364.0275, 534.5898
364.5096, 544.2385
364.9917, 568.7736
365.4738, 597.2319
365.9560, 620.7566
366.4381, 636.6266
366.9202, 648.6116
367.4023, 655.4932
367.8844, 658.0203
368.3665, 662.6204
368.8487, 675.0405
369.3308, 685.6133
369.8129, 689.3213
370.2950, 680.5258
370.7771, 673.7163
371.2592, 671.8654
371.7414, 671.7762
372.2235, 664.2544
372.7056, 644.2744
373.1877, 624.2836
373.6698, 610.0466
374.1519, 603.9465
374.6341, 593.7272
375.1162, 579.1855
375.5983, 560.8079
376.0804, 536.0923
376.5625, 500.7418
377.0446, 477.2297
377.5267, 478.3806
378.0089, 501.6284
378.4910, 507.0563
378.9731, 491.6155
379.4552, 469.5518
379.9373, 452.1271
380.4194, 439.3906
380.9016, 437.6814
381.3837, 450.1898
381.8658, 473.4304
382.3479, 498.9041
382.8300, 526.6902
383.3121, 559.2140
383.7943, 603.6865
384.2764, 654.9417
384.7585, 695.0634
385.2406, 715.5164
385.7227, 730.1128
386.2048, 758.2384
386.6870, 798.3588
387.1691, 840.6257
387.6512, 872.0083
388.1333, 904.4790
388.6154, 956.0343
389.0975, 1029.355
389.5797, 1105.545
390.0618, 1175.008
390.5439, 1239.352
391.0260, 1295.550
391.5081, 1328.844
391.9902, 1361.585
392.4724, 1413.750
392.9545, 1484.768
393.4366, 1546.765
393.9187, 1583.698
394.4008, 1607.455
394.8829, 1629.237
395.3651, 1658.631
395.8472, 1679.831
396.3293, 1689.499
396.8114, 1686.698
397.2935, 1671.693
397.7756, 1649.292
398.2578, 1611.649
398.7399, 1552.673
399.2220, 1456.978
399.7041, 1366.833
400.1862, 1282.490
400.6683, 1203.079
401.1505, 1127.894
401.6326, 1064.729
402.1147, 994.0625
402.5968, 906.8940
403.0789, 801.0259
403.5610, 706.4956
404.0432, 622.4333
404.5253, 550.9489
405.0074, 495.9756
405.4895, 460.4756
405.9716, 429.5903
406.4537, 403.6304
406.9359, 379.3766
407.4180, 342.1571
407.9001, 289.1206
408.3822, 238.6302
408.8643, 203.4811
409.3464, 182.4948
409.8285, 164.9353
410.3106, 150.9857
410.7928, 137.5129
411.2749, 116.0409
411.7570, 88.59851
412.2391, 68.71057
412.7212, 70.07922
413.2033, 81.46826
413.6855, 82.41785
414.1676, 72.33252
414.6497, 55.14648
415.1318, 24.14673
415.6139, 10.03577
416.0960, 28.28235
416.5782, 11.90527
417.0603, 10.60864
417.5424, 17.25037
418.0245, 10.17114
418.5066, 0.1514890
418.9887, 18.95020
419.4709, 32.63843
419.9530, 28.63147
420.4351, 6.094727
420.9172, 36.03967
421.3993, 46.58997
421.8814, 44.36072
422.3636, 41.55383
422.8457, 39.23547
423.3278, 38.33435
423.8099, 39.37158
424.2920, 42.59399
424.7741, 46.62244
425.2563, 53.38928
425.7384, 59.78699
426.2205, 62.63391
426.7026, 56.77197
427.1847, 56.00696
427.6668, 64.14990
428.1490, 79.27478
428.6311, 90.30737
429.1132, 96.46497
429.5953, 100.1283
430.0774, 102.1002
430.5595, 101.9882
431.0417, 103.3757
431.5238, 107.7378
432.0059, 111.5505
432.4880, 106.5829
432.9701, 92.44275
433.4522, 81.93018
433.9344, 85.06738
434.4165, 95.92773
434.8986, 87.38464
435.3807, 58.02686
435.8628, 31.38257
436.3449, 38.25269
436.8271, 65.45508
437.3092, 77.39893
437.7913, 58.28381
438.2734, 29.74011
438.7555, 15.91345
439.2376, 13.79004
439.7197, 11.96936
440.2018, 5.051270
440.6840, 5.367676
441.1661, 21.01343
441.6482, 45.13135
442.1303, 59.53650
442.6124, 44.55396
443.0945, 16.71924
443.5767, 1.086304
444.0588, 6.511841
444.5409, 16.93799
445.0230, 23.59326
445.5051, 26.26318
445.9872, 26.59058
446.4694, 16.86328
446.9515, 10.27930
447.4336, 15.19824
447.9157, 50.31555
448.3978, 69.95569
448.8799, 66.31299
449.3621, 48.36340
449.8442, 37.35156
450.3263, 37.19263
450.8084, 36.23328
451.2905, 28.97803
451.7726, 14.64404
452.2548, 8.531616
452.7369, 13.82959
453.2190, 20.30920
453.7011, 13.47827
454.1832, 7.138184
454.6653, 17.53076
455.1475, 9.296021
455.6296, 9.138916
456.1117, 21.04565
456.5938, 26.25330
457.0759, 23.56421
457.5580, 4.921265
458.0402, 21.12366
458.5223, 35.99951
459.0044, 36.94592
459.4865, 32.68921
459.9686, 28.51721
460.4507, 25.34973
460.9329, 24.81213
461.4150, 28.62683
461.8971, 34.54712
462.3792, 41.31409
462.8613, 48.87866
463.3434, 57.50256
463.8256, 72.18237
464.3077, 84.87378
464.7898, 89.30969
465.2719, 77.55627
465.7540, 68.33459
466.2361, 65.58887
466.7183, 67.65894
467.2004, 71.34082
467.6825, 78.53589
468.1646, 84.89856
468.6467, 86.82666
469.1288, 82.53870
469.6110, 92.99194
470.0930, 130.4564
470.5752, 167.1891
471.0573, 175.8383
471.5394, 146.3716
472.0215, 128.3556
472.5036, 131.1501
472.9857, 147.0170
473.4679, 154.2987
473.9500, 151.5610
474.4321, 152.4918
474.9142, 163.8090
475.3963, 183.2354
475.8784, 207.5818
476.3606, 238.2701
476.8427, 260.7065
477.3248, 250.2095
477.8069, 221.8180
478.2890, 210.5178
478.7711, 234.4207
479.2533, 267.8130
479.7354, 284.4525
480.2175, 288.1860
480.6996, 294.5397
481.1817, 315.4475
481.6638, 339.9775
482.1460, 361.2888
482.6281, 379.2115
483.1102, 389.6753
483.5923, 379.3248
484.0744, 364.6139
484.5565, 365.5125
485.0387, 405.3468
485.5208, 440.0819
486.0029, 456.1777
486.4850, 456.1774
486.9671, 466.9009
487.4492, 498.3885
487.9314, 528.6461
488.4135, 544.1118
488.8956, 535.8997
489.3777, 540.8616
489.8598, 562.5590
490.3419, 593.5197
490.8241, 623.0581
491.3062, 651.1432
491.7883, 680.0137
492.2704, 713.2977
492.7525, 747.2256
493.2346, 765.8329
493.7168, 768.7181
494.1989, 775.2985
494.6810, 804.5284
495.1631, 847.9678
495.6452, 889.1246
496.1273, 925.9900
496.6095, 956.8093
497.0916, 972.9714
497.5737, 981.5122
498.0558, 996.2297
498.5379, 1028.350
499.0201, 1063.205
499.5022, 1090.975
499.9843, 1112.673
500.4664, 1136.578
500.9485, 1165.996
501.4306, 1198.326
501.9127, 1230.596
502.3948, 1264.730
502.8770, 1295.251
503.3591, 1322.354
503.8412, 1345.650
504.3233, 1365.156
504.8054, 1381.059
505.2875, 1391.261
505.7697, 1393.947
506.2518, 1390.001
506.7339, 1379.096
507.2160, 1362.411
507.6981, 1338.336
508.1802, 1301.771
508.6624, 1253.085
509.1445, 1210.602
509.6266, 1177.858
510.1087, 1149.255
510.5908, 1116.292
511.0729, 1079.682
511.5551, 1044.054
512.0372, 1011.342
512.5193, 980.4639
513.0014, 951.3774
513.4835, 923.1936
513.9656, 897.1305
514.4478, 874.1802
514.9299, 854.6688
515.4120, 839.8936
515.8941, 830.9875
516.3762, 821.8451
516.8583, 810.9965
517.3405, 798.3763
517.8226, 783.9604
518.3047, 769.4120
518.7868, 751.3315
519.2689, 726.6871
519.7510, 695.5645
520.2332, 668.6307
520.7153, 649.3282
521.1974, 630.8370
521.6795, 608.5083
522.1616, 580.0609
522.6437, 556.8540
523.1259, 542.0214
