##NAMES=Romerite
##RRUFFID=R060820
##IDEAL CHEMISTRY=Fe^2+^Fe^3+^_2_(SO_4_)_4_&#183;14H_2_O
##LOCALITY=Alcaparrosa mine, Tierra Amarilla, Chile
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Reddish-brown isolated grains associated with copiapite, R060821
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060820
585.3190, 926.6646
585.8010, 955.1082
586.2830, 993.1536
586.7650, 1040.908
587.2470, 1086.637
587.7290, 1122.682
588.2110, 1157.808
588.6930, 1198.432
589.1760, 1243.901
589.6580, 1295.376
590.1400, 1354.015
590.6220, 1416.827
591.1040, 1480.081
591.5860, 1545.572
592.0680, 1608.471
592.5500, 1665.805
593.0320, 1720.038
593.5150, 1780.591
593.9970, 1847.865
594.4790, 1914.741
594.9610, 1973.138
595.4430, 2027.179
595.9250, 2082.449
596.4070, 2140.192
596.8900, 2206.241
597.3720, 2292.195
597.8540, 2383.912
598.3360, 2465.617
598.8180, 2524.212
599.3000, 2586.104
599.7820, 2658.792
600.2640, 2739.860
600.7460, 2824.658
601.2290, 2928.011
601.7110, 3012.401
602.1930, 3063.145
602.6750, 3084.420
603.1570, 3120.542
603.6390, 3177.446
604.1210, 3234.648
604.6030, 3281.231
605.0850, 3316.420
605.5680, 3342.555
606.0500, 3361.866
606.5320, 3366.102
607.0140, 3341.529
607.4960, 3295.957
607.9780, 3244.429
608.4600, 3185.261
608.9420, 3127.703
609.4240, 3091.940
609.9070, 3062.473
610.3890, 3009.827
610.8710, 2901.632
611.3530, 2791.216
611.8350, 2699.851
612.3170, 2625.705
612.7990, 2549.966
613.2810, 2473.873
613.7630, 2392.253
614.2460, 2301.511
614.7280, 2199.975
615.2100, 2102.706
615.6920, 2011.808
616.1740, 1919.429
616.6560, 1814.004
617.1380, 1698.439
617.6200, 1598.442
618.1030, 1518.088
618.5850, 1451.913
619.0670, 1402.465
619.5490, 1360.377
620.0310, 1301.700
620.5130, 1190.304
620.9950, 1080.504
621.4770, 1016.934
621.9590, 991.2710
622.4420, 961.1609
622.9240, 910.7439
623.4060, 855.0818
623.8880, 799.8452
624.3700, 744.0679
624.8520, 693.2827
625.3340, 650.3174
625.8160, 607.7383
626.2990, 558.0283
626.7810, 497.7302
627.2630, 447.8813
627.7450, 411.9097
628.2270, 383.9844
628.7090, 352.4521
629.1910, 319.7109
629.6730, 300.6064
630.1560, 311.5872
