##NAMES=Atelestite
##RRUFFID=R080139
##IDEAL CHEMISTRY=Bi^3+^_2_O(As^5+^O_4_)(OH)
##LOCALITY=Daniel mine, Schneeberg, Saxony, Germany
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Small sharp tan to cream colored crystals, associated with dark brown eulytine
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080139
406.3121, 181.5098
406.7942, 122.7383
407.2763, 62.79102
407.7585, 0.3554690
408.2406, 62.09375
408.7227, 104.4834
409.2048, 124.8115
409.6869, 141.0908
410.1690, 172.1094
410.6512, 213.6045
411.1333, 246.5186
411.6154, 265.4385
412.0975, 277.6191
412.5796, 297.2402
413.0617, 321.7344
413.5439, 339.4072
414.0260, 338.0518
414.5081, 328.3350
414.9902, 326.2949
415.4723, 333.9951
415.9544, 340.3252
416.4366, 333.2803
416.9187, 319.3760
417.4008, 308.3652
417.8829, 306.6191
418.3650, 306.7031
418.8471, 308.2607
419.3293, 309.6172
419.8114, 302.3877
420.2935, 278.0850
420.7756, 246.9297
421.2577, 215.1006
421.7398, 181.3574
422.2220, 151.0791
422.7041, 126.0234
423.1862, 104.9531
423.6683, 85.66406
424.1504, 77.30762
424.6325, 61.22656
425.1147, 27.79297
425.5968, 26.70117
426.0789, 65.35156
426.5610, 74.68262
427.0431, 80.45215
427.5252, 105.1016
428.0074, 159.7754
428.4895, 207.2939
428.9716, 242.7021
429.4537, 268.2168
429.9358, 289.0273
430.4179, 303.1631
430.9001, 319.1738
431.3822, 344.1387
431.8643, 378.3350
432.3464, 401.2529
432.8285, 410.3008
433.3106, 416.3896
433.7928, 433.5254
434.2749, 460.6689
434.7570, 489.1797
435.2391, 517.2070
435.7212, 544.3867
436.2033, 568.3135
436.6855, 589.5811
437.1676, 614.0508
437.6497, 648.0195
438.1318, 687.4775
438.6139, 725.7178
439.0960, 761.1240
439.5782, 797.4453
440.0603, 840.1191
440.5424, 885.7891
441.0245, 928.0010
441.5066, 963.1465
441.9887, 994.8418
442.4709, 1022.650
442.9530, 1046.916
443.4351, 1075.555
443.9172, 1112.855
444.3993, 1154.814
444.8814, 1198.731
445.3636, 1250.292
445.8457, 1294.912
446.3278, 1327.344
446.8099, 1351.416
447.2920, 1376.758
447.7741, 1409.461
448.2563, 1437.762
448.7384, 1457.510
449.2205, 1467.109
449.7026, 1477.830
450.1847, 1493.025
450.6668, 1505.427
