##NAMES=Ottoite
##RRUFFID=R130126
##IDEAL CHEMISTRY=Pb_2_TeO_5_
##LOCALITY=Grand Central mine, Tombstone, Cochise County, Arizona
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Clusters of pale yellow-green spear-shaped crystals, in subparallel to divergent intergrowths.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130126
557.8882, 18.21184
558.3703, 17.58084
558.8524, 16.95103
559.3345, 16.25938
559.8167, 15.67802
560.2988, 15.50951
560.7809, 15.35678
561.2630, 14.61436
561.7451, 13.07565
562.2272, 11.56297
562.7094, 10.86534
563.1915, 10.77609
563.6736, 10.67923
564.1557, 10.55104
564.6378, 10.14539
565.1199, 9.146698
565.6021, 7.717712
566.0842, 6.601501
566.5663, 5.779572
567.0484, 5.291245
567.5305, 5.467957
568.0126, 5.837234
568.4948, 5.771576
568.9769, 5.186417
569.4590, 4.426346
569.9411, 3.792267
570.4232, 3.283768
570.9053, 2.935608
571.3875, 2.993530
571.8696, 2.877289
572.3517, 2.333969
572.8338, 1.686493
573.3159, 1.196915
573.7980, 0.9202420
574.2802, 0.8170780
574.7623, 1.007828
575.2444, 1.362839
575.7265, 1.263657
576.2086, 0.5857850
576.6907, 2.4109000E-02
577.1729, 0.2435610
577.6550, 0.2146150
578.1371, 0.1997380
578.6192, 0.2351230
579.1013, 0.1387630
579.5834, 0.3434140
580.0656, 0.8835600
580.5477, 1.101517
581.0298, 0.9880520
581.5119, 0.7109830
581.9940, 0.3418730
582.4761, 4.7637999E-02
582.9583, 0.2090300
583.4404, 9.7855002E-02
583.9225, 0.2705990
584.4046, 0.3038640
584.8867, 0.2043760
585.3688, 0.1886290
585.8510, 0.7269590
586.3331, 0.9690860
586.8152, 0.5502780
587.2973, 0.1690830
587.7794, 0.3041080
588.2615, 0.2423250
588.7437, 0.7156830
589.2258, 0.9397130
589.7079, 1.024872
590.1900, 1.068771
590.6721, 1.071564
591.1542, 1.031693
591.6364, 0.8404540
592.1185, 0.6956330
592.6006, 0.8022000
593.0827, 1.096695
593.5648, 1.444229
594.0469, 1.812073
594.5291, 2.026352
595.0112, 1.790359
595.4933, 0.9208680
595.9754, 0.4323270
596.4575, 0.5967710
596.9396, 0.7772060
597.4218, 0.6992030
597.9039, 0.5149380
598.3860, 0.5164790
598.8681, 0.7924800
599.3502, 1.041092
599.8323, 0.8117680
600.3145, 0.1277470
600.7966, 0.3398590
601.2787, 0.5244450
601.7608, 0.5674290
602.2429, 0.4431760
602.7250, 0.2559360
603.2072, 0.1880490
603.6893, 0.3212130
604.1714, 0.3909760
604.6535, 0.1526490
605.1356, 0.1832580
605.6177, 0.3197940
606.0999, 0.2222140
606.5820, 5.3847998E-02
607.0641, 0.5186920
607.5462, 1.076035
608.0283, 1.283081
608.5104, 0.7139130
608.9926, 0.3993840
609.4747, 0.5967560
609.9568, 0.8765110
610.4389, 0.9859310
610.9210, 0.9000550
611.4031, 0.6279140
611.8853, 5.6853998E-02
612.3674, 0.4997560
612.8495, 0.1630860
613.3316, 1.194214
613.8137, 1.889908
614.2958, 1.139297
614.7780, 9.2483997E-02
615.2601, 1.6251000E-02
615.7422, 0.6506040
616.2243, 1.156311
616.7064, 1.297867
617.1885, 1.235596
617.6707, 0.8567350
618.1528, 0.3861240
618.6349, 0.3236850
619.1170, 0.8067930
619.5991, 1.477158
620.0812, 1.927139
620.5634, 2.148849
621.0455, 2.279358
621.5276, 2.070740
622.0097, 2.083817
622.4918, 2.696930
622.9739, 3.435287
623.4561, 3.747406
623.9382, 3.553513
624.4203, 3.320450
624.9023, 3.511200
625.3845, 3.939499
625.8666, 4.048141
626.3487, 3.793930
626.8308, 3.623856
627.3129, 3.779861
627.7950, 4.101425
628.2772, 4.293549
628.7593, 4.349182
629.2414, 4.350784
629.7235, 4.081482
630.2056, 3.964798
630.6877, 4.452072
631.1699, 5.310516
631.6520, 5.970123
632.1341, 6.170395
632.6162, 6.187119
633.0983, 6.506561
633.5804, 7.217743
634.0626, 7.676285
634.5447, 7.598358
635.0268, 7.625061
635.5089, 8.207062
635.9910, 9.015152
636.4731, 9.506714
636.9553, 9.494659
637.4374, 9.494598
637.9195, 9.935043
638.4016, 10.57524
638.8837, 10.94844
639.3658, 11.00665
639.8480, 11.08530
640.3301, 11.40982
640.8122, 11.90785
641.2943, 12.32819
641.7764, 12.40628
642.2585, 12.76994
642.7407, 13.48390
643.2228, 14.39111
643.7049, 15.56276
644.1870, 16.85568
644.6691, 17.95190
645.1512, 18.64624
645.6334, 19.16589
646.1155, 19.90897
646.5976, 20.87434
647.0797, 21.82181
647.5618, 22.76222
648.0439, 23.59744
648.5261, 24.07574
649.0082, 24.39052
649.4903, 25.14293
649.9724, 26.57739
650.4545, 28.12305
650.9366, 29.54572
651.4188, 30.94659
651.9009, 32.50012
652.3830, 34.19087
652.8651, 35.77718
653.3472, 37.05962
653.8293, 38.16348
654.3115, 39.63742
654.7936, 41.56393
655.2757, 43.65785
655.7578, 45.93671
656.2399, 48.33374
656.7220, 50.76381
657.2042, 53.27905
657.6863, 56.03160
658.1684, 59.09312
658.6505, 62.40303
659.1326, 65.86314
659.6147, 69.53590
660.0969, 73.72456
660.5790, 78.49503
661.0611, 83.38998
661.5432, 87.91443
662.0253, 92.19617
662.5074, 97.50180
662.9896, 104.3586
663.4717, 111.5660
663.9538, 118.9292
664.4359, 126.7249
664.9180, 134.8824
665.4001, 143.6413
665.8823, 153.6680
666.3644, 165.5560
666.8465, 178.7651
667.3286, 192.3020
667.8107, 206.1983
668.2928, 221.5943
668.7750, 238.6828
669.2571, 257.2673
669.7392, 276.9299
670.2213, 297.8574
670.7034, 320.2701
671.1855, 345.0085
671.6677, 370.1644
672.1498, 395.2255
672.6319, 420.0991
673.1140, 444.6280
673.5961, 468.8905
674.0782, 493.4635
674.5604, 518.9506
675.0425, 545.0750
675.5246, 571.0505
676.0067, 596.7648
676.4888, 622.7300
676.9709, 648.7264
677.4531, 675.6163
677.9352, 704.0287
678.4173, 733.8010
678.8994, 764.2513
679.3815, 795.1779
679.8636, 826.8195
680.3458, 859.6636
680.8279, 893.1503
681.3100, 927.0621
681.7921, 961.0447
682.2742, 994.4022
682.7563, 1026.709
683.2385, 1057.703
683.7206, 1086.780
684.2027, 1115.760
684.6848, 1138.679
685.1669, 1155.786
685.6490, 1165.373
686.1312, 1166.503
686.6133, 1159.114
687.0954, 1143.183
687.5775, 1118.605
688.0596, 1085.624
688.5417, 1042.448
689.0239, 991.4987
689.5060, 937.8417
689.9881, 882.1797
690.4702, 825.6906
690.9523, 768.4263
691.4344, 711.2256
691.9166, 657.1122
692.3987, 605.6328
692.8808, 558.1883
693.3629, 515.3562
693.8450, 476.0461
694.3271, 439.5713
694.8093, 405.8768
695.2914, 375.3307
695.7735, 348.2462
696.2556, 323.8121
696.7377, 301.1011
697.2198, 280.2479
697.7020, 261.4290
698.1841, 244.8249
698.6662, 229.8496
699.1483, 216.1883
699.6304, 203.8034
700.1125, 192.7876
700.5947, 184.6175
701.0768, 175.6693
701.5589, 164.9650
702.0410, 154.3347
702.5231, 144.6097
703.0052, 135.9158
703.4874, 128.1177
703.9695, 121.2563
704.4516, 114.9082
704.9337, 108.5587
705.4158, 102.3219
705.8979, 96.81505
706.3801, 92.19508
706.8622, 87.76633
707.3442, 83.00201
707.8264, 78.19188
708.3085, 74.15489
708.7906, 71.21677
709.2727, 68.17926
709.7548, 64.69310
710.2369, 61.34616
710.7191, 58.55081
711.2012, 56.11171
711.6833, 53.67574
712.1654, 51.13084
712.6475, 48.58958
713.1296, 46.08180
713.6118, 43.64786
714.0939, 41.41838
714.5760, 39.41962
715.0581, 37.51044
715.5402, 35.59097
716.0223, 33.77733
716.5045, 32.32204
716.9866, 31.30244
717.4687, 30.27058
717.9508, 29.20419
718.4329, 28.10599
718.9150, 26.90164
