##NAMES=Lorandite
##RRUFFID=R060961
##IDEAL CHEMISTRY=TlAsS_2_
##LOCALITY=Allchar, Macedonia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep red prisms or tabular crystals, associated with prismatic realgar.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060961
400.8826, 391.9113
401.3647, 346.5739
401.8468, 307.2262
402.3289, 273.4590
402.8111, 246.7625
403.2932, 229.8818
403.7753, 226.3094
404.2574, 222.2684
404.7395, 214.1310
405.2216, 202.1814
405.7037, 189.3118
406.1859, 175.1931
406.6680, 159.7706
407.1501, 140.6459
407.6322, 117.8748
408.1143, 103.1299
408.5964, 100.8229
409.0786, 105.4123
409.5607, 105.1248
410.0428, 99.84723
410.5249, 90.99811
411.0070, 74.02753
411.4891, 54.45990
411.9713, 48.41370
412.4534, 60.63873
412.9355, 76.04718
413.4176, 77.78357
413.8997, 68.91290
414.3818, 58.66455
414.8640, 49.15417
415.3461, 41.61255
415.8282, 37.96869
416.3103, 38.31042
416.7924, 39.58594
417.2745, 39.18506
417.7567, 38.75708
418.2388, 40.25305
418.7209, 50.16113
419.2030, 56.56970
419.6851, 50.45856
420.1672, 34.77740
420.6494, 25.01520
421.1315, 31.25244
421.6136, 40.89038
422.0957, 47.03070
422.5778, 48.44379
423.0599, 47.06537
423.5421, 40.86902
424.0242, 31.80316
424.5063, 23.32819
424.9884, 11.34229
425.4705, 4.677307
425.9526, 7.685181
426.4348, 22.99957
426.9169, 31.39062
427.3990, 29.02991
427.8811, 23.98547
428.3632, 26.00909
428.8453, 38.68146
429.3275, 45.96436
429.8095, 43.22748
430.2917, 33.01593
430.7738, 27.25861
431.2559, 26.68054
431.7380, 26.93195
432.2201, 24.58618
432.7022, 19.78204
433.1844, 16.79791
433.6665, 16.21906
434.1486, 17.09851
434.6307, 18.93951
435.1128, 21.29669
435.5949, 23.45361
436.0771, 24.67120
436.5592, 25.55969
437.0413, 27.61530
437.5234, 30.87244
438.0055, 32.59436
438.4876, 29.94482
438.9698, 24.43481
439.4519, 18.64789
439.9340, 12.39410
440.4161, 6.851379
440.8982, 2.196167
441.3803, 1.593323
441.8625, 3.911987
442.3446, 4.138245
442.8267, 2.724915
443.3088, 0.6043700
443.7909, 8.035339
444.2730, 12.69922
444.7552, 12.37531
445.2373, 8.534180
445.7194, 3.436951
446.2015, 6.747437
446.6836, 13.71692
447.1657, 14.42596
447.6479, 8.077576
448.1300, 4.310425
448.6121, 5.443298
449.0942, 6.711853
449.5763, 3.135376
450.0584, 9.338379
450.5406, 14.63251
451.0227, 8.061829
451.5048, 5.552246
451.9869, 10.94385
452.4690, 6.644836
452.9511, 1.144592
453.4333, 1.537109
453.9154, 1.463135
454.3975, 1.605957
454.8796, 8.491272
455.3617, 14.92755
455.8438, 13.88055
456.3259, 7.083557
456.8080, 2.105591
457.2902, 3.522217
457.7723, 7.132629
458.2544, 5.981140
458.7365, 0.6146850
