##NAMES=Dmisteinbergite
##RRUFFID=R130087
##IDEAL CHEMISTRY=CaAl_2_Si_2_O_8_
##LOCALITY=Katashina Village, Gunma Prefecture, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless platelets with pearly luster. Associated with prehnite and wairakite, R061075
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R130087
517.9291, 26.84229
518.4113, 20.59570
518.8934, 10.83643
519.3755, 7.345215
519.8576, 10.18896
520.3397, 2.991211
520.8218, 50.27441
521.3040, 98.03320
521.7861, 96.97070
522.2682, 49.55469
522.7503, 15.69531
523.2324, 13.83154
523.7145, 19.46191
524.1967, 16.77393
524.6788, 8.847168
525.1609, 5.842285
525.6430, 12.16455
526.1251, 21.49902
526.6072, 22.81641
527.0894, 13.44922
527.5715, 4.745117
528.0536, 5.127930
528.5357, 12.39795
529.0178, 11.69482
529.4999, 8.018555
529.9821, 12.96826
530.4642, 35.96387
530.9463, 54.24023
531.4284, 30.06445
531.9105, 23.32373
532.3926, 38.59570
532.8748, 5.163086
533.3569, 58.47510
533.8390, 78.29346
534.3211, 63.84277
534.8032, 38.02246
535.2853, 25.22754
535.7675, 69.71973
536.2496, 60.25146
536.7317, 28.05176
537.2138, 16.23975
537.6959, 34.41699
538.1780, 55.91992
538.6602, 48.55859
539.1423, 13.05029
539.6244, 12.20020
540.1065, 27.45898
540.5886, 31.68115
541.0707, 15.20312
541.5529, 9.790527
542.0350, 26.69727
542.5171, 32.99414
542.9992, 31.91113
543.4813, 20.68213
543.9634, 4.806152
544.4456, 9.122070
544.9277, 19.89795
545.4098, 23.01123
545.8919, 13.65869
546.3740, 3.825684
546.8561, 11.87939
547.3383, 5.086426
547.8204, 9.153809
548.3025, 16.16064
548.7846, 42.25684
549.2667, 46.51514
549.7488, 31.64014
550.2310, 15.26709
550.7131, 8.597656
551.1952, 8.359375
551.6773, 7.334473
552.1594, 5.326172
552.6415, 7.276855
553.1237, 15.15430
553.6058, 27.04590
554.0879, 44.36523
554.5700, 67.18213
555.0521, 79.60156
555.5342, 73.98975
556.0164, 62.54492
556.4985, 49.54785
556.9806, 37.00977
557.4627, 25.10010
557.9448, 14.25781
558.4269, 12.81250
558.9091, 39.85596
559.3912, 105.0522
559.8733, 136.0439
560.3554, 109.7056
560.8375, 79.16016
561.3196, 66.17139
561.8018, 62.80664
562.2839, 57.08691
562.7660, 44.99658
563.2481, 35.03711
563.7302, 36.55713
564.2123, 43.57764
564.6945, 44.05469
