##NAMES=Diamond
##RRUFFID=R050207
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal,  type I
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050207
455.9700, 4.498291
456.4521, 7.684708
456.9343, 10.59315
457.4164, 11.23840
457.8985, 10.09156
458.3806, 8.655396
458.8627, 7.056267
459.3448, 6.121826
459.8270, 7.611404
460.3091, 10.75562
460.7912, 12.97950
461.2733, 11.32481
461.7554, 9.035248
462.2375, 9.229454
462.7197, 12.94495
463.2018, 15.76402
463.6839, 14.88457
464.1660, 12.10925
464.6481, 9.812836
465.1302, 7.840401
465.6123, 6.640732
466.0945, 6.653488
466.5766, 7.661301
467.0587, 8.071274
467.5408, 6.915199
468.0229, 6.162010
468.5050, 6.391144
468.9872, 8.178665
469.4693, 9.053528
469.9514, 9.603889
470.4335, 10.03510
470.9156, 9.719131
471.3977, 7.920525
471.8799, 6.019302
472.3620, 4.973526
472.8441, 4.831268
473.3262, 5.282684
473.8083, 6.134880
474.2904, 6.887680
474.7726, 7.389908
475.2547, 7.597229
475.7368, 7.066353
476.2189, 5.650017
476.7010, 3.945503
477.1831, 2.378288
477.6653, 1.168625
478.1474, 0.8031310
478.6295, 2.308083
479.1116, 4.198761
479.5937, 4.449867
480.0758, 3.049736
480.5580, 1.850182
481.0401, 2.909431
481.5222, 4.343910
482.0043, 3.983955
482.4864, 7.2212003E-02
482.9685, 2.344109
483.4507, 5.4664999E-02
483.9328, 4.444473
484.4149, 7.720146
484.8970, 8.923737
485.3791, 9.144196
485.8612, 8.391823
486.3434, 6.683914
486.8255, 5.402107
487.3076, 4.542297
487.7897, 3.808365
488.2718, 2.948288
488.7539, 1.668144
489.2361, 0.8563310
489.7182, 0.6487960
490.2003, 1.081032
490.6824, 2.571556
491.1645, 5.436417
491.6466, 7.337257
492.1288, 7.084595
492.6109, 5.284729
493.0930, 4.395653
493.5751, 4.530983
494.0572, 4.928192
494.5393, 4.434410
495.0215, 3.673767
495.5036, 4.439758
495.9857, 7.194374
496.4678, 10.14814
496.9499, 12.21838
497.4320, 13.32967
497.9142, 13.33396
498.3963, 11.65666
498.8784, 9.865982
499.3605, 8.001152
499.8426, 5.820938
500.3247, 3.559013
500.8069, 3.359818
501.2890, 3.700783
501.7711, 3.716400
502.2532, 1.923584
502.7353, 0.4127730
503.2174, 0.9708180
503.6996, 1.764771
504.1817, 1.592781
504.6638, 0.9811780
505.1459, 3.503815
505.6280, 5.508018
506.1101, 6.671761
506.5923, 7.663033
507.0744, 9.010994
507.5565, 9.954468
508.0386, 9.529007
508.5207, 7.496880
509.0028, 6.977051
509.4850, 8.327042
509.9671, 9.768913
510.4492, 8.822853
510.9313, 6.006622
511.4134, 3.247452
511.8955, 0.7834090
512.3776, 5.9959002E-02
512.8597, 3.366821
513.3419, 9.406273
513.8240, 13.62042
514.3061, 12.81380
514.7882, 9.856834
515.2703, 6.079498
515.7524, 1.915398
516.2346, 0.6307600
516.7167, 0.1418380
517.1988, 1.406563
517.6809, 2.473282
518.1630, 4.119598
518.6451, 4.958069
519.1273, 4.268997
519.6094, 2.438919
520.0915, 1.226669
