##NAMES=Munakataite
##RRUFFID=R110005
##IDEAL CHEMISTRY=Pb_2_Cu_2_(Se^4+^O_3_)SO_4_(OH)_4_
##LOCALITY=Tonopah-Belmont mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Blue acicular to prismatic crystals with tapering terminations, associated with brochantite and cerussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110005
449.2482, 3.288814
449.7303, 3.465141
450.2125, 3.579134
450.6946, 3.588453
451.1767, 3.521150
451.6588, 3.866055
452.1409, 4.849154
452.6230, 5.727261
453.1052, 5.762728
453.5873, 4.844506
454.0694, 4.617574
454.5515, 5.302268
455.0337, 6.526931
455.5158, 7.882237
455.9979, 9.344584
456.4800, 10.37275
456.9621, 10.36664
457.4442, 9.884160
457.9264, 10.32884
458.4085, 11.67003
458.8906, 13.19981
459.3727, 14.44309
459.8548, 15.46389
460.3369, 16.30294
460.8191, 16.89999
461.3012, 17.50951
461.7833, 18.28785
462.2654, 19.23309
462.7475, 20.33624
463.2296, 21.91480
463.7118, 23.40078
464.1939, 24.45430
464.6760, 25.06050
465.1581, 25.53287
465.6402, 25.62283
466.1223, 25.81869
466.6045, 26.46584
467.0866, 28.54632
467.5687, 29.91254
468.0508, 29.92629
468.5329, 29.20780
469.0150, 29.20242
469.4972, 30.71920
469.9793, 31.70602
470.4614, 31.28681
470.9435, 29.33558
471.4256, 28.31553
471.9077, 28.59897
472.3899, 29.02049
472.8720, 28.47858
473.3541, 26.86226
473.8362, 25.25277
474.3183, 23.81239
474.8004, 22.48451
475.2826, 21.14098
475.7647, 19.75392
476.2468, 18.36218
476.7289, 16.93594
477.2110, 15.52475
477.6931, 14.28645
478.1753, 13.21578
478.6574, 12.18974
479.1395, 11.11265
479.6216, 10.01397
480.1037, 8.899057
480.5858, 7.735650
481.0680, 6.641883
481.5501, 5.607574
482.0322, 4.716126
482.5143, 4.152257
482.9964, 4.414565
483.4786, 4.647913
483.9607, 4.321523
484.4428, 3.369463
484.9249, 2.686810
485.4070, 2.671565
485.8892, 2.798960
486.3713, 2.686940
486.8534, 1.830325
487.3355, 1.496978
487.8176, 2.111193
488.2997, 3.133814
488.7819, 3.338383
489.2640, 2.279102
489.7461, 1.416628
490.2282, 1.302824
490.7103, 1.882055
491.1924, 2.199428
491.6746, 2.217029
492.1567, 2.137691
492.6388, 2.267296
493.1209, 2.522310
493.6030, 2.163640
494.0851, 0.8735830
494.5673, 0.4494240
495.0494, 0.2287130
495.5315, 1.108937
496.0136, 2.135564
496.4957, 1.949558
496.9778, 1.240015
497.4600, 0.6960490
497.9421, 0.2809810
498.4242, 8.7700002E-03
498.9063, 0.1319720
499.3884, 0.1313350
499.8705, 4.6211999E-02
500.3527, 0.4912680
500.8348, 0.9021450
501.3169, 1.131483
501.7990, 1.267655
502.2811, 1.436467
502.7632, 1.828620
503.2454, 2.070132
503.7275, 1.854062
504.2096, 1.271519
504.6917, 1.415449
505.1738, 2.963920
505.6559, 4.316566
506.1381, 4.444683
506.6202, 2.834090
507.1023, 2.176549
507.5844, 2.742702
508.0665, 3.772875
508.5486, 4.109633
509.0308, 3.728649
509.5129, 3.868193
509.9950, 5.063510
510.4771, 6.761356
510.9592, 7.807954
511.4413, 8.231850
511.9235, 8.407123
512.4056, 8.359864
512.8877, 8.296252
513.3698, 8.628097
513.8519, 9.410819
514.3340, 10.11482
514.8162, 9.822247
515.2983, 9.388124
515.7804, 9.868533
516.2625, 12.52696
516.7446, 14.94632
517.2267, 15.86397
517.7089, 15.79018
518.1910, 16.00454
518.6731, 17.10732
519.1552, 18.24185
519.6373, 19.13378
520.1194, 19.78628
520.6016, 20.22631
521.0837, 20.24733
521.5658, 20.35303
522.0479, 20.93485
522.5300, 22.28282
523.0121, 23.01106
523.4943, 22.89271
523.9764, 22.29153
524.4585, 21.83812
524.9406, 21.54412
525.4227, 21.18514
525.9048, 20.70667
526.3870, 20.11297
526.8691, 19.37366
527.3513, 18.47960
527.8334, 17.45284
528.3155, 16.18861
528.7976, 14.82472
529.2797, 13.54816
529.7618, 12.37535
530.2440, 11.32575
530.7261, 10.43345
531.2082, 9.658504
531.6903, 8.977170
532.1724, 8.406813
532.6545, 7.901264
533.1367, 7.315243
533.6188, 6.757526
534.1009, 6.510825
534.5830, 7.308068
535.0651, 7.747263
535.5472, 7.168088
536.0294, 5.313882
536.5115, 4.335742
536.9936, 4.716920
537.4757, 5.298744
537.9578, 4.953491
538.4399, 3.425290
538.9221, 2.650536
539.4042, 2.958261
539.8863, 3.847713
540.3684, 4.622692
540.8505, 5.258306
541.3326, 5.427721
541.8148, 4.696962
542.2969, 3.601849
542.7790, 3.136265
543.2611, 3.237448
543.7432, 3.381588
544.2253, 3.159851
544.7075, 2.829777
545.1896, 2.679756
545.6717, 2.782585
546.1538, 2.872967
546.6359, 2.813638
547.1180, 2.677160
547.6002, 2.541463
548.0823, 2.668442
548.5644, 2.516403
549.0465, 1.661873
549.5286, 0.4411300
550.0107, 0.1376540
550.4929, 0.4227460
550.9750, 0.8663370
551.4571, 0.6670200
551.9392, 0.1814840
552.4213, 0.3098170
552.9034, 0.5313650
553.3856, 1.364371
553.8677, 1.177844
554.3498, 9.3700998E-02
554.8319, 0.3393550
555.3140, 0.1246290
555.7961, 0.9237690
556.2783, 1.437859
556.7604, 1.700553
557.2425, 1.784968
557.7246, 1.564614
558.2067, 1.339297
558.6888, 1.535354
559.1710, 2.005791
559.6531, 2.247807
560.1352, 1.734422
560.6173, 1.140571
561.0994, 0.9118240
561.5815, 1.135512
562.0637, 1.255169
562.5458, 1.050737
563.0279, 0.7762670
563.5100, 0.6140360
563.9921, 0.6063550
564.4742, 0.6432450
564.9564, 0.7467730
565.4385, 0.8742500
565.9206, 0.9774990
566.4027, 1.078035
566.8848, 1.028018
567.3669, 0.7136880
