##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
435.8291, 758.3195
436.3112, 768.9807
436.7933, 778.4045
437.2755, 786.0102
437.7576, 793.4879
438.2397, 803.9691
438.7218, 816.3173
439.2039, 826.6876
439.6860, 833.0056
440.1682, 836.3224
440.6503, 837.2051
441.1324, 835.6808
441.6145, 832.9933
442.0966, 829.8965
442.5787, 825.9757
443.0609, 820.7897
443.5430, 814.5317
444.0251, 806.5693
444.5072, 796.8218
444.9893, 785.1983
445.4714, 771.3743
445.9536, 754.1175
446.4357, 735.5422
446.9178, 716.4390
447.3999, 696.6169
447.8820, 676.9142
448.3641, 657.4896
448.8463, 638.0987
449.3284, 618.2217
449.8105, 598.4075
450.2926, 577.4434
450.7747, 554.6862
451.2569, 530.4716
451.7390, 507.3884
452.2211, 484.9877
452.7032, 464.2842
453.1853, 446.4312
453.6674, 431.4756
454.1496, 415.7687
454.6317, 398.9382
455.1138, 381.5397
455.5959, 364.2402
456.0780, 347.0284
456.5602, 331.0020
457.0423, 317.0490
457.5244, 304.2200
458.0065, 289.8096
458.4886, 274.1740
458.9707, 259.7386
459.4529, 249.4135
459.9350, 241.2133
460.4171, 232.3663
460.8992, 221.9805
461.3813, 211.7906
461.8634, 203.4608
462.3456, 196.2822
462.8277, 189.2011
463.3098, 181.4807
463.7919, 173.8499
464.2740, 166.6231
464.7561, 159.8193
465.2383, 153.3970
465.7204, 147.1259
466.2025, 140.9749
466.6846, 135.0281
467.1667, 129.2762
467.6488, 124.2954
468.1310, 120.4595
468.6131, 117.1740
469.0952, 113.4023
469.5773, 108.5350
470.0594, 104.1057
470.5415, 100.6481
471.0237, 98.19104
471.5058, 95.46594
471.9879, 92.59985
472.4700, 89.29114
472.9521, 84.90057
473.4342, 79.11902
473.9164, 74.59216
474.3985, 71.81451
474.8806, 70.01251
475.3627, 67.77185
475.8448, 64.95483
476.3270, 62.27307
476.8091, 60.37775
477.2912, 58.98444
477.7733, 57.17908
478.2554, 54.84766
478.7375, 52.31372
479.2197, 49.76593
479.7018, 47.34674
480.1839, 45.34998
480.6660, 43.99585
481.1481, 42.61975
481.6302, 41.18829
482.1124, 39.38690
482.5945, 36.68378
483.0766, 30.33661
483.5587, 25.36731
484.0408, 25.14886
484.5229, 29.54156
485.0051, 32.05804
485.4872, 29.85388
485.9693, 26.60962
486.4514, 24.52631
486.9335, 24.72034
487.4156, 24.15576
487.8978, 22.22546
488.3799, 19.87207
488.8620, 18.56891
489.3441, 18.67316
489.8262, 19.01495
490.3083, 19.61365
490.7905, 20.26904
491.2726, 19.17151
491.7547, 15.97516
492.2368, 12.69806
492.7189, 11.03680
493.2010, 10.73938
493.6832, 10.22607
494.1653, 9.285645
494.6474, 8.328308
495.1295, 7.822998
495.6116, 7.708618
496.0938, 7.805847
496.5759, 8.222656
497.0580, 8.661804
497.5401, 8.937256
498.0222, 9.003174
498.5044, 8.622559
498.9865, 7.287170
