##NAMES=Pseudobrookite
##RRUFFID=R120173
##IDEAL CHEMISTRY=(Fe^3+^_2_Ti)O_5_
##LOCALITY=Nuestra Señora del Carmen Mines, La Celia, Jumilla, Murcia, Spain
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Dark brown tabular, associated with R120174 enstatite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120173
554.5437, 23.67249
555.0258, 23.92035
555.5079, 24.33350
555.9901, 24.65820
556.4722, 24.13275
556.9543, 23.35083
557.4364, 23.74683
557.9185, 26.51837
558.4006, 29.45929
558.8828, 30.69775
559.3649, 30.64917
559.8470, 30.46167
560.3291, 30.36084
560.8112, 30.52936
561.2933, 31.10730
561.7755, 32.07251
562.2576, 32.90985
562.7397, 33.43561
563.2218, 33.85242
563.7039, 34.33679
564.1860, 35.21338
564.6682, 35.30139
565.1503, 34.15533
565.6324, 32.69995
566.1145, 32.26538
566.5966, 33.04999
567.0787, 33.96405
567.5609, 34.75397
568.0430, 35.45477
568.5251, 36.23065
569.0072, 37.08832
569.4893, 37.80457
569.9714, 38.14661
570.4536, 38.35632
570.9357, 38.61005
571.4178, 38.92615
571.8999, 39.74005
572.3820, 41.99786
572.8641, 44.45624
573.3463, 45.91376
573.8284, 45.84241
574.3105, 45.76514
574.7926, 45.89746
575.2747, 46.31909
575.7568, 47.14166
576.2390, 48.96558
576.7211, 50.30676
577.2032, 50.88342
577.6853, 50.93103
578.1674, 51.00421
578.6495, 50.91772
579.1317, 51.33746
579.6138, 52.82233
580.0959, 55.20959
580.5780, 56.89642
581.0601, 57.85846
581.5422, 58.38971
582.0244, 58.53656
582.5065, 58.46735
582.9886, 58.57782
583.4707, 58.95032
583.9528, 59.54163
584.4349, 60.05389
584.9171, 60.79602
585.3992, 62.25214
585.8813, 65.82568
586.3634, 68.78833
586.8455, 69.51074
587.3276, 68.70306
587.8098, 68.24945
588.2919, 68.51056
588.7740, 69.22168
589.2561, 70.49768
589.7382, 72.35547
590.2203, 73.63080
590.7025, 74.00244
591.1846, 74.30121
591.6667, 75.04388
592.1488, 76.25708
592.6309, 77.73108
593.1130, 79.59076
593.5952, 81.30444
594.0773, 82.05139
594.5594, 82.08368
595.0415, 82.29785
595.5236, 82.94092
596.0057, 83.83789
596.4879, 84.82092
596.9700, 85.89172
597.4521, 87.03748
597.9342, 88.45837
598.4163, 89.80237
598.8984, 90.79712
599.3806, 91.47778
599.8627, 92.24097
600.3448, 93.38062
600.8269, 94.44873
601.3090, 95.24127
601.7911, 95.69287
602.2733, 96.04010
602.7554, 96.11731
603.2375, 96.32660
603.7196, 97.16827
604.2017, 98.75110
604.6838, 99.86578
605.1660, 100.2483
605.6481, 100.4343
606.1302, 101.4538
606.6123, 103.0989
607.0944, 104.3524
607.5765, 104.5777
608.0587, 104.5129
608.5408, 105.2443
609.0229, 106.4663
609.5050, 107.2043
609.9871, 106.4861
610.4692, 105.4542
610.9514, 104.7000
611.4335, 104.2644
611.9156, 104.1833
612.3977, 105.2241
612.8798, 106.0276
613.3619, 105.7827
613.8441, 104.0597
614.3262, 102.3827
614.8083, 100.5579
615.2904, 99.01819
615.7725, 98.70636
616.2546, 99.76483
616.7368, 99.74506
617.2189, 97.83575
617.7010, 95.15491
618.1831, 93.74915
618.6652, 93.39081
619.1473, 93.14990
619.6295, 92.67889
620.1116, 92.03564
620.5937, 91.18127
621.0758, 90.17224
621.5579, 89.21436
622.0400, 88.25903
622.5222, 87.34784
623.0043, 86.73572
623.4864, 86.63995
623.9685, 86.01862
624.4506, 84.48041
624.9327, 82.77631
625.4149, 81.36243
625.8970, 80.38782
626.3791, 79.08759
626.8612, 77.26349
627.3433, 75.22552
627.8254, 73.38098
628.3076, 71.67566
628.7897, 70.24573
629.2718, 69.31476
629.7539, 68.71326
630.2360, 68.04022
630.7181, 67.26080
631.2003, 66.47076
631.6824, 65.74017
632.1645, 64.92834
632.6466, 64.01068
633.1287, 63.04779
633.6108, 62.11700
634.0930, 61.32819
634.5751, 60.47461
635.0572, 59.36407
635.5393, 57.84760
636.0214, 56.92969
636.5035, 57.23761
636.9857, 57.34186
637.4678, 55.83618
637.9499, 52.33667
638.4320, 50.14563
638.9141, 49.68744
639.3962, 49.96381
639.8784, 49.58936
640.3605, 48.77118
640.8426, 48.53009
641.3247, 49.51013
641.8068, 50.51019
642.2889, 49.79596
642.7711, 48.11633
643.2532, 47.16846
643.7353, 48.59094
644.2174, 50.07819
644.6995, 50.47424
645.1816, 49.90259
645.6638, 49.42279
646.1459, 49.13751
646.6280, 49.03217
647.1101, 49.20996
647.5922, 49.69733
648.0743, 49.67371
648.5565, 48.87042
649.0386, 48.21252
649.5207, 48.57422
650.0028, 49.80780
650.4849, 50.67761
650.9670, 51.04382
651.4492, 51.27289
651.9313, 51.78247
652.4134, 52.41614
652.8955, 52.97693
653.3776, 53.78711
653.8597, 53.73785
654.3419, 51.17004
654.8240, 47.53821
655.3061, 45.10028
655.7882, 45.07538
656.2703, 45.63281
656.7524, 47.07733
657.2346, 48.83307
657.7167, 49.04938
658.1988, 47.13715
658.6809, 45.01355
659.1630, 43.13794
659.6451, 41.57233
660.1273, 41.00275
660.6094, 41.49408
661.0915, 41.57159
661.5736, 39.84534
662.0557, 37.11554
662.5378, 35.01965
663.0200, 33.63000
663.5021, 32.18207
663.9842, 29.68170
664.4663, 27.11401
664.9484, 25.64081
665.4305, 26.12970
665.9127, 25.71161
666.3948, 22.85522
666.8769, 19.21594
667.3590, 16.46143
667.8411, 14.90649
668.3232, 13.71619
668.8054, 13.07593
669.2875, 12.51996
669.7696, 11.16498
670.2517, 8.996033
670.7338, 6.659607
671.2159, 4.211975
671.6981, 1.886902
672.1802, 0.2044680
672.6623, 0.9613040
673.1444, 2.088623
673.6265, 3.523926
674.1086, 4.924927
674.5908, 6.007019
675.0729, 6.796814
675.5550, 7.548523
676.0371, 8.342651
676.5192, 9.096802
677.0013, 9.796631
677.4835, 10.45068
677.9656, 10.97247
678.4477, 11.57245
678.9298, 11.65173
679.4119, 10.49036
679.8940, 8.053345
680.3762, 6.440552
680.8583, 5.696594
681.3404, 5.754272
681.8225, 7.020813
682.3046, 8.951538
682.7867, 10.48071
683.2689, 11.44592
683.7510, 11.76001
684.2331, 11.10229
684.7152, 9.840759
685.1973, 8.476257
685.6794, 6.091736
686.1616, 4.829224
686.6437, 6.004700
687.1258, 8.285889
687.6079, 9.352417
688.0900, 9.013000
688.5721, 7.880005
689.0543, 5.758667
689.5364, 3.193115
690.0185, 1.871155
690.5006, 1.772461
690.9827, 1.798279
691.4648, 1.269165
691.9470, 0.5892330
692.4291, 0.4858400
692.9112, 0.8421630
693.3933, 1.006226
693.8754, 0.3109130
694.3575, 0.4738160
694.8397, 0.5781860
695.3218, 0.1586910
695.8039, 0.1951290
696.2860, 2.939575
696.7681, 5.867554
