##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
726.8424, 178.8455
727.3245, 179.9171
727.8066, 178.0496
728.2888, 176.8087
728.7709, 178.4686
729.2530, 182.0915
729.7351, 185.8866
730.2172, 189.2445
730.6993, 192.7130
731.1815, 197.7188
731.6636, 203.3626
732.1457, 205.8353
732.6278, 204.8688
733.1099, 203.4348
733.5920, 202.3735
734.0742, 202.1238
734.5563, 203.7322
735.0384, 207.8499
735.5205, 209.7938
736.0026, 207.4775
736.4847, 205.8701
736.9669, 206.8408
737.4490, 209.1853
737.9311, 211.7635
738.4132, 214.2635
738.8953, 216.5190
739.3774, 218.7357
739.8596, 220.2186
740.3417, 218.3463
740.8238, 213.4495
741.3059, 211.7756
741.7880, 215.5312
742.2701, 220.6971
742.7523, 223.7688
743.2344, 224.8544
743.7165, 224.5164
744.1986, 220.6948
744.6807, 218.3555
745.1628, 219.5439
745.6450, 221.1895
746.1271, 220.8288
746.6092, 218.8333
747.0913, 216.9023
747.5734, 215.8253
748.0555, 215.2950
748.5377, 215.1118
749.0198, 215.1694
749.5019, 215.0630
749.9840, 214.7283
750.4661, 214.6388
750.9482, 215.3554
751.4304, 216.0973
751.9125, 214.7991
752.3946, 210.1285
752.8767, 206.6100
753.3588, 205.4266
753.8409, 203.9642
754.3231, 200.2490
754.8052, 195.9807
755.2873, 194.0455
755.7694, 195.0185
756.2515, 195.6234
756.7336, 192.6448
757.2158, 188.0894
757.6979, 185.5172
758.1800, 184.6500
758.6621, 183.3622
759.1442, 180.8623
759.6263, 178.3168
760.1085, 177.2928
760.5906, 177.8083
761.0727, 176.5736
761.5548, 172.5459
762.0369, 168.2631
762.5190, 163.5883
763.0012, 159.2744
763.4833, 155.5474
763.9654, 152.6299
764.4475, 151.3343
764.9296, 153.5029
765.4117, 154.6962
765.8939, 149.9278
766.3760, 142.0748
766.8581, 136.4321
767.3402, 133.5739
767.8223, 131.4384
768.3044, 128.7217
768.7866, 125.8058
769.2687, 123.6939
769.7508, 122.4644
770.2329, 121.7496
770.7150, 122.2349
771.1971, 122.2430
771.6793, 120.9021
772.1614, 118.7281
772.6435, 116.3317
773.1256, 113.7706
773.6077, 111.1010
774.0898, 108.0027
774.5720, 105.1295
775.0541, 103.1238
775.5362, 101.7344
776.0183, 100.5040
776.5004, 99.35089
776.9825, 98.16541
777.4647, 96.47241
777.9468, 94.47363
778.4289, 92.74731
778.9110, 91.46857
779.3931, 89.29822
779.8752, 84.97260
780.3574, 81.33508
780.8395, 81.95416
781.3216, 85.67548
781.8037, 86.41937
782.2858, 81.10205
782.7679, 76.96008
783.2501, 76.88635
783.7322, 77.71198
784.2143, 76.63348
784.6964, 74.12396
785.1785, 72.31622
785.6606, 72.22083
786.1428, 72.18695
786.6249, 69.47498
787.1070, 65.08594
787.5891, 62.93384
788.0712, 63.24109
788.5533, 64.90533
789.0355, 67.97894
789.5176, 70.93658
789.9997, 71.31140
790.4818, 68.74475
790.9639, 66.34418
791.4460, 63.77826
791.9282, 61.95435
792.4103, 62.22974
792.8924, 62.36804
793.3745, 59.31171
793.8566, 53.80341
794.3387, 50.55518
794.8209, 52.91388
795.3030, 56.97131
795.7851, 59.74780
796.2672, 61.15295
796.7493, 60.32855
797.2314, 57.40039
797.7136, 54.69702
798.1957, 53.89246
798.6778, 54.22522
799.1599, 53.83167
799.6420, 52.56854
800.1241, 51.46069
800.6063, 50.77051
801.0884, 49.81305
801.5705, 47.96466
802.0526, 45.83069
802.5347, 44.08521
803.0168, 42.75421
803.4990, 41.79309
803.9811, 41.89209
804.4632, 41.74493
804.9453, 39.82098
805.4274, 37.46533
805.9095, 37.01385
806.3917, 38.60126
806.8738, 40.07715
807.3559, 39.75317
807.8380, 39.68713
808.3201, 38.80457
808.8022, 36.94513
809.2844, 35.34924
809.7665, 32.08643
810.2486, 29.17133
810.7307, 27.95184
811.2128, 27.88995
811.6949, 27.72748
812.1771, 27.33698
812.6592, 26.84601
813.1413, 27.55676
813.6234, 27.15515
814.1055, 22.86890
814.5876, 17.72510
815.0698, 16.55865
815.5519, 20.04199
816.0340, 22.81525
816.5161, 19.92889
816.9982, 15.94135
817.4803, 17.18671
817.9625, 21.43591
818.4446, 22.67456
818.9267, 19.72845
819.4088, 15.77429
819.8909, 13.42694
820.3730, 12.24835
820.8552, 11.35947
821.3373, 10.92358
821.8194, 10.54688
822.3015, 10.54779
822.7836, 10.02277
823.2657, 7.407013
823.7479, 4.282501
824.2300, 4.075867
824.7121, 8.056824
825.1942, 10.30441
825.6763, 8.426117
826.1584, 5.811829
826.6406, 3.796295
827.1227, 2.574615
827.6048, 2.623718
828.0869, 3.769958
828.5690, 4.503510
829.0511, 3.404419
829.5333, 1.500153
830.0154, 0.4973750
830.4975, 0.2860110
830.9796, 0.3784790
831.4617, 0.6861880
831.9438, 1.229431
832.4260, 2.202972
832.9081, 3.110352
833.3902, 2.157440
833.8723, 2.346588
834.3544, 4.280731
834.8365, 1.374939
835.3187, 1.288086
835.8008, 1.738403
836.2829, 0.8558960
836.7650, 0.7283020
837.2471, 2.974579
837.7292, 4.065369
838.2114, 2.190277
838.6935, 0.2943420
839.1756, 0.7915650
839.6577, 2.128204
840.1398, 1.837646
840.6219, 0.1329350
841.1041, 1.902618
841.5862, 2.211456
842.0683, 1.698578
842.5504, 1.550842
843.0325, 1.635712
843.5146, 0.8528140
843.9968, 0.9979250
844.4789, 2.536163
844.9610, 3.004303
845.4431, 2.758514
845.9252, 2.431091
846.4073, 2.067169
846.8895, 1.372711
847.3716, 0.8135680
847.8537, 1.749268
848.3358, 0.5592960
848.8179, 3.275696
849.3000, 3.571045
849.7822, 1.809906
850.2643, 0.7489320
850.7464, 1.905640
851.2285, 2.907074
851.7106, 1.884064
852.1927, 0.3127440
852.6749, 3.3020001E-02
853.1570, 0.8435970
853.6391, 1.618988
854.1212, 1.834625
854.6033, 1.419312
855.0854, 0.3853450
855.5676, 2.993011
856.0497, 3.139587
856.5318, 0.7090760
857.0139, 1.151306
857.4960, 1.321716
857.9781, 0.9928280
858.4603, 1.482697
858.9424, 2.672272
859.4245, 3.153564
859.9066, 2.600983
860.3887, 1.895660
860.8708, 0.6998290
861.3530, 0.2153320
861.8351, 0.3082280
862.3172, 0.1166990
862.7993, 0.5683590
863.2814, 1.019257
863.7635, 1.141968
864.2457, 0.5984800
864.7278, 0.1317440
865.2099, 0.9452820
865.6920, 1.570221
866.1741, 1.682190
866.6563, 1.158417
867.1384, 0.2761840
867.6205, 3.260345
868.1026, 6.437836
868.5847, 7.168152
869.0668, 5.668854
869.5490, 2.980957
870.0311, 0.8270870
870.5132, 4.151215
870.9953, 6.163727
871.4774, 6.879578
871.9595, 6.194275
872.4417, 3.754272
872.9238, 1.819916
873.4059, 0.5193180
873.8880, 0.4949040
874.3701, 1.680969
874.8522, 2.336548
875.3344, 1.209045
875.8165, 1.233032
876.2986, 2.204712
876.7807, 0.4546200
877.2628, 2.254150
877.7449, 1.336090
878.2271, 0.8574520
878.7092, 4.382355
879.1913, 7.876984
879.6734, 8.349518
880.1555, 4.832275
880.6376, 0.7540890
881.1198, 0.7823790
881.6019, 0.6674500
882.0840, 0.4711300
882.5661, 8.8257000E-02
883.0482, 1.290009
883.5303, 3.805267
884.0125, 5.757629
884.4946, 5.583649
884.9767, 4.029663
885.4588, 3.564545
885.9409, 4.363495
886.4230, 5.356537
886.9052, 6.635071
887.3873, 7.712738
887.8694, 8.490204
888.3515, 8.834717
888.8336, 8.402588
889.3157, 7.067780
889.7979, 5.940399
890.2800, 4.380157
890.7621, 3.893127
891.2442, 6.009949
891.7263, 8.346497
892.2084, 8.951019
892.6906, 8.274536
893.1727, 7.127258
893.6548, 5.540375
894.1369, 4.448212
894.6190, 4.792389
895.1011, 5.624695
895.5833, 6.265472
896.0654, 6.720886
896.5475, 6.435913
897.0296, 5.294952
897.5117, 4.506866
897.9938, 5.676483
898.4760, 7.829132
898.9581, 7.844086
899.4402, 5.933441
899.9223, 4.883698
900.4044, 5.211060
900.8865, 5.848541
901.3687, 6.122559
901.8508, 6.213989
902.3329, 6.470367
902.8150, 6.850525
903.2971, 8.180878
903.7792, 11.77029
904.2614, 14.05817
904.7435, 12.94226
905.2256, 11.01636
905.7077, 10.23395
906.1898, 10.53403
906.6719, 11.59857
907.1541, 14.84528
907.6362, 17.07162
908.1183, 16.92175
908.6004, 15.75189
909.0825, 14.14426
909.5646, 12.59903
910.0468, 11.35574
910.5289, 10.44998
911.0110, 10.53735
911.4931, 13.58817
911.9752, 16.60565
912.4573, 14.88812
912.9395, 11.19104
913.4216, 11.91077
913.9037, 17.14877
914.3858, 21.06583
914.8679, 19.95816
915.3500, 16.62204
915.8321, 15.75101
916.3142, 16.90875
916.7963, 16.76263
917.2784, 15.16660
917.7606, 14.41388
918.2427, 15.44629
918.7248, 17.02484
919.2069, 17.83530
919.6890, 17.89743
920.1711, 17.65585
920.6533, 16.69162
921.1354, 16.47208
921.6175, 18.08804
922.0996, 19.27200
922.5817, 17.97235
923.0638, 15.87085
923.5460, 15.66608
924.0281, 17.67941
924.5102, 19.24008
924.9923, 19.94153
925.4744, 19.95255
925.9565, 19.61258
926.4387, 18.57922
926.9208, 15.50577
927.4029, 11.58929
927.8850, 10.29007
928.3671, 12.99121
928.8492, 16.30176
929.3314, 17.89853
929.8135, 18.87064
930.2956, 21.52597
930.7777, 24.28296
931.2598, 22.28329
931.7419, 15.24503
932.2241, 9.934082
932.7062, 12.20844
933.1883, 18.19885
933.6704, 21.05267
934.1525, 21.15656
934.6346, 19.94913
935.1168, 17.65652
935.5989, 17.18524
936.0810, 20.06204
936.5631, 23.66605
937.0452, 24.40158
937.5273, 22.46356
938.0095, 21.31152
938.4916, 21.10315
938.9737, 20.92661
939.4558, 20.52823
939.9379, 20.61746
940.4200, 22.34918
940.9022, 24.57608
941.3843, 24.02570
941.8664, 18.88763
942.3485, 16.52106
942.8306, 19.52490
943.3127, 21.83862
943.7949, 20.74484
944.2770, 19.18680
944.7591, 20.09448
945.2412, 22.97644
945.7233, 25.23517
946.2054, 26.24057
946.6876, 26.69467
947.1697, 26.79568
947.6518, 26.48453
948.1339, 25.11929
948.6160, 23.58749
949.0981, 23.62521
949.5803, 25.30569
950.0624, 26.37326
950.5445, 24.97656
951.0266, 23.10498
951.5087, 22.75061
951.9908, 23.27255
952.4730, 23.65280
952.9551, 23.83591
953.4372, 24.09369
953.9193, 24.54510
954.4014, 25.25830
954.8835, 26.47653
955.3657, 27.92932
955.8478, 28.86514
956.3299, 29.30743
956.8120, 29.18546
957.2941, 28.47479
957.7762, 28.57703
958.2584, 30.60522
958.7405, 33.18427
959.2226, 33.28354
959.7047, 30.67062
960.1868, 29.33783
960.6689, 29.38089
961.1511, 30.47260
961.6332, 33.08481
962.1153, 35.53058
962.5974, 36.12970
963.0795, 35.33847
963.5616, 35.14359
964.0438, 35.77881
964.5259, 36.52332
965.0080, 37.52692
965.4901, 38.45221
965.9722, 39.38177
966.4543, 40.04593
966.9365, 39.77841
967.4186, 38.77310
967.9007, 38.84647
968.3828, 41.77728
968.8649, 43.54770
969.3470, 42.63696
969.8292, 40.94916
970.3113, 38.95990
970.7934, 37.35934
971.2755, 37.20337
971.7576, 38.60086
972.2397, 40.26056
972.7219, 42.09802
973.2040, 43.38779
973.6861, 43.37366
974.1682, 42.77216
974.6503, 42.15619
975.1324, 41.74072
975.6146, 41.94305
976.0967, 42.88031
976.5788, 43.58356
977.0609, 43.34573
977.5430, 42.28238
978.0251, 39.74744
978.5073, 36.72089
978.9894, 35.68964
979.4715, 36.74405
979.9536, 38.18750
980.4357, 39.13150
980.9178, 39.29224
981.4000, 37.52045
981.8821, 34.67444
982.3642, 34.36356
982.8463, 36.34814
983.3284, 38.31750
983.8105, 39.70428
984.2927, 41.11539
984.7748, 43.20346
985.2569, 44.89792
985.7390, 43.08771
986.2211, 37.48712
986.7032, 34.63525
987.1854, 35.13922
987.6675, 35.34097
988.1496, 33.94104
988.6317, 32.32809
989.1138, 31.79813
989.5959, 32.14328
990.0781, 32.59671
990.5602, 33.66953
991.0423, 33.18143
991.5244, 29.69235
992.0065, 27.46869
992.4886, 28.90125
992.9708, 31.45248
993.4529, 32.43124
993.9350, 31.92407
994.4171, 31.09244
994.8992, 29.77841
995.3813, 28.40121
995.8635, 26.21014
996.3456, 24.84070
996.8277, 26.09042
997.3098, 27.95822
997.7919, 27.64923
998.2740, 25.24680
998.7562, 23.93372
999.2383, 25.16489
999.7204, 26.11252
1000.203, 26.47339
1000.685, 26.13852
1001.167, 24.21170
1001.649, 21.90515
1002.131, 21.59692
1002.613, 23.47052
1003.095, 24.07251
1003.577, 19.43216
1004.059, 16.16110
1004.542, 19.89072
1005.024, 25.13736
1005.506, 26.58475
1005.988, 25.05637
1006.470, 23.01819
1006.952, 21.31967
1007.434, 21.03613
1007.916, 24.32303
1008.398, 27.55219
1008.881, 26.79141
1009.363, 24.28229
1009.845, 23.04453
1010.327, 23.06003
1010.809, 23.11539
1011.291, 22.79123
1011.773, 22.28833
1012.255, 21.04797
1012.738, 20.33020
1013.220, 23.33054
1013.702, 28.10406
1014.184, 29.48343
1014.666, 27.44818
1015.148, 25.90503
1015.630, 26.64175
1016.112, 27.98514
1016.594, 28.34854
1017.077, 27.99875
1017.559, 27.52185
1018.041, 26.95087
1018.523, 26.32306
1019.005, 25.56219
1019.487, 25.15866
1019.969, 25.47900
1020.451, 25.73904
1020.934, 24.39008
1021.416, 21.92462
1021.898, 21.28854
1022.380, 22.44833
1022.862, 24.36270
1023.344, 26.95435
1023.826, 28.48004
1024.308, 27.74911
1024.791, 25.85065
1025.273, 24.76813
1025.755, 24.55389
1026.237, 23.96600
1026.719, 22.76111
1027.201, 21.51846
1027.683, 20.42752
1028.165, 18.98132
1028.647, 16.39304
1029.130, 13.48309
1029.612, 12.54242
1030.094, 13.82440
1030.576, 14.28101
1031.058, 13.81479
1031.540, 12.74869
1032.022, 10.87442
1032.504, 9.040771
1032.986, 7.748383
1033.469, 6.992462
1033.951, 6.890747
1034.433, 7.753693
1034.915, 7.074982
1035.397, 3.280457
1035.879, 1.484253
1036.361, 4.254211
1036.843, 7.090454
1037.326, 6.628571
1037.808, 4.216156
1038.290, 2.504486
1038.772, 1.361908
1039.254, 0.9951170
1039.736, 2.381500
1040.218, 3.015503
1040.700, 1.632538
1041.182, 0.1815490
1041.665, 1.4282000E-02
1042.147, 0.7305910
1042.629, 1.866638
1043.111, 3.725800
1043.593, 4.363861
1044.075, 1.945801
1044.557, 0.8251950
1045.039, 3.727875
1045.521, 6.333130
1046.004, 4.674530
1046.486, 0.8642270
1046.968, 8.1177004E-02
1047.450, 3.012146
1047.932, 4.167114
1048.414, 0.7097780
1048.896, 2.048828
1049.378, 2.423676
1049.861, 1.922852
1050.343, 1.469635
1050.825, 1.015289
1051.307, 0.2454220
1051.789, 0.9558720
1052.271, 1.705933
1052.753, 1.914398
1053.235, 1.564301
1053.718, 8.2092002E-02
1054.200, 1.631256
1054.682, 1.767365
1055.164, 1.132751
1055.646, 1.295197
1056.128, 2.529022
1056.610, 2.880157
1057.092, 0.7397160
1057.574, 0.9055480
1058.057, 0.5460210
1058.539, 0.2525940
1059.021, 0.5325620
1059.503, 0.2682500
1059.985, 0.7456970
1060.467, 2.515961
1060.949, 3.179871
1061.431, 0.8750610
1061.913, 0.9441830
1062.396, 0.5009160
1062.878, 0.5105900
1063.360, 1.208954
1063.842, 1.341400
1064.324, 0.2757570
1064.806, 1.927185
1065.288, 3.222870
1065.770, 2.004822
1066.253, 0.8840940
1066.735, 1.347076
1067.217, 1.906708
1067.699, 1.271454
1068.181, 2.1361999E-02
1068.663, 0.8857730
1069.145, 1.288879
1069.627, 1.384979
1070.109, 0.7910160
1070.592, 0.6761170
1071.074, 2.746674
1071.556, 4.307617
1072.038, 2.173096
1072.520, 1.195679
1073.002, 1.831696
1073.484, 0.3731990
1073.966, 2.177673
1074.448, 2.458954
1074.931, 2.055847
1075.413, 0.4708560
1075.895, 0.7257690
1076.377, 5.0476000E-02
1076.859, 1.496277
1077.341, 2.530365
1077.823, 3.003632
1078.305, 3.853149
1078.788, 5.915314
1079.270, 6.736481
1079.752, 3.855072
1080.234, 0.7681880
1080.716, 0.2535400
1081.198, 0.1174320
1081.680, 0.3768920
1082.162, 0.8816530
1082.644, 0.6010740
1083.127, 1.080505
1083.609, 1.630585
1084.091, 2.021637
1084.573, 4.902740
1085.055, 2.622345
1085.537, 0.9400940
1086.019, 1.434143
1086.501, 0.4720760
1086.984, 1.796326
1087.466, 1.687012
1087.948, 1.957550
1088.430, 4.410614
1088.912, 6.148438
1089.394, 5.024414
1089.876, 3.025787
1090.358, 1.739899
1090.840, 1.193176
1091.323, 1.076324
1091.805, 1.324768
1092.287, 1.836456
1092.769, 3.009308
1093.251, 3.842682
1093.733, 4.100433
1094.215, 3.679108
1094.697, 1.467438
1095.179, 0.9773250
1095.662, 0.7651060
1096.144, 2.240784
1096.626, 4.560638
1097.108, 4.672241
1097.590, 4.639557
1098.072, 5.665771
1098.554, 6.180237
1099.036, 4.409210
1099.519, 2.047974
1100.001, 1.600372
1100.483, 2.903564
1100.965, 3.466614
1101.447, 2.172791
1101.929, 1.284760
1102.411, 1.495117
1102.893, 2.126892
1103.375, 3.568390
1103.858, 4.719116
1104.340, 4.097656
1104.822, 2.218536
1105.304, 1.009949
1105.786, 0.7324830
1106.268, 1.124512
1106.750, 2.302216
1107.232, 3.808228
1107.714, 6.273773
1108.197, 8.345764
1108.679, 9.017578
1109.161, 8.483490
1109.643, 6.931152
1110.125, 4.061523
1110.607, 2.338928
1111.089, 3.007507
1111.571, 3.378815
1112.054, 2.002716
1112.536, 1.158142
1113.018, 2.811554
1113.500, 5.444153
1113.982, 6.743378
1114.464, 6.716309
1114.946, 6.530731
1115.428, 5.665558
1115.911, 5.266754
1116.393, 5.770752
1116.875, 6.199554
1117.357, 6.114044
1117.839, 5.876495
1118.321, 5.919922
1118.803, 6.147583
1119.285, 5.926788
1119.767, 4.477753
1120.250, 4.574554
1120.732, 7.481598
1121.214, 9.248657
1121.696, 8.058777
1122.178, 6.516541
1122.660, 6.705933
1123.142, 7.963470
1123.624, 8.684662
1124.106, 8.867706
1124.589, 8.177307
1125.071, 6.054779
1125.553, 5.161713
1126.035, 6.393860
1126.517, 7.855927
1126.999, 8.646057
1127.481, 8.488647
1127.963, 6.567719
1128.446, 7.419434
1128.928, 2.977783
1129.410, 6.372711
1129.892, 7.239410
1130.374, 4.347504
1130.856, 2.672394
1131.338, 4.662537
1131.820, 7.297577
1132.302, 7.392578
1132.785, 5.856903
1133.267, 5.440155
1133.749, 6.038635
1134.231, 7.332520
1134.713, 9.237335
1135.195, 9.423584
1135.677, 7.261383
1136.159, 4.578003
1136.641, 2.597687
1137.124, 1.335907
1137.606, 0.6169740
1138.088, 0.6273500
1138.570, 2.977539
1139.052, 6.902039
1139.534, 7.916229
1140.016, 5.832397
1140.498, 4.911987
1140.981, 7.055786
1141.463, 9.550201
1141.945, 9.578674
1142.427, 8.224365
1142.909, 7.062164
1143.391, 6.283752
1143.873, 7.393036
1144.355, 9.716370
1144.838, 10.40836
1145.320, 8.762939
1145.802, 6.078918
1146.284, 2.615936
1146.766, 0.3841250
1147.248, 2.778442
1147.730, 6.384247
1148.212, 7.142120
1148.694, 6.002899
1149.177, 4.573456
1149.659, 3.394775
1150.141, 2.861664
1150.623, 3.107208
1151.105, 4.101501
1151.587, 6.847992
1152.069, 9.133301
1152.551, 8.707764
1153.033, 7.533112
1153.516, 8.554443
1153.998, 10.52704
1154.480, 9.676453
1154.962, 5.573425
1155.444, 3.080414
1155.926, 5.302673
1156.408, 7.172974
1156.890, 7.281952
1157.373, 6.448456
1157.855, 3.991974
1158.337, 1.728973
1158.819, 2.130981
1159.301, 4.698334
1159.783, 6.268951
1160.265, 6.429474
1160.747, 6.326782
1161.229, 5.708954
1161.712, 5.278717
1162.194, 4.474854
1162.676, 4.782257
1163.158, 8.568481
1163.640, 13.12292
1164.122, 12.94537
1164.604, 7.832642
1165.086, 6.127106
1165.568, 9.519775
1166.051, 11.30957
1166.533, 10.52042
1167.015, 8.796509
1167.497, 6.397217
1167.979, 4.439972
1168.461, 4.214783
1168.943, 5.228638
1169.425, 5.872040
1169.908, 6.120361
1170.390, 6.335175
1170.872, 6.578339
1171.354, 6.298187
1171.836, 5.354034
1172.318, 4.699890
1172.800, 4.927032
1173.282, 5.605103
1173.765, 6.259979
1174.247, 6.795624
1174.729, 6.855621
1175.211, 6.576019
1175.693, 6.687225
1176.175, 7.009125
1176.657, 6.167297
1177.139, 3.859161
1177.621, 1.634827
1178.104, 0.4779360
1178.586, 0.4299010
1179.068, 2.227264
1179.550, 4.619690
1180.032, 6.012207
1180.514, 6.624176
1180.996, 6.885925
1181.478, 6.949738
1181.960, 7.035461
1182.443, 7.235718
1182.925, 7.076080
1183.407, 5.717834
1183.889, 4.623383
1184.371, 5.299225
1184.853, 6.021545
1185.335, 4.627899
1185.817, 2.574219
1186.300, 2.730347
1186.782, 5.028381
1187.264, 6.158844
1187.746, 4.681610
1188.228, 3.565704
1188.710, 3.487518
1189.192, 3.613403
1189.674, 3.444336
1190.156, 3.577637
1190.639, 5.065674
1191.121, 6.940979
1191.603, 6.833923
1192.085, 4.472992
1192.567, 3.220856
1193.049, 3.566406
1193.531, 3.525604
1194.013, 2.504395
1194.495, 2.399384
1194.978, 4.355499
1195.460, 6.441101
1195.942, 6.637085
1196.424, 5.548706
1196.906, 4.825134
1197.388, 4.418884
1197.870, 3.998962
1198.352, 3.562897
1198.835, 2.850006
1199.317, 1.879883
1199.799, 1.912170
1200.281, 3.629822
1200.763, 5.473602
1201.245, 5.401855
1201.727, 4.861694
1202.209, 6.699860
1202.692, 6.259216
1203.174, 6.039490
1203.656, 6.845398
1204.138, 5.498230
1204.620, 5.585632
1205.102, 6.079102
1205.584, 6.605347
1206.066, 6.483490
1206.548, 4.289795
1207.031, 2.330231
1207.513, 3.040955
1207.995, 4.372589
1208.477, 3.772461
1208.959, 2.133911
1209.441, 1.826874
1209.923, 3.168732
1210.405, 4.126007
1210.887, 3.742065
1211.370, 3.699921
1211.852, 4.836945
1212.334, 5.646698
1212.816, 5.327637
1213.298, 4.566284
1213.780, 3.523499
1214.262, 2.682037
1214.744, 3.645325
1215.227, 2.085632
1215.709, 6.585754
1216.191, 1.390930
1216.673, 0.9729310
1217.155, 1.052887
1217.637, 3.248596
1218.119, 3.828918
1218.601, 3.200287
1219.083, 1.480072
1219.566, 0.3852840
1220.048, 4.2052999E-02
1220.530, 2.369507
1221.012, 5.917816
1221.494, 9.750549
1221.976, 8.829376
1222.458, 3.325928
1222.940, 0.7995300
1223.422, 0.8793950
1223.905, 0.3680730
1224.387, 0.6201780
1224.869, 0.9818420
1225.351, 3.495056
1225.833, 6.036255
1226.315, 5.489258
1226.797, 3.371857
1227.279, 2.178131
1227.762, 2.248230
1228.244, 3.152374
1228.726, 5.014343
1229.208, 6.256744
1229.690, 6.132629
1230.172, 5.418243
1230.654, 3.357239
1231.136, 1.893036
1231.619, 3.232391
1232.101, 5.254791
1232.583, 4.864349
1233.065, 2.547607
1233.547, 1.182922
1234.029, 0.9780580
1234.511, 0.9468080
1234.993, 0.9080200
1235.475, 2.000397
1235.958, 4.892914
1236.440, 6.799652
1236.922, 5.941681
1237.404, 4.363525
1237.886, 5.051575
1238.368, 3.707733
1238.850, 5.811920
1239.332, 2.805145
1239.814, 1.648956
1240.297, 2.283447
1240.779, 3.513489
1241.261, 4.865723
1241.743, 5.683594
1242.225, 5.618042
1242.707, 5.112183
1243.189, 4.333618
1243.671, 3.563385
1244.154, 3.037170
1244.636, 2.576019
1245.118, 1.731293
1245.600, 0.9431150
1246.082, 1.278900
1246.564, 2.539978
1247.046, 2.890472
1247.528, 1.550903
1248.010, 0.4600830
1248.493, 0.2683410
1248.975, 0.3058470
1249.457, 0.8017580
1249.939, 2.134399
1250.421, 3.335419
1250.903, 4.277313
1251.385, 4.704285
1251.867, 4.622467
1252.349, 5.210480
1252.832, 6.492401
1253.314, 5.568665
1253.796, 2.437103
1254.278, 1.082703
1254.760, 2.244202
1255.242, 3.418793
1255.724, 3.350800
1256.206, 2.810730
1256.689, 2.627075
1257.171, 2.540833
1257.653, 2.444855
1258.135, 2.038849
1258.617, 0.2886350
1259.099, 2.860962
1259.581, 1.284882
1260.063, 3.691437
1260.546, 6.685242
1261.028, 5.712677
1261.510, 4.419830
1261.992, 3.978302
1262.474, 4.029694
1262.956, 4.831543
1263.438, 5.599213
1263.920, 6.354248
1264.402, 6.507721
1264.885, 4.631836
1265.367, 5.425598
1265.849, 5.721954
1266.331, 5.165894
1266.813, 7.103180
1267.295, 7.083588
1267.777, 6.608887
1268.259, 6.445557
1268.741, 5.755127
1269.224, 4.102783
1269.706, 3.030640
1270.188, 4.115631
1270.670, 3.885712
1271.152, 6.593384
1271.634, 6.415802
1272.116, 8.232361
1272.598, 10.62100
1273.081, 9.839966
1273.563, 8.574066
1274.045, 5.870361
1274.527, 2.183014
1275.009, 0.1734920
1275.491, 2.009918
1275.973, 3.787689
1276.455, 3.238708
1276.938, 2.596771
1277.420, 3.350006
1277.902, 4.333679
1278.384, 4.416626
1278.866, 3.995270
1279.348, 3.682251
1279.830, 3.551117
1280.312, 4.093323
1280.794, 5.639008
1281.276, 5.173462
1281.759, 1.736755
1282.241, 7.4401997E-02
1282.723, 1.055206
1283.205, 3.104126
1283.687, 4.970276
1284.169, 5.839111
1284.651, 3.733124
1285.133, 0.9458620
1285.616, 3.3570000E-03
1286.098, 0.0000000E+00
##END=



