##NAMES=Kleinite
##RRUFFID=R060329
##IDEAL CHEMISTRY=Hg_2_N(Cl,SO_4_)&#183;nH_2_O
##LOCALITY=McDermott mine, Humboldt County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light yellow hexagonal prismatic or tabular crystals, associated with orange or dark yellow platy terlinguacreekite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060329
626.6828, 126.1572
627.1649, 134.3154
627.6470, 140.5068
628.1292, 147.4180
628.6113, 151.2568
629.0934, 157.8257
629.5755, 161.8833
630.0576, 164.2954
630.5397, 162.9004
631.0219, 152.4229
631.5040, 139.4209
631.9861, 134.0356
632.4682, 139.4531
632.9503, 145.3804
633.4324, 139.9043
633.9146, 127.3340
634.3967, 123.5938
634.8788, 131.2031
635.3609, 135.8716
635.8430, 127.4062
636.3251, 111.4443
636.8073, 104.8965
637.2894, 111.2764
637.7715, 116.4585
638.2536, 117.8862
638.7357, 117.7671
639.2178, 117.1157
639.7000, 116.3301
640.1821, 116.0625
640.6642, 116.6284
641.1463, 117.1924
641.6284, 115.5962
642.1105, 111.3735
642.5927, 107.8423
643.0748, 106.8223
643.5569, 104.6890
644.0390, 97.88672
644.5211, 88.73047
645.0032, 82.21143
645.4854, 80.32959
645.9675, 79.29980
646.4496, 77.40381
646.9317, 74.19775
647.4138, 68.08447
647.8959, 59.10010
648.3781, 50.76514
648.8602, 45.69434
649.3423, 43.55664
649.8244, 43.80566
650.3065, 50.26416
650.7886, 53.22021
651.2708, 49.29785
651.7529, 44.48242
652.2350, 43.05127
652.7171, 44.28027
653.1992, 45.19873
653.6813, 44.36572
654.1635, 41.85645
654.6456, 36.73145
655.1277, 29.31104
655.6098, 24.09766
656.0919, 22.36768
656.5740, 21.67969
657.0562, 20.14697
657.5383, 17.92920
658.0204, 16.29834
658.5025, 16.69238
658.9846, 15.92090
659.4667, 11.72119
659.9489, 6.871582
660.4310, 4.943848
660.9131, 2.995881
661.3952, 6.040527
661.8773, 2.583496
662.3594, 2.838867
662.8416, 4.898438
663.3237, 3.331543
663.8058, 0.6225590
664.2879, 10.00342
664.7700, 18.19922
665.2521, 19.03613
665.7343, 14.50879
666.2164, 11.41357
666.6985, 11.36621
667.1806, 13.18994
667.6627, 18.08789
668.1448, 24.18945
668.6270, 27.26416
669.1091, 26.70068
669.5912, 25.16602
670.0733, 24.52002
670.5554, 24.74561
671.0375, 26.59033
671.5197, 33.86279
672.0018, 37.18359
672.4839, 30.00684
672.9660, 23.66406
673.4481, 28.42529
673.9302, 41.46777
674.4124, 51.31445
674.8945, 51.13184
675.3766, 47.54102
675.8587, 48.51709
676.3408, 53.09375
676.8229, 57.70508
677.3051, 61.82812
677.7872, 64.93457
678.2693, 65.77588
678.7514, 65.01270
679.2335, 69.14355
679.7156, 82.18555
680.1978, 93.86816
680.6799, 102.5591
681.1620, 109.1367
681.6441, 113.6978
682.1262, 116.9038
682.6083, 120.2529
683.0905, 124.3052
683.5726, 129.7695
684.0547, 139.1411
684.5368, 152.4004
685.0189, 162.3853
685.5010, 166.7505
685.9832, 169.8081
686.4653, 175.0361
