##NAMES=Galeite
##RRUFFID=R130025
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, Trona, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless hexagonal prisms with tapering pyramidal terminations, associated with gaylussite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130025
616.3152, 15.80151
616.7973, 17.12006
617.2794, 18.70792
617.7615, 20.50620
618.2437, 22.26227
618.7258, 23.06882
619.2079, 22.85324
619.6900, 22.95810
620.1721, 24.86551
620.6542, 27.62292
621.1364, 30.03909
621.6185, 31.75565
622.1006, 33.30438
622.5827, 34.88181
623.0648, 36.52652
623.5469, 38.25046
624.0291, 40.37689
624.5112, 42.01025
624.9933, 42.98184
625.4754, 43.42810
625.9575, 43.96844
626.4396, 44.53088
626.9218, 45.32590
627.4039, 46.65253
627.8860, 48.38757
628.3681, 49.60266
628.8502, 50.27100
629.3323, 50.96896
629.8145, 52.47098
630.2966, 54.26172
630.7787, 55.05981
631.2608, 54.56940
631.7429, 54.13971
632.2250, 55.18362
632.7072, 56.61423
633.1893, 57.20874
633.6714, 55.96594
634.1535, 55.04013
634.6356, 55.54010
635.1177, 56.51099
635.5999, 56.50974
636.0820, 55.46100
636.5641, 53.56534
637.0462, 50.75803
637.5283, 47.14542
638.0104, 42.84708
638.4926, 37.66315
638.9747, 32.85065
639.4568, 29.15762
639.9389, 26.20200
640.4210, 22.68085
640.9031, 18.60693
641.3853, 14.67645
641.8674, 11.08926
642.3495, 8.066101
642.8316, 6.010071
643.3137, 4.990295
643.7958, 4.473969
644.2780, 4.520020
644.7601, 4.719727
645.2422, 4.700500
645.7243, 4.108154
646.2064, 3.849091
646.6885, 4.175385
647.1707, 4.582825
647.6528, 4.293365
648.1349, 2.912476
648.6170, 2.187225
649.0991, 2.724121
649.5812, 3.794556
650.0634, 3.427490
650.5455, 1.737976
651.0276, 0.4257200
651.5097, 0.4101260
651.9918, 1.156464
652.4739, 2.158997
652.9561, 3.283173
653.4382, 3.891754
653.9203, 2.930389
654.4024, 1.822662
654.8845, 1.738525
655.3666, 2.917694
655.8488, 3.651794
656.3309, 2.962433
656.8130, 1.967926
657.2951, 1.359039
657.7772, 1.343842
658.2593, 1.237701
658.7415, 0.9581600
659.2236, 0.7275700
659.7057, 0.8234560
660.1878, 1.240021
660.6699, 1.798462
661.1520, 2.561035
661.6342, 3.183929
662.1163, 2.922058
662.5984, 2.109344
663.0805, 1.639648
663.5626, 2.271027
664.0447, 2.957306
664.5269, 2.933258
665.0090, 2.366394
665.4911, 1.753845
665.9732, 1.013519
666.4553, 0.4870000
666.9374, 0.4107670
667.4196, 0.7470700
667.9017, 0.9252620
668.3838, 0.8662110
668.8659, 0.8188170
669.3480, 0.9750060
669.8301, 1.330597
670.3123, 1.323792
670.7944, 0.9072270
671.2765, 0.4951170
671.7586, 0.5162350
672.2407, 0.8316960
672.7228, 0.9966130
673.2050, 0.9640810
673.6871, 0.9118960
674.1692, 0.9883420
674.6513, 1.104980
675.1334, 1.156097
675.6155, 1.077454
676.0977, 0.9800420
676.5798, 0.7800900
677.0619, 0.6104130
677.5440, 0.7249450
678.0261, 1.474030
678.5082, 1.740723
678.9904, 1.200348
679.4725, 0.1668700
679.9546, 0.7313840
680.4367, 1.482910
680.9188, 1.609497
681.4009, 0.4414980
681.8831, 1.184448
682.3652, 1.482086
682.8473, 0.7141420
683.3294, 0.1602780
683.8115, 0.9666440
684.2936, 1.961487
684.7758, 2.229126
685.2579, 1.712341
685.7400, 1.288147
686.2221, 1.478424
686.7042, 1.557037
687.1863, 0.9954530
687.6685, 0.5887760
688.1506, 1.043945
688.6327, 1.7456001E-02
689.1148, 1.397522
689.5969, 2.221436
690.0790, 2.495819
690.5612, 2.852081
691.0433, 3.388580
691.5254, 3.797791
692.0075, 3.642151
692.4896, 3.107758
692.9717, 2.513947
693.4539, 1.866760
693.9360, 1.342712
694.4181, 0.9283750
694.9002, 0.7392880
695.3823, 0.9570010
695.8644, 2.526367
696.3466, 3.376923
696.8287, 2.916962
697.3108, 1.654236
697.7929, 0.8978880
698.2750, 0.7425230
698.7571, 0.8060910
699.2393, 1.096130
699.7214, 1.454193
700.2035, 1.227142
700.6856, 0.4969180
701.1677, 2.0843999E-02
701.6498, 0.4812930
702.1320, 1.175171
702.6141, 0.8668210
703.0962, 0.3222660
703.5783, 1.079651
704.0604, 0.3691100
704.5425, 0.5777890
705.0247, 0.9632570
705.5068, 0.5396120
705.9889, 0.6743160
706.4710, 1.872742
706.9531, 2.971344
707.4352, 3.106323
707.9174, 2.169556
708.3995, 1.496490
708.8816, 1.111847
709.3637, 0.9748230
709.8458, 1.071381
710.3279, 1.381653
710.8101, 2.053833
711.2922, 3.322052
711.7743, 4.014801
712.2564, 2.565979
712.7385, 0.3208620
713.2206, 1.113892
713.7028, 0.8423160
714.1849, 0.3630980
714.6670, 0.2853390
715.1491, 0.9030460
715.6312, 1.172455
716.1133, 0.8971560
716.5955, 0.8284300
717.0776, 1.164612
717.5597, 1.683624
718.0418, 1.794556
718.5239, 1.556305
719.0060, 1.604614
719.4882, 2.482269
719.9703, 3.436798
720.4524, 3.371857
720.9345, 2.584229
721.4166, 1.963165
721.8987, 2.087463
722.3809, 2.315338
722.8630, 2.394440
723.3451, 2.316711
723.8272, 2.081421
724.3093, 1.322083
724.7914, 0.9877010
725.2736, 1.686005
725.7557, 3.269348
726.2378, 3.722351
726.7199, 2.938934
727.2020, 2.018524
727.6841, 1.834717
728.1663, 2.009308
728.6484, 1.527466
729.1305, 0.3950500
729.6126, 0.4268490
730.0947, 3.7048001E-02
730.5768, 0.8613590
731.0590, 1.273438
731.5411, 0.9955440
732.0232, 0.9246830
732.5053, 1.559906
732.9874, 2.155731
733.4695, 2.189880
733.9517, 1.372131
734.4338, 1.042175
734.9159, 1.310120
735.3980, 1.738983
735.8801, 1.828461
736.3622, 1.667755
736.8444, 1.695709
737.3265, 2.032593
737.8086, 2.232513
738.2907, 1.796509
738.7728, 1.096436
739.2549, 0.6478270
739.7371, 0.6101990
740.2192, 0.6508180
740.7013, 0.5925900
741.1834, 0.5776980
741.6655, 1.020721
742.1476, 2.358765
742.6298, 3.002167
743.1119, 2.512390
743.5940, 1.563202
744.0761, 1.431976
744.5582, 2.036438
745.0403, 2.581268
745.5225, 2.713898
746.0046, 2.761078
746.4867, 3.369843
746.9688, 4.226746
747.4509, 4.708923
747.9330, 4.229828
748.4152, 3.644470
748.8973, 3.339722
749.3794, 3.204742
749.8615, 2.849396
750.3436, 2.043335
750.8257, 1.437836
751.3079, 1.258759
751.7900, 1.383545
752.2721, 1.321442
752.7542, 1.078094
753.2363, 0.9907840
753.7184, 1.416687
754.2006, 1.975616
754.6827, 1.967255
755.1648, 1.526764
755.6469, 1.206207
756.1290, 1.431366
756.6111, 1.727081
757.0933, 1.846893
757.5754, 1.781433
758.0575, 1.697937
758.5396, 1.565826
759.0217, 1.453156
759.5038, 1.407593
759.9860, 1.417206
760.4681, 1.511688
760.9502, 1.674805
761.4323, 1.668091
761.9144, 1.270691
762.3965, 0.7421260
762.8787, 0.5117800
763.3608, 0.5872800
763.8429, 0.9158330
764.3250, 2.013245
764.8071, 2.931396
765.2892, 2.752960
765.7714, 1.172150
766.2535, 0.5449220
766.7356, 1.624634
767.2177, 2.850739
767.6998, 3.395477
768.1819, 3.238342
768.6641, 2.769348
769.1462, 1.942566
769.6283, 1.194061
770.1104, 0.8826290
770.5925, 0.9078060
771.0746, 1.038544
771.5568, 1.354858
772.0389, 1.820129
772.5210, 2.690338
