##NAMES=Cerianite-(Ce)
##RRUFFID=R050379
##IDEAL CHEMISTRY=CeO_2_
##LOCALITY=Sierra de Bermejillo, Durango, Mexico
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Black crystals or grains, exhibiting a greasy luster
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050379
504.5633, 0.5147480
505.0454, 1.499420
505.5275, 2.446648
506.0096, 3.078362
506.4918, 3.165932
506.9739, 2.640266
507.4560, 2.503265
507.9381, 2.844833
508.4202, 3.334007
508.9023, 3.644966
509.3845, 3.786461
509.8666, 3.897026
510.3487, 3.994667
510.8308, 4.086624
511.3129, 4.180496
511.7950, 4.277206
512.2772, 4.382957
512.7593, 4.622162
513.2414, 4.807098
513.7235, 4.620239
514.2056, 4.077812
514.6877, 3.622025
515.1699, 3.620041
515.6520, 3.791542
516.1341, 3.886559
516.6162, 3.857788
517.0983, 3.737671
517.5804, 3.529465
518.0626, 3.241631
518.5447, 2.887642
519.0268, 2.230171
519.5089, 1.770393
519.9910, 1.770821
520.4731, 2.180885
520.9553, 2.145836
521.4374, 1.402008
521.9195, 0.6032260
522.4016, 0.1739120
522.8837, 0.2483750
523.3658, 6.0203999E-02
523.8480, 0.8701780
524.3301, 1.842079
524.8122, 2.438934
525.2943, 2.688164
525.7764, 3.134026
526.2585, 4.039703
526.7407, 5.098145
527.2228, 5.644844
527.7049, 5.779533
528.1870, 6.062798
528.6691, 7.148636
529.1512, 8.404236
529.6334, 8.942894
530.1155, 8.679161
530.5976, 8.574287
531.0797, 9.245102
531.5618, 10.32383
532.0439, 11.44788
532.5261, 12.64705
533.0082, 13.72272
533.4903, 14.57082
533.9724, 15.27281
534.4545, 16.02069
534.9366, 16.79797
535.4188, 17.65544
535.9009, 18.60137
536.3830, 19.63640
536.8651, 20.78508
537.3472, 22.14363
537.8293, 23.42836
538.3115, 24.41163
538.7936, 25.07057
539.2757, 25.73035
539.7578, 26.38777
540.2399, 27.09314
540.7220, 27.96724
541.2042, 28.97006
541.6863, 29.92892
542.1684, 30.81902
542.6505, 31.61282
543.1326, 32.20616
543.6147, 32.64902
544.0969, 33.14868
544.5790, 33.91035
545.0611, 34.71214
545.5432, 35.36493
546.0253, 35.84613
546.5074, 36.28352
546.9896, 36.79121
547.4717, 37.23900
547.9538, 37.51849
548.4359, 37.43977
548.9180, 37.42934
549.4001, 37.65700
549.8823, 37.93325
550.3644, 37.90619
550.8465, 37.34380
551.3286, 36.92700
551.8107, 36.91431
552.2928, 37.21410
552.7750, 37.13633
553.2571, 36.63647
553.7392, 35.98221
554.2213, 35.32351
554.7034, 34.65859
555.1855, 33.92767
555.6677, 33.12111
556.1498, 32.28856
556.6319, 31.47429
557.1140, 30.68079
557.5961, 29.92419
558.0782, 29.21927
558.5604, 28.53034
559.0425, 27.82890
559.5246, 27.12654
560.0067, 26.45379
560.4888, 25.90843
560.9709, 25.32568
561.4531, 24.56892
561.9352, 23.63377
562.4173, 22.87821
562.8994, 22.62762
563.3815, 22.27048
563.8636, 21.48153
564.3458, 20.06342
564.8279, 18.92165
565.3100, 18.08384
565.7921, 17.39492
566.2742, 16.71622
566.7563, 16.06158
567.2385, 15.39853
567.7206, 14.76464
568.2027, 14.06786
568.6848, 12.98618
569.1669, 11.58205
569.6490, 10.41906
570.1312, 10.03316
570.6133, 9.942322
571.0954, 9.460670
571.5775, 8.611275
572.0596, 7.711716
572.5417, 6.742477
573.0239, 5.883507
573.5060, 5.354134
573.9881, 5.320396
574.4702, 5.282600
574.9523, 5.165413
575.4344, 4.949196
575.9166, 4.606064
576.3987, 4.072617
576.8808, 3.517914
577.3629, 2.862946
577.8450, 2.163452
578.3271, 1.700020
578.8093, 1.598282
579.2914, 1.514053
579.7735, 1.279869
580.2556, 0.8984300
580.7377, 0.4974060
581.2198, 9.3993999E-02
581.7020, 0.1996080
582.1841, 0.2691270
582.6662, 0.2082140
583.1483, 0.2372060
583.6304, 0.4081800
584.1125, 0.4936140
584.5947, 0.2134480
585.0768, 0.2429280
585.5589, 0.6093290
586.0410, 0.8692630
586.5231, 0.9433290
587.0052, 0.6166380
587.4874, 6.7886002E-02
587.9695, 0.2198100
588.4516, 4.4464000E-02
588.9337, 0.3810960
589.4158, 0.7135160
589.8979, 1.043419
590.3801, 1.122810
590.8622, 0.8348080
591.3443, 0.4990230
591.8264, 0.3102490
592.3085, 0.2713010
592.7906, 0.2928920
593.2728, 0.3815160
593.7549, 0.4862820
594.2370, 0.5196150
594.7191, 0.5107040
595.2012, 0.5852740
595.6833, 0.8034210
596.1655, 1.055763
596.6476, 1.276283
597.1297, 1.438110
597.6118, 1.482346
598.0939, 1.337799
598.5760, 1.111374
599.0582, 0.7549970
599.5403, 0.3187560
600.0224, 0.1329730
600.5045, 0.5250170
600.9866, 0.9701540
601.4688, 1.225853
601.9509, 1.241928
602.4330, 1.290993
602.9151, 1.383560
603.3972, 1.494926
603.8793, 1.616409
604.3615, 1.753403
604.8436, 1.810432
605.3257, 1.738197
605.8078, 1.666611
606.2899, 1.868462
606.7720, 2.276985
607.2542, 2.576477
607.7363, 2.623337
608.2184, 2.530685
608.7005, 2.373329
609.1826, 2.175880
609.6647, 2.033630
610.1469, 1.936790
610.6290, 1.955276
611.1111, 2.181602
611.5932, 2.628281
612.0753, 3.023026
612.5574, 3.382927
613.0396, 3.621910
613.5217, 3.662567
614.0038, 3.326134
614.4859, 3.273209
614.9680, 3.611870
615.4501, 4.086449
615.9323, 4.377457
616.4144, 4.471176
616.8965, 4.646454
617.3786, 5.013214
617.8607, 5.371376
618.3428, 5.211113
618.8250, 4.685265
619.3071, 4.434502
619.7892, 5.077629
620.2713, 5.911980
620.7534, 6.112686
621.2355, 5.833328
621.7177, 5.775291
622.1998, 6.612679
622.6819, 7.500458
623.1640, 7.879173
623.6461, 7.593124
624.1282, 7.591240
624.6104, 8.113518
625.0925, 8.819305
625.5746, 9.509972
626.0567, 10.19304
626.5388, 10.85844
627.0209, 11.51036
627.5031, 12.12286
627.9852, 12.63075
628.4673, 13.03650
628.9494, 13.49291
629.4315, 14.06078
629.9136, 14.64735
630.3958, 14.98920
630.8779, 15.20890
631.3600, 15.67341
631.8421, 16.88601
632.3242, 18.14956
632.8063, 18.80980
633.2885, 18.99066
633.7706, 19.42544
634.2527, 20.70849
634.7348, 22.01565
635.2169, 22.93810
635.6990, 23.38335
636.1812, 23.85381
636.6633, 24.26833
637.1454, 24.81152
637.6275, 25.65300
638.1096, 26.85381
638.5917, 27.97496
639.0739, 29.00934
639.5560, 29.93406
640.0381, 30.68819
640.5202, 31.32066
641.0023, 32.02467
641.4844, 32.88966
641.9666, 33.76723
642.4487, 34.48994
642.9308, 35.13033
643.4129, 35.83547
643.8950, 36.79030
644.3771, 37.71753
644.8593, 38.54475
645.3414, 39.25222
645.8235, 39.78102
646.3056, 39.88049
646.7877, 40.05884
647.2698, 40.49510
647.7520, 41.20139
648.2341, 41.91493
648.7162, 42.68468
649.1983, 43.32281
649.6804, 43.65444
650.1625, 43.70357
650.6447, 43.69325
651.1268, 43.63191
651.6089, 43.53625
652.0910, 43.35934
652.5731, 43.17809
653.0552, 43.15201
653.5374, 43.40084
654.0195, 43.61698
654.5016, 43.60365
654.9837, 43.43916
655.4658, 43.23717
655.9479, 42.96753
656.4301, 42.73750
656.9122, 42.61130
657.3943, 42.53590
657.8764, 42.35989
658.3585, 42.03308
658.8406, 41.71519
659.3228, 41.46112
659.8049, 41.25124
660.2870, 40.98936
660.7691, 40.66902
661.2512, 40.40175
661.7333, 40.27415
662.2155, 40.24487
662.6976, 40.29617
663.1797, 40.41885
663.6618, 40.42471
664.1439, 40.17057
664.6260, 39.74970
665.1082, 39.20911
665.5903, 38.50787
666.0724, 37.89407
666.5545, 37.43969
667.0366, 37.10193
667.5187, 36.85182
668.0009, 36.82349
668.4830, 36.59434
668.9651, 36.06558
669.4472, 35.43047
669.9293, 34.96998
670.4114, 34.68471
670.8936, 34.51141
671.3757, 34.42613
671.8578, 34.45409
672.3399, 34.74046
672.8220, 35.19302
673.3041, 35.49992
673.7863, 35.44592
674.2684, 35.28054
674.7505, 35.12085
675.2326, 34.94987
675.7147, 34.66083
676.1968, 33.96049
676.6790, 33.37302
677.1611, 33.20103
677.6432, 33.45811
678.1253, 33.48219
678.6074, 33.16306
679.0895, 32.82610
679.5717, 32.68546
680.0538, 32.73803
680.5359, 32.86906
681.0180, 33.09695
681.5001, 33.23286
681.9822, 32.97971
682.4644, 32.51833
682.9465, 32.26060
683.4286, 32.32529
683.9107, 32.37325
684.3928, 32.21464
684.8749, 31.88756
685.3571, 31.44039
685.8392, 30.60126
686.3213, 29.94511
686.8034, 29.76466
687.2855, 29.75512
687.7676, 29.37213
688.2498, 28.37159
688.7319, 27.59801
689.2140, 27.25616
689.6961, 27.22196
690.1782, 27.27159
690.6603, 27.37727
691.1425, 27.15525
691.6246, 26.24239
692.1067, 25.07619
692.5888, 24.37482
693.0709, 24.05028
693.5530, 23.68399
694.0352, 22.93361
694.5173, 22.18192
694.9994, 21.72105
695.4815, 21.57518
695.9636, 21.30309
696.4457, 20.64037
696.9279, 20.03045
697.4100, 19.73405
697.8921, 19.84013
698.3742, 19.56419
698.8563, 18.81538
699.3384, 17.98431
699.8206, 17.40374
