##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu_5_(PO_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
537.0737, 105.3582
537.5558, 103.6320
538.0380, 99.63916
538.5201, 93.10840
539.0022, 85.50443
539.4843, 76.73651
539.9664, 67.58829
540.4485, 59.42160
540.9307, 52.19943
541.4128, 45.21606
541.8949, 38.17023
542.3770, 31.44193
542.8591, 25.33618
543.3412, 19.99347
543.8234, 15.58411
544.3055, 13.39380
544.7876, 11.49072
545.2697, 7.653900
545.7518, 7.674459
546.2339, 4.023590
546.7161, 7.521118
547.1982, 9.609924
547.6803, 10.93497
548.1624, 10.85904
548.6445, 10.92670
549.1266, 10.83850
549.6088, 11.08994
550.0909, 12.86569
550.5730, 18.09824
551.0551, 21.65067
551.5372, 21.40393
552.0193, 17.92380
552.5015, 17.15527
552.9836, 19.77689
553.4657, 22.71143
553.9478, 23.95779
554.4299, 23.63727
554.9120, 22.78528
555.3942, 21.35080
555.8763, 19.96542
556.3584, 19.87427
556.8405, 20.41373
557.3226, 19.75452
557.8047, 16.64899
558.2869, 13.19992
558.7690, 11.38474
559.2511, 10.77097
559.7332, 10.27301
560.2154, 9.425598
560.6975, 8.535461
561.1796, 7.799316
561.6617, 7.226501
562.1439, 6.545410
562.6260, 6.133240
563.1081, 5.245880
563.5902, 3.468445
564.0723, 0.4183350
564.5544, 2.723419
565.0366, 5.894440
565.5187, 9.237030
566.0008, 13.03070
566.4829, 17.42709
566.9650, 21.48706
567.4471, 24.90714
567.9293, 27.95737
568.4114, 31.18033
568.8935, 34.58282
569.3756, 38.23792
569.8577, 42.28372
570.3398, 46.57166
570.8220, 50.52429
571.3041, 54.20187
571.7862, 58.50824
572.2683, 63.79529
572.7504, 70.19513
573.2325, 78.23038
573.7147, 88.83936
574.1968, 98.72467
574.6789, 105.7328
575.1610, 111.6192
575.6431, 118.7286
576.1252, 128.6214
576.6074, 138.2613
577.0895, 147.2661
577.5716, 155.7513
578.0537, 164.2319
578.5358, 172.6569
579.0179, 181.1941
579.5001, 189.8020
579.9822, 198.5624
580.4643, 208.2132
580.9464, 218.9788
581.4285, 229.0469
581.9106, 236.0170
582.3928, 241.0215
582.8749, 247.9170
583.3570, 257.4447
583.8391, 267.8569
584.3212, 277.3670
584.8033, 286.6638
585.2855, 297.0357
585.7676, 311.4196
586.2497, 324.3169
586.7318, 332.0914
587.2139, 336.2108
587.6960, 340.8774
588.1782, 347.5651
588.6603, 354.5380
589.1424, 361.3430
589.6245, 368.0265
590.1066, 374.0438
590.5887, 378.5412
591.0709, 383.5232
591.5530, 390.0065
592.0351, 397.8866
592.5172, 408.3331
592.9993, 421.8519
593.4814, 436.5623
593.9636, 449.5395
594.4457, 461.3239
594.9278, 475.3190
595.4099, 492.4426
595.8920, 512.1194
596.3741, 533.8373
596.8563, 557.4157
597.3384, 582.2620
597.8205, 606.8131
598.3026, 633.4337
598.7847, 663.9938
599.2668, 698.2554
599.7490, 732.8538
600.2311, 765.8062
600.7132, 799.6406
601.1953, 836.3558
601.6774, 877.5573
602.1595, 916.7072
602.6417, 952.9194
603.1238, 988.8895
603.6059, 1027.542
604.0880, 1070.119
604.5701, 1108.346
605.0522, 1140.936
605.5344, 1169.126
606.0165, 1193.702
606.4986, 1214.962
606.9807, 1233.595
607.4628, 1251.532
607.9449, 1265.080
608.4271, 1268.610
608.9092, 1263.034
609.3913, 1251.451
609.8735, 1236.240
610.3556, 1215.173
