##NAMES=Philipsbornite
##RRUFFID=R070065
##IDEAL CHEMISTRY=Pb^2+^Al_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
##LOCALITY=Hat Yai Province, Thailand
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless pyramidal crystals, associated with yellow mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070065
346.4032, 640.1875
346.8853, 624.0388
347.3674, 597.5466
347.8495, 564.2800
348.3316, 537.0212
348.8138, 519.1077
349.2959, 503.1755
349.7780, 479.0549
350.2601, 447.6724
350.7422, 413.4326
351.2243, 371.1543
351.7064, 329.8416
352.1885, 308.2361
352.6707, 311.8748
353.1528, 315.6414
353.6349, 290.9209
354.1170, 247.8579
354.5991, 209.3096
355.0812, 186.0308
355.5634, 172.3330
356.0455, 166.6787
356.5276, 169.7212
357.0097, 168.3247
357.4918, 148.9011
357.9739, 121.1865
358.4561, 98.06299
358.9382, 88.10815
359.4203, 81.16577
359.9024, 72.13989
360.3845, 61.05371
360.8666, 50.76514
361.3488, 42.50220
361.8309, 35.49902
362.3130, 29.11865
362.7951, 23.38647
363.2772, 18.06274
363.7593, 15.08545
364.2415, 13.26709
364.7236, 6.433105
365.2057, 13.83423
365.6878, 34.41577
366.1699, 48.48853
366.6520, 56.46851
367.1342, 56.40649
367.6163, 40.16602
368.0984, 15.35181
368.5805, 2.578369
369.0626, 8.840332
369.5447, 20.18286
370.0269, 32.98950
370.5090, 50.40186
370.9911, 61.01880
371.4732, 62.74023
371.9553, 58.96680
372.4374, 54.79980
372.9196, 50.58789
373.4017, 44.97388
373.8838, 35.07959
374.3659, 19.78711
374.8480, 19.04150
375.3301, 38.31177
375.8123, 62.46680
376.2944, 75.33813
376.7765, 75.56152
377.2586, 72.73413
377.7407, 68.37085
378.2228, 62.80029
378.7049, 57.43530
379.1870, 52.52759
379.6692, 46.87695
380.1513, 37.36035
380.6334, 24.93042
381.1155, 19.39453
381.5976, 24.41309
382.0797, 34.07861
382.5619, 37.99902
383.0440, 36.43359
383.5261, 32.60034
384.0082, 28.22949
384.4903, 23.13452
384.9724, 16.06519
385.4546, 6.241943
385.9367, 2.699951
386.4188, 3.942383
386.9009, 0.7287600
387.3830, 1.547119
387.8651, 14.46436
388.3473, 31.27124
388.8294, 44.23022
389.3115, 52.97559
389.7936, 59.35156
390.2757, 62.02393
390.7578, 63.81250
391.2400, 68.29956
391.7221, 83.10449
392.2042, 95.27100
392.6863, 94.96899
393.1684, 83.95752
393.6505, 78.12720
394.1327, 85.65771
394.6148, 99.24341
395.0969, 113.6313
395.5790, 128.8228
396.0611, 143.6521
396.5432, 157.9033
397.0254, 171.6396
397.5075, 185.0562
397.9896, 195.5825
398.4717, 208.1025
398.9538, 225.2507
399.4359, 251.9426
399.9181, 271.5273
400.4002, 279.6675
400.8823, 282.7607
401.3644, 290.8142
401.8465, 307.7114
402.3286, 322.3923
402.8108, 329.4592
403.2928, 328.2327
403.7750, 339.4558
404.2571, 366.1548
404.7392, 399.9880
405.2213, 434.9075
405.7034, 471.5537
406.1855, 501.5261
406.6677, 519.0581
407.1498, 530.8052
407.6319, 561.9648
408.1140, 613.7175
408.5961, 669.0212
409.0782, 718.7761
409.5604, 762.7683
410.0425, 795.5879
410.5246, 813.0271
411.0067, 829.6936
411.4888, 870.4829
411.9709, 930.3860
412.4531, 988.3796
412.9352, 1029.570
413.4173, 1063.342
413.8994, 1106.101
414.3815, 1159.082
414.8636, 1211.058
415.3458, 1254.030
415.8279, 1290.117
416.3100, 1323.507
416.7921, 1348.999
417.2742, 1377.438
417.7563, 1417.770
418.2385, 1468.606
418.7206, 1518.227
419.2027, 1558.621
419.6848, 1597.056
420.1669, 1640.728
420.6490, 1703.880
421.1312, 1751.320
421.6133, 1759.065
422.0954, 1744.543
422.5775, 1747.327
423.0596, 1788.917
423.5417, 1833.556
424.0239, 1870.714
424.5060, 1902.075
