##NAMES=Variscite
##RRUFFID=R100222
##IDEAL CHEMISTRY=AlPO_4_&#183;2H_2_O
##LOCALITY=Canarana, Mato Grosso, Brazil
##OWNER=RRUFF
##SOURCE=Luiz Menezes
##DESCRIPTION=Green blocky, combination of pseudo-octahedral and pseudo-cubes on quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100222
538.4916, 137.1243
538.9737, 137.3795
539.4558, 138.6409
539.9379, 139.3149
540.4200, 138.8665
540.9022, 137.6754
541.3843, 136.0967
541.8664, 133.8994
542.3485, 132.6494
542.8306, 132.3391
543.3127, 133.1154
543.7948, 136.3687
544.2769, 140.3534
544.7590, 142.0736
545.2411, 140.1624
545.7233, 137.6942
546.2054, 138.7729
546.6875, 143.1531
547.1696, 147.3739
547.6517, 151.2677
548.1339, 154.2106
548.6160, 154.3019
549.0981, 152.8317
549.5802, 153.7279
550.0623, 159.7626
550.5444, 165.9073
551.0266, 168.7026
551.5087, 169.4799
551.9908, 171.1747
552.4729, 174.6549
552.9550, 179.3440
553.4371, 184.8717
553.9193, 191.8660
554.4014, 196.0763
554.8835, 195.2484
555.3656, 194.6349
555.8477, 196.5485
556.3298, 199.6057
556.8120, 201.7283
557.2941, 202.2749
557.7762, 202.2197
558.2583, 203.1787
558.7404, 205.4875
559.2225, 205.9576
559.7047, 203.2080
560.1868, 200.4124
560.6689, 199.5276
561.1510, 199.4037
561.6331, 197.9592
562.1152, 194.1738
562.5974, 190.1932
563.0795, 188.5039
563.5616, 188.2876
564.0437, 186.4082
564.5258, 182.0385
565.0079, 177.1674
565.4901, 173.8600
565.9722, 171.9531
566.4543, 168.3723
566.9364, 161.9540
567.4185, 155.0483
567.9006, 148.0269
568.3828, 141.3191
568.8649, 135.5366
569.3470, 130.8329
569.8291, 126.6368
570.3112, 122.3945
570.7933, 118.0846
571.2755, 113.8875
571.7576, 110.5319
572.2397, 106.2937
572.7218, 99.76611
573.2039, 92.64319
573.6860, 87.06384
574.1682, 83.49011
574.6503, 80.09534
575.1324, 74.27930
575.6145, 66.98584
576.0966, 63.14600
576.5787, 64.11060
577.0609, 64.26880
577.5430, 59.01941
578.0251, 50.97864
578.5072, 46.55103
578.9893, 47.16821
579.4714, 48.45935
579.9536, 49.73389
