##NAMES=Diamond
##RRUFFID=R050205
##IDEAL CHEMISTRY=C
##LOCALITY=Unknown
##OWNER=RRUFF
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=Single crystal, type IIA
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050205
1007.737, 103.2415
1008.986, 48.59204
1010.235, 153.1650
1011.484, 70.34253
1012.732, 104.9875
1013.981, 166.2588
1015.229, 130.6223
1016.477, 79.93896
1017.725, 149.2336
1018.973, 89.67896
1020.220, 57.90112
1021.468, 137.2046
1022.715, 98.74390
1023.962, 120.9395
1025.208, 73.31470
1026.455, 79.92139
1027.701, 118.3308
1028.947, 96.76392
1030.193, 90.99170
1031.439, 105.9070
1032.684, 112.2786
1033.930, 120.3362
1035.175, 127.4807
1036.420, 128.4746
1037.665, 133.0273
1038.909, 125.5083
1040.154, 116.7222
1041.398, 104.8396
1042.642, 77.17896
1043.885, 83.06519
1045.129, 71.41089
1046.372, 101.4482
1047.615, 63.61304
1048.858, 103.9004
1050.101, 98.02197
1051.344, 124.1367
1052.586, 86.21240
1053.828, 110.4934
1055.070, 95.28369
1056.312, 76.95776
1057.554, 59.06055
1058.795, 128.1548
1060.036, 142.2634
1061.277, 126.3235
1062.518, 63.48462
1063.759, 138.5308
1064.999, 61.63062
1066.240, 162.2285
1067.480, 47.35327
1068.719, 61.37695
1069.959, 101.3904
1071.199, 88.39648
1072.438, 106.7639
1073.677, 101.9082
1074.916, 69.69360
1076.154, 79.16479
1077.393, 96.13452
1078.631, 80.10669
1079.869, 140.0718
1081.107, 37.91724
1082.345, 75.10034
1083.582, 157.0061
1084.820, 118.8479
1086.057, 264.7776
1087.294, 263.7000
1088.530, 174.6155
1089.767, 93.52344
1091.003, 124.3879
1092.239, 112.2810
1093.475, 108.1667
1094.711, 102.0449
1095.947, 129.9727
1097.182, 82.83643
1098.417, 50.80786
1099.652, 86.70020
1100.887, 81.51440
1102.122, 35.49731
1103.356, 118.5054
1104.590, 24.07812
1105.824, 50.89111
1107.058, 15.69653
1108.292, 30.49194
1109.525, 103.2788
1110.758, 36.92798
1111.991, 59.69800
1113.224, 98.49292
1114.457, 6.214844
1115.689, 61.06152
1116.922, 47.79761
1118.154, 41.10596
1119.385, 89.82886
1120.617, 75.42700
1121.849, 56.19556
1123.080, 25.92969
1124.311, 21.80859
1125.542, 47.74390
1126.773, 6.775391
1128.003, 44.15601
1129.234, 46.63135
1130.464, 7.748047
1131.694, 33.31055
1132.923, 71.09302
1134.153, 27.68115
1135.382, 28.26196
1136.612, 45.83350
1137.841, 54.64380
1139.069, 24.09155
1140.298, 5.635742
1141.526, 60.16797
1142.755, 21.69165
1143.983, 3.787598
1145.210, 51.71704
1146.438, 31.12646
1147.665, 44.61304
1148.893, 71.90259
1150.120, 14.62793
1151.347, 23.81958
1152.573, 61.25781
1153.800, 57.78979
1155.026, 18.79077
1156.252, 55.02100
1157.478, 9.374268
1158.704, 107.7534
1159.929, 13.12476
1161.155, 72.48535
1162.380, 38.83813
1163.605, 67.18164
1164.829, 63.51733
1166.054, 35.84448
1167.278, 64.16211
1168.503, 66.46899
1169.727, 17.77051
1170.950, 6.061768
1172.174, 6.652588
1173.397, 26.38403
1174.621, 25.85571
1175.844, 7.913574
1177.066, 76.29834
