##NAMES=Ancylite-(Ce)
##RRUFFID=R060218
##IDEAL CHEMISTRY=CeSr(CO_3_)_2_(OH)&#183;H_2_O
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Royal Ontario Museum
##DESCRIPTION=Pale pink prismatic crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060218
##MEASURED CHEMISTRY=(Ce_0.40_(La,Pr)_0.23_Ca_0.18_Nd_0.10_Sr_0.09_)_Σ=1_CO_3_((OH)_0.67_(H_2_O)_0.27_F_0.06_)_Σ=1_
556.5876, 27.13979
557.0697, 26.31647
557.5518, 26.52168
558.0339, 27.84289
558.5161, 29.54767
558.9982, 29.68869
559.4803, 27.91635
559.9624, 26.61610
560.4445, 26.56981
560.9266, 27.19262
561.4088, 28.23736
561.8909, 29.60910
562.3730, 30.34140
562.8551, 29.26041
563.3372, 27.80763
563.8193, 27.70313
564.3015, 28.67329
564.7836, 29.36781
565.2657, 29.11831
565.7478, 28.58671
566.2299, 28.77047
566.7120, 29.84354
567.1942, 31.05897
567.6763, 33.31630
568.1584, 34.90467
568.6405, 34.15015
569.1226, 31.88751
569.6047, 30.02954
570.0869, 29.67861
570.5690, 30.14512
571.0511, 30.46002
571.5332, 30.50395
572.0153, 30.69153
572.4974, 31.26640
572.9796, 31.74915
573.4617, 31.83599
573.9438, 31.71027
574.4259, 31.83208
574.9080, 32.60666
575.3901, 33.28106
575.8723, 32.73566
576.3544, 31.15578
576.8365, 30.15081
577.3186, 30.22996
577.8007, 30.95389
578.2828, 31.96258
578.7650, 33.30157
579.2471, 34.10009
579.7292, 34.10093
580.2113, 33.79891
580.6934, 33.18108
581.1755, 32.49327
581.6577, 32.23123
582.1398, 32.51114
582.6219, 32.98578
583.1040, 33.22284
583.5861, 33.22942
584.0682, 33.27319
584.5504, 33.31202
585.0325, 33.44318
585.5146, 33.82632
585.9967, 34.33407
586.4788, 34.82121
586.9609, 35.39412
587.4431, 35.74890
587.9252, 35.70868
588.4073, 35.25593
588.8894, 34.03001
589.3715, 31.74270
589.8536, 29.61963
590.3358, 28.33462
590.8179, 27.88832
591.3000, 28.14886
591.7821, 29.69396
592.2642, 30.89740
592.7463, 30.95501
593.2285, 30.42810
593.7106, 29.81700
594.1927, 29.36413
594.6748, 29.53500
595.1569, 30.87813
595.6390, 32.94948
596.1212, 33.24619
596.6033, 30.10601
597.0854, 28.08959
597.5675, 28.98298
598.0496, 30.08028
598.5317, 29.01622
599.0139, 26.13793
599.4960, 23.88869
599.9781, 24.37969
600.4602, 26.05147
600.9423, 25.52574
601.4244, 22.76798
601.9066, 21.11863
602.3887, 22.13554
602.8708, 24.09598
603.3529, 24.75617
603.8350, 24.16517
604.3171, 23.08307
604.7993, 20.98395
605.2814, 19.00575
605.7635, 17.91436
606.2456, 17.47697
606.7277, 17.11102
607.2098, 16.59968
607.6920, 16.19049
608.1741, 16.40017
608.6562, 17.50204
609.1383, 17.71844
609.6204, 16.35258
610.1025, 14.86944
610.5847, 13.44860
611.0668, 12.29565
611.5489, 11.85663
612.0310, 12.29781
612.5131, 12.61770
612.9952, 11.77342
613.4774, 10.08074
613.9595, 8.347779
614.4416, 6.556353
614.9237, 5.412069
615.4058, 5.376937
615.8879, 6.303679
616.3701, 7.842380
616.8522, 11.18224
617.3343, 12.69542
617.8164, 10.62186
618.2985, 7.164336
618.7806, 3.657143
619.2628, 0.5666900
619.7449, 0.7746570
620.2270, 0.1310450
620.7091, 0.5691710
621.1912, 0.9962560
621.6733, 0.1230450
622.1555, 0.6230920
622.6376, 0.4467230
623.1197, 0.6902020
623.6018, 1.030096
624.0839, 0.2229540
624.5660, 1.041357
625.0482, 0.8422770
625.5303, 0.1702740
626.0124, 0.4425470
626.4945, 0.8511100
626.9766, 0.1128610
627.4587, 1.518003
627.9409, 0.1258260
628.4230, 0.7536320
628.9051, 0.6713730
629.3872, 0.5616970
629.8693, 0.4234320
630.3514, 0.1450230
630.8336, 0.4407310
631.3157, 0.9754020
631.7978, 1.234320
632.2799, 0.3912450
632.7620, 6.3883997E-02
633.2441, 1.120686
633.7263, 0.6879150
634.2084, 5.4554999E-02
634.6905, 0.4871320
635.1726, 0.9703740
635.6547, 0.3950000
636.1368, 0.1843930
636.6190, 0.5613360
637.1011, 0.5485620
