##NAMES=Enargite
##RRUFFID=R070176
##IDEAL CHEMISTRY=Cu_3_AsS_4_
##LOCALITY=Zuni Mine (Zuñi Mine), Anvil Mountain, Silverton, Silverton District, San Juan County, Colorado, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive fine grained dark gray metallic, associated with zunyite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070176
486.7538, 28.02783
487.2360, 44.28369
487.7181, 63.02100
488.2002, 74.38379
488.6823, 77.90186
489.1644, 70.64795
489.6465, 49.43701
490.1287, 30.98926
490.6108, 23.66553
491.0929, 27.66650
491.5750, 42.68848
492.0571, 77.04785
492.5392, 101.1011
493.0214, 96.02197
493.5035, 79.62939
493.9856, 74.23291
494.4677, 81.16260
494.9498, 85.51074
495.4319, 74.62402
495.9141, 50.62988
496.3962, 31.23730
496.8783, 10.49365
497.3604, 3.703613
497.8425, 28.88281
498.3246, 58.13330
498.8068, 63.13037
499.2889, 42.18604
499.7710, 21.07080
500.2531, 26.34668
500.7352, 50.25244
501.2173, 57.51611
501.6995, 43.93164
502.1816, 30.46924
502.6637, 26.43994
503.1458, 28.43066
503.6279, 30.60498
504.1100, 33.55322
504.5922, 34.57520
505.0743, 26.32031
505.5564, 19.09766
506.0385, 31.28369
506.5206, 60.74609
507.0027, 82.04150
507.4849, 75.92773
507.9670, 47.84082
508.4491, 29.37305
508.9312, 17.73828
509.4133, 18.12891
509.8954, 46.84814
510.3776, 78.39648
510.8597, 91.77344
511.3418, 86.63623
511.8239, 76.27881
512.3060, 68.66260
512.7881, 64.97314
513.2703, 68.13184
513.7524, 79.35107
514.2345, 85.84180
514.7166, 78.77637
515.1987, 67.15625
515.6808, 64.16357
516.1630, 70.70557
516.6451, 79.29492
517.1272, 88.64941
517.6093, 99.59033
518.0914, 116.4429
518.5735, 135.1006
519.0557, 140.8789
519.5378, 124.9990
520.0199, 96.88867
520.5020, 81.01953
520.9841, 85.41406
521.4662, 90.37598
521.9484, 89.75977
522.4305, 91.10742
522.9126, 99.95068
523.3947, 115.0122
523.8768, 132.1787
524.3589, 151.5620
524.8411, 168.9692
525.3232, 175.6768
525.8053, 171.7617
526.2874, 166.2773
526.7695, 158.9917
527.2516, 155.2007
527.7338, 166.8242
528.2159, 193.0112
528.6980, 203.8267
529.1801, 183.8789
529.6622, 158.7051
530.1443, 136.4805
530.6265, 121.9097
531.1086, 127.3433
531.5907, 157.2710
532.0728, 193.5610
532.5549, 207.6953
533.0370, 194.7510
533.5192, 180.6401
534.0013, 156.0449
534.4834, 142.7744
534.9655, 161.9102
535.4476, 192.4634
535.9297, 198.6543
536.4119, 164.9097
536.8940, 126.9746
537.3761, 123.0918
537.8582, 143.3159
538.3403, 154.0527
538.8224, 149.3462
539.3046, 137.9214
539.7867, 121.9243
540.2688, 104.6792
540.7509, 109.5591
541.2330, 170.2407
541.7151, 207.9121
542.1973, 183.1528
542.6794, 139.5283
543.1615, 124.3999
543.6436, 142.0518
544.1257, 162.9604
544.6078, 161.7998
545.0900, 141.8071
545.5721, 118.3682
546.0542, 85.71191
546.5363, 65.34033
547.0184, 76.55322
547.5005, 94.66553
547.9827, 96.54688
548.4648, 81.18359
548.9469, 66.96436
549.4290, 60.57910
549.9111, 60.55127
550.3932, 68.75830
550.8754, 82.70020
551.3575, 91.23682
551.8396, 89.12207
552.3217, 80.76709
552.8038, 75.32568
553.2859, 77.14746
553.7681, 70.31641
554.2502, 36.33838
554.7323, 13.56689
555.2144, 34.57275
555.6965, 76.66943
556.1786, 93.70361
556.6608, 63.76367
557.1429, 21.95215
557.6250, 18.75977
558.1071, 48.78809
558.5892, 58.84766
559.0714, 34.10205
559.5535, 11.61377
560.0356, 24.43945
560.5177, 64.45850
560.9998, 87.91211
561.4819, 87.03809
561.9641, 79.52930
562.4462, 69.37158
562.9283, 56.02393
563.4104, 36.65479
563.8925, 12.70801
564.3746, 8.922852
564.8568, 23.28760
565.3389, 30.54443
565.8210, 29.32959
566.3031, 14.79688
566.7852, 3.277832
567.2673, 5.924805
567.7495, 6.993164
568.2316, 12.63037
568.7137, 49.41992
569.1958, 68.47949
569.6779, 33.63965
570.1600, 9.944824
570.6422, 8.923828
571.1243, 25.86328
571.6064, 52.10449
572.0885, 54.07568
572.5706, 43.45215
573.0527, 36.97656
573.5349, 36.98096
574.0170, 29.67773
574.4991, 4.974609
574.9812, 15.00342
575.4633, 25.39404
575.9454, 26.33691
576.4276, 13.05371
576.9097, 15.25439
577.3918, 36.77539
577.8739, 19.60059
578.3560, 21.94678
578.8381, 34.58691
579.3203, 12.61816
579.8024, 15.87646
580.2845, 38.80078
580.7666, 56.12207
581.2487, 66.00586
581.7308, 64.88770
582.2130, 65.65576
582.6951, 78.49365
583.1772, 86.74023
583.6593, 67.25488
584.1414, 33.66113
584.6235, 24.08887
585.1057, 57.73926
585.5878, 106.0957
586.0699, 115.0410
586.5520, 80.06152
587.0341, 56.85156
587.5162, 54.37598
587.9984, 58.08203
588.4805, 60.05176
588.9626, 60.75879
589.4447, 60.70703
589.9268, 58.54102
590.4089, 58.11230
590.8911, 63.84473
591.3732, 70.93066
591.8553, 70.57715
592.3374, 63.35059
592.8195, 61.73438
593.3016, 77.18359
593.7838, 103.8506
594.2659, 114.4609
594.7480, 100.1768
595.2301, 89.13086
595.7122, 79.99023
596.1943, 80.19434
596.6765, 101.5352
597.1586, 138.1816
597.6407, 167.3066
598.1228, 179.7197
598.6049, 180.5127
599.0870, 166.7354
599.5692, 145.1943
600.0513, 139.2510
600.5334, 155.2158
601.0155, 169.1006
601.4976, 152.6719
601.9797, 106.7148
602.4619, 93.00781
602.9440, 152.1475
603.4261, 191.1992
603.9082, 180.0693
604.3903, 155.5928
604.8724, 149.9336
605.3546, 165.5010
605.8367, 184.6406
606.3188, 199.0381
606.8009, 208.0879
607.2830, 211.2354
607.7651, 208.4717
608.2473, 195.9443
608.7294, 168.3877
609.2115, 145.3730
609.6936, 156.5869
610.1757, 210.6055
610.6578, 230.8799
611.1400, 185.0000
611.6221, 147.1973
612.1042, 147.2480
612.5863, 163.1680
613.0684, 169.1934
613.5505, 160.1416
614.0327, 147.3730
614.5148, 139.7529
614.9969, 136.0098
615.4790, 133.6123
615.9611, 132.9424
616.4432, 129.7783
616.9254, 120.2441
617.4075, 110.5615
617.8896, 111.9121
618.3717, 127.5605
618.8538, 135.5283
619.3359, 124.4434
619.8181, 116.5986
620.3002, 130.7637
620.7823, 151.2793
621.2644, 150.5010
621.7465, 122.5049
622.2286, 93.02539
622.7108, 92.88281
623.1929, 116.2812
623.6750, 128.6377
624.1571, 129.9971
624.6392, 123.6064
625.1213, 102.8887
625.6035, 81.14648
626.0856, 86.70898
626.5677, 125.4082
627.0498, 140.5332
627.5319, 96.16211
628.0140, 53.30273
628.4962, 54.61816
628.9783, 81.98926
629.4604, 100.8408
629.9425, 99.82129
630.4246, 90.18164
630.9067, 85.75195
631.3889, 85.37598
631.8710, 74.19336
632.3531, 47.42480
632.8352, 25.58496
633.3173, 19.42188
633.7994, 22.62207
634.2816, 26.69824
634.7637, 32.17871
635.2458, 33.93066
635.7279, 28.41504
636.2100, 19.52051
636.6921, 10.10938
637.1743, 2.861328
637.6564, 2.601563
638.1385, 6.854492
638.6206, 9.093750
639.1027, 7.936523
639.5848, 3.608398
640.0670, 1.962891
640.5491, 11.54688
641.0312, 12.48828
641.5133, 14.04395
641.9954, 41.67480
642.4775, 23.04199
642.9597, 49.51660
643.4418, 89.53125
643.9239, 43.77344
644.4060, 5.466797
644.8881, 0.4267580
645.3702, 36.99316
645.8524, 67.08203
646.3345, 76.35449
646.8166, 69.99121
647.2987, 47.73633
647.7808, 12.97949
648.2629, 2.042969
648.7451, 6.226563
649.2272, 22.62793
649.7093, 50.06543
650.1914, 75.55957
650.6735, 78.69434
651.1556, 58.22656
651.6378, 46.09570
652.1199, 48.48535
652.6020, 59.87207
653.0841, 86.01855
653.5662, 117.3232
654.0483, 133.0449
654.5305, 129.4756
655.0126, 129.4697
655.4947, 161.9365
655.9768, 217.2344
656.4589, 240.7793
656.9410, 224.8740
657.4232, 221.2012
657.9053, 253.3936
658.3874, 295.5303
658.8695, 313.6641
659.3516, 308.5859
659.8337, 309.3750
660.3159, 314.8379
660.7980, 331.7959
661.2801, 375.7744
661.7622, 425.5732
662.2443, 454.7002
662.7264, 459.6104
663.2086, 455.5654
663.6907, 451.5371
664.1728, 450.7500
664.6549, 466.2451
665.1370, 499.2549
665.6191, 520.5498
666.1013, 514.2500
666.5834, 512.5195
667.0655, 555.8857
667.5476, 641.7070
668.0297, 694.1465
668.5118, 683.9209
668.9940, 678.1260
669.4761, 701.5176
669.9582, 730.2188
670.4403, 735.7490
670.9224, 722.7393
671.4045, 723.1113
671.8867, 760.2705
672.3688, 814.3779
672.8509, 853.6191
673.3330, 879.5703
673.8151, 905.1660
674.2972, 932.8711
674.7794, 961.7686
675.2615, 993.2764
675.7436, 1025.438
676.2257, 1045.783
676.7078, 1046.604
677.1899, 1046.238
677.6721, 1044.778
678.1542, 1043.067
678.6363, 1041.461
679.1184, 1039.724
679.6005, 1038.611
680.0826, 1039.957
680.5648, 1036.130
681.0469, 1015.635
681.5290, 984.0713
682.0111, 957.7314
682.4932, 937.9414
682.9753, 911.0254
683.4575, 866.3223
683.9396, 815.1895
684.4217, 786.0938
684.9038, 792.6963
685.3859, 786.2930
685.8680, 765.4463
686.3502, 732.6885
686.8323, 680.4121
687.3144, 620.3486
687.7965, 566.1553
688.2786, 519.9727
688.7607, 487.4043
689.2429, 484.3828
689.7250, 488.4629
690.2071, 467.1162
690.6892, 427.0615
691.1713, 400.7725
691.6534, 401.0088
692.1356, 402.3887
692.6177, 365.7920
693.0998, 289.4043
693.5819, 245.4404
694.0640, 253.5498
694.5461, 254.3848
695.0283, 216.8379
695.5104, 172.8115
695.9925, 152.4922
696.4746, 156.0430
696.9567, 165.7812
697.4388, 189.2725
697.9210, 206.2959
698.4031, 205.5879
698.8852, 187.7363
699.3673, 142.8594
699.8494, 76.29102
700.3315, 29.47461
700.8137, 38.48926
701.2958, 81.95898
701.7779, 101.6475
702.2600, 95.64746
702.7421, 92.06934
703.2242, 99.12207
703.7064, 101.9121
704.1885, 83.64355
704.6706, 49.99414
705.1527, 33.05566
705.6348, 45.06445
706.1169, 55.11133
706.5991, 62.90625
707.0812, 63.04492
707.5633, 41.35254
708.0454, 9.919922
708.5275, 0.5302730
709.0096, 30.08887
709.4918, 62.86426
709.9739, 53.41504
710.4560, 15.48242
710.9381, 18.03320
711.4202, 43.84277
711.9023, 53.72949
712.3845, 42.13086
