##NAMES=Artroeite
##RRUFFID=R100034
##IDEAL CHEMISTRY=PbAlF_3_(OH)_2_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Natural History Museum of Los Angeles County
##DESCRIPTION=Colorless fragments from the type specimen, associated with calcioaravaipaite R100033.  Photos of type specimen are courtesy of LACMNH.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100034
552.3600, 135.5057
552.8421, 134.5223
553.3242, 133.8010
553.8063, 132.8795
554.2885, 131.7377
554.7706, 130.8699
555.2527, 130.6790
555.7348, 131.1732
556.2169, 132.5842
556.6990, 135.0398
557.1812, 138.3477
557.6633, 142.2906
558.1454, 146.8445
558.6275, 151.9567
559.1096, 157.4920
559.5917, 163.6024
560.0739, 170.4806
560.5560, 178.1769
561.0381, 185.9873
561.5202, 193.1139
562.0023, 200.5095
562.4844, 208.9297
562.9666, 220.0125
563.4487, 229.8219
563.9308, 237.3293
564.4129, 243.8145
564.8950, 251.4212
565.3771, 261.2785
565.8593, 269.4993
566.3414, 275.0191
566.8235, 278.2250
567.3056, 281.2340
567.7877, 284.1569
568.2698, 285.8916
568.7520, 286.0777
569.2341, 284.5830
569.7162, 280.8150
570.1983, 274.7701
570.6804, 266.7986
571.1625, 256.8183
571.6447, 245.3103
572.1268, 232.8623
572.6089, 218.8135
573.0910, 205.3808
573.5731, 194.5062
574.0552, 185.0672
574.5374, 174.8546
575.0195, 161.4552
575.5016, 149.0163
575.9837, 139.3954
576.4658, 132.4236
576.9479, 124.8426
577.4301, 115.9552
577.9122, 107.2866
578.3943, 99.28400
578.8764, 91.90158
579.3585, 85.75262
579.8406, 81.00439
580.3228, 77.10916
580.8049, 73.65765
581.2870, 70.63916
581.7691, 67.68661
582.2512, 64.77698
582.7333, 61.84982
583.2155, 58.52686
583.6975, 55.08154
584.1796, 52.23529
584.6617, 50.39536
585.1439, 49.29279
585.6260, 49.05264
586.1081, 49.47021
586.5902, 49.57681
587.0723, 48.60593
587.5544, 47.45889
588.0366, 46.50388
588.5187, 45.65042
589.0008, 45.62646
589.4829, 47.54370
589.9650, 49.63062
590.4471, 50.55032
590.9293, 49.84610
591.4114, 48.98483
591.8935, 47.80466
592.3756, 46.78311
592.8577, 46.78967
593.3398, 47.91711
593.8220, 49.86447
594.3041, 52.77417
594.7862, 56.01889
595.2683, 58.41165
595.7504, 60.08640
596.2325, 61.82324
596.7147, 64.58829
597.1968, 67.41772
597.6789, 68.94440
598.1610, 69.04892
598.6431, 69.54056
599.1252, 71.97665
599.6074, 74.80515
600.0895, 76.79770
600.5716, 77.10156
601.0537, 77.72504
601.5358, 79.28253
602.0179, 81.18826
602.5001, 82.69434
602.9822, 83.68518
603.4643, 84.50830
603.9464, 85.38098
604.4285, 86.06165
604.9106, 85.92838
605.3928, 84.98105
605.8749, 83.35614
606.3570, 80.50998
606.8391, 77.07687
607.3212, 75.53397
607.8033, 75.76941
608.2855, 75.69501
608.7676, 73.63553
609.2497, 70.46487
609.7318, 67.09973
610.2139, 63.53076
610.6960, 60.16611
611.1782, 57.41214
611.6603, 54.81000
612.1424, 51.92084
612.6245, 48.31229
613.1066, 45.07767
613.5887, 42.25537
614.0709, 39.79230
614.5530, 37.64517
615.0351, 36.01324
615.5172, 34.55020
615.9993, 33.06259
616.4814, 31.51328
616.9636, 30.11548
617.4457, 28.88589
617.9278, 27.74124
618.4099, 26.83972
618.8920, 25.93069
619.3741, 24.32684
619.8563, 21.97830
620.3384, 19.74194
620.8205, 18.55505
621.3026, 17.77264
621.7847, 16.50558
622.2668, 14.20044
622.7490, 12.35861
623.2311, 11.93304
623.7132, 12.23096
624.1953, 12.36679
624.6774, 12.64771
625.1595, 12.16568
625.6417, 10.13788
626.1238, 7.331451
626.6059, 6.121490
627.0880, 7.061584
627.5701, 7.933624
628.0522, 7.816406
628.5344, 7.005188
629.0165, 7.124359
629.4986, 8.206879
629.9807, 9.188782
630.4628, 9.369507
630.9449, 8.852051
631.4271, 7.647583
631.9092, 5.728027
632.3913, 4.105743
632.8734, 3.589020
633.3555, 3.713043
633.8376, 3.988068
634.3198, 4.245331
634.8019, 4.740570
635.2840, 6.152405
635.7661, 7.557434
636.2482, 7.638092
636.7303, 5.020111
637.2125, 3.454559
637.6946, 4.004608
638.1767, 5.701843
638.6588, 5.627380
639.1409, 3.505890
639.6230, 1.449066
640.1052, 0.2279050
640.5873, 0.2976070
641.0694, 0.3404240
641.5515, 5.6701999E-02
642.0336, 0.3548580
642.5157, 6.2256001E-02
642.9979, 0.6344910
643.4800, 0.5678710
643.9621, 0.2379760
644.4442, 0.7743530
644.9263, 0.2312010
645.4084, 0.5979000
645.8906, 1.084076
646.3727, 1.053650
646.8548, 0.8214110
647.3369, 0.4476010
647.8190, 0.1280820
648.3011, 1.167267
648.7833, 3.214722
649.2654, 3.785095
649.7475, 2.055237
650.2296, 0.8184810
650.7117, 2.792725
651.1938, 3.865051
651.6760, 3.724823
652.1581, 4.013077
652.6402, 3.907013
653.1223, 3.607266
653.6044, 3.066467
654.0865, 2.690247
654.5687, 1.955292
655.0508, 1.118622
655.5329, 0.1703190
656.0150, 0.8949580
656.4971, 1.365082
656.9792, 0.4957580
657.4614, 0.5393980
657.9435, 1.078979
658.4256, 0.9255980
658.9077, 1.008423
659.3898, 1.520355
659.8719, 1.918854
660.3541, 1.417603
660.8362, 5.9691999E-02
661.3183, 0.6951900
661.8004, 0.5386350
662.2825, 3.3600000E-04
662.7646, 0.4172670
663.2468, 0.6751710
663.7289, 0.6672060
664.2110, 0.1608890
664.6931, 0.3410640
665.1752, 0.3387760
665.6573, 7.3638998E-02
666.1395, 0.1888730
666.6216, 1.402466
667.1037, 2.479095
667.5858, 3.089752
668.0679, 3.241211
668.5500, 2.845825
669.0322, 1.467682
669.5143, 0.4246830
669.9964, 0.4971010
670.4785, 1.584808
670.9606, 1.914307
671.4427, 1.422668
671.9249, 0.8417360
672.4070, 1.123047
672.8891, 1.675934
673.3712, 0.8609920
673.8533, 1.676086
674.3354, 3.716492
674.8176, 2.929901
675.2997, 1.216461
675.7818, 0.6044010
676.2639, 2.286957
676.7460, 3.675995
677.2281, 3.961090
677.7103, 3.732635
678.1924, 3.723541
678.6745, 4.192383
679.1566, 4.306702
679.6387, 3.893738
680.1208, 3.180328
680.6030, 2.537659
681.0851, 2.013489
681.5672, 1.545654
682.0493, 0.9633790
682.5314, 0.5623170
683.0135, 1.187653
683.4957, 2.550385
683.9778, 3.496979
684.4599, 3.120636
684.9420, 2.337494
685.4241, 1.672729
685.9063, 1.158752
686.3884, 0.7816470
686.8705, 0.2935180
687.3526, 0.2069090
687.8347, 0.9476930
688.3168, 2.768890
688.7990, 3.600311
689.2811, 3.207245
689.7632, 2.400238
690.2453, 1.718689
690.7274, 1.159882
691.2095, 0.6940920
691.6917, 0.2943120
692.1738, 0.1867370
692.6559, 0.8926090
693.1380, 1.978210
693.6201, 2.689697
694.1022, 2.763031
694.5844, 2.677185
695.0665, 2.380096
695.5486, 2.189972
696.0307, 2.518250
696.5128, 4.182037
696.9949, 5.432526
697.4771, 6.103668
697.9592, 6.276398
698.4413, 6.018250
698.9234, 5.228302
699.4055, 4.487946
699.8876, 3.841278
700.3698, 3.334991
700.8519, 3.283356
701.3340, 3.644257
701.8161, 4.051270
702.2982, 4.452698
702.7803, 4.688477
703.2625, 4.613068
703.7446, 4.271393
704.2267, 3.888306
704.7088, 2.989838
705.1909, 2.594635
705.6730, 3.682159
706.1552, 6.488007
706.6373, 7.869110
707.1194, 7.066864
707.6015, 5.868347
708.0836, 5.048737
708.5657, 4.507782
709.0479, 4.973541
709.5300, 6.813782
710.0121, 8.544006
710.4942, 8.117798
710.9763, 6.439056
711.4584, 5.837494
711.9406, 6.689819
712.4227, 7.737335
712.9048, 8.217438
713.3869, 8.372192
713.8690, 8.441071
714.3511, 8.672455
714.8333, 8.578308
715.3154, 7.663849
715.7975, 6.547058
716.2796, 5.896332
716.7617, 5.838928
717.2438, 5.973999
717.7260, 6.356964
718.2081, 6.776733
718.6902, 6.790985
719.1723, 6.417877
719.6544, 6.127258
