##NAMES=Tellurite
##RRUFFID=R070606
##IDEAL CHEMISTRY=TeO_2_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless massive crystalline, associated with quartz and tellurium
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070606
660.6672, 15961.60
661.1493, 15757.01
661.6314, 15442.54
662.1135, 15006.37
662.5956, 14422.81
663.0778, 13764.19
663.5599, 13039.72
664.0420, 12274.29
664.5241, 11486.57
665.0062, 10672.08
665.4883, 9870.669
665.9705, 9084.791
666.4526, 8331.650
666.9347, 7631.130
667.4168, 6984.203
667.8989, 6383.079
668.3810, 5822.612
668.8632, 5306.103
669.3453, 4844.601
669.8274, 4453.217
670.3095, 4085.203
670.7916, 3728.259
671.2737, 3404.080
671.7559, 3129.548
672.2380, 2895.549
672.7201, 2677.074
673.2022, 2465.248
673.6843, 2265.638
674.1664, 2079.070
674.6486, 1908.661
675.1307, 1764.928
675.6128, 1650.102
676.0949, 1552.071
676.5770, 1463.876
677.0591, 1383.756
677.5413, 1294.152
678.0234, 1180.100
678.5055, 1076.830
678.9876, 987.9837
679.4697, 911.5520
679.9518, 851.2050
680.4340, 803.5756
680.9161, 753.5712
681.3982, 687.1516
681.8803, 618.0921
682.3624, 572.6548
682.8445, 547.8114
683.3267, 518.6688
683.8088, 477.2572
684.2909, 431.8961
684.7730, 391.0458
685.2551, 354.5051
685.7372, 327.1254
686.2194, 317.3329
686.7015, 305.4214
687.1836, 285.2083
687.6657, 260.3724
688.1478, 234.1573
688.6299, 207.7391
689.1121, 182.1374
689.5942, 157.2532
690.0763, 135.0422
690.5584, 120.1295
691.0405, 111.8872
691.5226, 105.5436
692.0048, 100.8744
692.4869, 95.32806
692.9690, 84.22375
693.4511, 66.44263
693.9332, 51.42639
694.4153, 42.02875
694.8975, 31.31525
695.3796, 11.61926
695.8617, 10.02277
696.3438, 20.98053
696.8259, 17.75085
697.3080, 10.96979
697.7902, 13.67828
698.2723, 23.69116
698.7544, 26.88129
699.2365, 21.33362
699.7186, 17.41388
700.2007, 20.81671
700.6829, 27.99597
701.1650, 31.87854
701.6471, 31.07330
702.1292, 32.39301
702.6113, 42.32935
703.0934, 49.85687
703.5756, 44.90613
704.0577, 32.70221
704.5398, 24.75604
705.0219, 25.84180
705.5040, 30.10345
705.9861, 29.98572
706.4683, 25.66467
706.9504, 20.86945
707.4325, 14.98938
707.9146, 11.03461
708.3967, 12.22571
708.8788, 15.39581
709.3610, 14.01575
709.8431, 7.158997
710.3252, 0.4278560
710.8073, 7.396545
711.2894, 15.64203
711.7715, 27.66504
712.2537, 41.51831
712.7358, 53.26782
713.2179, 61.24500
713.7000, 66.30359
714.1821, 67.99182
714.6642, 66.81268
715.1464, 70.91284
715.6285, 82.00336
716.1106, 95.10693
716.5927, 109.0510
717.0748, 122.5003
717.5569, 132.1874
718.0391, 136.7925
718.5212, 141.0214
719.0033, 142.4243
719.4854, 146.6459
719.9675, 161.9837
720.4496, 183.5455
