##NAMES=Kunatite
##RRUFFID=R120055
##IDEAL CHEMISTRY=CuFe^3+^_2_(PO_4_)_2_(OH)_2_&#183;4H_2_O
##LOCALITY=Krasno, Horni Slakov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Spherical aggregates of pale green acicular crystals on quartz, associated with triplite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120055
412.8619, 68.29478
413.3441, 69.02878
413.8262, 70.84305
414.3083, 74.10950
414.7904, 77.41576
415.2725, 79.13269
415.7546, 79.89536
416.2368, 81.06461
416.7189, 83.79126
417.2010, 86.76065
417.6831, 88.78674
418.1652, 89.90199
418.6473, 91.25972
419.1295, 93.46707
419.6116, 96.19550
420.0937, 99.18491
420.5758, 103.1474
421.0579, 106.2807
421.5400, 107.5356
422.0222, 107.5243
422.5043, 107.8207
422.9864, 108.3275
423.4685, 109.6549
423.9506, 112.3793
424.4327, 117.2513
424.9149, 120.8112
425.3970, 122.1660
425.8791, 122.7297
426.3612, 123.7839
426.8433, 125.6878
427.3254, 127.1826
427.8076, 128.1490
428.2897, 128.7548
428.7718, 129.2270
429.2539, 129.5910
429.7360, 129.5094
430.2181, 128.7137
430.7003, 127.0739
431.1824, 125.5145
431.6645, 124.2346
432.1466, 123.0151
432.6287, 121.2142
433.1108, 118.7970
433.5930, 116.5224
434.0751, 114.8245
434.5572, 113.4273
435.0393, 111.4417
435.5214, 108.9106
436.0035, 106.4165
436.4857, 104.4620
436.9678, 102.9089
437.4499, 101.3878
437.9320, 99.75665
438.4141, 98.13834
438.8962, 96.76141
439.3784, 95.62814
439.8605, 94.58572
440.3426, 93.29269
440.8247, 92.02194
441.3068, 91.13181
441.7889, 90.76416
442.2711, 90.35313
442.7532, 89.40924
443.2353, 88.28781
443.7174, 87.38014
444.1995, 86.74435
444.6816, 86.44997
445.1638, 86.49352
445.6459, 86.87466
446.1280, 87.61507
446.6101, 89.47607
447.0922, 91.03384
447.5743, 91.54811
448.0565, 90.32739
448.5386, 89.94516
449.0207, 91.06453
449.5028, 92.56949
449.9849, 92.96732
450.4670, 91.79095
450.9492, 90.61383
451.4313, 89.91457
451.9134, 89.53935
452.3955, 88.24179
452.8776, 85.80946
453.3597, 83.28812
453.8419, 81.43765
454.3240, 80.25621
454.8061, 79.08569
455.2882, 77.92166
455.7703, 76.64825
456.2524, 75.17920
456.7346, 73.47543
457.2167, 71.42714
457.6988, 68.60605
458.1809, 65.54642
458.6630, 63.20978
459.1451, 61.57318
459.6273, 59.99481
460.1094, 57.81198
460.5915, 55.47699
461.0736, 53.62158
461.5557, 52.52193
462.0378, 51.57684
462.5200, 50.60435
463.0021, 49.49153
463.4842, 48.03249
463.9663, 45.85777
464.4484, 43.56612
464.9305, 41.34335
465.4127, 39.18156
465.8948, 37.49750
466.3769, 36.74538
466.8590, 36.29887
467.3411, 35.71251
467.8232, 35.08191
468.3054, 34.11981
468.7875, 32.53441
469.2696, 30.66942
469.7517, 29.40300
470.2338, 29.01321
470.7159, 28.71715
471.1981, 28.22148
471.6802, 27.51396
472.1623, 27.13283
472.6444, 27.31010
473.1265, 27.17287
473.6086, 25.48303
474.0908, 22.29553
474.5729, 19.99437
475.0550, 19.17479
475.5371, 19.12550
476.0192, 18.70534
476.5013, 17.94572
476.9835, 17.01790
477.4656, 15.48103
477.9477, 13.95229
478.4298, 13.69991
478.9119, 14.80635
479.3940, 16.01855
479.8762, 16.62213
480.3583, 16.66046
480.8404, 16.13101
481.3225, 14.51558
481.8046, 13.04198
482.2867, 12.55635
482.7689, 12.72162
483.2510, 12.66519
483.7331, 11.89310
484.2152, 11.02246
484.6973, 10.31616
485.1794, 9.811905
485.6616, 9.369263
486.1437, 8.870575
486.6258, 8.495789
487.1079, 8.374466
487.5900, 8.490692
488.0721, 8.910095
488.5543, 9.763321
489.0364, 10.87738
489.5185, 11.80444
490.0006, 12.58664
490.4827, 13.00003
490.9648, 12.79840
491.4470, 12.02124
491.9291, 11.52087
492.4112, 11.31483
492.8933, 11.32080
493.3754, 11.51051
493.8575, 11.85741
494.3397, 12.27399
494.8218, 12.81586
495.3039, 13.27872
495.7860, 13.30139
496.2681, 12.98387
496.7502, 12.66252
497.2324, 12.28499
497.7145, 12.12965
498.1966, 12.75156
498.6787, 14.18042
499.1608, 15.05487
499.6429, 13.77391
500.1251, 12.08008
500.6072, 11.53696
501.0893, 13.71519
501.5714, 15.38258
502.0535, 15.53764
502.5356, 14.70993
503.0178, 14.11998
503.4999, 14.21101
503.9820, 14.14531
504.4641, 13.48198
504.9462, 12.15619
505.4283, 12.02855
505.9105, 13.80756
506.3926, 15.69902
506.8747, 16.13165
507.3568, 14.78775
507.8389, 14.29666
508.3210, 15.17758
508.8032, 16.53082
509.2853, 16.60657
509.7674, 15.48970
510.2495, 14.61766
510.7316, 14.75294
511.2137, 15.44031
511.6959, 15.68019
512.1780, 15.49945
512.6601, 15.29277
513.1422, 15.42091
513.6243, 15.66220
514.1064, 15.80594
