##NAMES=Wiserite
##RRUFFID=R130122
##IDEAL CHEMISTRY=Mn^2+^_14_(B_2_O_5_)_4_(OH)_8_&#183;(Si,Mg)(O,OH)_4_Cl
##LOCALITY=Kombat Mine, Namibia
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Light brown prismatic to needles, associated with black hausmannite and white barite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130122
377.0946, 2.453049
377.5767, 2.358505
378.0588, 2.495651
378.5409, 2.671890
379.0230, 2.975525
379.5052, 3.202980
379.9873, 3.109550
380.4694, 2.653481
380.9515, 2.198692
381.4336, 2.190872
381.9157, 2.618164
382.3979, 2.885948
382.8800, 2.918465
383.3621, 2.747505
383.8442, 2.269066
384.3263, 1.596558
384.8084, 1.116447
385.2906, 1.114334
385.7727, 1.442337
386.2548, 1.830208
386.7369, 2.346039
387.2190, 2.687340
387.7011, 2.591042
388.1833, 2.223846
388.6654, 1.753433
389.1475, 1.078575
389.6296, 0.5526890
390.1117, 0.5980220
390.5938, 1.139656
391.0760, 1.603905
391.5581, 1.834724
392.0402, 1.872391
392.5223, 1.792114
393.0044, 1.605377
393.4865, 1.268723
393.9687, 0.5305790
394.4508, 0.2941130
394.9329, 0.6245730
395.4150, 0.3462140
395.8971, 5.1215999E-02
396.3792, 0.1560590
396.8614, 1.9843999E-02
397.3435, 0.1960830
397.8256, 0.5193250
398.3077, 0.7099910
398.7898, 0.4613720
399.2719, 0.1080320
399.7540, 0.5918500
400.2361, 0.8082200
400.7183, 0.7762070
401.2004, 0.4933010
401.6825, 0.3886870
402.1646, 0.8875430
402.6467, 0.5592960
403.1288, 0.1180340
403.6110, 0.6302720
404.0931, 0.8511350
404.5752, 0.9035030
405.0573, 0.9194410
405.5394, 0.8945010
406.0215, 0.8594360
406.5037, 0.6936340
406.9858, 0.6285320
407.4679, 0.9586260
407.9500, 1.490860
408.4321, 1.691666
408.9142, 1.179771
409.3964, 0.1969300
409.8785, 0.1405870
410.3606, 0.9962010
410.8427, 1.704445
411.3248, 1.588196
411.8069, 1.127838
412.2891, 0.7734680
412.7712, 0.6445540
413.2533, 0.5711670
413.7354, 0.2516480
414.2175, 0.5033420
414.6996, 0.7447590
415.1818, 0.1763150
415.6639, 1.024666
416.1460, 1.291374
416.6281, 1.087502
417.1102, 0.7669530
417.5923, 0.5354390
418.0745, 0.3721770
418.5566, 0.1760640
419.0387, 0.1497960
419.5208, 0.2830580
420.0029, 1.6922001E-02
420.4850, 0.4652790
420.9672, 0.8062440
421.4493, 0.9757540
421.9314, 1.086891
422.4135, 1.343750
422.8956, 1.724030
423.3777, 1.722733
423.8599, 0.9715420
424.3420, 0.2297900
424.8241, 0.1756970
425.3062, 0.6346360
425.7883, 0.9731060
426.2704, 0.7907410
426.7526, 0.3976210
427.2347, 0.2727430
427.7168, 0.4233320
428.1989, 0.6023560
428.6810, 0.6834340
429.1631, 0.7071460
429.6453, 0.7830120
430.1274, 0.9706270
430.6095, 1.075142
431.0916, 0.8704680
431.5737, 0.5308000
432.0558, 0.4607160
432.5380, 0.7885360
433.0201, 1.193436
433.5022, 1.298225
433.9843, 1.054779
434.4664, 0.8280410
434.9485, 0.5748670
435.4307, 0.3872070
435.9128, 0.3445510
436.3949, 0.4288020
436.8770, 0.5977480
437.3591, 0.8377080
437.8412, 1.085518
438.3234, 1.125290
438.8055, 0.6847840
439.2876, 0.3972400
439.7697, 0.3539730
440.2518, 0.4481960
440.7339, 0.6175840
441.2160, 0.8465350
441.6982, 1.130638
442.1803, 1.451271
442.6624, 1.817314
443.1445, 1.974007
443.6266, 1.761482
444.1087, 1.486305
444.5909, 1.133064
445.0730, 0.8308180
445.5551, 0.7765810
446.0372, 1.080452
446.5193, 1.551430
447.0014, 1.778229
447.4836, 1.662094
447.9657, 1.630692
448.4478, 1.904137
448.9299, 2.170738
449.4120, 2.200562
449.8941, 2.006409
450.3763, 1.818916
450.8584, 1.833382
451.3405, 2.007919
451.8226, 2.139191
452.3047, 2.200226
452.7868, 2.195900
453.2690, 2.137863
453.7511, 2.070633
454.2332, 2.033241
454.7153, 1.999664
455.1974, 2.054092
455.6795, 2.394615
456.1617, 2.918404
456.6438, 3.114380
457.1259, 2.711960
457.6080, 2.192986
458.0901, 2.307640
458.5722, 3.048843
459.0544, 3.574265
459.5365, 3.630043
460.0186, 3.439140
460.5007, 3.183228
460.9828, 2.910118
461.4649, 2.684357
461.9471, 2.559959
462.4292, 2.515594
462.9113, 2.467537
463.3934, 2.399155
463.8755, 2.347977
464.3576, 2.316711
464.8398, 2.304047
465.3219, 2.349396
465.8040, 2.442032
466.2861, 2.461365
466.7682, 2.236534
467.2503, 1.701416
467.7325, 1.463913
468.2146, 1.935715
468.6967, 2.320518
469.1788, 2.313622
469.6609, 2.102631
470.1430, 2.000473
470.6252, 2.151009
471.1073, 2.393265
471.5894, 2.427391
472.0715, 2.189575
472.5536, 1.964073
473.0357, 1.754807
473.5179, 1.658295
474.0000, 1.797768
474.4821, 2.129066
474.9642, 2.476158
475.4463, 2.807236
475.9284, 3.054031
476.4106, 3.026848
476.8927, 2.675552
477.3748, 2.297852
477.8569, 1.990913
478.3390, 1.810455
478.8211, 1.820496
479.3033, 2.026344
479.7854, 2.345825
480.2675, 2.908546
480.7496, 3.523621
481.2317, 3.793365
481.7138, 3.634697
482.1959, 3.353874
482.6780, 3.265038
483.1602, 3.368805
483.6423, 3.247452
484.1244, 2.399475
484.6065, 1.818825
485.0886, 2.137665
485.5707, 2.974457
486.0529, 3.654770
486.5350, 3.926788
487.0171, 3.961708
487.4992, 4.050278
487.9813, 4.308449
488.4634, 4.295311
488.9456, 3.780190
489.4277, 3.251839
489.9098, 2.991951
490.3919, 2.926216
490.8740, 2.805222
491.3561, 2.457085
491.8383, 2.001198
492.3204, 1.816711
492.8025, 2.054222
493.2846, 2.140984
493.7667, 1.728027
494.2488, 1.300499
494.7310, 1.245918
495.2131, 1.550293
495.6952, 1.825005
496.1773, 1.727997
496.6594, 1.389885
497.1415, 1.247276
497.6237, 1.389473
498.1058, 1.373367
498.5879, 0.7963790
499.0700, 3.9108001E-02
499.5521, 0.5514760
500.0342, 0.6478960
500.5164, 0.5865250
500.9985, 0.3722310
501.4806, 0.1222230
501.9627, 8.7608002E-02
502.4448, 0.3252560
502.9269, 0.5872570
503.4091, 0.6197660
503.8912, 0.4006350
504.3733, 0.2562940
504.8554, 0.2842100
505.3375, 0.2869800
505.8196, 0.1492840
506.3018, 5.4939002E-02
506.7839, 0.2029800
507.2660, 0.2471080
507.7481, 0.2209400
508.2302, 0.1566850
508.7123, 1.0990000E-03
509.1945, 1.9409001E-02
509.6766, 0.3066020
510.1587, 0.6702350
510.6408, 1.174156
511.1229, 1.683662
511.6050, 1.930725
512.0872, 1.735291
512.5693, 1.372551
513.0514, 1.394196
513.5335, 1.873199
514.0156, 2.191376
514.4977, 2.153275
514.9799, 1.967690
515.4620, 1.664291
515.9441, 1.311005
516.4262, 1.319954
516.9083, 2.156517
517.3904, 3.282341
517.8726, 4.057167
518.3547, 4.478516
518.8368, 4.672852
519.3189, 4.663864
519.8010, 4.505630
520.2831, 4.281975
520.7653, 3.916008
521.2474, 3.711525
521.7295, 3.971733
522.2116, 4.238159
522.6937, 3.985817
523.1758, 3.287987
523.6580, 2.699982
524.1401, 2.646576
524.6222, 3.002113
525.1043, 3.116295
525.5864, 2.872047
526.0685, 2.539970
526.5507, 2.061478
527.0328, 1.557251
527.5149, 1.141510
527.9970, 0.8157810
528.4791, 0.4787830
528.9612, 1.1887000E-02
