##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
593.8989, 9.001648
594.3810, 8.860489
594.8631, 8.630814
595.3452, 8.524933
595.8273, 8.518665
596.3094, 8.067017
596.7916, 6.759945
597.2737, 5.912449
597.7558, 6.569286
598.2379, 7.742683
598.7200, 8.429611
599.2021, 8.498016
599.6843, 8.343826
600.1664, 8.082336
600.6485, 7.762299
601.1306, 7.450527
601.6127, 7.153008
602.0948, 6.820087
602.5770, 6.400917
603.0591, 5.981758
603.5412, 5.795212
604.0233, 5.916817
604.5054, 6.167831
604.9875, 6.893417
605.4697, 7.446953
605.9518, 7.309635
606.4339, 6.647514
606.9160, 5.955704
607.3981, 5.511433
607.8802, 5.185108
608.3624, 4.664093
608.8445, 3.891724
609.3266, 3.410156
609.8087, 3.485798
610.2908, 3.639462
610.7729, 3.544132
611.2551, 3.243580
611.7372, 2.853874
612.2193, 2.352726
612.7014, 1.835438
613.1835, 1.233189
613.6656, 0.6845820
614.1478, 0.5998040
614.6299, 1.075405
615.1120, 1.592655
615.5941, 1.595753
616.0762, 1.080883
616.5583, 0.8239170
617.0405, 1.089584
617.5226, 1.279133
618.0047, 1.310818
618.4868, 1.212711
618.9689, 0.9674490
619.4510, 0.6030730
619.9332, 0.2488480
620.4153, 7.3890002E-03
620.8974, 0.1626550
621.3795, 0.1261100
621.8616, 0.1829260
622.3438, 0.2184070
622.8259, 0.5307350
623.3080, 1.376083
623.7901, 1.253151
624.2722, 9.5112003E-02
624.7543, 0.6795500
625.2365, 0.3801690
625.7186, 0.1838570
626.2007, 0.3355220
626.6828, 0.1902350
627.1649, 0.2285000
627.6470, 0.6613460
628.1292, 1.103466
628.6113, 0.8582610
629.0934, 0.3637850
629.5755, 1.060947
630.0576, 0.6945690
630.5397, 0.3570440
631.0219, 0.5696220
631.5040, 0.9194300
631.9861, 0.6990970
632.4682, 0.3174480
632.9503, 1.275852
633.4324, 1.226254
633.9146, 0.4910930
634.3967, 9.5729999E-02
634.8788, 0.1397860
635.3609, 0.3512500
635.8430, 0.6315350
636.3251, 0.9354780
636.8073, 1.167725
637.2894, 1.532425
637.7715, 1.383873
638.2536, 4.3334998E-02
638.7357, 1.473244
639.2178, 1.837700
639.7000, 1.321396
640.1821, 0.6774940
640.6642, 0.3025170
641.1463, 0.1311800
641.6284, 1.3240000E-03
642.1105, 0.1439320
642.5927, 6.6409998E-02
643.0748, 1.211594
643.5569, 1.995979
644.0390, 1.377445
644.5211, 2.5024001E-02
645.0032, 0.9595150
645.4854, 1.062504
645.9675, 0.8292160
646.4496, 0.4293400
646.9317, 3.1796001E-02
647.4138, 0.3679430
647.8959, 0.5520630
648.3781, 0.6232490
648.8602, 0.6071820
649.3423, 0.5050010
649.8244, 0.3116000
650.3065, 0.3241810
650.7886, 0.5068700
651.2708, 0.3363300
651.7529, 1.153271
652.2350, 1.104839
652.7171, 0.4101600
653.1992, 0.1410830
653.6813, 0.1156690
654.1635, 0.2068860
654.6456, 0.4325560
655.1277, 0.5676190
655.6098, 0.6812590
656.0919, 0.7657550
656.5740, 0.8974270
