##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
432.9752, 493.0703
433.4573, 485.9844
433.9395, 464.0625
434.4216, 441.3711
434.9037, 426.1641
435.3858, 417.3242
435.8679, 409.3750
436.3500, 400.6680
436.8322, 395.0391
437.3143, 395.8672
437.7964, 399.3555
438.2785, 395.2305
438.7606, 383.3633
439.2427, 383.3477
439.7249, 424.3906
440.2070, 517.6719
440.6891, 566.4961
441.1712, 534.0703
441.6533, 497.7891
442.1354, 469.0781
442.6176, 451.8867
443.0997, 441.6328
443.5818, 433.8828
444.0639, 443.3047
444.5460, 510.0078
445.0281, 641.8086
445.5103, 725.8086
445.9924, 720.9492
446.4745, 681.7070
446.9566, 650.9492
447.4387, 628.1953
447.9208, 610.6055
448.4030, 601.8242
448.8851, 594.9961
449.3672, 587.1562
449.8493, 576.9375
450.3314, 550.7773
450.8135, 497.4258
451.2957, 431.2695
451.7778, 391.1914
452.2599, 394.3164
452.7420, 393.2578
453.2241, 387.0859
453.7062, 373.3008
454.1884, 336.4062
454.6705, 284.3789
455.1526, 255.2266
455.6347, 286.7070
456.1168, 369.9688
456.5989, 419.0508
457.0811, 421.2578
457.5632, 405.2070
458.0453, 359.6484
458.5274, 310.9492
459.0095, 280.7305
459.4916, 274.4023
459.9738, 291.6445
460.4559, 356.1211
460.9380, 451.5703
461.4201, 483.9062
461.9022, 421.4570
462.3843, 361.6758
462.8665, 403.2227
463.3486, 512.0625
463.8307, 560.2734
464.3128, 496.9609
464.7949, 416.4844
465.2770, 347.4141
465.7592, 297.6680
466.2413, 299.4609
466.7234, 363.2773
467.2055, 431.3867
467.6876, 421.5664
468.1697, 305.7773
468.6519, 228.8477
469.1340, 204.6680
469.6161, 198.8711
470.0982, 219.2539
470.5803, 244.1367
471.0624, 232.4180
471.5445, 160.3945
472.0266, 71.08203
472.5088, 44.44141
472.9909, 89.35938
473.4730, 122.8711
473.9551, 129.5977
474.4372, 121.9805
474.9193, 104.8320
475.4015, 81.05078
475.8836, 65.85938
476.3657, 80.82422
476.8478, 96.08984
477.3299, 67.92578
477.8120, 6.242188
478.2942, 27.87500
478.7763, 0.9882810
479.2584, 52.01953
479.7405, 61.27734
480.2226, 0.9062500
480.7047, 49.23047
481.1869, 84.07422
481.6690, 102.1758
482.1511, 90.26953
482.6332, 58.21484
483.1153, 35.82422
483.5974, 45.66406
484.0796, 71.37500
484.5617, 55.90234
485.0438, 18.83984
485.5259, 86.29688
486.0080, 127.1562
486.4901, 159.0586
486.9723, 196.3828
487.4544, 238.1641
487.9365, 266.7656
488.4186, 257.5586
488.9007, 233.8281
489.3828, 242.2539
489.8650, 284.2344
490.3471, 314.2109
490.8292, 305.2969
491.3113, 267.6055
491.7934, 227.4922
492.2755, 173.2656
492.7577, 141.0703
493.2398, 159.1094
493.7219, 186.0117
494.2040, 180.1016
494.6861, 144.4805
495.1682, 114.1797
495.6504, 116.9297
496.1325, 146.3867
496.6146, 169.1055
497.0967, 195.2031
497.5788, 185.4102
498.0609, 76.00000
498.5431, 31.04297
499.0252, 37.07422
499.5073, 61.09766
499.9894, 155.2734
500.4715, 155.1758
500.9536, 106.3125
501.4358, 108.4844
501.9179, 168.2070
502.4000, 225.8750
502.8821, 254.1914
503.3642, 255.6367
503.8463, 232.5352
504.3285, 163.1797
504.8106, 117.2930
505.2927, 128.8438
505.7748, 156.1875
506.2569, 152.7969
506.7390, 122.6133
507.2212, 111.4805
507.7033, 159.2070
508.1854, 250.2930
508.6675, 302.4336
509.1496, 298.0742
509.6317, 287.9102
510.1139, 281.5898
510.5960, 273.7617
511.0781, 259.4805
511.5602, 239.4648
512.0423, 220.1797
512.5244, 187.8164
513.0065, 159.2148
513.4886, 184.0547
513.9708, 264.7031
514.4529, 305.1797
514.9350, 237.7383
515.4171, 117.7930
515.8992, 81.41797
516.3813, 161.5781
516.8635, 229.0469
517.3456, 265.0195
517.8277, 284.2148
518.3098, 299.2578
518.7919, 309.6445
519.2740, 303.6758
519.7562, 272.1172
520.2383, 229.0508
520.7204, 225.7461
521.2025, 284.0625
521.6846, 328.7930
522.1667, 351.1523
522.6489, 349.1328
523.1310, 293.6094
523.6131, 197.4883
524.0952, 148.6289
524.5773, 234.1719
525.0594, 366.1719
525.5416, 438.0273
526.0237, 451.1875
526.5058, 420.3320
526.9879, 342.5586
527.4700, 246.6992
527.9521, 181.1836
528.4343, 158.0039
528.9164, 140.6602
529.3985, 116.7969
529.8806, 111.6914
530.3627, 161.0273
530.8448, 238.7734
531.3270, 281.9492
531.8091, 254.4102
532.2912, 201.5898
532.7733, 220.4180
533.2554, 325.5664
533.7375, 385.0547
534.2197, 357.7305
534.7018, 307.4180
535.1839, 272.0234
535.6660, 250.2148
536.1481, 244.8164
536.6302, 268.2891
537.1124, 303.3047
537.5945, 350.6211
538.0766, 394.8281
538.5587, 398.8516
539.0408, 352.4453
539.5229, 282.2305
540.0051, 220.2930
540.4872, 166.6680
540.9693, 128.8633
541.4514, 109.7422
541.9335, 99.17188
542.4156, 107.1250
542.8978, 124.3164
543.3799, 134.2500
543.8620, 131.9961
544.3441, 119.6367
544.8262, 94.67578
545.3083, 60.77344
545.7905, 35.47266
546.2726, 22.33203
546.7547, 9.429688
547.2368, 15.66016
547.7189, 45.02344
548.2010, 54.28516
548.6832, 41.56250
549.1653, 13.04297
549.6474, 46.01562
550.1295, 109.8242
550.6116, 154.2422
551.0938, 175.9141
551.5759, 182.1445
552.0580, 178.7148
552.5401, 164.0508
553.0222, 125.2617
553.5043, 35.22266
553.9865, 15.29688
554.4686, 24.27344
554.9507, 89.23047
555.4328, 141.8594
555.9149, 179.7695
556.3970, 207.0000
556.8792, 235.9258
557.3613, 260.4180
557.8434, 255.3555
558.3255, 227.8906
558.8076, 216.7656
559.2897, 239.3789
559.7719, 274.9062
560.2540, 290.7930
560.7361, 282.6445
561.2182, 267.6211
561.7003, 226.0430
562.1824, 198.7656
562.6646, 213.5781
563.1467, 249.9062
563.6288, 273.5078
564.1109, 270.9258
564.5930, 258.4805
565.0751, 259.3164
565.5573, 269.9297
566.0394, 258.9414
566.5215, 216.7031
567.0036, 175.2109
567.4857, 164.4805
567.9678, 171.2344
568.4500, 143.9492
568.9321, 37.51953
569.4142, 33.36719
569.8963, 6.046875
570.3784, 54.37891
570.8605, 86.33984
571.3427, 81.11328
571.8248, 51.96094
572.3069, 2.890625
572.7890, 53.50781
573.2711, 62.25391
573.7532, 5.253906
574.2354, 48.28516
574.7175, 96.43750
575.1996, 122.7695
575.6817, 106.4883
576.1638, 52.44141
576.6459, 2.308594
577.1281, 76.82422
577.6102, 119.0078
578.0923, 47.09375
578.5744, 97.71484
579.0565, 192.1797
579.5386, 192.9648
580.0208, 154.2227
580.5029, 149.2188
580.9850, 186.9961
581.4671, 199.4492
581.9492, 139.2109
582.4313, 106.1016
582.9134, 164.3242
583.3955, 244.0430
583.8776, 243.8516
584.3597, 138.5430
584.8419, 38.40625
585.3240, 55.30859
585.8061, 139.0000
586.2882, 162.4453
586.7703, 116.3555
