##NAMES=Joesmithite
##RRUFFID=R120157
##IDEAL CHEMISTRY=PbCa_2_Mg_3_Fe^3+^_2_(Si_6_Be_2_)O_22_(OH)_2_
##LOCALITY=Ramsorten drift, Langban, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Reddish brown to black short prismatic crystals and fragments associated with hematite, from type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R120157
623.9685, 35.80637
624.4506, 36.28827
624.9327, 36.80507
625.4149, 36.98051
625.8970, 36.74800
626.3791, 36.32672
626.8612, 35.61388
627.3433, 34.89931
627.8254, 34.71014
628.3076, 35.00557
628.7897, 35.07230
629.2718, 34.71286
629.7539, 34.09702
630.2360, 33.41087
630.7181, 32.65504
631.2003, 31.89789
631.6824, 31.22227
632.1645, 30.53238
632.6466, 29.70987
633.1287, 28.78831
633.6108, 27.99986
634.0930, 27.41722
634.5751, 26.94722
635.0572, 26.63074
635.5393, 26.55200
636.0214, 26.14090
636.5035, 25.11096
636.9857, 24.08365
637.4678, 23.54691
637.9499, 23.55981
638.4320, 23.72794
638.9141, 24.12505
639.3962, 24.36856
639.8784, 23.74002
640.3605, 22.45338
640.8426, 21.40871
641.3247, 20.90303
641.8068, 20.67055
642.2889, 20.52199
642.7711, 20.42152
643.2532, 20.27867
643.7353, 19.82310
644.2174, 19.54231
644.6995, 19.76080
645.1816, 20.41129
645.6638, 21.00267
646.1459, 21.47304
646.6280, 21.85670
647.1101, 22.14781
647.5922, 22.33794
648.0743, 22.50383
648.5565, 22.55380
649.0386, 22.74190
649.5207, 23.39636
650.0028, 24.46202
650.4849, 25.16576
650.9670, 25.35426
651.4492, 25.57153
651.9313, 26.67743
652.4134, 28.23853
652.8955, 29.32765
653.3776, 29.52240
653.8597, 29.72592
654.3419, 30.59181
654.8240, 31.78331
655.3061, 32.79666
655.7882, 33.35275
656.2703, 33.95744
656.7524, 34.85919
657.2346, 35.93010
657.7167, 36.64485
658.1988, 36.63551
658.6809, 36.96428
659.1630, 38.12926
659.6451, 40.00412
660.1273, 41.64552
660.6094, 43.06024
661.0915, 44.36761
661.5736, 45.70341
662.0557, 47.00372
662.5378, 48.11923
663.0200, 49.02989
663.5021, 49.82076
663.9842, 50.59866
664.4663, 51.26193
664.9484, 51.73616
665.4305, 52.08417
665.9127, 52.00436
666.3948, 51.07101
666.8769, 49.86095
667.3590, 49.00555
667.8411, 48.98201
668.3232, 48.32428
