##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=CuO
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060978
360.6578, 141.2036
361.1399, 120.0742
361.6220, 93.55957
362.1041, 78.87354
362.5862, 82.09619
363.0684, 92.55811
363.5505, 91.74609
364.0326, 75.49561
364.5147, 60.92139
364.9968, 45.09229
365.4789, 34.68604
365.9611, 36.91357
366.4432, 49.44336
366.9253, 61.47754
367.4074, 62.26025
367.8895, 55.29541
368.3716, 58.38818
368.8538, 77.04736
369.3359, 93.53955
369.8180, 97.79736
370.3001, 94.26465
370.7822, 87.79883
371.2643, 77.17627
371.7465, 68.11865
372.2286, 69.00684
372.7107, 77.89990
373.1928, 80.81982
373.6749, 71.00293
374.1570, 56.31104
374.6392, 49.13281
375.1213, 50.02979
375.6034, 51.29150
376.0855, 50.25732
376.5676, 48.94238
377.0497, 51.69092
377.5319, 58.27734
378.0140, 60.29102
378.4961, 48.46973
378.9782, 22.85791
379.4603, 12.77832
379.9424, 28.72314
380.4246, 45.54541
380.9066, 64.68799
381.3888, 77.13232
381.8709, 63.91211
382.3530, 16.59033
382.8351, 43.07910
383.3172, 69.21777
383.7993, 40.81494
384.2815, 21.15967
384.7636, 10.92676
385.2457, 9.780273
385.7278, 26.25293
386.2099, 54.67773
386.6920, 72.84863
387.1742, 54.04053
387.6563, 6.110352
388.1384, 8.313477
388.6205, 32.64648
389.1026, 66.60010
389.5847, 62.44971
390.0669, 36.95264
390.5490, 10.36182
391.0311, 13.30957
391.5132, 32.57568
391.9953, 47.28906
392.4774, 56.90283
392.9596, 55.45850
393.4417, 35.88721
393.9238, 12.86328
394.4059, 7.354980
394.8880, 19.30371
395.3701, 28.31494
395.8523, 23.92725
396.3344, 17.41113
396.8165, 21.95020
397.2986, 37.31836
397.7807, 52.58789
398.2628, 59.87598
398.7450, 60.35156
399.2271, 63.53711
399.7092, 68.49219
400.1913, 76.87158
400.6734, 94.49756
401.1555, 113.4258
401.6377, 123.8389
402.1198, 122.8428
402.6019, 115.1279
403.0840, 107.3091
403.5661, 100.2129
404.0482, 90.12500
404.5304, 62.15283
405.0125, 45.47998
405.4946, 60.40625
405.9767, 96.54053
406.4588, 128.5283
406.9409, 140.7495
407.4231, 140.4185
407.9052, 144.7124
408.3873, 155.1719
408.8694, 164.2754
409.3515, 170.9663
409.8336, 173.9478
410.3158, 169.7173
410.7979, 156.7183
411.2800, 146.7900
411.7621, 150.0625
412.2442, 160.9512
412.7263, 166.2256
413.2085, 162.9282
413.6906, 160.8892
414.1727, 170.0825
414.6548, 189.9751
415.1369, 203.0220
415.6190, 203.3169
416.1012, 202.6196
416.5833, 208.9736
417.0654, 218.2559
417.5475, 220.1118
418.0296, 209.9072
418.5117, 195.7075
418.9939, 193.2646
419.4760, 208.1855
419.9581, 196.6113
420.4402, 227.6055
420.9223, 244.7783
421.4044, 248.8696
421.8866, 200.7256
422.3687, 220.0166
422.8508, 212.2720
423.3329, 203.4126
423.8150, 232.1743
424.2971, 191.5884
424.7793, 219.7388
425.2614, 220.4404
425.7435, 233.6934
426.2256, 219.7446
426.7077, 214.1875
427.1898, 235.8267
427.6719, 242.3950
428.1541, 225.2852
428.6362, 239.2910
429.1183, 197.6816
429.6004, 204.8613
430.0825, 173.7959
430.5646, 197.0063
431.0468, 210.2734
431.5289, 198.5552
432.0110, 185.8247
432.4931, 191.2041
432.9752, 205.6558
433.4573, 205.2236
433.9395, 178.9448
434.4216, 143.0132
434.9037, 128.2793
435.3858, 148.1465
435.8679, 161.9429
436.3500, 166.2524
436.8322, 168.2173
437.3143, 170.5073
437.7964, 174.2046
438.2785, 180.5508
438.7606, 191.8535
439.2427, 205.0659
439.7249, 207.8179
440.2070, 195.4072
440.6891, 180.5967
441.1712, 167.6079
441.6533, 160.4043
442.1354, 160.8413
442.6176, 168.7236
443.0997, 175.9307
443.5818, 173.1001
444.0639, 164.6792
444.5460, 165.6855
445.0281, 181.5312
445.5103, 198.2432
445.9924, 201.3433
446.4745, 189.0278
446.9566, 174.9678
447.4387, 159.2290
447.9208, 147.9976
448.4030, 146.4897
448.8851, 149.3555
449.3672, 145.6577
449.8493, 132.4780
450.3314, 120.3740
450.8135, 125.7827
451.2957, 156.7661
451.7778, 172.2500
452.2599, 160.6924
452.7420, 147.3169
453.2241, 144.2510
453.7062, 146.3726
454.1884, 141.0386
454.6705, 120.5684
455.1526, 96.49658
455.6347, 91.90967
456.1168, 109.3433
456.5989, 127.0264
457.0811, 142.7197
457.5632, 155.0161
458.0453, 162.3398
458.5274, 164.3628
459.0095, 163.1929
459.4916, 157.8081
459.9738, 152.4277
460.4559, 153.1895
460.9380, 159.3340
461.4201, 162.2622
461.9022, 156.7505
462.3843, 145.9185
462.8665, 141.1343
463.3486, 150.1982
463.8307, 152.4541
464.3128, 135.6875
464.7949, 119.2632
465.2770, 123.7065
465.7592, 146.6001
466.2413, 166.6919
466.7234, 168.5547
467.2055, 154.6484
467.6876, 143.5122
468.1697, 136.1567
468.6519, 125.7754
469.1340, 102.5239
469.6161, 82.71045
470.0982, 87.41260
470.5803, 121.0752
471.0624, 153.9468
471.5445, 154.1812
472.0266, 131.7559
472.5088, 123.6938
472.9909, 135.9663
473.4730, 152.8452
473.9551, 164.2686
474.4372, 171.1172
474.9193, 178.5894
475.4015, 198.2153
475.8836, 203.0542
476.3657, 169.0723
476.8478, 120.3413
477.3299, 94.09180
477.8120, 99.09912
478.2942, 115.6313
478.7763, 121.8872
479.2584, 116.3535
479.7405, 112.9033
480.2226, 120.0464
480.7047, 120.0503
481.1869, 99.50488
481.6690, 71.82275
482.1511, 55.53076
482.6332, 57.60205
483.1153, 70.33789
483.5974, 88.83301
484.0796, 112.4023
484.5617, 123.4766
485.0438, 114.7764
485.5259, 101.6719
486.0080, 96.95410
486.4901, 98.44238
486.9723, 99.54736
487.4544, 97.52979
487.9365, 96.09619
488.4186, 95.95215
488.9007, 98.27637
489.3828, 107.5752
489.8650, 125.7026
490.3471, 145.6035
490.8292, 157.5923
491.3113, 161.6030
491.7934, 156.9102
492.2755, 132.1392
492.7577, 111.5889
493.2398, 110.2397
493.7219, 119.2598
494.2040, 120.9224
494.6861, 106.3286
495.1682, 85.91992
495.6504, 75.36670
496.1325, 74.90479
496.6146, 83.45947
497.0967, 113.9155
497.5788, 135.8530
498.0609, 115.1387
498.5431, 62.32080
499.0252, 22.60791
499.5073, 17.77832
499.9894, 22.47217
500.4715, 16.49316
500.9536, 3.312012
501.4358, 6.199219
501.9179, 7.826172
502.4000, 4.603027
502.8821, 0.9448240
503.3642, 3.912109
503.8463, 6.610840
504.3285, 5.051758
504.8106, 3.809570
505.2927, 4.146484
505.7748, 6.513184
506.2569, 12.07227
506.7390, 21.91357
507.2212, 32.31836
507.7033, 36.92871
508.1854, 35.38867
508.6675, 32.79102
509.1496, 31.72168
509.6317, 27.27490
510.1139, 10.32178
510.5960, 14.73291
511.0781, 29.11816
511.5602, 22.58936
512.0423, 8.410645
512.5244, 8.944824
513.0065, 25.95703
513.4886, 32.41602
513.9708, 24.34570
514.4529, 8.914063
514.9350, 4.345215
515.4171, 17.36182
515.8992, 20.57617
516.3813, 5.018555
516.8635, 9.709961
517.3456, 16.83350
517.8277, 17.67383
518.3098, 13.73535
518.7919, 4.967773
519.2740, 2.212402
519.7562, 5.215820
520.2383, 26.71484
520.7204, 35.96533
521.2025, 25.77002
521.6846, 9.329102
522.1667, 8.099609
522.6489, 23.92041
523.1310, 28.06738
523.6131, 3.644531
524.0952, 16.78760
524.5773, 6.185547
525.0594, 18.59619
525.5416, 23.59180
526.0237, 0.2392580
526.5058, 28.81592
526.9879, 37.05713
527.4700, 22.61621
527.9521, 6.287598
528.4343, 20.83545
528.9164, 39.10156
529.3985, 38.48193
529.8806, 28.79102
530.3627, 21.41260
530.8448, 19.47559
531.3270, 20.14697
531.8091, 23.71582
532.2912, 28.04053
532.7733, 21.69189
533.2554, 0.6596680
533.7375, 15.85938
534.2197, 11.12842
534.7018, 7.842285
535.1839, 12.64795
535.6660, 8.626465
536.1481, 25.63281
536.6302, 24.04004
537.1124, 17.54004
537.5945, 21.19678
538.0766, 36.27344
538.5587, 54.44922
539.0408, 69.63721
539.5229, 81.54443
540.0051, 87.56201
540.4872, 86.16504
540.9693, 81.93457
541.4514, 70.25635
541.9335, 60.18018
542.4156, 61.44092
542.8978, 74.03320
543.3799, 84.86670
543.8620, 78.90137
544.3441, 71.19824
544.8262, 93.08447
545.3083, 140.2446
545.7905, 163.9434
546.2726, 135.3843
546.7547, 83.72559
547.2368, 69.79688
