##NAMES=Pyroaurite
##RRUFFID=R100053
##IDEAL CHEMISTRY=Mg_6_Fe^3+^_2_CO_3_(OH)_16_&#183;4H_2_O
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Pale bluish-green hexagonal tablets embedded in calcite, associated with magnetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100053
573.1678, 0.2706680
573.6499, 0.2504500
574.1320, 0.2804300
574.6141, 0.1792830
575.0963, 0.2500380
575.5784, 0.7147870
576.0605, 1.002987
576.5426, 1.113522
577.0247, 1.064610
577.5068, 0.8549420
577.9890, 0.5143470
578.4711, 6.5273002E-02
578.9532, 0.7085150
579.4353, 1.003429
579.9174, 0.3601650
580.3995, 0.2439610
580.8817, 0.2686040
581.3638, 8.9169003E-02
581.8459, 0.4027670
582.3280, 0.4730110
582.8101, 0.3981130
583.2922, 0.3341600
583.7744, 0.2856750
584.2565, 0.1697650
584.7386, 0.1602020
585.2207, 0.3644710
585.7029, 9.8582998E-02
586.1850, 0.4710540
586.6671, 0.9313770
587.1492, 1.237247
587.6313, 1.336002
588.1135, 1.095127
588.5956, 0.6194690
589.0777, 0.1462170
589.5598, 0.2737120
590.0419, 0.5801320
590.5240, 0.6785240
591.0062, 0.5564380
591.4883, 0.5173230
591.9704, 0.7092290
592.4525, 0.7944340
592.9346, 0.5420230
593.4167, 0.2132000
593.8989, 0.1528930
594.3810, 0.4135670
594.8631, 0.6965520
595.3452, 0.6706280
595.8273, 0.3695410
596.3094, 0.1557620
596.7916, 4.1591998E-02
597.2737, 1.6052000E-02
597.7558, 6.3395999E-02
598.2379, 4.6519998E-02
598.7200, 0.1396050
599.2021, 0.5306720
599.6843, 0.8568060
600.1664, 0.9880750
600.6485, 0.9692500
601.1306, 0.7858600
601.6127, 0.4703830
602.0948, 0.2696000
602.5770, 0.3371510
603.0591, 0.6008740
603.5412, 0.8664400
604.0233, 1.179905
604.5054, 1.413952
604.9875, 1.668289
605.4697, 1.758139
605.9518, 1.383581
606.4339, 0.7461400
606.9160, 0.3672500
607.3981, 0.5609800
607.8802, 1.057295
608.3624, 1.342815
608.8445, 1.399790
609.3266, 1.369797
609.8087, 1.192032
610.2908, 1.039995
610.7729, 1.098310
611.2551, 1.286985
611.7372, 1.362150
612.2193, 1.199245
612.7014, 0.9835830
613.1835, 0.8100170
613.6656, 0.6869110
614.1478, 0.6632420
614.6299, 0.7499260
615.1120, 0.8102820
615.5941, 0.6669310
616.0762, 0.3175390
616.5583, 0.2965640
617.0405, 0.9158290
617.5226, 1.472757
618.0047, 1.939463
618.4868, 2.241472
618.9689, 2.234219
619.4510, 1.945518
619.9332, 1.640175
620.4153, 1.527552
620.8974, 1.578533
621.3795, 1.723721
621.8616, 1.993380
622.3438, 2.198643
622.8259, 2.270813
623.3080, 2.240601
623.7901, 2.109531
624.2722, 1.865040
624.7543, 1.750174
625.2365, 2.035782
625.7186, 2.302948
626.2007, 2.089661
626.6828, 1.563818
627.1649, 1.236897
627.6470, 1.324810
628.1292, 1.624641
628.6113, 1.809143
629.0934, 1.824972
629.5755, 1.890669
630.0576, 2.092253
630.5397, 2.268209
631.0219, 2.426714
631.5040, 2.508560
631.9861, 2.422848
632.4682, 2.149452
632.9503, 1.816492
633.4324, 1.398096
633.9146, 0.9834420
634.3967, 0.8860490
634.8788, 1.146500
635.3609, 1.610216
635.8430, 2.339209
636.3251, 3.113121
636.8073, 3.207909
637.2894, 2.304995
637.7715, 1.746620
638.2536, 2.030062
638.7357, 2.432833
639.2178, 2.347256
639.7000, 1.883837
640.1821, 1.531111
640.6642, 1.562235
641.1463, 1.787228
641.6284, 1.795242
642.1105, 1.523390
642.5927, 1.414886
643.0748, 1.589329
643.5569, 1.783829
644.0390, 1.942785
644.5211, 1.987213
645.0032, 1.680599
645.4854, 0.7477000
645.9675, 5.2620001E-02
646.4496, 0.4489080
646.9317, 1.403137
647.4138, 1.919510
647.8959, 1.850817
648.3781, 1.548155
648.8602, 1.226902
649.3423, 0.9291840
649.8244, 0.8725490
650.3065, 1.456211
650.7886, 1.660572
651.2708, 1.003414
651.7529, 0.3571780
652.2350, 0.3903580
652.7171, 0.9524500
653.1992, 1.485348
653.6813, 1.710876
654.1635, 1.713074
654.6456, 1.539755
655.1277, 1.216742
655.6098, 1.065460
656.0919, 1.196257
656.5740, 1.393705
657.0562, 1.495649
657.5383, 1.492695
658.0204, 1.418005
658.5025, 0.9720710
658.9846, 0.8213730
659.4667, 1.517399
659.9489, 2.381105
660.4310, 2.637552
660.9131, 2.276566
661.3952, 1.818083
661.8773, 1.621954
662.3594, 1.656281
662.8416, 1.878756
663.3237, 2.407402
663.8058, 2.681349
664.2879, 2.500195
664.7700, 2.115622
665.2521, 1.558308
665.7343, 0.9575500
666.2164, 0.7445050
666.6985, 1.361814
667.1806, 2.051025
667.6627, 2.183777
668.1448, 1.945089
668.6270, 1.732933
669.1091, 1.625282
669.5912, 1.572243
670.0733, 1.526432
670.5554, 1.495728
671.0375, 1.558228
671.5197, 1.875790
672.0018, 2.018589
672.4839, 1.646538
672.9660, 1.352808
673.4481, 1.665966
673.9302, 2.427639
674.4124, 3.074512
674.8945, 3.377228
675.3766, 3.367502
675.8587, 2.920042
676.3408, 2.155006
676.8229, 1.641594
677.3051, 1.507515
677.7872, 1.573465
678.2693, 1.688282
678.7514, 1.860727
679.2335, 2.182791
679.7156, 3.157684
680.1978, 3.595926
680.6799, 2.760653
681.1620, 1.750484
681.6441, 1.628332
682.1262, 2.255177
682.6083, 2.708443
683.0905, 2.370052
683.5726, 1.638371
684.0547, 1.274681
684.5368, 1.276352
685.0189, 1.198156
685.5010, 0.8783280
685.9832, 0.6695860
686.4653, 1.019804
686.9474, 1.762270
687.4295, 2.039053
687.9116, 1.263973
688.3937, 0.7991390
688.8759, 1.437689
689.3580, 2.309034
689.8401, 2.379156
690.3222, 1.742678
690.8043, 1.344770
691.2864, 1.852581
691.7686, 2.792032
692.2507, 2.909191
692.7328, 2.011606
693.2149, 1.614454
693.6970, 2.317392
694.1791, 2.974636
694.6613, 2.547379
695.1434, 1.515808
695.6255, 0.9552150
696.1076, 1.170465
696.5897, 1.585928
697.0718, 2.125525
697.5540, 2.609179
698.0361, 2.824064
698.5182, 2.761950
699.0003, 2.476551
699.4824, 1.978079
699.9645, 1.396740
700.4467, 1.072918
700.9288, 1.080503
701.4109, 1.087688
701.8930, 1.162472
702.3751, 1.124001
702.8572, 0.7138580
703.3394, 0.1859150
703.8215, 5.6300000E-03
704.3036, 0.3068940
704.7857, 0.7387920
705.2678, 1.093138
705.7499, 1.411921
706.2321, 1.891953
706.7142, 2.440254
707.1963, 2.478497
707.6784, 1.649868
708.1605, 0.5021650
708.6426, 0.1675490
709.1248, 0.9557300
709.6069, 1.436792
710.0890, 1.371357
710.5711, 1.289171
711.0532, 1.407555
711.5353, 1.591215
712.0175, 1.633413
712.4996, 1.486696
712.9817, 1.386517
713.4638, 1.481983
713.9459, 1.708494
714.4280, 2.152344
714.9102, 2.694109
715.3923, 2.699423
715.8744, 1.871262
716.3565, 0.7291280
716.8386, 6.1907001E-02
717.3207, 9.5023997E-02
717.8029, 3.0900000E-04
718.2850, 0.7239840
718.7671, 1.227549
719.2492, 1.167675
719.7313, 0.8972110
720.2134, 0.7331470
720.6956, 0.7242810
721.1777, 0.8021490
721.6598, 1.104303
722.1419, 1.359261
722.6240, 1.161638
723.1061, 0.5858270
723.5883, 0.1715980
724.0704, 1.076050
724.5525, 1.573948
725.0346, 0.9691750
725.5167, 0.6879410
725.9988, 1.679539
726.4810, 1.547859
726.9631, 1.407112
727.4452, 1.454201
727.9273, 1.492399
728.4094, 1.247517
728.8915, 0.8350910
729.3737, 0.7414490
729.8558, 1.400211
730.3379, 2.108225
730.8200, 1.959890
731.3021, 1.274111
731.7842, 1.019272
732.2664, 1.355869
732.7485, 1.564865
733.2306, 1.001465
733.7127, 1.9779999E-03
734.1948, 4.5171998E-02
734.6769, 1.818836
735.1591, 2.882818
735.6412, 2.532869
736.1233, 1.977383
736.6054, 1.755024
737.0875, 1.784641
737.5696, 1.873257
738.0518, 1.984341
738.5339, 2.004019
739.0160, 1.743330
739.4981, 1.367453
739.9802, 1.199648
740.4623, 1.241579
740.9445, 1.308651
741.4266, 1.318798
741.9087, 1.253077
742.3908, 1.042612
742.8729, 0.5809480
743.3550, 0.4360580
743.8372, 0.9736900
