##NAMES=Palermoite
##RRUFFID=R130090
##IDEAL CHEMISTRY=Li_2_SrAl_4_(PO_4_)_4_(OH)_4_
##LOCALITY=Palermo Mine, N. Groton, New Hampshire, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch and Don Doell
##DESCRIPTION=Colorless prismatic crystal, associated with quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130090
449.9849, 55.67862
450.4670, 54.11978
450.9492, 52.24539
451.4313, 49.89417
451.9134, 47.17578
452.3955, 44.90735
452.8776, 43.25659
453.3597, 41.58267
453.8419, 39.39517
454.3240, 36.73938
454.8061, 34.22003
455.2882, 31.93497
455.7703, 29.72409
456.2524, 27.30951
456.7346, 24.71631
457.2167, 22.34726
457.6988, 20.38531
458.1809, 18.70053
458.6630, 17.10388
459.1451, 15.59372
459.6273, 13.98773
460.1094, 11.88782
460.5915, 9.714966
461.0736, 8.071320
461.5557, 7.259277
462.0378, 6.583008
462.5200, 5.519470
463.0021, 4.271942
463.4842, 3.255219
463.9663, 3.128021
464.4484, 2.840912
464.9305, 1.585327
465.4127, 0.7658690
465.8948, 2.255066
466.3769, 1.561340
466.8590, 0.4002690
467.3411, 1.2390000E-02
467.8232, 1.323822
468.3054, 2.288879
468.7875, 2.868530
469.2696, 3.056488
469.7517, 2.746979
470.2338, 1.595490
470.7159, 0.6074830
471.1981, 0.2478330
471.6802, 0.5581670
472.1623, 0.3422240
472.6444, 0.5810240
473.1265, 1.525299
473.6086, 1.558594
474.0908, 0.7042240
474.5729, 0.5825500
475.0550, 1.720276
475.5371, 3.356781
476.0192, 3.928619
476.5013, 3.570587
476.9835, 3.344910
477.4656, 3.994415
477.9477, 5.093903
478.4298, 5.960419
478.9119, 6.558044
479.3940, 7.095703
479.8762, 7.778076
480.3583, 8.487305
480.8404, 9.066711
481.3225, 9.422852
481.8046, 9.724304
482.2867, 9.463715
482.7689, 9.179108
483.2510, 10.24832
483.7331, 15.35858
484.2152, 20.03091
484.6973, 22.07416
485.1794, 20.85223
485.6616, 19.66000
486.1437, 18.43750
486.6258, 17.56235
487.1079, 17.36578
487.5900, 18.35742
488.0721, 19.10397
488.5543, 19.32196
489.0364, 19.25165
489.5185, 19.59143
490.0006, 20.38760
490.4827, 21.40219
490.9648, 22.45425
491.4470, 23.56369
