##NAMES=Vuoriyarvite-K
##RRUFFID=R070703
##IDEAL CHEMISTRY=(K,Na,[box])_12_Nb_8_(Si_4_O_12_)_4_O_8_&#183;12-16H_2_O
##LOCALITY=Vein No. 46,  Kirovskii apatite mine (Kirovsky Mine; Kirov Mine),  Kukisvumchorr Mt,  Khibiny Massif,  Kola Peninsula,  Murmanskaja Oblast',  Northern Region,  Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light tan, compact mass of micro-crystals associated with calcite and greenish sodalite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070703
638.8006, 3433.516
639.2827, 3553.271
639.7648, 3680.592
640.2469, 3844.941
640.7291, 4035.139
641.2112, 4192.680
641.6933, 4280.715
642.1754, 4349.645
642.6575, 4463.123
643.1396, 4607.020
643.6218, 4731.033
644.1039, 4778.975
644.5860, 4827.701
645.0681, 4935.287
645.5502, 5108.777
646.0323, 5245.678
646.5145, 5290.803
646.9966, 5328.395
647.4787, 5408.416
647.9608, 5551.055
648.4429, 5675.607
648.9250, 5776.178
649.4072, 5867.076
649.8893, 5975.170
650.3714, 6099.760
650.8535, 6206.152
651.3356, 6279.699
651.8177, 6339.311
652.2999, 6420.041
652.7820, 6517.135
653.2641, 6601.207
653.7462, 6647.023
654.2283, 6682.312
654.7104, 6722.150
655.1926, 6767.352
655.6747, 6829.031
656.1568, 6949.281
656.6389, 7060.908
657.1210, 7117.051
657.6031, 7085.836
658.0853, 7073.336
658.5674, 7074.957
659.0495, 7096.406
659.5316, 7152.297
660.0137, 7245.547
660.4958, 7342.078
660.9779, 7437.551
661.4600, 7521.375
661.9421, 7576.691
662.4243, 7605.266
662.9064, 7620.500
663.3885, 7610.121
663.8706, 7602.777
664.3527, 7637.453
664.8348, 7704.637
665.3170, 7744.961
665.7991, 7696.896
666.2812, 7646.355
666.7633, 7651.881
667.2454, 7757.215
667.7275, 7798.910
668.2097, 7747.961
668.6918, 7661.211
669.1739, 7589.230
669.6560, 7534.020
670.1381, 7483.607
670.6202, 7437.203
671.1024, 7394.793
671.5845, 7362.867
672.0666, 7337.430
672.5487, 7297.725
673.0308, 7230.355
673.5129, 7149.656
673.9951, 7052.012
674.4772, 6948.951
674.9593, 6884.029
675.4414, 6946.295
675.9235, 6993.781
676.4056, 6934.262
676.8878, 6741.746
677.3699, 6594.588
677.8520, 6523.051
678.3341, 6472.121
678.8162, 6410.199
679.2983, 6337.797
679.7805, 6247.539
680.2626, 6131.980
680.7447, 6018.643
681.2268, 5956.484
681.7089, 5932.295
682.1910, 5880.738
682.6732, 5766.393
683.1553, 5648.084
683.6374, 5601.812
684.1195, 5601.049
684.6016, 5579.949
685.0837, 5486.252
685.5659, 5387.859
686.0480, 5311.346
686.5301, 5257.297
687.0122, 5219.070
687.4943, 5210.578
687.9764, 5199.254
688.4586, 5167.312
688.9407, 5111.377
689.4228, 5083.721
689.9049, 5095.967
690.3870, 5095.277
690.8691, 4995.908
691.3513, 4834.707
691.8334, 4778.281
692.3155, 4873.846
692.7976, 4982.221
693.2797, 4952.992
693.7618, 4851.713
694.2440, 4782.822
694.7261, 4805.996
695.2082, 4841.191
695.6903, 4865.227
696.1724, 4880.256
